"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.3001,0.0959,0.0168,0.0175,0.02,0.5796,0.1187,0.3418,0.0734,0.0105,0.0695,0.058,0.0517,0.0182,0.0135,0.0134,0.0155,0.0164,0.0146,0.0167,0.0156,0.0593,0.0196,0.0227,0.0354,0.0283,0.0133,0.0157,0.0194,0.0183,0.0131,0.2608,0.024,0.013,0.0144,0.0104,0.0076,0.0175,0.0237,0.0255,0.0242,0.0326,0.0435,0.0441,0
"DOM_A03",8e-04,1.0876,6e-04,5e-04,7e-04,0.0119,6e-04,7e-04,5e-04,3e-04,7e-04,8e-04,5e-04,4e-04,3e-04,3e-04,4e-04,4e-04,4e-04,3e-04,3e-04,5e-04,4e-04,4e-04,4e-04,6e-04,4e-04,7e-04,7e-04,5e-04,3e-04,0.0134,6e-04,4e-04,5e-04,3e-04,1e-04,4e-04,4e-04,7e-04,6e-04,8e-04,0.001,9e-04,0
"DOM_B05_06",0.0084,0.0202,1.0628,0.0421,0.0392,0.0097,0.013,0.0128,0.0216,0.3815,0.0418,0.0175,0.0215,0.0399,0.0462,0.0198,0.0129,0.0192,0.0154,0.015,0.0146,0.0142,0.1953,0.0287,0.0191,0.0122,0.0464,0.0369,0.0615,0.022,0.0194,0.0097,0.0106,0.0098,0.0069,0.0057,0.0053,0.0088,0.0096,0.0137,0.0107,0.0106,0.0171,0.0184,0
"DOM_B07_08",4e-04,5e-04,0.0025,1.0239,0.0075,6e-04,6e-04,9e-04,0.0013,0.0013,0.0047,0.0016,0.002,0.0338,0.0467,0.0115,0.0031,0.009,0.0063,0.0052,0.0049,0.0034,0.0018,0.0026,0.0142,5e-04,6e-04,5e-04,5e-04,8e-04,4e-04,4e-04,5e-04,4e-04,3e-04,2e-04,7e-04,5e-04,5e-04,7e-04,4e-04,5e-04,7e-04,0.001,0
"DOM_B09",4e-04,0.0015,0.034,0.0141,1.0323,4e-04,5e-04,6e-04,0.001,0.0158,0.0021,8e-04,0.001,0.0033,0.0034,0.0013,6e-04,0.0011,8e-04,8e-04,8e-04,7e-04,0.007,0.0014,0.0019,5e-04,0.0021,0.0016,0.0027,0.0011,8e-04,4e-04,5e-04,4e-04,3e-04,2e-04,3e-04,4e-04,5e-04,6e-04,4e-04,4e-04,7e-04,8e-04,0
"DOM_C10T12",0.0343,0.0405,0.0025,0.0032,0.0033,1.072,0.0109,0.0112,0.0086,0.002,0.02,0.0195,0.0083,0.0037,0.0031,0.0028,0.0036,0.0037,0.0031,0.0032,0.0029,0.0053,0.0028,0.0054,0.0038,0.0063,0.003,0.0054,0.006,0.0042,0.003,0.139,0.0062,0.0031,0.004,0.003,0.0014,0.0044,0.0053,0.0089,0.0119,0.0138,0.0158,0.0141,0
"DOM_C13T15",0.0023,0.0061,0.0047,0.0048,0.0063,0.0038,1.2664,0.0059,0.0117,0.0029,0.0061,0.0092,0.0137,0.0065,0.005,0.0061,0.0077,0.0073,0.0077,0.0142,0.0092,0.0264,0.004,0.009,0.0077,0.0071,0.0043,0.004,0.0063,0.0051,0.0066,0.005,0.0066,0.0036,0.0039,0.0023,0.0013,0.0058,0.0074,0.0096,0.0048,0.011,0.0151,0.0226,0
"DOM_C16",0.0015,0.0022,0.0023,0.004,0.0028,0.0023,0.0031,1.1632,0.0223,0.0012,0.0032,0.0029,0.0053,0.0086,0.0036,0.0065,0.0038,0.0062,0.0048,0.007,0.0099,0.083,0.0043,0.0037,0.0408,0.0031,0.002,0.0018,0.0024,0.0038,0.002,0.0019,0.0043,0.0017,0.0018,0.0011,0.0037,0.0025,0.0027,0.0024,0.0024,0.0026,0.0043,0.0087,0
"DOM_C17_18",0.0027,0.0044,0.0033,0.0049,0.0048,0.0119,0.0118,0.0112,1.2486,0.0022,0.0132,0.0274,0.0187,0.0162,0.0052,0.0067,0.0136,0.0131,0.0078,0.008,0.0061,0.0178,0.004,0.0084,0.0075,0.0123,0.0048,0.004,0.0048,0.0093,0.0177,0.0066,0.1123,0.0094,0.0168,0.0111,0.0029,0.0184,0.0139,0.0128,0.0164,0.0091,0.0159,0.0172,0
"DOM_C19",0.0142,0.0447,0.0219,0.0455,0.0362,0.0132,0.0139,0.016,0.018,1.0432,0.0443,0.0195,0.0229,0.0366,0.0293,0.0162,0.0134,0.0194,0.0135,0.0153,0.0133,0.0173,0.0299,0.0328,0.0242,0.0183,0.1086,0.0908,0.1562,0.038,0.0373,0.0102,0.0121,0.0088,0.0085,0.0074,0.0041,0.0117,0.0149,0.0169,0.0096,0.0109,0.0157,0.0229,0
