"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.0947,0.0039,0.0022,0.0019,9e-04,0.2848,0.0296,0.1083,0.0032,0.0012,0.0102,0.0139,0.0097,0.0015,0.0015,0.0019,0.0015,0.0016,0.0063,0.0022,0.0023,0.0406,0.001,0.0015,0.0046,0.0012,0.0013,0.0011,0.0023,8e-04,0.0036,0.1095,0.0018,0.0022,0.0026,0.0012,7e-04,0.0026,0.0018,0.0077,0.0014,0.004,0.0081,0.0185,0
"DOM_A03",9e-04,1.0056,2e-04,1e-04,1e-04,0.0285,3e-04,2e-04,2e-04,1e-04,6e-04,5e-04,3e-04,1e-04,1e-04,2e-04,1e-04,1e-04,4e-04,1e-04,1e-04,4e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,3e-04,1e-04,3e-04,0.0099,2e-04,3e-04,2e-04,1e-04,0,2e-04,2e-04,8e-04,1e-04,4e-04,8e-04,0.0013,0
"DOM_B05_06",0.0071,0.0605,1.0417,0.046,0.0324,0.0283,0.0164,0.0229,0.0214,0.5214,0.0261,0.0133,0.0185,0.3166,0.0705,0.0222,0.008,0.0377,0.0131,0.0129,0.0117,0.0196,0.1258,0.0454,0.0539,0.0222,0.0982,0.0604,0.0784,0.0431,0.049,0.0143,0.0101,0.0091,0.0043,0.0053,0.0038,0.0116,0.0104,0.0282,0.0061,0.008,0.0126,0.0122,0
"DOM_B07_08",0.0018,0.0012,0.008,1.0071,9e-04,0.0024,0.0017,0.0011,0.0013,0.0041,0.0086,0.0027,0.0032,0.0602,0.1367,0.0095,0.0022,0.067,0.0043,0.0035,0.0029,0.01,0.0082,0.0138,0.0358,6e-04,0.0011,8e-04,0.0011,7e-04,7e-04,0.0014,7e-04,0.0012,7e-04,8e-04,0.0017,8e-04,7e-04,0.0067,5e-04,0.0011,0.0013,0.0019,0
"DOM_B09",4e-04,0.0028,0.048,0.0127,1.0031,0.0014,8e-04,0.0011,0.0011,0.024,0.0014,8e-04,0.001,0.0152,0.007,0.0014,5e-04,0.0034,8e-04,8e-04,7e-04,0.0011,0.006,0.0023,0.0033,0.0011,0.0046,0.0029,0.0038,0.0021,0.0024,7e-04,6e-04,7e-04,3e-04,3e-04,2e-04,7e-04,6e-04,0.0015,4e-04,5e-04,8e-04,7e-04,0
"DOM_C10T12",0.0346,0.0085,0.0036,0.0029,0.0017,1.1225,0.01,0.0061,0.0082,0.0022,0.0183,0.0165,0.0103,0.0024,0.0027,0.0034,0.0027,0.0028,0.0084,0.0027,0.0028,0.0104,0.0021,0.003,0.003,0.0024,0.0023,0.0023,0.0052,0.0017,0.0068,0.2069,0.004,0.0048,0.0047,0.0019,6e-04,0.0049,0.0033,0.0177,0.0027,0.0056,0.0207,0.0309,0
"DOM_C13T15",0.0019,0.0162,0.0015,0.0014,0.001,0.0044,1.2743,0.0049,0.0072,0.001,0.0064,0.015,0.0101,0.0016,0.0015,0.0039,0.0017,0.0015,0.004,0.0022,0.0023,0.0254,7e-04,0.0011,0.0035,0.0014,8e-04,6e-04,0.0012,0.001,0.0012,0.0071,0.0067,0.0027,0.0015,0.0019,6e-04,0.0098,0.0084,0.0039,0.0016,0.0053,0.0056,0.0047,0
"DOM_C16",0.0013,0.0016,6e-04,0.002,2e-04,0.0011,0.0012,1.1732,0.0033,3e-04,0.0021,7e-04,0.0025,0.0014,0.0011,0.0014,6e-04,0.0011,0.0033,0.008,0.0097,0.0311,3e-04,0.0019,0.0332,3e-04,2e-04,2e-04,4e-04,3e-04,3e-04,8e-04,8e-04,8e-04,5e-04,9e-04,0.0039,8e-04,5e-04,0.0048,5e-04,0.0013,9e-04,0.0043,0
"DOM_C17_18",0.0045,0.0048,0.0046,0.0048,0.0036,0.0216,0.0113,0.0154,1.3233,0.0032,0.02,0.0271,0.0191,0.0088,0.0052,0.0127,0.0239,0.0097,0.0098,0.0127,0.0126,0.0141,0.0065,0.0084,0.0068,0.0145,0.004,0.0033,0.0064,0.0073,0.0068,0.0128,0.1748,0.0316,0.0108,0.0225,0.0101,0.0589,0.0278,0.0247,0.0243,0.0087,0.0266,0.0233,0
"DOM_C19",0.0072,0.1063,0.04,0.0669,0.0068,0.0312,0.0202,0.0318,0.0281,1.0299,0.0297,0.014,0.0168,0.0323,0.0462,0.0211,0.0102,0.0309,0.0154,0.0139,0.0134,0.0245,0.0386,0.0347,0.0281,0.0366,0.1719,0.1062,0.1371,0.0752,0.0857,0.0179,0.0133,0.012,0.0059,0.0072,0.0026,0.0175,0.0162,0.0362,0.0085,0.011,0.0152,0.015,0
