"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.1581,0.1126,0.0167,0.0247,0.019,0.3273,0.0518,0.2076,0.066,0.0257,0.0818,0.1362,0.1,0.0524,0.05,0.0665,0.0321,0.052,0.0512,0.1221,0.0453,0.0814,0.0135,0.0251,0.0539,0.0604,0.0265,0.0297,0.0321,0.0367,0.0322,0.1658,0.0322,0.018,0.0294,0.0221,0.033,0.0374,0.0313,0.0259,0.0193,0.0418,0.0479,0.0232,0
"DOM_A03",0.0048,1.0421,0.0026,0.0038,0.003,0.0185,0.0109,0.0204,0.0143,0.0029,0.0262,0.0068,0.0314,0.0129,0.0045,0.0068,0.0042,0.005,0.0055,0.0091,0.0045,0.0329,0.0014,0.0044,0.0052,0.0089,0.0027,0.0031,0.0033,0.0042,0.0044,0.0133,0.0051,0.0021,0.003,0.0026,0.0019,0.0076,0.0037,0.0021,0.0016,0.0042,0.0069,0.0047,0
"DOM_B05_06",6e-04,8e-04,1.0019,0.0029,0.0025,0.0011,0.0018,0.0021,0.0023,0.0484,0.0024,0.0045,0.0034,0.015,0.0189,0.0048,9e-04,0.0019,0.0037,0.0018,0.0024,0.0018,0.0056,0.0018,0.0045,0.0019,0.0067,0.0072,0.0071,0.0024,0.0015,0.0011,0.0015,8e-04,8e-04,9e-04,9e-04,0.0012,9e-04,7e-04,7e-04,0.0012,8e-04,0.0014,0
"DOM_B07_08",8e-04,8e-04,0.0015,1.0041,0.0137,0.003,0.0024,0.0038,0.004,0.0014,0.0024,0.003,0.0036,0.0205,0.1619,0.0249,0.0031,0.0067,0.0144,0.0062,0.0124,0.0154,0.0016,0.0027,0.0321,0.0054,0.0029,0.0018,0.0023,0.0039,0.0016,0.0022,0.0032,0.0014,0.0015,0.001,0.0036,0.002,0.0018,0.0013,0.0011,0.0017,0.0017,0.0018,0
"DOM_B09",1e-04,2e-04,0.0074,0.0044,1.0065,2e-04,2e-04,3e-04,4e-04,0.0044,4e-04,5e-04,4e-04,0.0011,0.0017,6e-04,1e-04,2e-04,4e-04,2e-04,2e-04,2e-04,0.0012,4e-04,0.001,2e-04,7e-04,7e-04,7e-04,4e-04,2e-04,2e-04,2e-04,1e-04,1e-04,1e-04,1e-04,2e-04,1e-04,1e-04,1e-04,2e-04,1e-04,2e-04,0
"DOM_C10T12",0.0767,0.0547,0.0135,0.0234,0.0232,1.1976,0.0762,0.1385,0.0779,0.0438,0.1203,0.1299,0.1381,0.0695,0.0373,0.0811,0.0656,0.1274,0.1206,0.2583,0.0777,0.1041,0.0135,0.0232,0.0456,0.0921,0.0378,0.0367,0.048,0.0539,0.0628,0.2912,0.0398,0.0201,0.0577,0.0269,0.0253,0.0573,0.0524,0.0395,0.0177,0.0657,0.0986,0.0325,0
"DOM_C13T15",0.0021,0.0085,0.0016,0.0021,0.0036,0.0053,1.2082,0.0192,0.0293,0.0027,0.0086,0.0073,0.0199,0.0087,0.003,0.0065,0.005,0.0069,0.0066,0.0088,0.0068,0.0431,0.0014,0.0024,0.0057,0.0057,0.0041,0.0026,0.0051,0.0145,0.0045,0.0062,0.0351,0.0042,0.0035,0.0021,0.0016,0.004,0.005,0.002,0.0034,0.0061,0.0233,0.0101,0
"DOM_C16",5e-04,0.0012,0.0033,0.0023,0.002,0.001,0.0018,1.0324,0.0071,0.0013,0.0014,0.0062,0.0019,0.0075,0.0015,0.0032,0.001,0.0017,0.0023,0.0014,0.0021,0.049,6e-04,0.001,0.0198,0.0011,0.002,0.0014,0.0017,0.0023,9e-04,0.001,0.0029,8e-04,0.001,7e-04,0.0047,0.0012,0.0011,7e-04,5e-04,9e-04,0.0014,0.0029,0
"DOM_C17_18",0.0013,0.0018,0.005,0.0023,0.0028,0.0043,0.0055,0.0076,1.1898,0.0025,0.0102,0.007,0.0066,0.0067,0.0025,0.011,0.0034,0.0061,0.0074,0.0043,0.0038,0.0071,0.0023,0.0046,0.0037,0.0043,0.0027,0.0024,0.0043,0.0055,0.0047,0.0036,0.1701,0.0145,0.0186,0.0067,0.0022,0.0103,0.0076,0.0038,0.0077,0.0039,0.0108,0.0058,0
"DOM_C19",0.0104,0.0146,0.0323,0.0495,0.0251,0.0161,0.0313,0.0333,0.034,1.1303,0.0409,0.0927,0.0637,0.0741,0.0709,0.0531,0.0112,0.0234,0.0464,0.0229,0.0208,0.0248,0.0502,0.0287,0.0403,0.022,0.1449,0.1593,0.1554,0.0444,0.0279,0.0157,0.0214,0.0118,0.0135,0.0159,0.0123,0.0186,0.014,0.0108,0.012,0.0198,0.0118,0.0241,0
