"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.2362,0.0523,0.0044,0.0049,0.0032,0.2679,0.012,0.1415,0.0384,0.0045,0.0135,0.0103,0.0187,0.0074,0.0051,0.0051,0.0048,0.0064,0.006,0.0058,0.0052,0.0188,0.0055,0.0047,0.0091,0.0179,0.0061,0.0064,0.0073,0.0068,0.0028,0.0671,0.0059,0.0036,0.0031,0.0041,0.0044,0.005,0.011,0.0044,0.0047,0.0065,0.0069,0.0148,0
"DOM_A03",2e-04,1.0152,0,0,0,0.0017,1e-04,1e-04,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-04,0,1e-04,1e-04,1e-04,0,0.001,0,0,0,0,0,0,1e-04,0,0,1e-04,1e-04,1e-04,0
"DOM_B05_06",0.0171,0.0114,1.016,0.013,0.0464,0.013,0.0076,0.0128,0.0129,0.0907,0.0231,0.0056,0.0113,0.022,0.0368,0.0106,0.0061,0.008,0.0088,0.0067,0.0088,0.007,0.1292,0.0166,0.0087,0.0065,0.0168,0.0091,0.0106,0.0089,0.0062,0.0102,0.0047,0.0049,0.0034,0.0056,0.022,0.0049,0.0073,0.0043,0.0064,0.0067,0.0082,0.0077,0
"DOM_B07_08",0.0078,0.0078,0.0076,1.0295,0.01,0.006,0.0039,0.0067,0.005,0.0847,0.0407,0.0037,0.01,0.0498,0.0763,0.0151,0.0059,0.0116,0.01,0.0069,0.0072,0.0058,0.0251,0.0091,0.0183,0.0045,0.0139,0.0069,0.0083,0.0063,0.004,0.0044,0.0025,0.0027,0.0018,0.0039,0.0066,0.0046,0.0061,0.0033,0.0024,0.0029,0.0048,0.0059,0
"DOM_B09",1e-04,1e-04,0.0029,0.0016,1.0405,1e-04,1e-04,1e-04,1e-04,4e-04,2e-04,1e-04,1e-04,2e-04,3e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,6e-04,1e-04,0.0019,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0,1e-04,3e-04,2e-04,1e-04,1e-04,1e-04,1e-04,2e-04,1e-04,0
"DOM_C10T12",0.1069,0.0565,0.0064,0.0067,0.007,1.258,0.0216,0.0241,0.0152,0.0103,0.0286,0.0123,0.0174,0.0114,0.0099,0.0096,0.0097,0.0111,0.0107,0.0101,0.0093,0.0156,0.008,0.0077,0.0114,0.0332,0.0112,0.0144,0.0167,0.014,0.0051,0.2634,0.0078,0.0073,0.0068,0.0095,0.0065,0.0093,0.0184,0.0074,0.0132,0.0157,0.0133,0.0281,0
"DOM_C13T15",0.0017,0.0028,0.0017,0.0015,8e-04,0.0027,1.0685,0.0025,0.0055,0.0013,0.002,0.0016,0.0065,0.0023,0.0018,0.0017,0.0016,0.0022,0.0021,0.0073,0.0023,0.0105,0.0014,0.0013,0.0021,0.0021,0.0017,0.0018,0.002,0.0014,0.0016,0.0026,0.002,0.001,8e-04,0.0012,9e-04,0.0016,0.0022,0.0031,8e-04,0.0011,0.0044,0.0101,0
"DOM_C16",0.0071,0.0053,0.0066,0.0055,0.0027,0.0058,0.0043,1.1785,0.0138,0.0033,0.0057,0.0036,0.0068,0.0116,0.0052,0.0086,0.0061,0.0106,0.0077,0.0067,0.0089,0.0752,0.0064,0.0044,0.0266,0.0056,0.0052,0.0063,0.008,0.0048,0.0037,0.0049,0.0046,0.0031,0.0025,0.0024,0.0076,0.0048,0.0054,0.0032,0.0026,0.0029,0.0105,0.0114,0
"DOM_C17_18",0.0068,0.0055,0.0036,0.0041,0.0028,0.0206,0.0114,0.0226,1.1733,0.0041,0.0128,0.0201,0.0138,0.0163,0.0057,0.0063,0.0072,0.0094,0.0072,0.0072,0.0063,0.0138,0.005,0.0055,0.0074,0.0137,0.0062,0.0075,0.0082,0.0075,0.0099,0.0122,0.0812,0.0098,0.0072,0.0257,0.0052,0.0201,0.0153,0.0069,0.0188,0.006,0.0218,0.0195,0
"DOM_C19",0.0561,0.0763,0.0141,0.0268,0.0254,0.0349,0.0177,0.0349,0.0239,1.069,0.053,0.0225,0.0366,0.0393,0.0585,0.022,0.0148,0.023,0.0201,0.0171,0.0175,0.0211,0.0209,0.0333,0.034,0.0279,0.1438,0.0637,0.0802,0.0552,0.0273,0.0234,0.0118,0.0107,0.0091,0.0319,0.0153,0.0144,0.0271,0.0145,0.0097,0.0124,0.0163,0.0199,0
