"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.1225,0.0076,0,0.0031,0.0041,0.2065,0.0079,0.1588,0.1428,0.0031,0.0412,0.0117,0.0171,0.0067,0.0074,0.0045,0.004,0.0055,0.0041,0.0042,0.0052,0.0134,0.0049,0.0083,0.0092,0.0068,0.0047,0.0075,0.0069,0.0038,0.003,0.0398,0.0118,0.004,0.0038,0.0026,0.0021,0.0066,0.0075,0.0039,0.0024,0.0092,0.0064,0.0105,0
"DOM_A03",2e-04,1.0271,0,1e-04,1e-04,0.0017,1e-04,1e-04,1e-04,1e-04,2e-04,3e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,2e-04,1e-04,1e-04,1e-04,2e-04,2e-04,1e-04,1e-04,0.0028,1e-04,1e-04,1e-04,1e-04,0,1e-04,1e-04,1e-04,1e-04,2e-04,2e-04,1e-04,0
"DOM_B05_06",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B07_08",0.0014,8e-04,0,1.0333,0.0285,0.0018,4e-04,0.0011,0.0013,4e-04,0.0022,0.001,7e-04,0.0829,0.0021,0.0045,6e-04,0.0043,0.0012,0.001,9e-04,0.0012,6e-04,0.0029,0.0169,8e-04,0.001,0.0018,0.0012,0.0011,4e-04,8e-04,5e-04,4e-04,3e-04,3e-04,6e-04,5e-04,4e-04,0.0011,3e-04,4e-04,7e-04,5e-04,0
"DOM_B09",1e-04,5e-04,0,0.0035,1.011,1e-04,0,1e-04,2e-04,0.0025,3e-04,1e-04,1e-04,9e-04,5e-04,2e-04,0,1e-04,1e-04,1e-04,1e-04,1e-04,4e-04,2e-04,5e-04,1e-04,4e-04,2e-04,5e-04,1e-04,0,0,0,0,0,0,0,0,1e-04,1e-04,0,0,1e-04,1e-04,0
"DOM_C10T12",0.1142,0.0224,0,0.0026,0.0048,1.1356,0.0055,0.0187,0.0198,0.0017,0.0293,0.0194,0.0057,0.0034,0.0029,0.0031,0.003,0.003,0.0025,0.0023,0.0028,0.0047,0.0018,0.0041,0.0036,0.0064,0.0035,0.0058,0.0075,0.0026,0.0027,0.1311,0.0083,0.0022,0.0034,0.0034,0.0011,0.0053,0.0037,0.004,0.0027,0.0205,0.0063,0.0047,0
"DOM_C13T15",0.0034,0.0094,0,0.0024,0.004,0.0026,1.2995,0.0024,0.0038,7e-04,0.0035,0.0142,0.0127,0.0039,0.0015,0.0032,0.0019,0.0021,0.0095,0.0206,0.0097,0.037,0.0012,0.0017,0.0032,0.0031,0.0021,0.0042,0.003,0.0014,0.001,0.0051,0.0039,0.0013,0.0012,6e-04,6e-04,0.002,0.0022,0.001,0.001,0.0141,0.0205,0.0034,0
"DOM_C16",0.0082,0.004,0,0.0025,0.0037,0.0096,0.0019,1.2613,0.016,0.0012,0.005,0.0028,0.0055,0.0149,0.0309,0.008,0.0026,0.0124,0.0069,0.0028,0.0062,0.0593,0.0021,0.0268,0.0375,0.0038,0.0039,0.0083,0.0048,0.0048,0.0017,0.0037,0.0027,0.0021,0.0015,0.0011,0.002,0.0025,0.0037,0.0032,0.0012,0.0022,0.0045,0.0029,0
"DOM_C17_18",0.0092,0.0068,0,0.0046,0.0062,0.0286,0.0063,0.013,1.2373,0.0024,0.0126,0.0152,0.0099,0.0139,0.0075,0.0059,0.0067,0.0066,0.005,0.0041,0.0096,0.0097,0.0197,0.007,0.005,0.0097,0.0057,0.0127,0.0061,0.005,0.0064,0.0074,0.0593,0.0069,0.0068,0.0048,0.0085,0.0129,0.0115,0.0041,0.007,0.0066,0.0097,0.0122,0
"DOM_C19",0.0238,0.052,0,0.0207,0.021,0.0145,0.0069,0.0158,0.0175,1.0398,0.0342,0.0097,0.0139,0.0249,0.0099,0.0115,0.0057,0.0081,0.0077,0.0058,0.007,0.0118,0.0192,0.0153,0.0168,0.0122,0.099,0.0362,0.1644,0.0094,0.009,0.0059,0.0064,0.0042,0.0035,0.0032,0.0014,0.0068,0.0088,0.0087,0.0032,0.0104,0.0108,0.0088,0
