"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.2087,0.1337,0.0042,0.0065,0.005,0.2663,0.0169,0.1557,0.0454,0.0037,0.0056,0.0115,0.0046,0.0075,0.0047,0.0051,0.0064,0.0058,0.0063,0.0059,0.0053,0.0288,0.0044,0.0067,0.0103,0.0147,0.0057,0.0063,0.0094,0.0084,0.0067,0.0537,0.0059,0.0052,0.0042,0.0027,0.0017,0.009,0.008,0.0049,0.0069,0.0125,0.014,0.023,0
"DOM_A03",4e-04,1.0588,1e-04,2e-04,1e-04,0.0112,2e-04,3e-04,2e-04,1e-04,2e-04,4e-04,1e-04,2e-04,1e-04,2e-04,2e-04,2e-04,2e-04,2e-04,1e-04,1e-04,1e-04,2e-04,2e-04,7e-04,2e-04,2e-04,3e-04,2e-04,2e-04,0.0029,2e-04,2e-04,1e-04,1e-04,0,2e-04,2e-04,2e-04,2e-04,5e-04,5e-04,9e-04,0
"DOM_B05_06",0.0122,0.005,1.011,0.0126,0.021,0.0073,0.0049,0.012,0.0092,0.162,0.0183,0.0076,0.0098,0.0154,0.0238,0.0114,0.007,0.0086,0.0118,0.01,0.008,0.007,0.0869,0.0112,0.0115,0.0112,0.0185,0.0084,0.0143,0.0089,0.0075,0.0057,0.0046,0.0052,0.0046,0.0032,0.0015,0.0071,0.0065,0.0026,0.002,0.0038,0.0069,0.008,0
"DOM_B07_08",6e-04,8e-04,0.0031,1.0529,0.0094,6e-04,6e-04,0.001,9e-04,0.0035,0.0016,0.001,0.0014,0.0473,0.009,0.0023,9e-04,0.0011,0.0017,0.0015,0.001,8e-04,0.0035,0.0015,0.0053,0.0013,0.0013,8e-04,8e-04,8e-04,7e-04,6e-04,6e-04,9e-04,4e-04,3e-04,2e-04,0.001,7e-04,4e-04,4e-04,5e-04,0.0011,0.0013,0
"DOM_B09",0.0013,8e-04,0.0261,0.0178,1.075,8e-04,5e-04,0.0012,0.0012,0.0154,0.0022,8e-04,0.001,0.0051,0.0061,0.0016,8e-04,0.001,0.0015,0.0012,9e-04,7e-04,0.0063,0.0012,0.0032,0.0011,0.0017,9e-04,0.0015,0.001,8e-04,5e-04,5e-04,6e-04,5e-04,3e-04,2e-04,8e-04,7e-04,4e-04,3e-04,5e-04,7e-04,8e-04,0
"DOM_C10T12",0.0373,0.013,0.0115,0.014,0.0095,1.1408,0.0121,0.0203,0.0142,0.0074,0.0117,0.0366,0.0084,0.013,0.0087,0.0119,0.0125,0.0127,0.0118,0.0122,0.0093,0.0104,0.0084,0.0176,0.0144,0.0257,0.0104,0.0157,0.0237,0.0217,0.0178,0.2151,0.0127,0.0126,0.0111,0.0061,0.0037,0.0184,0.0178,0.0155,0.0226,0.0443,0.0473,0.08,0
"DOM_C13T15",0.0061,0.0051,0.0112,0.0063,0.0075,0.0065,1.1084,0.0187,0.0093,0.0069,0.0087,0.0067,0.0205,0.0138,0.0101,0.0096,0.0131,0.0111,0.0152,0.013,0.0097,0.0279,0.0083,0.0075,0.0109,0.0214,0.0103,0.0053,0.0075,0.0086,0.0069,0.0063,0.0158,0.0056,0.0041,0.0023,0.0041,0.0102,0.0068,0.0125,0.0031,0.0211,0.0055,0.0196,0
"DOM_C16",0.0058,0.0051,0.0032,0.0148,0.0064,0.0043,0.0033,1.1338,0.0205,0.0036,0.0053,0.0055,0.0052,0.0151,0.0089,0.0065,0.0091,0.0078,0.0126,0.0078,0.0125,0.075,0.0059,0.0063,0.0287,0.0114,0.0087,0.0048,0.0085,0.0085,0.0065,0.0035,0.0047,0.0056,0.0038,0.0025,0.0027,0.0062,0.0056,0.0024,0.0021,0.0033,0.0069,0.006,0
"DOM_C17_18",0.0037,0.0049,0.0043,0.0045,0.0039,0.004,0.0044,0.0109,1.0528,0.003,0.0064,0.0067,0.0042,0.0101,0.006,0.0062,0.0108,0.0106,0.0072,0.0077,0.0048,0.0094,0.0049,0.0068,0.005,0.0124,0.0039,0.0028,0.0136,0.006,0.0173,0.0041,0.0304,0.0087,0.0033,0.007,0.0029,0.0058,0.0047,0.0088,0.0233,0.0067,0.0155,0.0057,0
"DOM_C19",0.0596,0.0193,0.0212,0.0442,0.0506,0.0264,0.0123,0.0349,0.0232,1.018,0.0609,0.0179,0.0259,0.0436,0.1019,0.0288,0.015,0.018,0.0276,0.0264,0.0181,0.0175,0.0489,0.0193,0.0365,0.0492,0.0707,0.0392,0.0644,0.02,0.0176,0.0137,0.0121,0.0137,0.0105,0.0068,0.0039,0.0182,0.0159,0.0098,0.0051,0.0117,0.0148,0.0249,0
"DOM_C20",0.0224,0.0146,0.0056,0.0055,0.0135,0.0088,0.0159,0.0168,0.018,0.0052,1.0738,0.0313,0.0763,0.0151,0.0095,0.0124,0.0152,0.0146,0.0132,0.0171,0.0094,0.0174,0.0061,0.0181,0.0113,0.0056,0.0095,0.006,0.0071,0.0049,0.0052,0.0045,0.0103,0.0039,0.0044,0.002,0.0039,0.006,0.0085,0.0022,0.0033,0.0093,0.0044,0.0081,0
"DOM_C21",6e-04,2e-04,1e-04,1e-04,1e-04,3e-04,2e-04,1e-04,1e-04,0,0,1.0151,0,0,1e-04,0,0,0,0,0,1e-04,0,0,1e-04,0,0,0,0,1e-04,1e-04,1e-04,1e-04,0,0,1e-04,0,0,4e-04,1e-04,0,0,0.0223,1e-04,1e-04,0
"DOM_C22",0.0041,0.0051,0.0116,0.0097,0.0115,0.0063,0.01,0.0113,0.0103,0.0064,0.0113,0.0099,1.0895,0.0132,0.0119,0.0192,0.0271,0.0273,0.0285,0.052,0.0126,0.0124,0.0098,0.0069,0.0166,0.01,0.0305,0.0041,0.0077,0.0084,0.0073,0.0038,0.0069,0.0138,0.0045,0.0023,0.0024,0.0081,0.0066,0.0024,0.0018,0.0037,0.0064,0.0063,0
"DOM_C23",0.0032,0.0046,0.0054,0.0074,0.0092,0.0056,0.0035,0.0087,0.0055,0.0049,0.0071,0.011,0.0078,1.0467,0.0175,0.0111,0.0077,0.0105,0.0125,0.0092,0.007,0.008,0.0106,0.0176,0.0826,0.0064,0.0117,0.0067,0.0061,0.0074,0.0069,0.0049,0.0064,0.0099,0.0039,0.0033,0.0031,0.0067,0.0069,0.0051,0.0057,0.0051,0.0147,0.018,0
"DOM_C24",0.0046,0.0042,0.0135,0.0114,0.0208,0.0039,0.0032,0.0096,0.0083,0.0102,0.0119,0.0076,0.0077,0.0205,1.1087,0.1021,0.0307,0.0394,0.092,0.0712,0.0342,0.0154,0.0154,0.0086,0.0432,0.0071,0.0169,0.0246,0.0106,0.0083,0.0061,0.0036,0.0061,0.0241,0.0042,0.0025,0.0022,0.011,0.0095,0.007,0.0028,0.0036,0.0101,0.0074,0
"DOM_C25",0.0119,0.0091,0.0288,0.0293,0.0293,0.0085,0.0069,0.0301,0.0231,0.0442,0.0275,0.0219,0.0239,0.0337,0.0359,1.1134,0.0384,0.0393,0.0716,0.035,0.0265,0.03,0.0392,0.013,0.0468,0.0101,0.0254,0.0142,0.0298,0.0249,0.0083,0.0058,0.008,0.0105,0.0062,0.004,0.003,0.0149,0.0113,0.0071,0.0035,0.0057,0.0129,0.0111,0
"DOM_C26",0.0012,0.0018,0.0016,0.0036,0.0023,0.0015,0.0011,0.0018,0.0027,0.0015,0.0019,0.0018,0.003,0.0024,0.0033,0.0034,1.0254,0.0067,0.006,0.0054,0.0042,0.0034,0.0034,0.0023,0.0036,0.0053,0.0029,0.0018,0.0034,0.0024,0.0022,0.0012,0.002,0.0122,0.0134,0.0027,0.0022,0.0027,0.0021,0.001,7e-04,0.0044,0.0016,0.0022,0
