"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.1671,0.0069,6e-04,4e-04,0.0029,0.297,0.0244,0.1889,0.046,0.0023,0.0036,0.0044,0.009,0.0043,0.0022,0.0029,0.0017,0.0023,0.002,0.0023,0.0017,0.0144,0.0035,0.0021,0.0044,0.0041,0.0018,0.0048,0.0031,0.0059,0.0017,0.0578,0.0056,0.0012,0.0012,0.0043,0.0015,0.0016,0.0011,0.0105,0.0047,0.0093,0.0038,0.015,0
"DOM_A03",0.0018,1.0122,1e-04,0,3e-04,0.0139,3e-04,6e-04,3e-04,2e-04,2e-04,2e-04,2e-04,3e-04,2e-04,3e-04,2e-04,2e-04,2e-04,2e-04,1e-04,2e-04,2e-04,1e-04,2e-04,3e-04,2e-04,7e-04,3e-04,4e-04,1e-04,0.0081,3e-04,1e-04,1e-04,2e-04,1e-04,1e-04,1e-04,5e-04,3e-04,6e-04,2e-04,4e-04,0
"DOM_B05_06",0.0191,0.0515,1.0173,0.0076,0.0682,0.0203,0.0172,0.0272,0.0271,0.3384,0.06,0.01,0.0321,0.0429,0.0535,0.0299,0.0127,0.0242,0.0192,0.0193,0.014,0.0244,0.1846,0.0331,0.0215,0.0278,0.0415,0.0518,0.0724,0.0317,0.015,0.015,0.0093,0.0098,0.0053,0.0061,0.0096,0.0082,0.0063,0.0131,0.0114,0.0102,0.0148,0.0134,0
"DOM_B07_08",0.0011,0.001,0.001,1.0014,0.0055,0.0016,0.0015,0.0019,0.0022,0.0017,0.0098,0.0013,0.0052,0.0235,0.0243,0.0096,0.0019,0.0069,0.0044,0.0031,0.0027,0.0168,0.0014,0.0058,0.0079,8e-04,0.0013,0.0015,0.0018,0.0036,6e-04,0.001,9e-04,5e-04,4e-04,2e-04,9e-04,8e-04,4e-04,0.001,7e-04,8e-04,0.001,0.002,0
"DOM_B09",0.01,0.0323,0.1101,0.0041,1.7605,0.01,0.0082,0.0136,0.0121,0.2535,0.0313,0.0054,0.0175,0.019,0.0178,0.0127,0.0068,0.0104,0.0095,0.0087,0.0065,0.013,0.034,0.0136,0.0167,0.0103,0.0232,0.037,0.0473,0.0198,0.0081,0.0071,0.006,0.0049,0.0035,0.0027,0.0042,0.0072,0.0047,0.0074,0.0043,0.0048,0.0065,0.0066,0
"DOM_C10T12",0.0466,0.0133,5e-04,4e-04,0.0028,1.1267,0.0076,0.0103,0.0053,0.0033,0.0042,0.0039,0.0039,0.0032,0.0023,0.0029,0.0021,0.0024,0.0023,0.0025,0.0017,0.0035,0.0024,0.0021,0.0023,0.005,0.0018,0.0037,0.0037,0.0048,0.0013,0.1002,0.0031,0.0011,0.0014,0.0042,8e-04,0.0018,0.0011,0.0105,0.0067,0.0143,0.0035,0.0085,0
"DOM_C13T15",6e-04,0.0042,2e-04,2e-04,0.0013,0.0012,1.0732,0.001,0.0011,6e-04,8e-04,6e-04,0.0041,0.0013,8e-04,9e-04,8e-04,8e-04,0.0011,0.0018,9e-04,0.0062,7e-04,7e-04,0.0014,5e-04,6e-04,0.0011,6e-04,8e-04,0.0021,0.0017,5e-04,4e-04,2e-04,2e-04,3e-04,5e-04,3e-04,0.0019,5e-04,0.0014,0.0012,0.0029,0
"DOM_C16",0.0015,0.0011,4e-04,3e-04,0.0022,0.0019,9e-04,1.0683,0.0079,0.001,0.0017,0.001,0.0014,0.0069,0.0016,0.0031,9e-04,0.0021,0.0015,0.0014,0.0015,0.0398,0.0012,0.0013,0.0104,0.001,0.0013,0.0015,0.0012,0.0032,9e-04,0.0013,0.0018,8e-04,6e-04,4e-04,0.0033,7e-04,5e-04,0.0013,9e-04,9e-04,0.0015,0.0041,0
"DOM_C17_18",0.0056,0.0078,7e-04,5e-04,0.0034,0.0269,0.0071,0.0206,1.1779,0.0029,0.0075,0.0093,0.0108,0.0129,0.0028,0.0051,0.0038,0.0051,0.0038,0.0041,0.0024,0.0113,0.0027,0.0045,0.0042,0.0095,0.0021,0.0032,0.003,0.0042,0.0074,0.0129,0.0944,0.0033,0.0056,0.0072,0.0027,0.0068,0.0029,0.0072,0.0032,0.0032,0.0046,0.0185,0
"DOM_C19",0.0336,0.1247,0.0133,0.0121,0.0686,0.0277,0.0223,0.042,0.0342,1.1455,0.1161,0.0141,0.0583,0.05,0.0488,0.0315,0.0141,0.0266,0.0218,0.0215,0.0158,0.0316,0.0589,0.0354,0.0341,0.0261,0.0666,0.1217,0.1766,0.0638,0.0257,0.0151,0.0114,0.0098,0.006,0.0053,0.0072,0.0097,0.0094,0.0191,0.0078,0.0107,0.0106,0.0158,0
"DOM_C20",0.0218,0.0055,0.0028,0.0017,0.0195,0.0203,0.0465,0.0401,0.0516,0.0125,1.083,0.0167,0.2119,0.0389,0.0147,0.0228,0.0122,0.026,0.0169,0.0203,0.0098,0.0291,0.0052,0.0117,0.015,0.0055,0.0047,0.0058,0.006,0.0073,0.0028,0.0081,0.01,0.0022,0.0024,0.0016,0.0037,0.0053,0.0033,0.0039,0.0026,0.0106,0.0049,0.0114,0
"DOM_C21",0.0016,2e-04,0,0,2e-04,9e-04,3e-04,4e-04,2e-04,2e-04,7e-04,1.1406,3e-04,2e-04,2e-04,2e-04,2e-04,2e-04,1e-04,2e-04,8e-04,2e-04,2e-04,1e-04,1e-04,2e-04,1e-04,1e-04,2e-04,2e-04,2e-04,3e-04,2e-04,1e-04,1e-04,1e-04,2e-04,5e-04,1e-04,0.0019,7e-04,0.0227,4e-04,3e-04,0
"DOM_C22",0.0042,0.0047,0.0014,0.0014,0.0061,0.0134,0.0058,0.01,0.0117,0.0031,0.0084,0.0057,1.0388,0.0097,0.0035,0.0119,0.0073,0.0154,0.0138,0.0281,0.0049,0.0254,0.0037,0.0051,0.0237,0.006,0.0039,0.0026,0.0034,0.0057,0.0031,0.0065,0.0034,0.0019,0.002,0.0012,0.006,0.0024,0.0014,0.0029,0.0022,0.0028,0.0026,0.0043,0
"DOM_C23",0.0027,0.0025,0.0021,0.0015,0.0099,0.0084,0.0035,0.0064,0.0039,0.0039,0.0048,0.0083,0.0118,1.11,0.0148,0.0146,0.0051,0.0132,0.0101,0.0131,0.0052,0.0125,0.0053,0.0109,0.0785,0.003,0.0049,0.0085,0.0045,0.0123,0.0021,0.0064,0.0023,0.0022,0.0017,0.0011,0.0088,0.0034,0.002,0.0063,0.0046,0.0043,0.0056,0.0074,0
"DOM_C24",0.0072,0.0124,0.0089,0.006,0.0571,0.0146,0.0079,0.0151,0.019,0.0149,0.017,0.0057,0.02,0.0464,1.272,0.3624,0.0544,0.2742,0.1507,0.0912,0.0731,0.1253,0.0191,0.1793,0.0778,0.0078,0.0144,0.0158,0.0134,0.0204,0.0062,0.0085,0.0092,0.0071,0.005,0.0028,0.0093,0.0125,0.0054,0.0103,0.0065,0.0068,0.0084,0.0147,0
"DOM_C25",0.0087,0.0139,0.0051,0.005,0.0325,0.0183,0.0094,0.0183,0.0127,0.0096,0.0121,0.0048,0.0139,0.0322,0.0135,1.0956,0.028,0.0302,0.1011,0.0627,0.0444,0.0562,0.0168,0.0132,0.0824,0.0079,0.0096,0.0134,0.0098,0.0172,0.0041,0.0092,0.0053,0.0048,0.0035,0.0026,0.0092,0.0095,0.0051,0.0087,0.0057,0.0055,0.007,0.0102,0
"DOM_C26",0.0014,0.0028,0.0012,6e-04,0.0072,0.0025,0.0019,0.0021,0.0054,0.0028,0.0027,0.0023,0.0023,0.0029,0.0031,0.0046,1.1326,0.0091,0.0073,0.0052,0.0144,0.0121,0.0031,0.0028,0.004,0.0033,0.0028,0.0031,0.004,0.004,0.0041,0.0022,0.0193,0.0217,0.0225,0.0041,0.0013,0.0179,0.0026,0.0037,0.0022,0.0077,0.0052,0.0087,0
"DOM_C27",0.0019,0.0021,0.0026,0.0011,0.0148,0.0024,0.0018,0.0027,0.003,0.0045,0.0038,0.0012,0.0028,0.0061,0.006,0.0092,0.0204,1.0593,0.0228,0.0161,0.0147,0.014,0.0113,0.0043,0.013,0.0033,0.0069,0.0075,0.0079,0.0101,0.0019,0.0025,0.0037,0.0067,0.0038,0.0016,0.0026,0.0075,0.0015,0.0033,0.0017,0.0017,0.0029,0.0057,0
"DOM_C28",0.0059,0.0087,0.0031,0.0031,0.018,0.0059,0.0038,0.0074,0.0086,0.0061,0.0058,0.0023,0.0058,0.0098,0.0104,0.0126,0.0092,0.0123,1.0286,0.0105,0.013,0.0154,0.0064,0.008,0.0095,0.0034,0.0056,0.0082,0.0062,0.008,0.004,0.0033,0.005,0.0035,0.0026,0.001,0.0026,0.0036,0.0017,0.0027,0.0017,0.0026,0.0025,0.0047,0
