"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.0884,0.0146,9e-04,9e-04,0.0167,0.3208,0.043,0.0061,0.0079,0.0013,0.0061,0.0044,0.0145,0.0032,0.0037,0.0023,0.0019,0.0018,0.002,0.0035,0.0044,0.0036,0.0024,0.0055,0.003,0.0254,0.003,0.0101,0.0018,0.0028,0.0028,0.0475,0.0109,0.0014,8e-04,3e-04,9e-04,0.0027,0.0025,0.0056,0.0029,0.0048,0.0256,0.0044,0
"DOM_A03",0.0019,1.0001,0,0,1e-04,0.0018,1e-04,0,0,0,1e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,2e-04,1e-04,0,0,0,1e-04,0,0.0033,0,0,0,0,0,0,0,1e-04,1e-04,3e-04,1e-04,0,0
"DOM_B05_06",0.0013,0.0021,1.0004,0.0022,0.0027,0.0084,0.0093,0.0083,0.009,0.1516,0.0069,0.0017,0.0108,0.0097,0.014,0.0118,0.0048,0.0089,0.0078,0.0107,0.0148,0.0069,0.0509,0.002,0.0042,0.0013,0.003,0.0065,0.0085,0.0027,0.0033,0.002,0.0039,0.0033,8e-04,2e-04,3e-04,9e-04,7e-04,0.0016,9e-04,0.0017,0.0019,0.0016,0
"DOM_B07_08",9e-04,0.0048,2e-04,1.0067,0.0015,0.0017,0.0012,0.001,0.0026,3e-04,0.0189,0.0035,0.003,0.0881,0.0487,0.0091,0.0025,0.0053,0.005,0.0061,0.0073,0.0031,0.0037,0.0078,0.0201,9e-04,4e-04,8e-04,9e-04,0.0016,0.0034,0.0013,0.002,0.002,3e-04,2e-04,9e-04,6e-04,3e-04,7e-04,5e-04,0.0015,0.0014,0.0012,0
"DOM_B09",0,0,0,0,1,1e-04,1e-04,0,0,0.0021,1e-04,0,1e-04,1e-04,1e-04,1e-04,0,0,0,1e-04,1e-04,0,1e-04,0,0,0,0,1e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_C10T12",0.0341,0.015,4e-04,2e-04,0.0089,1.055,0.0177,7e-04,0.0014,5e-04,0.0022,0.0016,0.0011,7e-04,8e-04,4e-04,4e-04,3e-04,4e-04,5e-04,8e-04,8e-04,0.0037,0.0062,0.0014,0.0022,5e-04,0.0092,0.0015,0.0027,9e-04,0.0627,0.0093,8e-04,0.0021,4e-04,0.002,0.0035,0.0049,0.0028,0.0021,0.0045,0.0043,0.0069,0
"DOM_C13T15",3e-04,0.0058,1e-04,1e-04,7e-04,6e-04,1.0794,7e-04,0.0019,1e-04,0.0012,7e-04,0.0028,6e-04,6e-04,2e-04,6e-04,3e-04,4e-04,0.0019,0.0011,0.004,2e-04,0.0018,8e-04,7e-04,2e-04,0.0013,0.0026,5e-04,0.0041,0.003,0.0011,0.0015,1e-04,1e-04,1e-04,7e-04,5e-04,0.0011,3e-04,0.0019,0.0026,0.0036,0
"DOM_C16",0.0014,0.0047,1e-04,0.0016,0.001,0.0034,0.0053,1.1488,0.0123,3e-04,0.0013,7e-04,0.0016,0.0035,0.0013,0.0014,0.0011,0.0012,8e-04,8e-04,0.0028,0.0301,6e-04,0.0013,0.0112,0.001,5e-04,0.0013,0.0011,0.0044,0.0014,0.0036,0.0023,6e-04,2e-04,2e-04,5e-04,0.001,5e-04,6e-04,4e-04,0.0015,0.0032,0.0082,0
"DOM_C17_18",0.0033,0.003,4e-04,0.0016,0.0034,0.0209,0.0136,0.0184,1.1856,0.0024,0.0173,0.0135,0.0107,0.0098,0.003,0.0023,0.0066,0.003,0.0028,0.0029,0.0053,0.0101,0.0043,0.0116,0.0028,0.0042,0.0016,0.0034,0.0036,0.0057,0.0224,0.0061,0.1056,0.0092,0.0035,0.0033,0.0011,0.0243,0.0074,0.0154,0.0071,0.0066,0.0223,0.014,0
"DOM_C19",0.0038,0.0095,6e-04,0.0047,0.0053,0.0025,0.0024,0.0037,0.0025,1.0891,0.0188,0.0042,0.0039,0.0048,0.0034,0.0014,9e-04,0.001,0.0013,0.0013,0.0023,0.0025,0.0198,0.0041,0.0018,0.0019,0.0139,0.0329,0.0437,0.0053,0.0034,0.003,0.0014,0.0013,2e-04,2e-04,2e-04,8e-04,6e-04,0.0028,0.002,0.0029,0.0016,0.0025,0
