"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.1123,0.0027,0.0022,0.0018,0.0038,0.2727,0.0288,0.0497,0.0011,8e-04,0.0016,0.0079,0.0016,0.0019,0.0016,0.002,0.0017,0.0013,0.0031,0.001,0.006,0.0088,0.0028,0.0015,0.0028,0.009,0.0162,0.0028,0.002,0.0048,8e-04,0.2251,7e-04,0.0017,0.0013,0.0025,3e-04,0.0015,0.0014,0.007,0.0025,0.0165,0.0067,0.0073,0
"DOM_A03",0.0026,1.0741,3e-04,3e-04,5e-04,0.0702,9e-04,4e-04,3e-04,1e-04,2e-04,0.0018,2e-04,3e-04,3e-04,3e-04,5e-04,4e-04,5e-04,1e-04,3e-04,3e-04,4e-04,2e-04,5e-04,5e-04,6e-04,4e-04,4e-04,6e-04,1e-04,0.0278,1e-04,3e-04,2e-04,3e-04,0,2e-04,2e-04,0.0015,4e-04,0.0017,7e-04,8e-04,0
"DOM_B05_06",0.0022,0.0013,1.0271,0.0063,0.0017,0.0019,4e-04,5e-04,5e-04,0.0239,0.046,0.003,0.0088,0.0202,0.0047,7e-04,2e-04,2e-04,9e-04,4e-04,2e-04,0.0012,0.0048,0.0015,0.0121,3e-04,0.0014,0.001,9e-04,9e-04,1e-04,0.0011,2e-04,2e-04,2e-04,3e-04,1e-04,3e-04,5e-04,2e-04,1e-04,7e-04,4e-04,5e-04,0
"DOM_B07_08",0.0039,0.0027,0.005,1.01,0.0032,0.0034,0.001,0.0061,0.0016,0.0011,0.0839,0.0135,0.0162,0.0415,0.7529,0.0534,5e-04,0.0114,0.0027,0.0035,0.0051,0.1547,0.0016,0.0046,0.0556,7e-04,0.0013,0.0022,0.0027,0.0038,4e-04,0.0023,7e-04,0.001,0.0019,0.0019,5e-04,0.0028,0.0016,0.0021,0.0022,0.0035,0.0076,0.0237,0
"DOM_B09",1e-04,1e-04,0.0178,0.027,1.0036,1e-04,0,2e-04,1e-04,4e-04,0.003,4e-04,6e-04,0.0015,0.0201,0.0014,0,3e-04,1e-04,1e-04,1e-04,0.0041,1e-04,1e-04,0.0025,0,1e-04,1e-04,1e-04,1e-04,0,1e-04,0,0,1e-04,1e-04,0,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,6e-04,0
"DOM_C10T12",0.0389,0.0069,0.0022,0.0017,0.0043,1.0787,0.0117,0.0031,0.0012,9e-04,0.0014,0.0245,9e-04,0.0018,0.0016,0.0012,0.0022,0.0016,0.0024,9e-04,0.0011,0.0015,0.0027,0.0014,0.0021,0.0073,0.0068,0.0027,0.002,0.0064,7e-04,0.2067,7e-04,0.0016,0.0011,0.0023,3e-04,0.0013,0.0013,0.0079,0.0022,0.0151,0.0069,0.0073,0
"DOM_C13T15",0.0012,1e-04,1e-04,2e-04,3e-04,4e-04,1.1095,0.0111,1e-04,1e-04,1e-04,2e-04,4e-04,1e-04,1e-04,3e-04,1e-04,0,0.0436,1e-04,0.0016,0.0029,1e-04,2e-04,3e-04,1e-04,1e-04,3e-04,3e-04,4e-04,0,0.0033,1e-04,2e-04,1e-04,2e-04,0,1e-04,0.0012,0.0016,0.0016,0.0017,0.0025,0.0037,0
"DOM_C16",4e-04,0.002,0.0021,0.0015,0.0119,0.0041,0.0018,1.0812,0.0013,9e-04,0.0014,0.0021,0.0177,0.0014,0.0016,0.0235,0.002,3e-04,0.002,0.0028,0.0967,0.0616,0.001,0.0023,0.0171,0.0013,0.0011,0.0022,0.0011,0.0249,6e-04,0.0013,6e-04,7e-04,0.0012,9e-04,3e-04,0.0016,7e-04,9e-04,0.001,0.0014,0.0015,0.0016,0
"DOM_C17_18",0.0012,0.0027,0.0033,0.0037,0.0125,0.0071,0.0018,0.0028,1.1019,0.0028,0.0086,0.0161,0.0047,0.0224,0.0029,0.0017,0.005,0.0014,0.0108,0.0095,0.0013,0.0024,0.003,0.0115,0.0067,0.0051,0.0051,0.0087,0.0327,0.0117,0.0032,0.0061,0.0502,0.0081,0.0269,0.0202,0.0019,0.0085,0.0095,0.0094,0.0146,0.0106,0.0178,0.0153,0
"DOM_C19",0.004,0.0441,0.0071,0.0106,0.0158,0.0097,0.0052,0.0048,0.0033,1.0021,0.0302,0.0104,0.0105,0.0275,0.0082,0.0036,0.0036,0.0032,0.008,0.0054,0.0021,0.0041,0.1201,0.0165,0.0174,0.0048,0.0475,0.0364,0.0244,0.0135,0.0021,0.0075,0.0035,0.0044,0.0037,0.0055,0.0013,0.0046,0.0054,0.0045,0.0013,0.0077,0.0055,0.0058,0
"DOM_C20",0.053,0.0064,0.0121,0.0091,0.0114,0.0228,0.0046,0.0051,0.009,0.0096,1.1788,0.0559,0.2213,0.0444,0.0069,0.0038,0.0012,8e-04,0.0171,0.0046,0.0012,0.0052,0.0025,0.0143,0.0247,0.0024,0.0055,0.0039,0.008,0.0101,9e-04,0.0168,0.0016,0.0022,0.0022,0.0025,6e-04,0.0025,0.0088,0.0019,9e-04,0.0097,0.0032,0.0049,0
"DOM_C21",1e-04,0,0,0,0,1e-04,0,0,0,0,0,1.0207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-04,0,0,1e-04,0.0052,2e-04,2e-04,0
"DOM_C22",0.0026,0.0084,0.001,0.0013,0.0029,0.0184,0.0053,0.0069,0.0024,7e-04,0.0126,0.011,1.0535,0.0036,0.0011,0.0045,5e-04,5e-04,0.0537,0.0098,0.0016,0.0063,0.0022,0.0072,0.0027,0.0021,0.0012,0.0043,0.002,0.003,5e-04,0.0048,7e-04,0.0033,0.0032,0.0015,2e-04,0.0016,0.0024,7e-04,5e-04,0.0027,0.0014,0.0018,0
"DOM_C23",5e-04,4e-04,7e-04,5e-04,0.0015,8e-04,5e-04,0.0043,5e-04,3e-04,0.0088,0.03,0.002,1.0528,4e-04,0.0023,2e-04,1e-04,5e-04,5e-04,5e-04,0.0012,4e-04,9e-04,0.1629,4e-04,3e-04,2e-04,2e-04,0.0019,1e-04,0.001,3e-04,4e-04,3e-04,5e-04,0.0016,4e-04,5e-04,2e-04,2e-04,0.0011,8e-04,7e-04,0
