"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.0017,2e-04,0,0,0,0.0041,0.0018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0.0024,1e-04,0,0,0,0,1e-04,1e-04,1e-04,0,0,1e-04,1e-04,0
"DOM_A03",1e-04,1.0526,0,0,0,9e-04,6e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0.0022,0,0,0,0,0,0,0,1e-04,0,0,2e-04,2e-04,0
"DOM_B05_06",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B07_08",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B09",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_C10T12",0.09,0.0436,0,0,0,1.193,0.0079,0.0012,0.0019,4e-04,0.0012,0.0045,0.0011,9e-04,0.001,0.001,0.0011,0.0014,9e-04,0.0013,4e-04,0.0012,4e-04,0.0018,8e-04,0.001,6e-04,0.0055,0.0011,0.0011,0.0054,0.0969,0.0018,9e-04,0.0011,0.0021,7e-04,0.0017,0.0028,0.004,0.001,0.0026,0.0048,0.0077,0
"DOM_C13T15",2e-04,8e-04,0,0,0,3e-04,1.0994,6e-04,0.0012,1e-04,3e-04,1e-04,7e-04,2e-04,6e-04,2e-04,4e-04,4e-04,2e-04,6e-04,1e-04,0.0013,2e-04,8e-04,4e-04,7e-04,0.0015,3e-04,2e-04,4e-04,4e-04,8e-04,5e-04,5e-04,1e-04,1e-04,2e-04,5e-04,4e-04,5e-04,2e-04,5e-04,0.0012,0.0019,0
"DOM_C16",1e-04,1e-04,0,0,0,1e-04,1e-04,1.0865,1e-04,0,0,0,1e-04,0.0022,1e-04,1e-04,2e-04,1e-04,2e-04,2e-04,1e-04,0.008,0,2e-04,0.0035,0,0,1e-04,0,2e-04,1e-04,1e-04,2e-04,1e-04,0,0,2e-04,2e-04,1e-04,2e-04,1e-04,2e-04,1e-04,4e-04,0
"DOM_C17_18",0.0026,0.003,0,0,0,0.0066,0.005,0.0036,1.0854,0.001,0.0017,0.0011,0.0044,0.0024,0.0026,0.0037,0.0028,0.0069,0.0026,0.004,7e-04,0.0034,0.0011,0.0055,0.0017,0.0092,0.002,0.0013,0.0012,0.0028,0.0098,0.0044,0.0274,0.0059,0.0029,0.0048,0.0018,0.0087,0.0035,0.0036,0.0046,0.0025,0.0057,0.0053,0
"DOM_C19",0.0124,0.0195,0,0,0,0.01,0.0118,0.0087,0.0104,1.0409,0.0591,0.0044,0.0218,0.0127,0.0083,0.0084,0.0093,0.0158,0.0065,0.0083,0.0031,0.009,0.0233,0.0226,0.0155,0.0164,0.0601,0.0942,0.0862,0.0118,0.0062,0.0076,0.0098,0.0038,0.0039,0.0025,0.0025,0.0056,0.0102,0.0087,0.0026,0.0051,0.0037,0.01,0
"DOM_C20",0.0433,0.0339,0,0,0,0.0286,0.0335,0.0258,0.1213,0.0052,1.2877,0.0532,0.3652,0.0842,0.0256,0.0417,0.0712,0.1185,0.0233,0.0232,0.0051,0.061,0.0073,0.0635,0.0477,0.0232,0.0066,0.0108,0.0041,0.0221,0.0189,0.0152,0.0954,0.0215,0.0108,0.0066,0.01,0.0498,0.019,0.0394,0.0152,0.0591,0.0177,0.0913,0
"DOM_C21",0.0085,0.0066,0,0,0,0.0027,6e-04,4e-04,6e-04,2e-04,0.0021,1.0927,9e-04,5e-04,0.0019,5e-04,5e-04,6e-04,3e-04,4e-04,1e-04,0.0037,2e-04,7e-04,4e-04,3e-04,2e-04,8e-04,3e-04,0.001,3e-04,7e-04,5e-04,3e-04,3e-04,2e-04,3e-04,0.0016,6e-04,0.0109,4e-04,0.0874,0.001,0.0113,0
"DOM_C22",0.004,0.0022,0,0,0,0.0033,0.0026,0.0018,0.0057,3e-04,0.001,8e-04,1.0276,0.001,0.0012,0.0021,0.0032,0.0101,0.0019,0.0073,4e-04,0.0146,3e-04,0.0019,0.0026,0.0028,0.0015,9e-04,4e-04,0.0041,0.0022,0.002,0.0046,0.002,7e-04,7e-04,5e-04,0.0018,0.0011,0.0011,0.0014,9e-04,0.0017,0.0033,0
"DOM_C23",0.0011,5e-04,0,0,0,0.001,7e-04,0.0016,8e-04,2e-04,8e-04,4e-04,0.0011,1.0747,6e-04,0.0017,0.0035,0.0012,0.001,0.0033,5e-04,9e-04,3e-04,0.0018,0.0217,5e-04,2e-04,2e-04,2e-04,2e-04,7e-04,7e-04,6e-04,8e-04,6e-04,2e-04,0.0011,0.0014,3e-04,0.0017,7e-04,4e-04,4e-04,0.0021,0
"DOM_C24",4e-04,2e-04,0,0,0,6e-04,5e-04,0.0031,0.0025,1e-04,4e-04,1e-04,6e-04,7e-04,1.0999,0.0566,0.0019,0.0287,0.0152,0.0064,0.0045,0.0116,3e-04,7e-04,0.0084,3e-04,1e-04,3e-04,2e-04,3e-04,2e-04,3e-04,4e-04,4e-04,2e-04,1e-04,5e-04,0.0011,7e-04,0.0013,1e-04,2e-04,3e-04,6e-04,0
"DOM_C25",0.0025,0.0018,0,0,0,0.0068,0.0016,0.0037,0.0033,4e-04,0.0013,6e-04,0.0048,0.0029,0.0081,1.0644,0.0075,0.0373,0.0251,0.0353,0.0053,0.0079,0.001,0.0059,0.0275,0.0022,6e-04,7e-04,5e-04,0.0013,0.001,0.0019,0.0025,0.0016,0.0014,5e-04,0.0021,0.0066,0.0018,0.012,7e-04,7e-04,0.0015,0.0028,0
"DOM_C26",0.006,0.0066,0,0,0,0.0096,0.0116,0.0084,0.0102,0.0036,0.0056,0.0034,0.0086,0.0066,0.0075,0.0135,1.2393,0.0291,0.0146,0.0283,0.0044,0.0298,0.0036,0.0112,0.0069,0.0148,0.0028,0.0036,0.0035,0.0057,0.0126,0.0068,0.0247,0.0415,0.0503,0.0042,0.0032,0.0205,0.0064,0.0228,0.008,0.0059,0.0128,0.0212,0
"DOM_C27",3e-04,3e-04,0,0,0,5e-04,4e-04,4e-04,5e-04,1e-04,2e-04,1e-04,6e-04,3e-04,4e-04,0.0011,0.0022,1.0535,0.0013,0.0041,7e-04,8e-04,7e-04,8e-04,0.0014,4e-04,4e-04,1e-04,1e-04,3e-04,7e-04,3e-04,9e-04,0.0045,0.0016,3e-04,2e-04,8e-04,5e-04,7e-04,5e-04,2e-04,0.0012,0.0025,0
"DOM_C28",0.0028,0.0023,0,0,0,0.0035,0.003,0.0031,0.0079,9e-04,0.0021,0.0013,0.007,0.0034,0.0056,0.0106,0.017,0.017,1.1319,0.0782,0.0172,0.0095,0.0022,0.0063,0.014,0.0023,0.0017,0.0034,0.0011,0.0056,0.0022,0.0021,0.0074,0.0037,0.0017,7e-04,0.0023,0.0081,0.0058,0.0064,0.001,0.0011,0.0023,0.0149,0
"DOM_C29",0,0,0,0,0,0,4e-04,0,0,0,0,0,0,0,0,0,2e-04,2e-04,3e-04,1.0016,0,1e-04,0,1e-04,1e-04,0,3e-04,0,0,0,0,0,0,1e-04,0,0,0,1e-04,0,1e-04,0,0,0,1e-04,0
"DOM_C30",0.0021,0.0048,0,0,0,0.0024,0.0029,0.0025,0.0019,0.002,0.0017,0.0013,0.0021,0.0022,0.0025,0.0031,0.0032,0.008,0.0172,0.0165,1.1926,0.0021,0.0011,0.0029,0.0028,0.0044,0.0018,0.0378,0.0361,0.0127,0.0021,0.002,0.0022,0.0015,0.0011,9e-04,0.0012,0.0026,0.0118,0.0353,0.001,0.0011,0.0015,0.0026,0
"DOM_C31T33",6e-04,7e-04,0,0,0,5e-04,6e-04,6e-04,0.0015,1e-04,3e-04,9e-04,6e-04,4e-04,0.0032,0.001,0.0013,8e-04,5e-04,8e-04,4e-04,1.066,5e-04,0.0012,0.0029,9e-04,7e-04,4e-04,2e-04,0.002,0.0039,0.001,0.0029,0.0041,6e-04,7e-04,0.0041,0.0061,0.0019,0.0018,0.0012,0.0063,0.004,0.003,0
"DOM_D",0.0438,0.0251,0,0,0,0.0203,0.0125,0.0145,0.0249,0.0041,0.0372,0.0064,0.0402,0.0241,0.0726,0.0309,0.0267,0.0372,0.0181,0.0288,0.0066,0.0147,1.5859,0.1303,0.0081,0.0079,0.0115,0.003,0.0056,0.0098,0.0087,0.0448,0.0094,0.0164,0.0056,0.0061,0.019,0.0081,0.0046,0.0183,0.0163,0.0168,0.0185,0.027,0
"DOM_E",0.0199,0.015,0,0,0,0.0056,0.0043,0.0034,0.0075,6e-04,0.0034,0.0011,0.004,0.0131,0.0135,0.006,0.0042,0.0069,0.0037,0.0089,0.0024,0.0025,0.0087,1.1624,0.0032,0.0028,0.0024,0.0011,0.0016,0.0016,0.0072,0.0139,0.0025,0.0063,0.0018,0.0024,0.017,0.0032,0.0015,0.019,0.0073,0.0052,0.008,0.0107,0
