"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.3012,0.186,0.0094,0.0379,0.0128,0.2474,0.0229,0.4139,0.0977,0.0095,0.0182,0.0275,0.0149,0.0212,0.0132,0.0121,0.0119,0.0134,0.0122,0.0062,0.0168,0.0336,0.0491,0.0254,0.0265,0.0359,0.0248,0.0334,0.0342,0.0144,0.007,0.0372,0.0249,0.0059,0.0137,0.0114,0.0031,0.0267,0.0239,0.0279,0.0087,0.0139,0.0112,0.0371,0
"DOM_A03",0,1.0107,0.0019,0.0011,0,2e-04,0,0,0,0,0,0,0,1e-04,1e-04,0,0,0,0,0,0,0,1e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-04,0
"DOM_B05_06",0.0062,0.0037,1.0081,0.0079,0.0025,0.0042,0.0024,0.0054,0.0089,0.0155,0.0104,0.0045,0.0032,0.0113,0.0289,0.0078,0.0036,0.0055,0.0075,0.0027,0.0068,0.0046,0.0288,0.0066,0.0052,0.0029,0.0061,0.0032,0.0037,0.0028,0.0013,0.0029,0.003,0.0014,0.0013,0.0019,0.0015,0.0023,0.0019,0.0016,0.0046,0.0022,0.0019,0.0032,0
"DOM_B07_08",0.0062,0.0038,0.0045,1.0757,0.0055,0.0069,0.0021,0.0052,0.009,0.013,0.0063,0.0047,0.0045,0.0561,0.0258,0.0081,0.0045,0.007,0.0074,0.0027,0.0064,0.0053,0.0043,0.0105,0.0336,0.0036,0.005,0.004,0.0056,0.0071,0.0014,0.0029,0.003,0.0015,0.0019,0.0016,6e-04,0.0035,0.0036,0.0018,0.0012,0.0018,0.0017,0.0052,0
"DOM_B09",1e-04,1e-04,2e-04,0.0021,1.0103,1e-04,0,1e-04,1e-04,0.0011,1e-04,1e-04,1e-04,3e-04,2e-04,1e-04,0,1e-04,1e-04,0,1e-04,0,2e-04,1e-04,2e-04,0,1e-04,1e-04,1e-04,1e-04,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,1e-04,0
"DOM_C10T12",0.1025,0.1871,0.0027,0.0085,0.0044,1.2168,0.0092,0.0356,0.0186,0.0034,0.0148,0.0201,0.0064,0.006,0.005,0.0049,0.0051,0.0046,0.005,0.0024,0.0047,0.006,0.0071,0.0052,0.007,0.0249,0.0061,0.0166,0.0139,0.0064,0.0026,0.0796,0.0093,0.0025,0.006,0.0156,9e-04,0.0168,0.0154,0.0098,0.0078,0.0207,0.0068,0.0249,0
"DOM_C13T15",0.0029,0.0019,0.0011,0.0036,0.0015,0.0028,1.2561,0.0023,0.0048,0.0011,0.007,0.0074,0.0123,0.003,0.0018,0.0018,0.0027,0.0023,0.0024,0.0015,0.0023,0.0034,0.0033,0.003,0.0031,0.0035,0.0021,0.0058,0.0027,0.002,0.0013,0.0147,0.0027,0.001,0.0012,0.0051,4e-04,0.0023,0.0022,0.0065,0.0016,0.0025,0.0021,0.0049,0
"DOM_C16",0.005,0.0055,0.0015,0.0114,0.004,0.0057,0.0033,1.1184,0.0052,0.0019,0.0035,0.0047,0.0032,0.0082,0.0034,0.0052,0.0039,0.0055,0.0038,0.0017,0.0038,0.0538,0.01,0.0058,0.0278,0.0059,0.0063,0.0063,0.0071,0.0041,0.0016,0.0033,0.0035,0.0016,0.0022,0.002,9e-04,0.0105,0.0079,0.0019,0.0019,0.0021,0.0022,0.0067,0
"DOM_C17_18",0.0121,0.0138,0.0022,0.0117,0.007,0.0441,0.0126,0.0163,1.1944,0.0044,0.0157,0.0212,0.0149,0.0228,0.0073,0.0074,0.0214,0.0092,0.0085,0.004,0.0062,0.0107,0.0079,0.0072,0.0101,0.0208,0.029,0.0159,0.0172,0.0244,0.02,0.0138,0.1909,0.0141,0.0368,0.021,0.0016,0.0239,0.0211,0.013,0.0109,0.0075,0.031,0.0269,0
"DOM_C19",0.0433,0.0174,0.0078,0.0326,0.0211,0.0228,0.0134,0.0244,0.0224,1.0931,0.0403,0.0258,0.0325,0.033,0.0783,0.0228,0.0133,0.0235,0.0213,0.0092,0.0212,0.0179,0.0268,0.0277,0.0367,0.0141,0.0444,0.0334,0.1056,0.0188,0.0088,0.0095,0.0118,0.0057,0.0078,0.0104,0.0027,0.0112,0.0127,0.0141,0.0054,0.0104,0.008,0.0177,0
"DOM_C20",0.0736,0.0144,0.0053,0.0217,0.0107,0.0242,0.0191,0.0367,0.034,0.0347,1.1689,0.0965,0.1251,0.0193,0.0266,0.0141,0.0148,0.0272,0.0145,0.0069,0.0161,0.014,0.0092,0.0113,0.0139,0.0079,0.0108,0.0157,0.0133,0.0058,0.0028,0.0084,0.0149,0.0026,0.004,0.0075,9e-04,0.0107,0.008,0.0048,0.0045,0.0242,0.0051,0.0206,0
"DOM_C21",0.0044,9e-04,3e-04,0.0014,6e-04,0.0016,9e-04,0.0022,0.0016,0.0018,0.0063,1.0689,0.0054,0.001,9e-04,7e-04,8e-04,0.0011,8e-04,4e-04,6e-04,8e-04,6e-04,6e-04,8e-04,6e-04,7e-04,0.0012,0.0012,4e-04,3e-04,7e-04,0.001,3e-04,4e-04,8e-04,1e-04,0.0012,6e-04,5e-04,5e-04,0.0216,4e-04,0.0015,0
"DOM_C22",0.0099,0.008,0.0078,0.0131,0.0074,0.0207,0.0074,0.0078,0.0129,0.0027,0.0089,0.0095,1.0895,0.0098,0.0041,0.0087,0.0267,0.0374,0.0171,0.026,0.0169,0.0097,0.0063,0.0138,0.0199,0.0071,0.0136,0.0069,0.0066,0.0052,0.0034,0.0048,0.0067,0.003,0.003,0.0028,9e-04,0.0053,0.0049,0.0028,0.0018,0.0031,0.0033,0.0174,0
