"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.1107,0.0473,0.0076,0.0049,0.006,0.1356,0.0133,0.0932,0.0122,0.0077,0.005,0.0052,0.0142,0.0056,0.0051,0.0056,0.004,0.0042,0.004,0.0035,0.0096,0.0122,0.0078,0.006,0.006,0.0088,0.0047,0.0026,0.0096,0.0053,0.0052,0.0213,0.0071,0.0061,0.0038,0.0032,0.0029,0.0057,0.0069,0.003,0.0057,0.0046,0.0092,0.0105,0
"DOM_A03",0,1.0317,0,0,0,4e-04,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,1e-04,1e-04,1e-04,0,1e-04,1e-04,2e-04,0,0.0011,4e-04,0,0,0,0,1e-04,1e-04,0,1e-04,0,4e-04,1e-04,0
"DOM_B05_06",9e-04,0.0014,1.0046,0.0035,0.0044,0.0022,0.0014,0.0022,0.0065,0.0067,0.0072,0.0019,0.0023,0.0049,0.0105,0.0025,0.0015,0.0016,0.0021,0.0012,0.0022,0.0018,0.0612,0.0037,0.0016,0.0021,0.0013,5e-04,0.0012,0.0019,9e-04,0.0026,0.0017,0.0014,0.001,8e-04,7e-04,0.0015,0.0011,0.0012,9e-04,0.0015,0.0019,0.0017,0
"DOM_B07_08",0.001,0.0011,0.0011,1.0129,0.0091,0.002,9e-04,0.0012,0.0027,6e-04,0.0146,0.0012,0.0014,0.0263,0.0138,0.0026,8e-04,0.0017,0.0017,0.0011,0.0019,0.0049,0.0013,0.0039,0.0105,0.0013,9e-04,2e-04,0.001,0.002,5e-04,0.0018,7e-04,5e-04,4e-04,5e-04,9e-04,0.0015,7e-04,0.001,4e-04,0.0013,0.0014,8e-04,0
"DOM_B09",1e-04,1e-04,0.0026,0.0024,1.0117,1e-04,0,1e-04,1e-04,0.001,2e-04,1e-04,1e-04,5e-04,7e-04,2e-04,0,1e-04,1e-04,0,1e-04,1e-04,7e-04,2e-04,6e-04,1e-04,1e-04,0,0,1e-04,0,1e-04,0,0,0,0,0,1e-04,0,1e-04,0,0,0,0,0
"DOM_C10T12",0.0458,0.0567,0.0016,0.0034,0.0025,1.1028,0.0054,0.0054,0.0021,0.0021,0.002,0.0033,0.0019,0.0024,0.0017,0.0026,0.0017,0.0016,0.0016,0.001,0.002,0.0022,0.0033,0.0024,0.0022,0.0069,0.0022,0.0024,0.0088,0.003,0.0012,0.0844,0.0051,0.0021,0.0032,0.0021,0.0033,0.003,0.0083,0.002,0.0146,0.0089,0.0125,0.0106,0
"DOM_C13T15",9e-04,0.0022,0.002,0.002,0.0022,0.0017,1.124,0.0024,0.0019,0.0022,0.0016,0.0014,0.0201,0.0018,0.0018,0.0018,0.0011,0.0018,0.0014,0.0118,0.0015,0.0079,0.0014,0.0022,0.0015,0.0021,0.0012,3e-04,0.0016,0.0024,0.0025,0.0026,0.0014,0.001,9e-04,0.0012,7e-04,0.0026,0.002,0.0012,0.001,0.0042,0.0039,0.0034,0
"DOM_C16",0.0037,0.0024,0.0057,0.003,0.0038,0.0027,0.0017,1.0893,0.0052,0.0022,0.0027,0.0024,0.0035,0.0044,0.0029,0.0078,0.0019,0.0033,0.0037,0.0037,0.0022,0.0449,0.0026,0.0038,0.0104,0.0026,0.0018,7e-04,0.0043,0.0018,7e-04,0.0019,0.0018,0.0011,0.001,0.0012,8e-04,0.0037,0.0015,0.0015,9e-04,0.0014,0.0019,0.0019,0
"DOM_C17_18",0.0046,0.009,0.0029,0.0056,0.0061,0.0151,0.0132,0.0096,1.2195,0.0107,0.0136,0.0336,0.0081,0.0112,0.004,0.0049,0.005,0.0086,0.0042,0.0042,0.006,0.0091,0.0054,0.0057,0.0048,0.0153,0.0041,0.0015,0.006,0.0084,0.0042,0.0096,0.0472,0.0156,0.0099,0.0104,0.0022,0.0176,0.0107,0.0062,0.0044,0.0045,0.0125,0.0141,0
"DOM_C19",1e-04,1e-04,0,1e-04,1e-04,0,1e-04,1e-04,1e-04,1.0001,3e-04,0,1e-04,1e-04,0,0,0,0,0,0,1e-04,0,1e-04,0,0,0,1e-04,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
