"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.3062,0.0292,0.0806,0.0112,0.0183,0.2349,0.0327,0.5469,0.1978,0.0029,0.0109,0.0037,0.0112,0.0154,0.0126,0.0089,0.0079,0.0104,0.008,0.0073,0.0195,0.032,0.0274,0.011,0.042,0.0081,0.0083,0.0148,0.0103,0.013,0.0124,0.0552,0.0422,0.0081,0.0112,0.0054,0.018,0.0118,0.0131,0.0096,0.0096,0.0084,0.0407,0.018,0
"DOM_A03",1e-04,1.012,0,0,1e-04,0.0017,1e-04,1e-04,0,0,5e-04,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-04,1e-04,1e-04,0,0.0015,1e-04,0,1e-04,0,0,1e-04,1e-04,0,0,0,2e-04,0,0
"DOM_B05_06",0.0055,4e-04,1.0022,4e-04,6e-04,0.0011,3e-04,0.0024,0.0011,0.0061,3e-04,0,3e-04,0.0041,5e-04,2e-04,1e-04,2e-04,1e-04,2e-04,3e-04,0.0026,5e-04,4e-04,6e-04,2e-04,5e-04,5e-04,5e-04,9e-04,5e-04,3e-04,3e-04,1e-04,1e-04,1e-04,3e-04,1e-04,2e-04,1e-04,1e-04,1e-04,3e-04,2e-04,0
"DOM_B07_08",0.001,0.0011,0.0032,1.0087,0.0067,9e-04,0.0015,0.0013,0.0017,7e-04,0.0018,2e-04,0.0017,0.0115,0.0959,0.0105,0.0015,0.0059,0.0053,0.0046,0.0028,0.0036,8e-04,0.0051,0.0064,6e-04,0.0028,0.0013,0.0014,0.0041,0.0011,6e-04,7e-04,4e-04,6e-04,3e-04,0.0014,5e-04,5e-04,7e-04,4e-04,3e-04,8e-04,6e-04,0
"DOM_B09",0,0,0,0,1.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_C10T12",0.0355,0.0349,0.0053,0.0034,0.0058,1.1248,0.0154,0.0162,0.0102,0.0019,0.018,0.0031,0.0054,0.0045,0.0036,0.003,0.0043,0.0044,0.0034,0.0038,0.0029,0.0039,0.0028,0.0055,0.0033,0.0051,0.0039,0.0235,0.0118,0.0063,0.0022,0.1834,0.0063,0.0052,0.0064,0.003,0.0022,0.0066,0.0178,0.005,0.0079,0.0145,0.0087,0.0041,0
"DOM_C13T15",0.0012,0.0193,0.0025,6e-04,9e-04,8e-04,1.0303,0.001,0.002,2e-04,5e-04,2e-04,0.0019,0.0036,6e-04,6e-04,4e-04,5e-04,8e-04,0.0016,0.0015,0.0046,3e-04,8e-04,0.001,4e-04,7e-04,9e-04,8e-04,8e-04,0.001,0.0016,0.0011,6e-04,7e-04,2e-04,3e-04,6e-04,6e-04,0.001,6e-04,0.002,0.0016,6e-04,0
"DOM_C16",0.0132,0.0365,0.1449,0.0091,0.0111,0.0074,0.0049,1.1209,0.025,0.0023,0.005,0.0015,0.0058,0.0141,0.0105,0.0083,0.0041,0.0093,0.0071,0.0057,0.031,0.0484,0.0338,0.0057,0.0708,0.0062,0.0069,0.0077,0.0069,0.0091,0.0047,0.0056,0.0078,0.0032,0.0049,0.0028,0.0197,0.0051,0.0044,0.0061,0.0047,0.0028,0.0098,0.0134,0
"DOM_C17_18",0.0078,0.0123,0.0094,0.0098,0.0131,0.0292,0.0114,0.0107,1.1436,0.0028,0.0157,0.0088,0.0187,0.0234,0.0119,0.0109,0.0184,0.016,0.0119,0.0106,0.0093,0.0124,0.0072,0.0139,0.0088,0.011,0.0108,0.0113,0.0082,0.0124,0.0513,0.0129,0.1609,0.0192,0.0296,0.0107,0.0076,0.0295,0.0193,0.0092,0.0155,0.0074,0.0239,0.0196,0
"DOM_C19",0.0389,0.0305,0.0166,0.0146,0.0187,0.0121,0.0072,0.0198,0.0118,1.0099,0.019,0.0015,0.0057,0.0183,0.0141,0.0055,0.0026,0.0039,0.004,0.0043,0.0039,0.0052,0.0229,0.0157,0.0101,0.0062,0.0302,0.0247,0.0251,0.0118,0.0087,0.0053,0.0053,0.0024,0.0027,0.0017,0.0042,0.003,0.0037,0.0036,0.0025,0.0023,0.0051,0.0047,0
