"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.1055,0.0439,0.0019,0.0039,0.0033,0.3721,0.0173,0.0636,0.0128,0.0014,0.0185,0.0604,0.1926,0.0043,0.0017,0.0043,0.0039,0.0068,0.0046,0.0099,0.0155,0.0074,0.0019,0.002,0.0086,0.0033,0.005,0.0018,0.0192,0.0025,0.0015,0.1555,0.005,0.0015,0.0112,0.0038,0.0017,0.0081,0.0129,0.0135,0.0148,0.0336,0.0288,0.0207,0
"DOM_A03",0.0046,1.0515,3e-04,5e-04,5e-04,0.04,8e-04,0.001,7e-04,2e-04,0.001,0.0397,0.0013,5e-04,2e-04,3e-04,1e-04,3e-04,2e-04,2e-04,3e-04,6e-04,3e-04,2e-04,7e-04,2e-04,4e-04,3e-04,0.0015,0.0017,3e-04,0.0396,6e-04,3e-04,0.0023,6e-04,2e-04,0.0015,0.0027,0.0028,0.0015,0.0074,0.0024,0.0019,0
"DOM_B05_06",0.0094,0.0366,1.0385,0.029,0.0135,0.0132,0.0171,0.0213,0.0151,0.2885,0.0392,0.0122,0.0194,0.0374,0.0463,0.015,0.0074,0.0143,0.0167,0.016,0.0143,0.011,0.1114,0.0187,0.0215,0.006,0.0717,0.0526,0.0546,0.025,0.011,0.0196,0.0116,0.0085,0.0122,0.0049,0.0057,0.0103,0.0155,0.0084,0.0081,0.0102,0.0084,0.0231,0
"DOM_B07_08",6e-04,4e-04,3e-04,1.0008,0.0034,0.0016,5e-04,6e-04,0.0017,2e-04,0.005,0.0047,9e-04,0.0857,0.0117,0.0021,9e-04,0.0041,0.002,0.0021,0.0015,0.0054,2e-04,6e-04,0.05,2e-04,2e-04,2e-04,3e-04,7e-04,1e-04,8e-04,5e-04,1e-04,5e-04,3e-04,2e-04,4e-04,4e-04,3e-04,4e-04,8e-04,0.0011,0.0011,0
"DOM_B09",8e-04,0.0034,0.027,0.0203,1.0377,9e-04,9e-04,0.0012,0.0014,0.0195,0.0033,0.001,0.0013,0.0071,0.0063,0.0015,5e-04,0.0013,0.0012,0.0011,0.001,0.001,0.0044,0.0014,0.0047,3e-04,0.0045,0.0036,0.0038,0.0013,6e-04,0.0011,7e-04,4e-04,8e-04,3e-04,3e-04,7e-04,0.001,6e-04,5e-04,6e-04,5e-04,0.0014,0
"DOM_C10T12",0.0733,0.1287,0.0031,0.0043,0.0047,1.2107,0.0194,0.0163,0.0148,0.002,0.0233,0.0637,0.0198,0.0063,0.0018,0.0035,0.0019,0.0035,0.0021,0.0028,0.0041,0.0072,0.0034,0.002,0.0065,0.003,0.0044,0.0024,0.0386,0.0025,0.0023,0.3066,0.0072,0.0024,0.0202,0.0056,0.0015,0.0139,0.0239,0.0248,0.0139,0.0266,0.0426,0.0356,0
"DOM_C13T15",0.0019,0.005,0.0016,0.0022,0.0049,0.0028,1.3366,0.0023,0.0043,0.0013,0.0147,0.0082,0.0187,0.0051,0.0016,0.0016,0.004,0.0114,0.0025,0.0052,0.0185,0.0195,0.0014,0.0022,0.0035,0.0085,0.0038,0.0076,0.0058,0.0091,0.0012,0.0174,0.0116,0.0013,0.0118,0.0075,0.0011,0.0077,0.0104,0.01,0.002,0.0111,0.0091,0.0194,0
"DOM_C16",0.0023,9e-04,2e-04,0.0018,0.001,0.001,8e-04,1.2007,7e-04,2e-04,9e-04,7e-04,0.001,0.0016,3e-04,0.0022,8e-04,0.0013,0.0026,0.0015,0.0078,0.0139,2e-04,0.0012,0.011,7e-04,3e-04,4e-04,7e-04,0.002,2e-04,8e-04,9e-04,2e-04,0.001,7e-04,2e-04,8e-04,0.0019,2e-04,6e-04,5e-04,0.0013,0.0012,0
"DOM_C17_18",0.0015,0.0014,0.0052,0.0018,0.0039,0.0047,0.0054,0.004,1.3069,0.0021,0.0058,0.0198,0.0045,0.0091,0.0027,0.0043,0.0027,0.0056,0.002,0.0075,0.0029,0.0054,0.002,0.0027,0.0047,0.0039,0.0029,0.0025,0.0045,0.0028,0.0039,0.0044,0.068,0.0036,0.0557,0.0123,0.0021,0.0458,0.0285,0.0063,0.0251,0.0053,0.0095,0.0062,0
"DOM_C19",0.0272,0.1288,0.0939,0.0891,0.0331,0.0294,0.0262,0.0356,0.0255,1.0566,0.0891,0.026,0.0375,0.0652,0.0712,0.0287,0.014,0.026,0.0378,0.0357,0.028,0.0203,0.0551,0.03,0.0524,0.0109,0.1896,0.1888,0.1878,0.0229,0.0269,0.032,0.0198,0.0128,0.0295,0.0088,0.0059,0.0247,0.0446,0.0266,0.0178,0.016,0.0172,0.0511,0
"DOM_C20",0.0409,0.0086,0.0029,0.0189,0.0076,0.0209,0.0372,0.0372,0.0598,0.0115,1.1507,0.095,0.1373,0.0466,0.011,0.0215,0.0126,0.0247,0.0152,0.0253,0.0308,0.0176,0.0021,0.0169,0.0223,0.0054,0.0059,0.0039,0.0062,0.0034,0.0014,0.0124,0.0218,0.0014,0.0089,0.0031,8e-04,0.0088,0.0079,0.0027,0.0062,0.0261,0.0051,0.0801,0
"DOM_C21",0.0032,7e-04,0,0,1e-04,0.0022,1e-04,2e-04,2e-04,0,0.0011,1.0701,7e-04,1e-04,0,0,0,0,0,1e-04,1e-04,0,0,0,2e-04,0,0,2e-04,1e-04,9e-04,0,8e-04,1e-04,0,1e-04,1e-04,0,1e-04,1e-04,1e-04,4e-04,0.0939,5e-04,0.001,0
