"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.0738,0.0279,0.0013,0.0099,0.0034,0.3562,0.0189,0.0315,0.0105,0.0075,0.0072,0.0081,0.0065,0.0026,0.0023,0.0021,0.0025,0.003,0.0028,0.0307,0.0317,0.0431,0.0014,0.0082,0.0027,0.012,0.0021,0.004,0.0053,0.0024,8e-04,0.0667,0.0109,6e-04,0.004,0.0011,0.0022,0.005,0.0047,0.0077,0.0094,0.0165,0.03,0.0311,0
"DOM_A03",0.0108,1.0811,2e-04,0.0018,7e-04,0.0346,0.003,0.0035,0.0025,0.001,0.001,0.0014,8e-04,3e-04,2e-04,2e-04,3e-04,4e-04,3e-04,5e-04,5e-04,0.0035,2e-04,8e-04,3e-04,8e-04,4e-04,7e-04,0.001,5e-04,2e-04,0.0156,0.0106,1e-04,8e-04,1e-04,5e-04,0.0011,0.0011,0.0018,0.0029,0.0053,0.0114,0.015,0
"DOM_B05_06",0.0133,0.0092,1.0902,0.0521,0.0186,0.0178,0.0117,0.0161,0.0183,0.0912,0.0169,0.0087,0.015,0.0731,0.09,0.0284,0.0126,0.0234,0.0225,0.0162,0.0166,0.0133,0.2926,0.0232,0.0185,0.0037,0.0381,0.0442,0.0497,0.0302,0.0067,0.011,0.0149,0.0073,0.0087,0.002,0.0058,0.0095,0.0099,0.0041,0.0051,0.0063,0.0092,0.013,0
"DOM_B07_08",0.0016,0.0012,0.0029,1.0029,0.0102,0.0055,0.0033,0.0093,0.0118,0.0739,0.1014,0.0307,0.0763,0.0069,0.0033,0.0023,0.0075,0.0216,0.0134,0.004,0.0036,0.0081,0.0023,0.0026,0.0188,4e-04,8e-04,0.001,0.0014,5e-04,3e-04,0.004,0.0054,2e-04,0.0014,3e-04,0.0012,0.0018,0.0016,7e-04,7e-04,0.0013,0.0016,0.0017,0
"DOM_B09",0.0016,0.0102,0.0722,0.0293,1.0366,0.0021,0.0012,0.002,0.0027,0.0194,0.0051,0.0018,0.0036,0.0092,0.0074,0.0025,0.0012,0.0025,0.0021,0.0016,0.0016,0.0016,0.0255,0.0026,0.0039,3e-04,0.0031,0.0031,0.0035,0.0026,5e-04,0.0012,0.0015,5e-04,8e-04,2e-04,7e-04,9e-04,9e-04,5e-04,5e-04,7e-04,0.001,0.0012,0
"DOM_C10T12",0.0985,0.0506,0.0024,0.0048,0.005,1.2265,0.0163,0.0084,0.0072,0.0164,0.0145,0.0178,0.0084,0.0046,0.0041,0.0034,0.0033,0.0037,0.0033,0.0059,0.0058,0.0084,0.0022,0.0261,0.003,0.0222,0.0036,0.0106,0.0135,0.0045,0.0019,0.1648,0.0055,0.0011,0.0052,0.0031,0.0028,0.0066,0.0064,0.0081,0.0092,0.0162,0.018,0.0222,0
"DOM_C13T15",7e-04,8e-04,0.0051,0.0039,0.0012,0.0016,1.3802,0.0116,0.0169,0.0017,0.0016,0.0014,0.0034,0.0011,0.001,7e-04,8e-04,0.0013,0.001,6e-04,5e-04,0.0091,0.0021,0.0127,7e-04,5e-04,6e-04,0.001,0.0012,6e-04,2e-04,6e-04,0.0028,2e-04,9e-04,1e-04,5e-04,0.0013,0.0013,0.001,9e-04,0.0017,0.0034,0.0037,0
"DOM_C16",0.0019,0.0012,0.0016,0.008,0.0028,0.0091,0.0083,1.1397,0.0147,0.0022,0.0024,0.0015,0.0031,0.0066,0.0038,0.0045,0.0034,0.0074,0.0055,0.002,0.0029,0.0442,0.0026,0.0021,0.0237,0.0021,0.001,0.0014,0.0014,0.0012,3e-04,0.0021,0.0044,3e-04,0.0015,7e-04,0.0016,0.0016,0.0014,7e-04,9e-04,9e-04,0.0036,0.004,0
"DOM_C17_18",0.0021,0.0014,0.0016,0.0065,0.0023,0.0165,0.0162,0.0123,1.0913,0.0027,0.0033,0.0047,0.0042,0.0057,0.0026,0.0033,0.0049,0.0077,0.0052,0.0024,0.0028,0.009,0.0028,0.003,0.0031,0.0041,0.0022,0.0026,0.0043,0.0028,0.0012,0.0039,0.1185,0.0012,0.0034,0.0031,0.0014,0.0069,0.003,0.0016,0.0027,0.002,0.0074,0.0045,0
"DOM_C19",0.0122,0.0111,0.0124,0.0135,0.0244,0.0153,0.011,0.0471,0.0402,1.1364,0.0522,0.0186,0.0321,0.0217,0.0197,0.0081,0.0065,0.0152,0.0119,0.0136,0.0152,0.0354,0.0122,0.0124,0.009,0.0014,0.0059,0.0074,0.0122,0.0025,0.0023,0.005,0.0138,0.0012,0.0058,0.0018,0.0046,0.0071,0.0105,0.0071,0.0046,0.0078,0.0134,0.0103,0
"DOM_C20",0.0045,0.0017,0.0052,0.0055,0.0157,0.0107,0.0125,0.041,0.0631,0.039,1.1472,0.0845,0.1144,0.0126,0.0093,0.0083,0.0103,0.0225,0.0114,0.0178,0.0152,0.0447,0.0038,0.0143,0.0055,8e-04,0.0014,0.0017,0.0024,0.0014,7e-04,0.0028,0.0255,7e-04,0.0035,7e-04,0.0045,0.0067,0.0052,0.0015,0.0021,0.0049,0.0044,0.0063,0
"DOM_C21",0.001,6e-04,4e-04,8e-04,0.0013,0.0028,0.0015,0.0038,0.0043,0.0114,0.013,1.2233,0.0066,9e-04,8e-04,6e-04,0.0012,0.0016,0.0013,0.0033,0.0032,0.014,4e-04,0.0062,6e-04,2e-04,3e-04,4e-04,6e-04,3e-04,2e-04,7e-04,0.0041,2e-04,0.0012,2e-04,7e-04,0.0034,0.0012,7e-04,8e-04,0.0068,6e-04,0.0014,0
"DOM_C22",0.0036,0.0023,0.0048,0.0038,0.01,0.0147,0.0162,0.0345,0.0417,0.019,0.0236,0.0309,1.1091,0.0113,0.0059,0.0106,0.017,0.0344,0.023,0.0139,0.0078,0.0276,0.0038,0.0058,0.0067,9e-04,0.002,0.0016,0.0023,0.0014,7e-04,0.0032,0.0311,6e-04,0.0029,8e-04,0.0027,0.0044,0.0037,0.0017,0.0019,0.0038,0.0044,0.0059,0
"DOM_C23",4e-04,4e-04,0.002,0.0018,0.0177,0.0011,0.001,0.0028,0.0015,0.0024,0.0016,0.0019,0.002,1.1837,0.0348,0.0182,0.0018,0.0031,0.0022,0.0152,0.0102,0.0055,0.003,0.0066,0.1139,3e-04,6e-04,8e-04,0.001,6e-04,2e-04,0.0029,0.0024,2e-04,9e-04,3e-04,0.0013,9e-04,8e-04,0.0011,0.0012,0.002,0.0025,0.0035,0
"DOM_C24",6e-04,6e-04,0.0026,0.0024,0.0199,0.0013,0.0014,0.0029,0.0028,0.0017,0.0014,8e-04,0.0019,0.0168,1.1085,0.1115,0.0031,0.0096,0.0071,0.0844,0.0609,0.0282,0.0046,0.0118,0.0474,3e-04,9e-04,0.0011,0.0013,7e-04,3e-04,0.0014,0.0012,3e-04,0.0013,2e-04,0.0017,0.002,0.0014,3e-04,3e-04,5e-04,9e-04,0.0013,0
"DOM_C25",9e-04,9e-04,0.0047,0.0042,0.0329,0.0026,0.0033,0.0097,0.0044,0.0038,0.0027,0.002,0.004,0.033,0.057,1.1351,0.0044,0.0092,0.0104,0.0733,0.0733,0.0388,0.0089,0.0135,0.0874,6e-04,0.0018,0.0024,0.0026,0.0017,6e-04,0.0043,0.0032,6e-04,0.0047,6e-04,0.0048,0.005,0.005,0.0011,9e-04,0.001,0.0025,0.0022,0
"DOM_C26",0.001,9e-04,0.0085,0.0056,0.004,0.0039,0.0028,0.0079,0.0123,0.004,0.0027,0.0032,0.0036,0.0047,0.0051,0.004,1.2352,0.0947,0.0459,0.0082,0.0133,0.0152,0.0182,0.0042,0.0122,8e-04,0.0054,0.0076,0.0113,0.006,9e-04,0.0014,0.0145,0.0017,0.0313,7e-04,0.0027,0.0135,0.0069,0.0028,0.0032,0.0073,0.0068,0.0105,0
"DOM_C27",3e-04,2e-04,0.0023,0.0019,0.0013,0.0011,7e-04,0.0016,0.0018,0.0011,8e-04,7e-04,0.001,0.0018,0.002,0.0014,0.0171,1.063,0.0167,0.002,0.0025,0.0018,0.01,0.001,0.0082,2e-04,0.0011,0.0012,0.0014,0.001,2e-04,4e-04,0.0013,3e-04,0.0021,1e-04,0.001,0.0017,0.0013,4e-04,4e-04,6e-04,0.0012,0.0015,0
"DOM_C28",0.0028,0.0019,0.0316,0.0177,0.0161,0.0113,0.0076,0.0186,0.0197,0.0107,0.0066,0.0056,0.0084,0.0138,0.0151,0.0108,0.0278,0.0451,1.1672,0.0231,0.0284,0.0151,0.0432,0.0071,0.0326,0.0011,0.0058,0.0093,0.0106,0.0061,0.0017,0.0029,0.0114,0.0015,0.0077,6e-04,0.0044,0.008,0.0097,0.0018,0.0018,0.0029,0.0059,0.0053,0
