"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.2121,0.0165,0.0238,0.0157,0.0014,0.4407,0.107,0.1522,0.0286,0.0038,0.012,0.0181,0.02,0.008,0.0055,0.0044,0.0035,0.0058,0.0053,0.0054,0.0044,0.0215,0.0042,0.0049,0.0067,0.011,0.0028,0.0025,0.0044,0.0034,0.0062,0.1297,0.0075,0.0034,0.003,0.0033,0.0021,0.0091,0.0187,0.0211,0.0048,0.0091,0.0121,0.0167,0
"DOM_A03",1e-04,1.0208,0,1e-04,0,0.002,1e-04,1e-04,1e-04,0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0,1e-04,1e-04,2e-04,0,1e-04,1e-04,1e-04,1e-04,0.0073,1e-04,1e-04,1e-04,1e-04,0,1e-04,6e-04,1e-04,1e-04,2e-04,2e-04,1e-04,0
"DOM_B05_06",0.0013,0.0012,1.0074,0.0061,0.001,0.0018,0.002,0.0035,0.0023,0.0417,0.0023,0.0018,0.0029,0.0066,0.025,0.0061,0.0017,0.0047,0.0051,0.0041,0.0026,0.003,0.0594,0.0032,0.0036,0.0025,0.0032,0.0024,0.0065,0.0021,0.0022,0.0026,0.0016,0.0014,6e-04,0.0012,0.0044,0.0014,0.0012,0.002,0.0012,0.0017,0.0015,0.0026,0
"DOM_B07_08",0.0018,0.0017,0.0065,1.0571,0.004,0.0033,0.0034,0.0038,0.0054,0.0316,0.0158,0.0025,0.0065,0.0558,0.1118,0.0241,0.005,0.0179,0.0188,0.0153,0.009,0.0099,0.003,0.0047,0.0194,0.0024,0.0033,0.0022,0.0056,0.0018,0.002,0.0019,0.0019,0.0013,7e-04,8e-04,0.0023,0.0023,0.0017,0.0025,6e-04,0.0026,0.0019,0.0027,0
"DOM_B09",3e-04,4e-04,0.0033,0.0054,1.0033,3e-04,2e-04,3e-04,3e-04,0.0119,5e-04,2e-04,4e-04,0.0017,0.002,6e-04,2e-04,5e-04,5e-04,4e-04,2e-04,3e-04,0.0026,4e-04,9e-04,3e-04,8e-04,6e-04,0.0018,4e-04,4e-04,2e-04,2e-04,1e-04,1e-04,1e-04,2e-04,2e-04,2e-04,3e-04,1e-04,2e-04,2e-04,3e-04,0
"DOM_C10T12",0.0287,0.0312,0.0017,0.0055,0.0011,1.1379,0.0075,0.0064,0.0093,0.0021,0.0049,0.0123,0.0036,0.0038,0.0032,0.0029,0.0023,0.0034,0.0032,0.0026,0.003,0.0046,0.0028,0.0044,0.0028,0.0095,0.0024,0.0026,0.0032,0.0033,0.0069,0.2046,0.006,0.0035,0.0027,0.0035,0.001,0.0061,0.023,0.0135,0.0044,0.0096,0.0113,0.0114,0
"DOM_C13T15",0.0025,0.0049,0.0108,0.0224,0.002,0.0073,1.345,0.0056,0.0264,0.0047,0.0136,0.0178,0.0144,0.0201,0.0069,0.007,0.0062,0.0125,0.0132,0.012,0.0068,0.0344,0.0049,0.0048,0.0074,0.0112,0.0033,0.0025,0.0049,0.0053,0.0087,0.0087,0.0071,0.0025,0.0017,0.0026,0.0021,0.005,0.0096,0.0146,0.0033,0.0066,0.008,0.0611,0
"DOM_C16",0.0012,0.0042,0.0015,0.0014,0.0013,0.002,0.0029,1.1728,0.0046,0.0014,0.003,0.0023,0.0052,0.0085,0.0033,0.0057,0.0022,0.0055,0.0049,0.0022,0.0059,0.0703,0.0011,0.0036,0.0173,0.0024,0.001,0.0012,0.0022,0.0013,0.0011,0.0014,0.0019,0.0015,0.0024,0.0012,0.0011,0.0026,0.0019,0.0018,6e-04,0.0053,0.0021,0.0087,0
"DOM_C17_18",0.0041,0.0052,0.0022,0.007,0.0021,0.0162,0.0147,0.0201,1.2263,0.0069,0.0193,0.0265,0.0213,0.019,0.0082,0.009,0.0113,0.0155,0.0097,0.0081,0.0061,0.0152,0.007,0.0057,0.0074,0.0176,0.0056,0.0039,0.0059,0.0114,0.0174,0.0116,0.1263,0.0101,0.01,0.0121,0.0024,0.0313,0.024,0.0099,0.0079,0.0107,0.0146,0.0186,0
"DOM_C19",0.0184,0.0215,0.0389,0.1054,0.0058,0.0155,0.011,0.0152,0.0129,1.0663,0.0216,0.0125,0.017,0.0434,0.0249,0.0132,0.0075,0.0168,0.0123,0.011,0.0075,0.0117,0.0133,0.0157,0.0208,0.0171,0.0621,0.0497,0.1546,0.0292,0.0349,0.011,0.0077,0.0054,0.0032,0.0038,0.0056,0.0102,0.0145,0.0186,0.0065,0.0069,0.0065,0.0178,0
"DOM_C20",0.0226,0.0056,0.0062,0.0121,0.0045,0.0196,0.0408,0.0496,0.0632,0.018,1.1562,0.0554,0.1417,0.0337,0.0228,0.0187,0.0167,0.0314,0.0145,0.0174,0.0131,0.029,0.0069,0.0169,0.0167,0.0081,0.0068,0.0041,0.0095,0.0051,0.0059,0.01,0.0132,0.0034,0.0022,0.003,0.0085,0.0076,0.0096,0.0065,0.0025,0.009,0.0066,0.0154,0
"DOM_C21",7e-04,2e-04,2e-04,3e-04,2e-04,0.0014,7e-04,7e-04,0.001,4e-04,0.0013,1.0651,0.0011,6e-04,0.0015,6e-04,7e-04,7e-04,6e-04,6e-04,4e-04,7e-04,4e-04,0.0049,5e-04,5e-04,3e-04,3e-04,4e-04,3e-04,4e-04,6e-04,6e-04,5e-04,3e-04,5e-04,2e-04,0.0015,6e-04,5e-04,5e-04,0.014,0.0024,9e-04,0
"DOM_C22",0.0058,0.0047,0.0047,0.0061,0.003,0.0199,0.0129,0.0196,0.0377,0.0067,0.0206,0.0248,1.0932,0.0156,0.0082,0.0155,0.0218,0.0462,0.0236,0.04,0.02,0.0289,0.0054,0.0116,0.0295,0.0099,0.0162,0.003,0.0044,0.0055,0.0096,0.0078,0.0094,0.0039,0.0018,0.0026,0.0135,0.0058,0.007,0.0061,0.0019,0.0064,0.0046,0.0135,0
"DOM_C23",0.0029,0.0023,0.0046,0.0116,0.0044,0.0073,0.0052,0.0088,0.0069,0.0042,0.0098,0.0115,0.0194,1.161,0.0152,0.0134,0.0069,0.0172,0.0121,0.0157,0.0089,0.0152,0.0088,0.0169,0.104,0.0082,0.0084,0.0025,0.0038,0.0035,0.0053,0.0076,0.0068,0.0052,0.0019,0.0032,0.0245,0.0077,0.0057,0.011,0.002,0.0122,0.0084,0.0107,0
"DOM_C24",0.0021,0.0068,0.008,0.0078,0.0082,0.0054,0.0059,0.0128,0.0118,0.0049,0.0076,0.006,0.0235,0.0199,1.2118,0.2365,0.041,0.1617,0.1873,0.143,0.086,0.0846,0.0073,0.0206,0.0993,0.0082,0.0051,0.0045,0.0061,0.0055,0.0039,0.0055,0.0074,0.0062,0.0043,0.0031,0.0065,0.0082,0.0056,0.0097,0.0019,0.0085,0.0082,0.0108,0
"DOM_C25",0.0022,0.0046,0.0037,0.0062,0.0058,0.0077,0.0068,0.0174,0.0081,0.0041,0.0111,0.0049,0.0167,0.0089,0.0167,1.054,0.0239,0.0325,0.0431,0.0332,0.034,0.031,0.0035,0.0098,0.041,0.0068,0.0068,0.0023,0.0041,0.004,0.0034,0.004,0.006,0.0049,0.0017,0.0023,0.0075,0.0041,0.0035,0.0132,0.0014,0.0053,0.0056,0.0087,0
"DOM_C26",3e-04,2e-04,2e-04,4e-04,4e-04,4e-04,5e-04,5e-04,6e-04,4e-04,5e-04,6e-04,7e-04,6e-04,6e-04,0.0011,1.069,0.0067,0.0022,0.0048,0.0018,0.0019,0.0023,9e-04,0.0011,7e-04,4e-04,3e-04,7e-04,4e-04,6e-04,4e-04,0.0017,0.0042,0.0014,6e-04,3e-04,0.0013,0.0027,7e-04,4e-04,0.0026,0.001,0.0047,0
"DOM_C27",0.0012,0.0021,0.0022,0.004,0.0016,0.0029,0.0039,0.0032,0.0041,0.0022,0.0032,0.003,0.0047,0.006,0.004,0.008,0.0567,1.0722,0.0212,0.0223,0.0133,0.0112,0.0089,0.0055,0.0175,0.0064,0.0023,0.0017,0.0028,0.0029,0.0032,0.0054,0.0049,0.008,0.0026,0.0021,0.0057,0.0074,0.0057,0.0056,0.0013,0.0038,0.004,0.0144,0
