"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.1351,0.0218,3e-04,3e-04,4e-04,0.2392,0.0247,0.0147,0.001,3e-04,0.0012,0.0131,0.0027,7e-04,6e-04,6e-04,5e-04,6e-04,8e-04,5e-04,5e-04,0.0022,3e-04,8e-04,0.0014,0.001,4e-04,6e-04,0.0013,4e-04,5e-04,0.0407,8e-04,2e-04,6e-04,3e-04,2e-04,7e-04,3e-04,0.0014,4e-04,9e-04,0.0031,0.0018,0
"DOM_A03",0.0011,1.0336,0,0,0,0.0081,2e-04,1e-04,0,0,1e-04,4e-04,1e-04,1e-04,0,0,0,0,1e-04,0,0,2e-04,0,0,1e-04,1e-04,0,1e-04,1e-04,0,1e-04,0.0013,0,0,0,0,0,0,0,1e-04,0,1e-04,1e-04,1e-04,0
"DOM_B05_06",3e-04,0.0024,1.0034,0.0053,0.0049,4e-04,8e-04,6e-04,8e-04,0.0143,0.0023,5e-04,9e-04,0.0027,0.0014,8e-04,3e-04,4e-04,5e-04,3e-04,4e-04,5e-04,0.0061,4e-04,8e-04,2e-04,0.0021,8e-04,0.0028,5e-04,5e-04,4e-04,2e-04,1e-04,1e-04,1e-04,1e-04,2e-04,3e-04,1e-04,1e-04,3e-04,2e-04,3e-04,0
"DOM_B07_08",6e-04,0.0027,0.0049,1.0347,0.0186,0.0011,0.0022,0.0013,0.0024,0.0132,0.005,0.002,0.0022,0.0393,0.0064,0.0027,9e-04,0.0014,0.0018,0.0013,0.0013,0.0015,0.0285,0.0015,0.0098,5e-04,0.0024,9e-04,0.0028,6e-04,6e-04,0.0013,7e-04,4e-04,3e-04,2e-04,3e-04,5e-04,5e-04,3e-04,3e-04,8e-04,7e-04,8e-04,0
"DOM_B09",4e-04,0.0025,0.0103,0.0077,1.0194,6e-04,0.0011,7e-04,0.0016,0.0141,0.0026,8e-04,0.0012,0.0107,0.0017,0.0011,4e-04,6e-04,7e-04,5e-04,5e-04,7e-04,0.012,7e-04,0.003,3e-04,0.0022,8e-04,0.0028,5e-04,5e-04,6e-04,4e-04,2e-04,2e-04,1e-04,1e-04,3e-04,3e-04,2e-04,2e-04,4e-04,3e-04,4e-04,0
"DOM_C10T12",0.113,0.0656,6e-04,6e-04,7e-04,1.1138,0.0176,0.0038,0.0016,6e-04,0.0023,0.019,0.0027,0.0015,0.0014,0.0014,0.001,0.0013,0.0015,0.001,0.0011,0.0055,7e-04,0.0017,0.0013,0.0021,7e-04,0.001,0.0029,8e-04,6e-04,0.0923,0.0018,4e-04,0.0012,5e-04,3e-04,0.0014,6e-04,0.0022,7e-04,0.0023,0.0074,0.0038,0
"DOM_C13T15",0.0017,0.0147,0.0017,0.0012,0.0013,0.0025,1.2089,0.0042,0.0069,9e-04,0.0053,0.0146,0.0175,0.0042,0.0017,0.0028,0.0032,0.0032,0.0023,0.0048,0.0033,0.0179,9e-04,0.0012,0.0023,0.001,0.0011,0.0011,0.0016,0.001,0.0011,0.0052,0.0023,5e-04,7e-04,4e-04,2e-04,0.0025,8e-04,0.001,4e-04,0.0014,0.0013,0.0038,0
"DOM_C16",0.0011,0.0024,0.0039,0.0032,0.0034,9e-04,8e-04,1.1818,0.0088,4e-04,6e-04,7e-04,8e-04,0.0021,6e-04,0.0019,4e-04,0.0013,0.0021,0.001,0.0033,0.0123,7e-04,6e-04,0.0143,5e-04,6e-04,3e-04,5e-04,5e-04,4e-04,8e-04,0.002,4e-04,4e-04,2e-04,4e-04,0.0014,8e-04,3e-04,3e-04,4e-04,6e-04,7e-04,0
"DOM_C17_18",0.0067,0.0111,0.0045,0.0024,0.0027,0.0231,0.0157,0.0152,1.2963,0.0034,0.0117,0.0408,0.0155,0.0188,0.0061,0.0117,0.0081,0.0117,0.0082,0.0084,0.0087,0.0166,0.0045,0.0052,0.0097,0.0133,0.0049,0.0035,0.0082,0.0062,0.0122,0.0187,0.1544,0.0092,0.02,0.0155,0.0031,0.0627,0.0372,0.0121,0.0076,0.011,0.0184,0.0208,0
"DOM_C19",0.0208,0.1843,0.0625,0.1905,0.1491,0.0271,0.0556,0.0377,0.0492,1.1407,0.1694,0.0301,0.0633,0.0981,0.0767,0.0452,0.0169,0.0274,0.0304,0.0212,0.0218,0.029,0.2146,0.026,0.0385,0.0159,0.1648,0.0651,0.2208,0.0345,0.0349,0.0222,0.015,0.0058,0.0078,0.0034,0.0029,0.0129,0.0188,0.0081,0.0054,0.0156,0.0114,0.0192,0
"DOM_C20",0.0428,0.0169,0.0193,0.0233,0.0248,0.0303,0.2102,0.0528,0.0893,0.0275,1.4751,0.0597,0.3633,0.064,0.0583,0.0632,0.0603,0.0462,0.0322,0.0328,0.0372,0.06,0.0259,0.0411,0.0407,0.0061,0.0114,0.0054,0.0116,0.0053,0.005,0.0211,0.0261,0.0043,0.0071,0.0027,0.002,0.0207,0.0262,0.0066,0.0047,0.0198,0.0093,0.0373,0
"DOM_C21",0.0015,9e-04,1e-04,1e-04,1e-04,0.0014,4e-04,3e-04,2e-04,1e-04,4e-04,1.0346,3e-04,2e-04,2e-04,2e-04,2e-04,5e-04,3e-04,2e-04,2e-04,3e-04,1e-04,1e-04,4e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0,7e-04,2e-04,1e-04,1e-04,1e-04,0,8e-04,1e-04,1e-04,1e-04,0.0142,2e-04,2e-04,0
"DOM_C22",0.0066,0.005,0.0039,0.0055,0.0067,0.0147,0.014,0.0167,0.0212,0.0027,0.0103,0.017,1.0674,0.006,0.0037,0.011,0.0131,0.0209,0.0177,0.024,0.0223,0.0255,0.0021,0.0096,0.0137,0.0054,0.0083,0.0016,0.0025,0.0013,0.0013,0.0114,0.0066,0.001,0.002,6e-04,6e-04,0.0041,0.0028,0.0017,0.0011,0.0028,0.0037,0.0087,0
"DOM_C23",0.0018,0.0021,0.0065,0.0035,0.0039,0.0048,0.0088,0.0024,0.0035,0.0026,0.0046,0.031,0.0031,1.1658,0.0136,0.0088,0.0058,0.0064,0.0073,0.0098,0.0048,0.0072,0.0061,0.008,0.1286,0.0013,0.0048,0.0012,0.0014,0.0013,0.001,0.0044,0.0021,0.0023,0.0012,5e-04,0.0033,0.0014,0.0011,0.0017,0.002,0.0036,0.0016,0.0023,0
"DOM_C24",0.0065,0.014,0.026,0.0146,0.0149,0.0128,0.0106,0.0119,0.0162,0.0138,0.0194,0.0099,0.025,0.0402,1.5661,0.3743,0.0197,0.1399,0.2503,0.103,0.121,0.1152,0.0177,0.0473,0.1379,0.0042,0.0155,0.0058,0.0133,0.0055,0.0038,0.0072,0.0066,0.0042,0.0043,0.0013,0.0039,0.0049,0.0078,0.0057,0.0026,0.0068,0.0048,0.0103,0
