"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.2346,0.0416,0.0057,0.007,0.0069,0.2567,0.0234,0.1342,0.0887,0.0113,0.0309,0.025,0.0155,0.0146,0.0114,0.0128,0.0147,0.0104,0.0098,0.01,0.0094,0.0272,0.0106,0.0103,0.0113,0.0564,0.0126,0.0224,0.0144,0.0122,0.0062,0.0715,0.0162,0.0056,0.0016,0.0024,0.0052,0.0074,0.009,0.0106,0.0192,0.0119,0.0078,0.0065,0
"DOM_A03",0.0041,1.1557,0,0,0,0.0015,1e-04,8e-04,5e-04,1e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,1e-04,1e-04,1e-04,3e-04,1e-04,1e-04,1e-04,1e-04,0,4e-04,1e-04,0,0,0,0,0,1e-04,1e-04,3e-04,1e-04,0,0,0
"DOM_B05_06",0.0179,0.0161,1.0334,0.0418,0.0318,0.0299,0.014,0.0292,0.031,0.2845,0.086,0.0185,0.0279,0.0684,0.0979,0.0461,0.0121,0.0341,0.036,0.0234,0.0222,0.0197,0.1914,0.0504,0.0273,0.0133,0.0492,0.0469,0.0445,0.0367,0.025,0.0187,0.0086,0.0136,0.0017,0.0022,0.0052,0.0088,0.0192,0.0103,0.0187,0.0126,0.019,0.0132,0
"DOM_B07_08",0.004,0.0046,0.008,1.0246,0.0165,0.0115,0.0033,0.0065,0.0055,0.0075,0.0175,0.0069,0.0109,0.0828,0.1511,0.0508,0.0075,0.0278,0.0307,0.0228,0.0184,0.0167,0.0103,0.0236,0.0469,0.0052,0.01,0.0093,0.011,0.0119,0.0133,0.0066,0.0026,0.0031,0.001,0.0015,0.0055,0.0073,0.007,0.0035,0.0018,0.0028,0.0038,0.004,0
"DOM_B09",0.0031,0.0045,0.0155,0.0584,1.0919,0.0107,0.0021,0.0042,0.0037,0.0114,0.0078,0.0045,0.0064,0.0534,0.028,0.013,0.003,0.0073,0.0085,0.0067,0.0051,0.0065,0.0061,0.0109,0.0287,0.004,0.0164,0.0101,0.0119,0.0149,0.0027,0.0051,0.0017,0.0018,7e-04,9e-04,0.0044,0.0045,0.0053,0.0022,0.0013,0.0019,0.0027,0.003,0
"DOM_C10T12",0.002,0.0017,4e-04,5e-04,5e-04,1.0714,7e-04,0.001,0.001,7e-04,0.0018,0.0014,8e-04,8e-04,7e-04,8e-04,9e-04,6e-04,6e-04,7e-04,6e-04,9e-04,5e-04,8e-04,7e-04,0.0029,7e-04,0.0011,0.0012,7e-04,0.0011,0.039,0.0014,4e-04,4e-04,3e-04,8e-04,0.0033,0.0014,0.0013,0.0021,0.0022,0.0014,9e-04,0
"DOM_C13T15",8e-04,0.0019,8e-04,0.001,0.0011,0.0018,1.0851,0.002,0.0028,0.0011,0.0034,0.0025,0.002,0.0015,0.0013,0.0019,0.0013,0.0012,0.0014,0.0016,0.0019,0.0077,0.0011,0.0013,0.0013,0.0035,0.0011,0.0014,0.0016,0.0011,0.002,0.0041,0.0014,7e-04,1e-04,2e-04,4e-04,8e-04,0.0012,0.0015,6e-04,0.0016,0.0036,0.0026,0
"DOM_C16",0.002,0.002,0.0014,0.0017,0.0017,0.0097,0.002,1.1802,0.0185,0.0018,0.0048,0.0071,0.0074,0.0074,0.0022,0.0054,0.0024,0.003,0.0033,0.0027,0.0019,0.0215,0.0017,0.0032,0.0075,0.003,0.0023,0.0025,0.0025,0.0032,0.0026,0.0051,0.012,0.0015,6e-04,7e-04,0.0044,0.0025,0.0025,0.0048,0.0019,0.0018,0.0024,0.0055,0
"DOM_C17_18",0.0034,0.0052,0.0022,0.0028,0.0029,0.0291,0.0051,0.0273,1.172,0.0038,0.0114,0.0379,0.0132,0.0105,0.0041,0.0067,0.0063,0.0061,0.0049,0.004,0.0031,0.0126,0.0031,0.0074,0.0045,0.0087,0.0047,0.0045,0.0061,0.0064,0.0156,0.0165,0.1211,0.0043,0.0027,0.0032,0.0062,0.0088,0.0073,0.0178,0.0077,0.0072,0.011,0.0122,0
"DOM_C19",0.0205,0.0137,0.007,0.017,0.0144,0.0145,0.0061,0.0145,0.0115,1.0178,0.0255,0.009,0.013,0.0239,0.0534,0.0222,0.0066,0.0248,0.0149,0.0119,0.0107,0.0112,0.0105,0.0228,0.0203,0.0136,0.0317,0.0341,0.0503,0.0112,0.0206,0.0062,0.0042,0.0034,9e-04,0.0017,0.0038,0.0062,0.0087,0.0033,0.0028,0.0048,0.0046,0.0055,0
"DOM_C20",0.0397,0.0109,0.0067,0.0084,0.0076,0.0212,0.0285,0.0417,0.0553,0.0191,1.0996,0.0291,0.0836,0.0216,0.0109,0.0142,0.0059,0.0099,0.0081,0.0063,0.0053,0.0139,0.0043,0.0096,0.0104,0.0089,0.0047,0.0049,0.0055,0.0047,0.003,0.0086,0.0091,0.0021,7e-04,0.001,0.0026,0.0052,0.0045,0.0038,0.0021,0.0081,0.0038,0.0061,0
"DOM_C21",0.0015,5e-04,1e-04,2e-04,2e-04,8e-04,2e-04,4e-04,3e-04,2e-04,5e-04,1.0829,3e-04,3e-04,2e-04,3e-04,2e-04,2e-04,2e-04,2e-04,2e-04,3e-04,2e-04,3e-04,2e-04,6e-04,2e-04,3e-04,3e-04,2e-04,8e-04,6e-04,0.0015,2e-04,1e-04,0.001,2e-04,0.0012,2e-04,9e-04,2e-04,0.0452,6e-04,3e-04,0
"DOM_C22",0.0076,0.008,0.0048,0.015,0.0147,0.0321,0.0109,0.0362,0.042,0.0071,0.0275,0.0442,1.2549,0.0196,0.0088,0.0249,0.0128,0.0292,0.0165,0.0233,0.0105,0.0234,0.0053,0.0173,0.0289,0.012,0.0102,0.0062,0.0075,0.008,0.0071,0.0088,0.0093,0.0036,0.0011,0.0018,0.0052,0.0071,0.0089,0.003,0.0025,0.0086,0.0078,0.0053,0
"DOM_C23",0.0127,0.0124,0.009,0.017,0.0172,0.0418,0.01,0.0219,0.0138,0.0093,0.0184,0.0477,0.0544,1.2638,0.0331,0.0333,0.0156,0.024,0.0218,0.0197,0.0141,0.0367,0.0122,0.0196,0.1699,0.0132,0.0266,0.0294,0.0356,0.0364,0.0072,0.0354,0.0064,0.0079,0.0028,0.0037,0.0198,0.0234,0.0224,0.0187,0.0048,0.0106,0.0089,0.0132,0
"DOM_C24",0.0139,0.0153,0.0313,0.0427,0.0484,0.0323,0.011,0.0265,0.0223,0.0253,0.0301,0.0199,0.0416,0.0597,1.1717,0.3664,0.044,0.1968,0.2193,0.1571,0.1299,0.0933,0.0626,0.1459,0.1092,0.0205,0.0219,0.0292,0.0275,0.0261,0.0096,0.0178,0.0083,0.0129,0.0031,0.0056,0.0145,0.0252,0.0214,0.0106,0.0078,0.0103,0.0124,0.013,0
"DOM_C25",0.0063,0.0074,0.0254,0.0152,0.0158,0.0222,0.007,0.0236,0.0123,0.013,0.0137,0.0122,0.0254,0.0207,0.0171,1.1007,0.0222,0.0263,0.0553,0.0464,0.0208,0.0414,0.0128,0.0143,0.0609,0.0102,0.0111,0.0123,0.0119,0.0144,0.0054,0.0132,0.0053,0.0084,0.0021,0.0028,0.0081,0.0223,0.0117,0.0105,0.0035,0.0068,0.0077,0.0069,0
"DOM_C26",0.0015,0.0024,0.0012,0.0012,0.0014,0.0027,0.0016,0.0021,0.0025,0.0015,0.0021,0.0023,0.0022,0.002,0.0018,0.0027,1.0699,0.0128,0.0051,0.0047,0.0039,0.005,0.0018,0.0019,0.0044,0.0043,0.0014,0.0016,0.0022,0.0017,0.0046,0.0018,0.0043,0.0077,0.0034,0.001,0.0016,0.004,0.003,0.0012,0.0011,0.005,0.0016,0.0053,0
"DOM_C27",0.0011,0.0013,0.0011,0.0023,0.0022,0.0023,0.0012,0.0019,0.0018,0.0011,0.002,0.0021,0.0016,0.002,0.002,0.0039,0.0044,1.0287,0.0052,0.0036,0.0021,0.0053,0.0024,0.0024,0.0109,0.002,0.0018,0.0017,0.0019,0.002,0.0015,0.0022,0.0013,0.0039,0.0011,0.0117,0.0018,0.0039,0.0024,0.0011,0.001,0.0027,0.003,0.0024,0
"DOM_C28",0.0144,0.0071,0.0272,0.0264,0.0271,0.0171,0.0055,0.0171,0.0157,0.0121,0.0113,0.0119,0.0087,0.0201,0.0227,0.0269,0.0102,0.0502,1.0737,0.0635,0.0863,0.0366,0.0136,0.0104,0.0144,0.0073,0.0091,0.0151,0.015,0.0101,0.0037,0.0056,0.0038,0.0033,0.0013,0.0016,0.0038,0.0081,0.0062,0.0033,0.0023,0.0035,0.004,0.0043,0
"DOM_C29",0.006,0.0032,0.001,0.0038,0.0033,0.0034,0.0011,0.0035,0.0024,0.0014,0.0018,0.0014,0.0016,0.0028,0.0018,0.0018,0.0016,0.0015,0.0018,1.0243,0.0021,0.0022,0.0013,0.0044,0.0028,0.0035,0.0059,0.0017,0.0028,0.0027,0.0033,0.0013,9e-04,8e-04,2e-04,2e-04,9e-04,0.001,0.003,9e-04,7e-04,0.001,9e-04,0.0012,0
"DOM_C30",0.0045,0.006,0.0022,0.0052,0.0053,0.0051,0.0016,0.0035,0.003,0.0032,0.0033,0.0023,0.0031,0.0044,0.0053,0.0268,0.0039,0.0043,0.0045,0.1091,1.074,0.0196,0.003,0.0049,0.0065,0.0034,0.0144,0.071,0.0652,0.0119,0.0016,0.0021,0.0016,0.0017,8e-04,6e-04,0.0014,0.0036,0.0063,0.0012,0.0013,0.0013,0.0018,0.0015,0
