"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.2434,0.0026,0.0023,0.0051,0.0032,0.3233,0.0389,0.1692,0.0252,0.002,0.0324,0.0087,0.0177,0.0052,0.0027,0.0032,0.0029,0.0032,0.0035,0.0045,0.0021,0.0138,0.0011,0.0024,0.0115,0.0066,0.002,0.0058,0.0039,0.0015,0.0013,0.0286,0.0035,0.0015,0.002,0.0015,0.0015,0.0024,0.0037,0.0098,0.0087,0.0056,0.0118,0.0046,0
"DOM_A03",2e-04,1.0091,0,0,0,0.0023,1e-04,1e-04,1e-04,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,1e-04,1e-04,0,0,0.0018,0,0,1e-04,0,0,1e-04,1e-04,1e-04,1e-04,1e-04,4e-04,1e-04,0
"DOM_B05_06",0.0132,0.0096,1.0759,0.0245,0.0134,0.0106,0.0078,0.009,0.0147,0.4083,0.0219,0.0024,0.0114,0.0297,0.0437,0.0116,0.0052,0.0109,0.0086,0.0072,0.0046,0.0066,0.1025,0.0132,0.011,0.0043,0.027,0.0287,0.036,0.0076,0.011,0.0077,0.0035,0.0019,0.0027,0.0033,0.0043,0.0029,0.0054,0.0145,0.0063,0.0029,0.0047,0.0038,0
"DOM_B07_08",0.0034,3e-04,0.0037,1.0269,0.0024,0.0026,0.002,0.0023,0.003,0.0017,0.013,7e-04,0.0042,0.0473,0.0422,0.0088,0.0025,0.0071,0.005,0.0045,0.0028,0.0033,6e-04,9e-04,0.0146,5e-04,9e-04,9e-04,5e-04,4e-04,3e-04,9e-04,0.0011,7e-04,4e-04,3e-04,5e-04,6e-04,5e-04,0.0016,5e-04,6e-04,0.003,0.0013,0
"DOM_B09",2e-04,2e-04,0.0162,0.0074,1.0076,2e-04,2e-04,2e-04,3e-04,0.0064,5e-04,1e-04,2e-04,8e-04,0.001,3e-04,1e-04,2e-04,2e-04,2e-04,1e-04,1e-04,0.0016,2e-04,9e-04,1e-04,4e-04,5e-04,6e-04,1e-04,2e-04,1e-04,1e-04,0,1e-04,1e-04,1e-04,1e-04,1e-04,3e-04,1e-04,1e-04,1e-04,1e-04,0
"DOM_C10T12",0.0993,0.001,0.0016,0.0027,0.0028,1.2175,0.0139,0.0165,0.0118,0.0023,0.012,0.0074,0.0066,0.0055,0.0024,0.0025,0.0027,0.0024,0.0027,0.0028,0.0017,0.0039,0.0021,0.0034,0.0031,0.0055,0.0019,0.0109,0.0105,0.0015,0.0017,0.0977,0.0036,0.0018,0.0033,0.0026,0.0021,0.0042,0.0036,0.0246,0.0263,0.0149,0.0323,0.0099,0
"DOM_C13T15",0.004,0.0099,0.0012,0.0025,0.0017,0.0039,1.2326,0.0161,0.0152,0.001,0.0049,0.0013,0.0167,0.0054,0.002,0.0028,0.0022,0.0024,0.0047,0.0212,0.0057,0.0336,6e-04,0.0043,0.0081,0.0042,0.0014,0.0107,0.0013,0.0011,0.002,0.0068,0.0022,0.0024,0.001,9e-04,7e-04,0.0013,0.0022,0.0041,0.0019,0.0055,0.0035,0.0079,0
"DOM_C16",0.0027,0.0037,0.0017,0.0063,0.0044,0.0038,0.0032,1.2545,0.0277,0.0011,0.0037,0.0012,0.0128,0.0096,0.0042,0.0055,0.0032,0.0047,0.0064,0.0083,0.0028,0.0495,8e-04,0.0021,0.0502,0.003,0.0039,0.0015,0.0013,0.0017,0.0012,0.004,0.0056,0.0024,0.003,0.0014,0.0028,0.0015,0.0018,0.0031,0.0029,0.0027,0.0029,0.0036,0
"DOM_C17_18",0.0134,0.0031,0.0083,0.0141,0.011,0.0592,0.0458,0.0192,1.2948,0.0064,0.0349,0.0242,0.0429,0.0386,0.0187,0.0186,0.0182,0.0229,0.0232,0.018,0.0113,0.0327,0.0045,0.0133,0.0171,0.0245,0.0126,0.0131,0.0126,0.028,0.0118,0.0307,0.0732,0.0137,0.018,0.0175,0.0052,0.0252,0.0262,0.0262,0.0256,0.023,0.0282,0.0225,0
"DOM_C19",0.0189,0.0213,0.0166,0.0342,0.0253,0.0117,0.0086,0.0119,0.0147,1.0276,0.026,0.0032,0.0136,0.0271,0.015,0.0081,0.0053,0.0114,0.0083,0.006,0.0041,0.0074,0.0237,0.0246,0.0177,0.005,0.0582,0.0477,0.0835,0.0133,0.0237,0.0074,0.0046,0.0023,0.0042,0.0056,0.0034,0.0037,0.0097,0.019,0.0112,0.0038,0.0062,0.0054,0
"DOM_C20",0.0759,0.0031,0.0247,0.0684,0.0404,0.045,0.0992,0.0458,0.0785,0.0268,1.2651,0.0283,0.2247,0.0503,0.024,0.0396,0.0326,0.0383,0.0328,0.0339,0.0204,0.0523,0.0052,0.0108,0.0288,0.0081,0.0083,0.0095,0.0074,0.0089,0.0064,0.0117,0.0123,0.0058,0.005,0.0044,0.0114,0.0095,0.0097,0.0164,0.0094,0.014,0.0092,0.0187,0
"DOM_C21",0.0022,1e-04,3e-04,5e-04,4e-04,0.0025,8e-04,9e-04,6e-04,2e-04,9e-04,1.0869,9e-04,5e-04,4e-04,5e-04,9e-04,5e-04,6e-04,6e-04,5e-04,6e-04,2e-04,3e-04,5e-04,4e-04,2e-04,3e-04,2e-04,1e-04,1e-04,5e-04,3e-04,2e-04,3e-04,2e-04,1e-04,0.0015,3e-04,0.002,2e-04,0.0305,6e-04,3e-04,0
"DOM_C22",0.0111,0.0014,0.0084,0.0279,0.0126,0.0275,0.0151,0.0218,0.0191,0.0054,0.0267,0.0117,1.0786,0.0191,0.0155,0.0202,0.0206,0.024,0.0315,0.0526,0.0237,0.0416,0.002,0.0069,0.0354,0.0106,0.0078,0.0062,0.0042,0.0042,0.0125,0.0124,0.0072,0.0075,0.0034,0.0025,0.0026,0.0048,0.005,0.0087,0.0035,0.0106,0.0049,0.0076,0
"DOM_C23",0.0027,0.0014,0.0056,0.0093,0.0094,0.0102,0.0075,0.0152,0.004,0.0026,0.0065,0.0039,0.0109,1.1369,0.015,0.009,0.0067,0.0249,0.0104,0.0161,0.0037,0.0092,0.0013,0.0047,0.0684,0.002,0.0016,0.0018,0.0014,0.0013,0.001,0.0055,0.0015,0.0037,0.002,0.0014,0.0018,0.0025,0.0021,0.0055,0.0015,0.0052,0.0023,0.0046,0
"DOM_C24",0.0081,0.0034,0.024,0.0236,0.0172,0.0208,0.0083,0.02,0.0144,0.0102,0.0152,0.0022,0.0256,0.0166,1.3393,0.2236,0.044,0.1573,0.1225,0.1027,0.0609,0.0533,0.0043,0.0092,0.0306,0.0045,0.0066,0.0152,0.0046,0.0036,0.0032,0.0053,0.0068,0.0063,0.0034,0.0016,0.002,0.0032,0.0039,0.0062,0.0026,0.0032,0.0057,0.0055,0
"DOM_C25",0.0137,0.0116,0.0132,0.024,0.0228,0.0344,0.0176,0.0433,0.0312,0.0075,0.0293,0.0052,0.0459,0.0339,0.0513,1.1068,0.048,0.0753,0.0748,0.1321,0.0484,0.0401,0.0032,0.0113,0.0767,0.0077,0.0099,0.0518,0.0071,0.0056,0.0076,0.0104,0.0128,0.0096,0.0067,0.0031,0.0034,0.0057,0.0062,0.0124,0.0043,0.0052,0.0108,0.0104,0
"DOM_C26",0.0042,0.0012,0.0038,0.006,0.0055,0.0082,0.0118,0.0118,0.0146,0.003,0.0136,0.0032,0.0147,0.0132,0.0136,0.0151,1.2388,0.0376,0.0289,0.0359,0.0659,0.0187,0.0019,0.0047,0.0121,0.0063,0.0039,0.007,0.0046,0.0037,0.002,0.0063,0.0142,0.0222,0.0147,0.0038,0.0019,0.0132,0.0064,0.0095,0.0038,0.0061,0.0038,0.0098,0
"DOM_C27",0.0044,0.001,0.0026,0.0046,0.005,0.0041,0.0036,0.0213,0.0048,0.0014,0.005,0.0011,0.0089,0.004,0.0169,0.0117,0.0205,1.0704,0.0348,0.0138,0.0141,0.008,8e-04,0.0042,0.0285,0.0022,0.0021,0.0035,0.0015,0.002,9e-04,0.0029,0.0016,0.006,0.0028,0.0011,0.0012,0.0025,0.0027,0.0043,0.002,0.0015,0.0021,0.0054,0
"DOM_C28",0.0207,0.0012,0.029,0.053,0.0505,0.0113,0.0058,0.0133,0.0153,0.0118,0.0144,0.0017,0.0183,0.0093,0.0176,0.018,0.0075,0.0203,1.0849,0.0422,0.0211,0.0205,0.0036,0.0102,0.0346,0.0034,0.0054,0.0046,0.0032,0.0042,0.0022,0.004,0.0051,0.0037,0.0037,0.0014,0.0018,0.0023,0.005,0.0051,0.0032,0.0025,0.0031,0.0068,0
"DOM_C29",0.0065,0.0064,0.007,0.0168,0.0077,0.0087,0.0061,0.0141,0.0081,0.0039,0.0069,0.0022,0.0069,0.0089,0.0081,0.0067,0.0099,0.0085,0.0383,1.2164,0.02,0.0082,0.0016,0.0134,0.0067,0.0131,0.0144,0.0045,0.0033,0.0064,0.0081,0.0039,0.008,0.0025,0.0019,0.0013,0.001,0.0029,0.0061,0.0049,0.0029,0.0027,0.005,0.0035,0
"DOM_C30",5e-04,0.0026,6e-04,5e-04,4e-04,6e-04,5e-04,0.0021,5e-04,0.001,5e-04,2e-04,5e-04,6e-04,6e-04,5e-04,4e-04,4e-04,0.0011,0.001,1.2597,5e-04,5e-04,0.001,5e-04,4e-04,0.0048,0.0705,0.0325,0.0015,0.0045,5e-04,4e-04,2e-04,4e-04,5e-04,3e-04,4e-04,5e-04,0.0153,3e-04,4e-04,0.0017,7e-04,0
"DOM_C31T33",0.0038,7e-04,0.0019,0.0035,0.0029,0.0048,0.008,0.0186,0.0061,0.0015,0.0074,0.0022,0.0083,0.0087,0.0069,0.0053,0.0064,0.0093,0.0104,0.007,0.0039,1.0352,0.0011,0.0188,0.0169,0.0053,0.0029,0.0025,0.0022,0.0041,0.0014,0.007,0.003,0.0055,0.004,0.0033,0.0017,0.0044,0.0039,0.0051,0.0028,0.0164,0.0069,0.0109,0
"DOM_D",0.0181,0.0063,0.0167,0.0557,0.0082,0.0224,0.0248,0.0266,0.0286,0.0188,0.0401,0.0068,0.0317,0.038,0.0455,0.0249,0.017,0.0177,0.0177,0.0168,0.0118,0.0169,1.0372,0.0204,0.0145,0.0201,0.0249,0.091,0.0094,0.0195,0.0095,0.0355,0.0106,0.0069,0.0076,0.0074,0.0298,0.0102,0.0107,0.0095,0.0122,0.0102,0.0168,0.0112,0
"DOM_E",0.0025,7e-04,0.0034,0.0024,0.0021,0.0032,0.0023,0.0027,0.0029,0.0043,0.0044,0.0013,0.0034,0.0029,0.0037,0.003,0.0029,0.0018,0.0023,0.0019,0.0016,0.0024,0.0069,1.0702,0.0028,0.0028,0.002,0.0022,0.0017,0.002,0.0021,0.0061,0.0016,0.0011,0.0014,0.0023,0.0033,0.0019,0.0031,0.0069,0.0024,0.003,0.0044,0.0033,0
"DOM_F",0.0072,0.0028,0.0088,0.0365,0.0194,0.0081,0.0073,0.0113,0.0099,0.0052,0.0119,0.0027,0.0104,0.0128,0.0137,0.0089,0.0075,0.0061,0.007,0.0056,0.0045,0.0068,0.0078,0.0039,1.0045,0.0054,0.0064,0.0065,0.0039,0.0058,0.0046,0.0079,0.0037,0.0073,0.0023,0.0096,0.0202,0.004,0.0036,0.0272,0.0068,0.0044,0.0078,0.0157,0
"DOM_G",0.1515,0.0244,0.05,0.0877,0.0661,0.2279,0.2556,0.1812,0.1578,0.0435,0.1704,0.0676,0.174,0.1238,0.1156,0.1022,0.1386,0.1354,0.1291,0.1743,0.0908,0.1385,0.028,0.1098,0.1223,1.0599,0.1008,0.065,0.0559,0.0353,0.0301,0.094,0.0672,0.0523,0.0357,0.0259,0.0203,0.0328,0.0477,0.0531,0.0404,0.0575,0.0512,0.0514,0
