"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.1574,0.0212,0.0014,0.0084,0.0014,0.5039,0.0175,0.4938,0.0479,0.0026,0.0102,0.0263,0.024,0.0054,0.0014,0.0015,0.0016,0.0027,0.0098,6e-04,0.0011,0.0057,5e-04,0.0036,0.0132,0.0035,0.005,0.0023,0.0081,0.0158,0.001,0.0741,0.009,0.0015,0.0013,0.0011,0.0021,0.0037,0.004,0.0038,0.004,0.006,0.0048,0.0174,0
"DOM_A03",0.0058,1.0469,1e-04,2e-04,2e-04,0.0946,3e-04,0.0026,4e-04,2e-04,0.001,5e-04,3e-04,2e-04,1e-04,1e-04,1e-04,1e-04,3e-04,0,1e-04,4e-04,0,0.0042,3e-04,2e-04,5e-04,3e-04,0.0013,0.0033,1e-04,0.0206,3e-04,1e-04,2e-04,1e-04,1e-04,7e-04,4e-04,5e-04,3e-04,7e-04,2e-04,5e-04,0
"DOM_B05_06",0.0079,0.0121,1.0417,0.0162,0.013,0.0227,0.0104,0.0098,0.0135,0.1274,0.0572,0.0134,0.0189,0.0711,0.0191,0.011,0.0019,0.0056,0.0103,0.0032,0.0031,0.0106,0.0157,0.0077,0.021,0.0026,0.0179,0.0128,0.0116,0.0015,6e-04,0.0162,0.0054,0.0017,7e-04,8e-04,0.0102,0.0044,0.0046,0.0027,0.0022,0.0055,0.0037,0.006,0
"DOM_B07_08",0.0023,0.001,7e-04,1.1762,7e-04,0.0025,0.0061,0.0041,0.0031,0.0028,0.0195,0.003,0.0024,0.056,0.0092,0.005,5e-04,0.0021,0.004,9e-04,7e-04,0.003,4e-04,0.0036,0.0228,0.001,0.0013,0.0025,0.0015,5e-04,1e-04,0.0014,9e-04,8e-04,1e-04,2e-04,0.0034,0.003,0.0016,7e-04,4e-04,0.0011,0.0015,0.0101,0
"DOM_B09",2e-04,4e-04,0.0222,0.0045,1.0007,5e-04,2e-04,2e-04,3e-04,0.0027,0.0013,3e-04,4e-04,0.0018,4e-04,3e-04,0,1e-04,2e-04,1e-04,1e-04,2e-04,3e-04,2e-04,6e-04,1e-04,4e-04,3e-04,3e-04,0,0,4e-04,1e-04,0,0,0,2e-04,3e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,0
"DOM_C10T12",0.0553,0.0042,5e-04,0.0015,0.0011,1.1544,0.0021,0.0246,0.0034,0.0013,0.009,0.0042,0.0021,0.0015,8e-04,8e-04,7e-04,9e-04,0.0023,4e-04,6e-04,0.003,3e-04,0.0016,0.0021,0.0017,0.0049,0.0025,0.0154,0.0128,3e-04,0.1003,0.0024,9e-04,0.0011,6e-04,6e-04,0.0016,0.004,0.0039,0.0014,0.005,0.0014,0.0034,0
"DOM_C13T15",0.0012,0.0101,8e-04,0.0018,9e-04,0.006,1.3332,0.0036,0.0084,0.0011,0.003,0.002,0.0133,0.0019,0.0016,0.0017,0.0011,0.002,0.0051,9e-04,0.0011,0.0199,0.0024,0.0021,0.0083,0.0024,0.0018,0.0014,0.0041,5e-04,0.0011,0.0035,0.0023,0.0014,0.001,4e-04,4e-04,0.0013,0.0011,0.0014,7e-04,0.0087,0.0031,0.0096,0
"DOM_C16",0.0077,0.0164,7e-04,0.0074,6e-04,0.0073,0.0031,1.0403,0.021,0.001,0.0082,0.004,0.0026,0.0027,0.0011,0.0013,0.0011,0.0013,0.0148,4e-04,5e-04,0.0043,3e-04,0.0034,0.0205,0.0015,0.0036,0.0011,0.0015,0.0012,6e-04,0.0064,0.0041,0.0011,3e-04,8e-04,0.0031,0.004,0.0029,0.0025,0.0046,0.003,0.0021,0.0115,0
"DOM_C17_18",0.0044,0.0037,0.0022,0.0044,0.0031,0.0204,0.0116,0.0278,1.2292,0.0017,0.0182,0.0138,0.0116,0.0217,0.003,0.0037,0.0082,0.0149,0.0061,0.0021,0.0018,0.0223,9e-04,0.0015,0.0077,0.0064,0.0035,0.0024,0.0049,0.002,0.0161,0.0105,0.155,0.0086,0.0047,0.009,0.0015,0.0163,0.0064,0.0129,0.0062,0.0116,0.0275,0.0049,0
"DOM_C19",0.0135,0.1056,0.0171,0.0287,0.0066,0.0298,0.0153,0.0377,0.0335,1.2848,0.0233,0.0107,0.027,0.0549,0.0269,0.0183,0.0052,0.0128,0.0456,0.0068,0.0063,0.0161,0.0448,0.0619,0.03,0.0086,0.1468,0.1181,0.0812,0.0065,0.0039,0.0519,0.029,0.0083,0.003,0.0045,0.0063,0.0125,0.0125,0.0175,0.0143,0.0237,0.0139,0.0234,0
