"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.0747,0.058,0.0088,0.0094,0.0085,0.3282,0.1369,0.2388,0.0883,0.0178,0.0181,0.0208,0.0399,0.0157,0.0105,0.0145,0.011,0.0083,0.0105,0.01,0.0213,0.0821,0.006,0.0097,0.0104,0.0065,0.0101,0.0099,0.014,0.0112,0.0093,0.07,0.0221,0.0116,0.0115,0.0022,0.0058,0.0075,0.0095,0.0055,0.0023,0.0058,0.0258,0.0638,0
"DOM_A03",0.0029,1.188,4e-04,4e-04,4e-04,0.024,7e-04,0.0012,9e-04,7e-04,8e-04,0.001,7e-04,6e-04,5e-04,9e-04,3e-04,4e-04,5e-04,3e-04,5e-04,0.0063,4e-04,7e-04,4e-04,2e-04,6e-04,4e-04,7e-04,6e-04,3e-04,0.0078,0.001,6e-04,7e-04,1e-04,3e-04,4e-04,6e-04,6e-04,2e-04,4e-04,0.002,0.0079,0
"DOM_B05_06",0.0156,0.0135,1.015,0.0142,0.0186,0.0124,0.0104,0.0146,0.017,0.1048,0.0197,0.0127,0.0146,0.0334,0.0276,0.0138,0.009,0.0109,0.0092,0.0073,0.0102,0.0131,0.1092,0.0164,0.0163,0.0069,0.0203,0.0167,0.0328,0.0254,0.0299,0.0081,0.0104,0.0253,0.0134,0.0032,0.0062,0.0092,0.0116,0.0061,0.0021,0.0048,0.0145,0.0145,0
"DOM_B07_08",0.0063,0.0047,0.0086,1.0093,0.0051,0.0049,0.0037,0.0083,0.0041,0.0085,0.011,0.0072,0.0076,0.0048,0.2255,0.091,0.0275,0.0565,0.0488,0.0319,0.0302,0.0156,0.0063,0.0056,0.0182,0.0026,0.0045,0.0084,0.0066,0.0049,0.0047,0.0025,0.0045,0.0045,0.0041,9e-04,0.0021,0.0028,0.0033,0.0028,8e-04,0.0023,0.0057,0.0084,0
"DOM_B09",0.001,8e-04,0.0517,9e-04,1.13,7e-04,6e-04,9e-04,0.001,0.0059,0.0011,7e-04,8e-04,0.0018,0.0015,8e-04,5e-04,6e-04,5e-04,4e-04,6e-04,8e-04,0.0056,0.001,0.0065,4e-04,0.0013,0.001,0.002,0.0015,0.0017,5e-04,7e-04,0.0015,8e-04,2e-04,4e-04,6e-04,7e-04,4e-04,1e-04,3e-04,9e-04,9e-04,0
"DOM_C10T12",0.149,0.1249,0.0131,0.0135,0.0118,1.2829,0.0264,0.0437,0.0274,0.0171,0.0323,0.0365,0.021,0.0139,0.0118,0.0266,0.0083,0.0086,0.0113,0.0078,0.0116,0.0444,0.0091,0.0175,0.0113,0.0072,0.0173,0.0117,0.0238,0.0184,0.0094,0.2474,0.0204,0.0206,0.0188,0.0028,0.0076,0.0111,0.0162,0.0103,0.0035,0.0084,0.034,0.1186,0
"DOM_C13T15",0.0128,0.0095,0.0073,0.0067,0.0041,0.0073,1.1351,0.0076,0.0099,0.0048,0.0051,0.0053,0.0138,0.0038,0.0042,0.004,0.0046,0.003,0.0043,0.022,0.0087,0.0265,0.0026,0.0058,0.0072,0.0032,0.0051,0.0051,0.0073,0.0057,0.0032,0.0038,0.0103,0.006,0.003,9e-04,0.0016,0.0023,0.0027,0.0029,0.0015,0.0049,0.0162,0.0227,0
"DOM_C16",0.0067,0.0049,0.0053,0.0117,0.0087,0.0118,0.0046,1.1472,0.0089,0.0212,0.0097,0.0067,0.0059,0.0124,0.0072,0.0082,0.0044,0.0037,0.0044,0.0051,0.0088,0.0504,0.0045,0.0038,0.0101,0.0033,0.0064,0.0059,0.0095,0.0079,0.0104,0.0042,0.0059,0.0075,0.0039,0.0011,0.0021,0.0028,0.0034,0.0022,9e-04,0.0024,0.0084,0.0082,0
"DOM_C17_18",0.0153,0.0156,0.0145,0.0119,0.0164,0.0358,0.0177,0.0327,1.228,0.0235,0.0279,0.0351,0.0261,0.0322,0.0132,0.0162,0.0142,0.0129,0.016,0.0175,0.0155,0.0345,0.0119,0.0157,0.0203,0.0369,0.0187,0.0138,0.0258,0.0215,0.0192,0.0166,0.1193,0.0206,0.0479,0.0064,0.0324,0.0333,0.0343,0.0115,0.0068,0.0169,0.0325,0.0333,0
"DOM_C19",0.1418,0.1204,0.1193,0.082,0.1706,0.0921,0.0749,0.0902,0.0651,1.128,0.1359,0.0861,0.1073,0.0765,0.1298,0.0716,0.0741,0.077,0.0573,0.0432,0.0619,0.0704,0.1072,0.0777,0.121,0.0607,0.1995,0.1648,0.3378,0.2566,0.3103,0.0611,0.0824,0.2594,0.1281,0.0282,0.0442,0.0783,0.1037,0.0565,0.0158,0.0383,0.1186,0.1104,0
