"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.2466,0.0162,0.0032,0.0016,0.0053,0.3011,0.1286,0.1185,0.028,0.0034,0.0085,0.0053,0.0202,0.0043,0.0016,0.003,0.0044,0.005,0.0057,0.0101,0.0053,0.0109,0.002,0.0032,0.0067,0.0015,0.0034,0.0013,0.0042,0.0026,9e-04,0.0758,0.0072,0.0022,0.0016,0.0017,0.0014,0.0021,0.002,0.0031,0.0039,0.0036,0.0092,0.0046,0
"TTL_A03",9e-04,1.0101,2e-04,1e-04,2e-04,0.0055,2e-04,1e-04,2e-04,2e-04,3e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0,3e-04,3e-04,6e-04,2e-04,1e-04,0.0067,2e-04,1e-04,1e-04,1e-04,0,1e-04,1e-04,2e-04,2e-04,1e-04,2e-04,1e-04,0
"TTL_B05_06",0.0227,0.0199,1.0961,0.031,0.0314,0.0164,0.0131,0.0135,0.0218,0.5157,0.0311,0.0178,0.0162,0.029,0.0181,0.0106,0.0097,0.0149,0.0137,0.0156,0.0098,0.0095,0.2682,0.0326,0.015,0.0043,0.0605,0.0144,0.0489,0.0077,0.0027,0.0158,0.0118,0.0036,0.0026,0.0069,0.0043,0.0046,0.0023,0.0075,0.004,0.007,0.0141,0.0081,0
"TTL_B07_08",0.0029,0.0023,0.0163,1.2815,0.004,0.0025,0.0028,0.002,0.0046,0.0273,0.0104,0.0088,0.0047,0.0341,0.0933,0.0248,0.0083,0.0321,0.0198,0.014,0.0141,0.004,0.0053,0.0064,0.0257,5e-04,0.0048,0.0022,0.0041,0.0018,6e-04,0.0019,0.0027,0.0023,9e-04,9e-04,0.0034,7e-04,0.0052,9e-04,6e-04,0.0012,0.0024,0.0011,0
"TTL_B09",0.003,0.0029,0.134,0.0044,1.0607,0.0024,0.0019,0.0018,0.0033,0.0632,0.0043,0.0028,0.0023,0.0039,0.0024,0.0015,0.0016,0.0022,0.002,0.0023,0.0015,0.0013,0.0332,0.0051,0.0044,7e-04,0.008,0.0026,0.0072,0.002,6e-04,0.0025,0.0026,9e-04,4e-04,0.0017,9e-04,0.0077,0.0043,0.0013,6e-04,0.0012,0.0024,0.0012,0
"TTL_C10T12",0.0386,0.0092,0.0049,0.0026,0.0062,1.0804,0.0145,0.0073,0.015,0.0056,0.0141,0.0074,0.0052,0.0058,0.0031,0.0048,0.0057,0.007,0.0086,0.0094,0.0073,0.0038,0.0033,0.0029,0.005,0.0019,0.0046,0.0021,0.008,0.0035,0.0016,0.1779,0.0104,0.0054,0.004,0.0029,0.0012,0.0026,0.0039,0.0057,0.0063,0.005,0.0075,0.0019,0
"TTL_C13T15",0.0135,0.015,0.0072,0.0031,0.0198,0.0177,1.2397,0.0059,0.0473,0.0055,0.0075,0.0065,0.0207,0.0056,0.0036,0.0095,0.0117,0.0142,0.0178,0.0524,0.0139,0.0319,0.0054,0.0055,0.0119,0.0019,0.008,0.003,0.0092,0.0083,0.002,0.0147,0.0173,0.0029,0.0024,0.0036,0.0037,0.0026,0.002,0.0028,0.0019,0.0064,0.0125,0.0072,0
"TTL_C16",0.0033,0.001,0.0016,0.0013,0.0018,0.0032,0.0022,1.0599,0.0023,0.0011,0.0028,0.0011,0.002,0.003,7e-04,0.0023,0.0027,0.0031,0.003,0.0038,0.009,0.049,9e-04,0.0126,0.0287,8e-04,0.0011,0.0013,0.0017,0.0013,4e-04,0.0017,0.0014,6e-04,8e-04,6e-04,0.0041,4e-04,0.0048,6e-04,5e-04,6e-04,0.0017,7e-04,0
"TTL_C17_18",0.0089,0.0237,0.0149,0.0073,0.0154,0.0339,0.0172,0.0098,1.3971,0.0114,0.024,0.0238,0.0252,0.0255,0.0067,0.0105,0.0301,0.0209,0.0192,0.0187,0.0127,0.0142,0.0092,0.0098,0.0116,0.0131,0.0139,0.0069,0.02,0.0165,0.0034,0.02,0.0988,0.0083,0.004,0.015,0.0046,0.0164,0.0055,0.007,0.0072,0.0119,0.0368,0.0148,0
"TTL_C19",0.033,0.0345,0.0168,0.0346,0.0284,0.017,0.0109,0.0139,0.0151,1.0281,0.0318,0.0083,0.0113,0.0157,0.009,0.0076,0.0085,0.011,0.0112,0.0124,0.0076,0.0052,0.0198,0.0128,0.0123,0.0037,0.1045,0.0237,0.0588,0.003,0.0033,0.0074,0.011,0.0029,0.0024,0.0022,0.002,0.004,0.0023,0.0034,0.0017,0.0057,0.0105,0.0058,0
