"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.1701,0.1716,0.0071,0.0078,0.0043,0.3092,0.1089,0.2405,0.0132,0.0078,0.0265,0.0317,0.0278,0.0093,0.0078,0.0076,0.0053,0.0077,0.0078,0.0106,0.0089,0.0194,0.0042,0.008,0.0206,0.0175,0.0079,0.005,0.0068,0.0054,0.0085,0.0687,0.0081,0.0062,0.0046,0.0028,0.0032,0.0062,0.0084,0.0063,0.0072,0.0114,0.0278,0.0227,0
"TTL_A03",0.0029,1.0123,8e-04,7e-04,5e-04,0.0237,0.0075,0.0014,0.0012,0.0011,0.0017,0.0018,0.0015,0.0011,9e-04,9e-04,9e-04,0.0012,0.0012,0.0017,0.0012,0.0018,5e-04,6e-04,0.0011,0.006,9e-04,5e-04,0.001,4e-04,0.001,0.0118,7e-04,7e-04,5e-04,3e-04,2e-04,6e-04,6e-04,6e-04,6e-04,9e-04,0.0023,0.001,0
"TTL_B05_06",0.0417,0.0605,1.0536,0.0615,0.0335,0.043,0.0307,0.0458,0.0482,0.7469,0.1823,0.0624,0.0875,0.1001,0.178,0.0807,0.0217,0.0453,0.0432,0.0501,0.0402,0.0364,0.1717,0.0307,0.0505,0.0383,0.0779,0.0576,0.1265,0.022,0.0994,0.0279,0.0174,0.0263,0.01,0.0076,0.0075,0.0146,0.0153,0.0202,0.0108,0.013,0.0211,0.0208,0
"TTL_B07_08",0.0082,0.0107,0.0167,1.0167,0.0093,0.0108,0.0087,0.0185,0.011,0.0142,0.0232,0.0164,0.016,0.121,0.5762,0.1412,0.0252,0.0819,0.0743,0.0615,0.0433,0.0408,0.0106,0.012,0.0414,0.0113,0.0129,0.0065,0.0109,0.0063,0.0111,0.0058,0.0048,0.0057,0.0036,0.002,0.0041,0.0037,0.0044,0.0059,0.0034,0.0038,0.0082,0.008,0
"TTL_B09",0.0037,0.0044,0.0525,0.0539,1.0047,0.004,0.0029,0.0044,0.0047,0.0379,0.0118,0.0056,0.0064,0.0123,0.038,0.0123,0.0029,0.0071,0.0067,0.0067,0.0052,0.0047,0.0096,0.0032,0.0069,0.0037,0.0059,0.0043,0.0093,0.0039,0.0067,0.0023,0.0017,0.0028,0.0014,8e-04,0.001,0.0016,0.0017,0.002,0.0011,0.0013,0.0022,0.0021,0
"TTL_C10T12",0.0289,0.032,0.0097,0.0079,0.0069,1.1849,0.0581,0.0134,0.0119,0.0106,0.0274,0.0304,0.0171,0.0114,0.0089,0.0085,0.0067,0.0093,0.0099,0.0117,0.0102,0.0121,0.0064,0.0073,0.0111,0.0162,0.0078,0.0048,0.0082,0.0059,0.0111,0.1825,0.0072,0.0066,0.005,0.0036,0.0023,0.0087,0.0092,0.008,0.0096,0.0228,0.0359,0.0151,0
"TTL_C13T15",0.0028,0.0077,0.0041,0.0033,0.0016,0.0051,1.1635,0.0039,0.0071,0.0035,0.0066,0.0075,0.0086,0.008,0.0039,0.0076,0.0034,0.0043,0.005,0.0101,0.0099,0.0173,0.0016,0.0021,0.006,0.0043,0.0039,0.0027,0.0029,0.0014,0.0046,0.0028,0.0022,0.0022,0.001,7e-04,7e-04,0.0017,0.0023,0.0036,0.004,0.0087,0.0068,0.013,0
"TTL_C16",0.0028,0.003,0.0029,0.0038,0.0013,0.0026,0.0036,1.1021,0.0198,0.0029,0.0026,0.0024,0.004,0.0046,0.0036,0.0048,0.0019,0.0032,0.0034,0.0055,0.0061,0.0465,0.002,0.0038,0.0325,0.0023,0.0036,0.0015,0.0022,0.0022,0.0024,0.0018,0.0025,0.0018,0.0015,8e-04,0.0021,0.0012,0.0014,0.0024,0.0023,0.001,0.0035,0.0022,0
"TTL_C17_18",0.0073,0.0079,0.006,0.0057,0.0045,0.0212,0.0196,0.0119,1.124,0.0072,0.0189,0.0248,0.0196,0.0164,0.0069,0.0082,0.0074,0.0106,0.0099,0.0112,0.0092,0.0112,0.0046,0.0055,0.0105,0.0133,0.0077,0.0056,0.0061,0.0046,0.0119,0.009,0.0667,0.0084,0.0074,0.0063,0.0024,0.0055,0.0066,0.007,0.0081,0.0056,0.0117,0.0104,0
"TTL_C19",0.0336,0.0618,0.0281,0.0347,0.0152,0.0213,0.0151,0.0253,0.0179,1.0394,0.0538,0.0262,0.0422,0.0283,0.0429,0.0242,0.0093,0.0167,0.0164,0.0219,0.0181,0.0163,0.0132,0.0189,0.0323,0.015,0.0823,0.0694,0.1617,0.016,0.0598,0.0102,0.0107,0.0237,0.0066,0.0055,0.0039,0.0094,0.0087,0.0117,0.0057,0.0068,0.0122,0.012,0
"TTL_C20",0.0448,0.0293,0.0155,0.0166,0.0069,0.0227,0.0158,0.032,0.0414,0.0181,1.1561,0.0747,0.2012,0.0399,0.0165,0.0159,0.0143,0.0269,0.0196,0.025,0.0206,0.0188,0.0062,0.0281,0.0289,0.0107,0.012,0.0066,0.013,0.0048,0.0101,0.0097,0.008,0.0051,0.0036,0.0022,0.0032,0.0056,0.0085,0.0059,0.0054,0.0092,0.0142,0.0222,0
"TTL_C21",0.0153,0.0034,9e-04,0.001,6e-04,0.0046,0.0019,0.0039,0.002,9e-04,0.0071,1.0718,0.0045,0.0017,0.001,0.0011,7e-04,0.001,9e-04,0.0011,9e-04,0.001,4e-04,8e-04,0.0013,0.001,6e-04,6e-04,6e-04,3e-04,5e-04,0.0013,0.001,4e-04,3e-04,2e-04,2e-04,6e-04,7e-04,4e-04,0.0012,0.0033,0.0196,0.0015,0
"TTL_C22",0.0074,0.0101,0.0073,0.0084,0.0039,0.0157,0.0121,0.0221,0.0455,0.0074,0.0312,0.0311,1.0389,0.0125,0.008,0.0092,0.0114,0.0216,0.0193,0.04,0.0263,0.0265,0.0038,0.0094,0.0259,0.0095,0.0124,0.0043,0.0073,0.0035,0.0133,0.006,0.0068,0.0034,0.0025,0.0015,0.0031,0.003,0.0035,0.0055,0.0033,0.0042,0.0064,0.0106,0
"TTL_C23",0.0049,0.0048,0.005,0.0064,0.0025,0.0098,0.0039,0.0186,0.0045,0.0049,0.0126,0.0155,0.0079,1.0796,0.0072,0.0174,0.0039,0.0067,0.0066,0.0154,0.0143,0.0106,0.0033,0.0103,0.0537,0.0043,0.0057,0.0023,0.004,0.0028,0.0036,0.0047,0.0023,0.0027,0.0023,0.0012,0.0036,0.002,0.0023,0.0038,0.002,0.0028,0.0036,0.0057,0
"TTL_C24",0.007,0.0127,0.0185,0.0154,0.0141,0.0086,0.0089,0.0213,0.0119,0.0155,0.0125,0.0092,0.0177,0.0271,1.1086,0.2609,0.0441,0.1504,0.1358,0.1088,0.0752,0.0635,0.0076,0.0117,0.0409,0.0141,0.0121,0.0066,0.0139,0.0043,0.0102,0.0053,0.0045,0.006,0.0032,0.0018,0.0033,0.0034,0.0037,0.0057,0.0038,0.0042,0.0086,0.0097,0
"TTL_C25",0.0092,0.0164,0.0235,0.0221,0.0122,0.0127,0.0108,0.036,0.0147,0.0193,0.0175,0.0138,0.0219,0.0571,0.0294,1.0729,0.0201,0.044,0.0633,0.0515,0.0449,0.034,0.0085,0.0219,0.0541,0.0099,0.0177,0.0072,0.0116,0.0054,0.015,0.0072,0.0058,0.0059,0.0041,0.0023,0.0047,0.0042,0.005,0.0075,0.0061,0.005,0.0123,0.0111,0
"TTL_C26",0.0028,0.0047,0.0043,0.0043,0.0034,0.0029,0.0028,0.0033,0.0041,0.0038,0.0039,0.0041,0.0039,0.0036,0.0041,0.0037,1.1134,0.0407,0.0313,0.011,0.0121,0.015,0.0025,0.0063,0.0083,0.004,0.0051,0.0025,0.0049,0.0037,0.0205,0.0024,0.0109,0.0209,0.004,0.0033,0.0015,0.0041,0.0037,0.0039,0.0099,0.0265,0.0093,0.0084,0
"TTL_C27",0.0033,0.0076,0.0061,0.0049,0.0019,0.0038,0.0027,0.0043,0.0065,0.0051,0.0036,0.003,0.0066,0.0046,0.0054,0.0066,0.0322,1.1072,0.0419,0.0192,0.018,0.0134,0.0117,0.0051,0.019,0.0037,0.0065,0.0023,0.0042,0.0022,0.0082,0.0024,0.0034,0.0109,0.0021,0.0012,0.0017,0.0024,0.0024,0.003,0.0021,0.0025,0.0076,0.0058,0
"TTL_C28",0.0097,0.0277,0.0238,0.0265,0.0072,0.01,0.0053,0.0081,0.0122,0.0179,0.0109,0.0086,0.0077,0.0137,0.0207,0.0158,0.0134,0.0213,1.0761,0.0286,0.0285,0.0447,0.0069,0.0077,0.0084,0.0065,0.006,0.0046,0.008,0.0024,0.0071,0.0044,0.0029,0.0046,0.0018,0.0011,0.0011,0.0035,0.0035,0.0037,0.0035,0.003,0.0051,0.0094,0
"TTL_C29",0.0033,0.0054,0.0039,0.0039,0.0022,0.0043,0.005,0.0041,0.0037,0.0042,0.0043,0.0039,0.0043,0.006,0.0043,0.0038,0.0042,0.0064,0.0089,1.2274,0.0389,0.0782,0.0018,0.0021,0.0051,0.0137,0.0162,0.0042,0.0073,0.0027,0.0068,0.0027,0.0023,0.0021,0.0014,9e-04,7e-04,0.0016,0.0018,0.0047,0.0027,0.0018,0.0049,0.0176,0
"TTL_C30",0.0036,0.0275,0.0087,0.0054,0.0023,0.0046,0.0039,0.004,0.0046,0.0075,0.0054,0.0047,0.0048,0.006,0.0061,0.0045,0.0031,0.0048,0.0051,0.1058,1.0955,0.0102,0.0034,0.0023,0.0042,0.0052,0.029,0.0396,0.1266,0.0091,0.0178,0.0024,0.0026,0.0024,0.0027,0.0012,8e-04,0.0026,0.0025,0.0104,0.002,0.0014,0.0035,0.0039,0
"TTL_C31T33",0.004,0.0058,0.0066,0.009,0.0047,0.0035,0.0045,0.0103,0.0064,0.0057,0.0046,0.0041,0.0055,0.0078,0.0072,0.0046,0.0027,0.0043,0.0045,0.011,0.0117,1.0188,0.0026,0.0038,0.0061,0.0036,0.0041,0.0037,0.0051,0.0041,0.0058,0.0026,0.0038,0.0056,0.0026,0.0023,0.0012,0.0034,0.0035,0.0022,0.0044,0.0032,0.0238,0.005,0
"TTL_D",0.0306,0.0269,0.0352,0.0525,0.0153,0.0422,0.0426,0.0568,0.0638,0.0487,0.0523,0.0338,0.0659,0.0524,0.1066,0.0519,0.0227,0.0376,0.0386,0.0572,0.0378,0.0425,1.4668,0.0655,0.0325,0.0279,0.03,0.0124,0.0244,0.0285,0.0211,0.0428,0.0236,0.0327,0.013,0.0102,0.0123,0.0204,0.0266,0.0545,0.0167,0.0145,0.0252,0.0201,0
"TTL_E",0.0449,0.0169,0.0086,0.0086,0.0075,0.0239,0.014,0.0192,0.0223,0.0086,0.0214,0.0204,0.0164,0.0179,0.0132,0.0122,0.0093,0.0142,0.0146,0.0191,0.0197,0.0122,0.0099,1.0742,0.0185,0.0098,0.0117,0.0091,0.0106,0.0115,0.0093,0.0161,0.01,0.0238,0.0151,0.0059,0.009,0.021,0.0206,0.0107,0.0075,0.0132,0.0236,0.0135,0
"TTL_F",0.0706,0.0592,0.0799,0.1148,0.0281,0.0495,0.0418,0.138,0.0468,0.0714,0.0489,0.0426,0.0443,0.0568,0.0924,0.0487,0.0302,0.0467,0.0483,0.051,0.044,0.0691,0.054,0.0942,1.3868,0.048,0.0995,0.0278,0.0398,0.0536,0.0471,0.0424,0.0368,0.0468,0.0455,0.0223,0.0828,0.0315,0.0388,0.0783,0.0204,0.0199,0.04,0.037,0
"TTL_G",0.1288,0.1552,0.0791,0.0806,0.0434,0.2163,0.2906,0.131,0.1423,0.1498,0.1942,0.1814,0.2006,0.1292,0.106,0.1177,0.1383,0.1828,0.1664,0.2472,0.1521,0.195,0.0619,0.0688,0.1283,1.0773,0.1278,0.0716,0.1326,0.0425,0.1201,0.1442,0.075,0.0737,0.0527,0.0275,0.0194,0.0417,0.0519,0.0494,0.0523,0.0671,0.1324,0.096,0
"TTL_H49",0.0435,0.0395,0.052,0.045,0.0226,0.0616,0.0565,0.066,0.06,0.0472,0.0617,0.0499,0.0608,0.1119,0.0709,0.0501,0.0261,0.0436,0.0453,0.0515,0.0395,0.0412,0.0217,0.018,0.0354,0.0513,1.1096,0.0772,0.0402,0.0556,0.1161,0.0233,0.0287,0.0156,0.0111,0.0078,0.0058,0.014,0.0176,0.0126,0.0112,0.0125,0.0236,0.0193,0
"TTL_H50",0.0096,0.0098,0.0385,0.0098,0.0143,0.012,0.011,0.0106,0.0152,0.0312,0.0183,0.014,0.0156,0.0143,0.0161,0.0137,0.006,0.0095,0.0093,0.0127,0.0097,0.0108,0.0362,0.0063,0.0107,0.0185,0.0162,1.32,0.021,0.0151,0.0151,0.0079,0.0055,0.0074,0.004,0.003,0.0026,0.0073,0.0097,0.0079,0.0052,0.004,0.0075,0.0075,0
"TTL_H51",0.0083,0.0089,0.009,0.0082,0.0065,0.0098,0.0098,0.0089,0.0132,0.0126,0.0138,0.0145,0.0141,0.0115,0.0104,0.0113,0.0107,0.0143,0.0145,0.0167,0.0127,0.0124,0.0058,0.0085,0.0095,0.0104,0.0118,0.0104,1.0307,0.028,0.0225,0.0059,0.0089,0.0088,0.0148,0.0051,0.0026,0.0124,0.0104,0.0088,0.007,0.0047,0.0132,0.0099,0
"TTL_H52",0.0411,0.0317,0.0429,0.0268,0.0133,0.0458,0.0319,0.0327,0.0682,0.0386,0.0674,0.0657,0.0462,0.0486,0.0347,0.0534,0.018,0.0281,0.028,0.044,0.0363,0.0309,0.0161,0.0158,0.0349,0.0487,0.0461,0.0521,0.1111,1.1012,0.047,0.021,0.0193,0.0356,0.0135,0.0088,0.0073,0.0215,0.0247,0.0184,0.0147,0.0115,0.0243,0.0222,0
"TTL_H53",0.006,0.0055,0.0068,0.0052,0.0047,0.0066,0.0066,0.0056,0.0073,0.006,0.0067,0.0073,0.0058,0.0077,0.0058,0.0052,0.0044,0.0062,0.0065,0.0061,0.0053,0.0066,0.0042,0.0073,0.0067,0.0078,0.0097,0.0043,0.0065,0.0085,1.0425,0.0049,0.0066,0.0061,0.0036,0.0091,0.0029,0.0096,0.0096,0.0069,0.0071,0.0062,0.0116,0.0116,0
"TTL_I",0.0116,0.0108,0.0198,0.0119,0.0133,0.0204,0.0094,0.0121,0.0198,0.0174,0.0193,0.0269,0.0132,0.0162,0.0128,0.0139,0.0087,0.0116,0.0134,0.0155,0.0157,0.0111,0.0074,0.0098,0.0196,0.0115,0.0107,0.006,0.0121,0.012,0.0159,1.0093,0.0117,0.0173,0.0096,0.0073,0.004,0.0211,0.0205,0.0107,0.0083,0.0053,0.0181,0.0123,0
"TTL_J58T60",0.0087,0.0095,0.0078,0.0072,0.009,0.0116,0.0104,0.0115,0.0177,0.0079,0.0154,0.0203,0.0171,0.0125,0.0087,0.0112,0.0097,0.0122,0.0126,0.0199,0.0179,0.0121,0.0059,0.0102,0.0117,0.0187,0.0109,0.0074,0.018,0.0121,0.0178,0.0182,1.1347,0.0464,0.0408,0.0173,0.0063,0.023,0.0287,0.0162,0.0238,0.0081,0.0376,0.0213,0
"TTL_J61",0.0159,0.0165,0.0148,0.0124,0.0139,0.0202,0.0173,0.0228,0.0299,0.0158,0.0231,0.0273,0.0275,0.0292,0.0159,0.022,0.0212,0.0256,0.0303,0.0299,0.029,0.0304,0.0147,0.0224,0.0243,0.0329,0.0218,0.0127,0.0225,0.0296,0.0334,0.0168,0.0871,1.28,0.0497,0.0317,0.0104,0.0295,0.0371,0.0314,0.0287,0.0182,0.0372,0.057,0
"TTL_J62_63",0.0192,0.0185,0.0189,0.0153,0.0169,0.0214,0.0182,0.0234,0.0359,0.0178,0.0259,0.0306,0.0257,0.026,0.0213,0.0197,0.0211,0.0233,0.0261,0.0343,0.0364,0.0225,0.0171,0.0241,0.0226,0.0289,0.0211,0.0164,0.0241,0.0271,0.0287,0.0184,0.0527,0.0858,1.1386,0.0765,0.0165,0.0449,0.0538,0.0514,0.0333,0.0147,0.0381,0.0401,0
"TTL_K",0.1295,0.0838,0.0985,0.0703,0.0621,0.0919,0.0601,0.0834,0.0714,0.0825,0.0788,0.0772,0.067,0.0755,0.0886,0.0625,0.0404,0.0619,0.0644,0.0756,0.0711,0.0608,0.1137,0.2136,0.0826,0.0707,0.0754,0.1056,0.0636,0.103,0.0672,0.0816,0.0534,0.0715,0.0532,1.1882,0.1833,0.0929,0.0824,0.0796,0.0528,0.0432,0.0683,0.0677,0
"TTL_L",0.0235,0.0205,0.0194,0.0208,0.0149,0.0258,0.0228,0.0233,0.0298,0.0215,0.0234,0.0256,0.0229,0.0275,0.0213,0.026,0.0168,0.0236,0.024,0.0334,0.0289,0.0224,0.0108,0.0145,0.0293,0.0551,0.0309,0.0151,0.0337,0.0328,0.0452,0.0504,0.0272,0.0545,0.039,0.0186,1.0227,0.0383,0.0633,0.0195,0.0225,0.0148,0.0403,0.0242,0
"TTL_M",0.0908,0.0763,0.0813,0.0918,0.2507,0.0857,0.0594,0.0874,0.1445,0.0725,0.0981,0.1515,0.0929,0.1076,0.0851,0.0861,0.0934,0.1323,0.1358,0.1065,0.098,0.0925,0.0427,0.1092,0.122,0.0942,0.0797,0.064,0.1066,0.0873,0.0663,0.0526,0.0978,0.1292,0.1293,0.0691,0.0513,1.2241,0.1045,0.0703,0.0442,0.0465,0.1376,0.0768,0
