"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.2166,0.0421,0.0062,0.0075,0.0087,0.2482,0.0358,0.2277,0.0675,0.0053,0.0123,0.0057,0.0153,0.0081,0.0078,0.007,0.0065,0.0065,0.0071,0.0073,0.0089,0.0286,0.0038,0.0054,0.0141,0.0085,0.0057,0.022,0.013,0.0073,0.0016,0.0492,0.0117,0.0067,0.0079,0.0054,0.0076,0.008,0.0076,0.0058,0.0032,0.0109,0.0054,0.0102,0
"TTL_A03",1e-04,1.0389,0,0,0,5e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,1e-04,1e-04,0,0,3e-04,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTL_B05_06",0.0161,0.0186,1.0707,0.0231,0.0305,0.0125,0.0111,0.0138,0.0143,0.4833,0.0272,0.0058,0.0172,0.0201,0.0688,0.0183,0.0085,0.0127,0.0121,0.0115,0.0116,0.0104,0.1409,0.0113,0.013,0.0072,0.0208,0.0172,0.0305,0.0071,0.0045,0.0098,0.0063,0.0091,0.0044,0.0037,0.0045,0.0062,0.0053,0.0065,0.0038,0.0089,0.0073,0.0107,0
"TTL_B07_08",0.0023,0.0047,0.0017,1.0152,0.0112,0.0026,0.0017,0.0022,0.0069,0.0014,0.01,0.0015,0.0032,0.0629,0.0048,0.0021,0.002,0.0023,0.0018,0.002,0.0017,0.0021,9e-04,0.0032,0.0219,0.0012,0.0021,0.0019,0.0014,0.001,6e-04,0.0016,0.0015,0.0014,0.001,0.001,0.0038,0.0013,0.0011,0.0024,5e-04,0.0012,0.0013,0.0015,0
"TTL_B09",3e-04,8e-04,4e-04,0.0041,1.0099,3e-04,2e-04,3e-04,0.0015,5e-04,0.0011,2e-04,3e-04,0.0049,3e-04,2e-04,2e-04,2e-04,2e-04,2e-04,2e-04,2e-04,2e-04,2e-04,0.0019,2e-04,2e-04,2e-04,2e-04,1e-04,1e-04,2e-04,2e-04,2e-04,1e-04,1e-04,4e-04,2e-04,1e-04,4e-04,1e-04,1e-04,1e-04,2e-04,0
"TTL_C10T12",0.052,0.1403,0.004,0.0037,0.0052,1.1289,0.0308,0.0129,0.0099,0.0035,0.0185,0.0072,0.007,0.0039,0.0045,0.0037,0.0046,0.0039,0.0042,0.0042,0.0051,0.0046,0.0025,0.0021,0.0035,0.0067,0.005,0.032,0.0173,0.0099,7e-04,0.1104,0.0038,0.0039,0.0056,0.0045,0.0014,0.005,0.0107,0.0034,0.0053,0.0217,0.0027,0.0072,0
"TTL_C13T15",0.0038,0.0086,0.0034,0.0025,0.0028,0.004,1.1965,0.0092,0.0055,0.0028,0.0059,0.0049,0.013,0.0055,0.0035,0.0045,0.0038,0.0045,0.0049,0.0066,0.0119,0.0098,0.0017,0.0018,0.0054,0.0044,0.0026,0.005,0.0049,0.0016,7e-04,0.0034,0.0028,0.0038,0.0013,0.0016,0.0013,0.0025,0.0019,0.0024,0.0014,0.0074,0.0035,0.0033,0
"TTL_C16",0.011,0.0181,0.0083,0.0094,0.0096,0.0078,0.0072,1.2771,0.0508,0.0058,0.0091,0.0042,0.0089,0.0101,0.0114,0.0109,0.0069,0.0084,0.0088,0.0093,0.0118,0.1038,0.0043,0.0053,0.0364,0.0056,0.004,0.0082,0.0073,0.003,0.0013,0.0042,0.0087,0.0062,0.004,0.0034,0.0088,0.006,0.0031,0.0055,0.0018,0.0044,0.0053,0.0087,0
"TTL_C17_18",0.0193,0.0358,0.0164,0.0266,0.0312,0.0628,0.0461,0.0257,1.3967,0.0163,0.0707,0.0296,0.0452,0.0341,0.0271,0.0259,0.0285,0.0301,0.0298,0.0276,0.0362,0.0278,0.0141,0.0184,0.0225,0.0415,0.0182,0.0416,0.0404,0.0207,0.007,0.0223,0.174,0.0412,0.0384,0.0345,0.0107,0.0814,0.0321,0.0328,0.007,0.0185,0.0342,0.0966,0
"TTL_C19",0.0251,0.0213,0.0121,0.0281,0.0277,0.0153,0.0135,0.017,0.0135,1.0284,0.0357,0.0074,0.0231,0.0201,0.0337,0.0139,0.009,0.0108,0.0108,0.0107,0.0108,0.011,0.01,0.0128,0.0181,0.009,0.031,0.0294,0.057,0.0106,0.0071,0.0113,0.0064,0.0095,0.0056,0.004,0.0048,0.0073,0.0074,0.0072,0.0038,0.0094,0.006,0.0123,0
