"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.1598,0.0083,0,0.0056,0.0061,0.2659,0.0216,0.1171,0.021,0.0082,0.0145,0.0073,0.0117,0.0067,0.0071,0.0074,0.0058,0.006,0.0056,0.0087,0.0042,0.0104,0.0043,0.0067,0.0084,0.0147,0.0052,0.0067,0.0092,0.0054,0.0031,0.0756,0.0084,0.0026,0.0038,0.0031,0.002,0.0036,0.0083,0.0036,0.002,0.0114,0.0143,0.0093,0
"TTL_A03",6e-04,1.019,0,1e-04,1e-04,0.0017,1e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,1e-04,2e-04,3e-04,2e-04,1e-04,0.0046,2e-04,1e-04,1e-04,1e-04,0,1e-04,5e-04,1e-04,1e-04,2e-04,3e-04,2e-04,0
"TTL_B05_06",0.0221,0.0291,1,0.0157,0.0311,0.014,0.0171,0.0158,0.0152,0.2823,0.0427,0.0129,0.0226,0.0219,0.02,0.0124,0.0106,0.0118,0.0103,0.0105,0.0072,0.0123,0.0419,0.0119,0.0121,0.0085,0.0215,0.036,0.0716,0.0128,0.008,0.0079,0.0066,0.0043,0.0051,0.0043,0.0037,0.005,0.0094,0.005,0.0017,0.0064,0.0062,0.0085,0
"TTL_B07_08",0.0258,0.0317,0,1.2838,0.0857,0.0231,0.0269,0.0249,0.0417,0.143,0.0796,0.0192,0.0415,0.2626,0.253,0.0783,0.0306,0.0623,0.045,0.0314,0.0403,0.1347,0.0146,0.0223,0.0602,0.0134,0.0218,0.0273,0.0512,0.0164,0.0085,0.0279,0.0122,0.0074,0.008,0.0058,0.0078,0.0084,0.0171,0.0077,0.0029,0.0098,0.0115,0.0128,0
"TTL_B09",4e-04,5e-04,0,0.0031,1.0074,3e-04,4e-04,4e-04,5e-04,0.0035,9e-04,3e-04,5e-04,0.0022,0.0017,7e-04,3e-04,5e-04,4e-04,3e-04,3e-04,0.001,5e-04,3e-04,8e-04,2e-04,4e-04,6e-04,0.001,3e-04,2e-04,3e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,1e-04,0,1e-04,2e-04,2e-04,0
"TTL_C10T12",0.3297,0.0119,0,0.0085,0.0123,1.3665,0.0286,0.0442,0.0219,0.02,0.0379,0.0143,0.0192,0.0108,0.0122,0.0115,0.0113,0.0111,0.0101,0.0132,0.0073,0.0124,0.0065,0.0121,0.0107,0.0238,0.0098,0.0134,0.0249,0.0126,0.0065,0.3253,0.019,0.0055,0.0074,0.0089,0.0034,0.0081,0.0225,0.0113,0.0062,0.031,0.055,0.0227,0
"TTL_C13T15",0.0054,0.1048,0,0.0032,0.0049,0.0063,1.2414,0.0086,0.0252,0.0038,0.0061,0.0139,0.009,0.0059,0.0048,0.006,0.0043,0.0043,0.0045,0.0139,0.0044,0.0292,0.0024,0.0058,0.0124,0.0051,0.0026,0.0035,0.0048,0.003,0.0022,0.0052,0.0056,0.0019,0.0024,0.0016,0.0018,0.0027,0.0041,0.0021,9e-04,0.0062,0.0098,0.0194,0
"TTL_C16",0.0063,0.0052,0,0.0047,0.0067,0.0064,0.0046,1.276,0.0097,0.0037,0.0083,0.0042,0.0072,0.0084,0.0063,0.0081,0.0044,0.0066,0.006,0.0052,0.0059,0.0289,0.0046,0.0064,0.0366,0.0029,0.0027,0.004,0.0056,0.0034,0.0017,0.004,0.0059,0.002,0.0021,0.0019,0.0038,0.0035,0.0063,0.002,0.0012,0.0035,0.0086,0.0061,0
"TTL_C17_18",0.0227,0.0131,0,0.0121,0.013,0.0494,0.0254,0.0661,1.3023,0.0131,0.0207,0.0284,0.0532,0.0197,0.0148,0.0186,0.0192,0.0185,0.0148,0.0214,0.0098,0.0261,0.0093,0.0135,0.0155,0.0267,0.0113,0.0139,0.015,0.0144,0.0106,0.0233,0.1756,0.0102,0.0135,0.0111,0.0055,0.0214,0.019,0.0157,0.0068,0.0149,0.0301,0.0237,0
"TTL_C19",0.1025,0.1432,0,0.0561,0.0938,0.0609,0.0763,0.0701,0.0636,1.4831,0.1973,0.059,0.1047,0.0848,0.0586,0.0465,0.0459,0.0479,0.0412,0.0447,0.0269,0.0522,0.0262,0.0505,0.053,0.0374,0.1035,0.1759,0.3602,0.0603,0.0372,0.0338,0.0287,0.0172,0.022,0.0176,0.0122,0.0218,0.0436,0.022,0.0066,0.0284,0.0256,0.0381,0
"TTL_C20",0.0929,0.057,0,0.0371,0.0684,0.0767,0.2007,0.125,0.1518,0.1672,1.3451,0.1683,0.3283,0.0666,0.068,0.0622,0.0907,0.0804,0.0448,0.0688,0.03,0.066,0.0422,0.0517,0.0554,0.0426,0.0309,0.0439,0.0696,0.0247,0.0162,0.039,0.038,0.0176,0.0186,0.0152,0.0112,0.0201,0.0247,0.0148,0.006,0.0399,0.0238,0.0541,0
"TTL_C21",0.0053,0.0038,0,0.003,0.0048,0.0074,0.012,0.0057,0.0057,0.0061,0.0101,1.0558,0.0094,0.0038,0.0053,0.0043,0.0049,0.0044,0.0036,0.0043,0.003,0.0041,0.003,0.0043,0.0039,0.0043,0.0034,0.0058,0.0057,0.0035,0.0024,0.0039,0.0049,0.0027,0.0042,0.0033,0.0015,0.0053,0.0037,0.0022,8e-04,0.043,0.0038,0.0042,0
"TTL_C22",0.0159,0.0136,0,0.0141,0.0159,0.0287,0.023,0.0296,0.0339,0.0096,0.02,0.0235,1.0749,0.0181,0.022,0.038,0.027,0.033,0.0321,0.074,0.0119,0.0273,0.0074,0.0189,0.0318,0.0084,0.01,0.0081,0.0111,0.0077,0.0039,0.0136,0.0085,0.0043,0.0042,0.0031,0.0043,0.0046,0.0057,0.0049,0.0019,0.0061,0.0061,0.0104,0
"TTL_C23",0.0124,0.0088,0,0.0289,0.0216,0.0155,0.0101,0.0126,0.0114,0.0146,0.0127,0.0087,0.013,1.1042,0.0223,0.0163,0.0137,0.0231,0.0107,0.018,0.0092,0.0164,0.0088,0.0135,0.0853,0.0081,0.0061,0.0082,0.012,0.0066,0.0037,0.0099,0.0056,0.004,0.0042,0.0036,0.009,0.0049,0.0152,0.0039,0.0016,0.0049,0.0067,0.0079,0
"TTL_C24",0.0239,0.0561,0,0.0245,0.0758,0.0261,0.0282,0.0303,0.0287,0.0214,0.0564,0.0177,0.0608,0.0454,1.7396,0.4546,0.1202,0.29,0.2407,0.1195,0.1988,0.1113,0.0244,0.0298,0.0934,0.0183,0.0425,0.0208,0.0427,0.0176,0.0112,0.0152,0.0124,0.013,0.0086,0.0073,0.0112,0.0131,0.0142,0.011,0.0064,0.0123,0.0145,0.0125,0
"TTL_C25",0.0192,0.083,0,0.0244,0.0435,0.0232,0.023,0.0278,0.0222,0.0158,0.0259,0.0118,0.0294,0.0285,0.0663,1.1266,0.0547,0.0693,0.0734,0.0563,0.0476,0.0597,0.0177,0.0237,0.0778,0.0104,0.0124,0.0186,0.0358,0.0142,0.008,0.0149,0.0097,0.0109,0.007,0.0066,0.0108,0.0096,0.0133,0.0102,0.0038,0.0088,0.0156,0.0098,0
"TTL_C26",0.0065,0.0101,0,0.0068,0.0106,0.0066,0.0066,0.0088,0.0074,0.0061,0.0079,0.0049,0.0067,0.0063,0.0085,0.0132,1.1644,0.0393,0.0364,0.0473,0.0128,0.0284,0.0084,0.0091,0.0209,0.006,0.0051,0.0077,0.013,0.0067,0.0035,0.0042,0.0043,0.0216,0.0075,0.0046,0.0031,0.0051,0.0063,0.0047,0.0013,0.0045,0.005,0.0041,0
"TTL_C27",0.0068,0.021,0,0.006,0.0103,0.0064,0.0063,0.0076,0.0076,0.0053,0.0086,0.0047,0.0085,0.0062,0.0101,0.0239,0.0277,1.0915,0.0382,0.0321,0.0084,0.019,0.0198,0.0082,0.0312,0.0044,0.0047,0.0052,0.0087,0.0037,0.0044,0.0039,0.0037,0.0069,0.003,0.0023,0.0043,0.0034,0.0035,0.003,0.0011,0.0028,0.0038,0.0038,0
"TTL_C28",0.0214,0.0254,0,0.0128,0.0406,0.0125,0.0096,0.0122,0.0126,0.0094,0.0147,0.007,0.0114,0.0097,0.0176,0.0246,0.0145,0.0152,1.1868,0.0614,0.0207,0.0192,0.0119,0.0159,0.0273,0.0055,0.0062,0.008,0.0211,0.0056,0.0036,0.0069,0.0055,0.0054,0.0045,0.0032,0.0038,0.0055,0.0056,0.0037,0.0014,0.0051,0.0053,0.0053,0
