"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.176,0.0136,0.0034,0.0059,0.0052,0.5093,0.0688,0.4299,0.1111,0.0137,0.0547,0.0476,0.0588,0.022,0.013,0.0146,0.0189,0.0201,0.0161,0.0171,0.0151,0.0652,0.0154,0.0045,0.0405,0.0125,0.0084,0.0082,0.0122,0.0084,0.01,0.1636,0.0294,0.0087,0.0069,0.0033,0.0042,0.0083,0.0097,0.0122,0.0109,0.0199,0.0178,0.0253,0
"TTL_A03",0.0032,1.0642,4e-04,5e-04,6e-04,0.0429,0.0026,0.0023,0.002,0.0015,0.0037,0.0033,0.0026,0.0016,0.0012,0.0012,0.0017,0.0016,0.0014,0.0013,0.0012,0.0027,0.0011,4e-04,0.0017,0.001,9e-04,0.0016,0.0017,9e-04,9e-04,0.0336,0.0019,0.001,8e-04,3e-04,3e-04,8e-04,8e-04,0.0011,0.0014,0.0023,0.0019,0.0021,0
"TTL_B05_06",0.0079,0.0065,1.0114,0.0149,0.011,0.0101,0.0158,0.012,0.0192,0.4077,0.0583,0.0188,0.037,0.0421,0.0333,0.021,0.0182,0.0249,0.0191,0.0185,0.0159,0.02,0.0886,0.0068,0.0298,0.0062,0.0524,0.0344,0.0693,0.0151,0.0232,0.0067,0.0104,0.0066,0.0042,0.0021,0.0024,0.005,0.0063,0.0067,0.0043,0.0061,0.0052,0.0141,0
"TTL_B07_08",2e-04,1e-04,3e-04,1.0034,0.001,3e-04,5e-04,4e-04,9e-04,0.0011,0.0043,0.0011,0.002,0.0202,0.0074,0.0028,0.0015,0.0027,0.002,0.0018,0.0013,0.0015,9e-04,3e-04,0.007,1e-04,3e-04,2e-04,3e-04,2e-04,2e-04,2e-04,3e-04,2e-04,1e-04,1e-04,2e-04,1e-04,1e-04,2e-04,1e-04,2e-04,2e-04,4e-04,0
"TTL_B09",1e-04,1e-04,0.0017,8e-04,1.0016,1e-04,1e-04,1e-04,2e-04,0.0031,6e-04,2e-04,4e-04,7e-04,5e-04,3e-04,2e-04,3e-04,2e-04,2e-04,2e-04,2e-04,0.001,1e-04,6e-04,1e-04,4e-04,3e-04,5e-04,2e-04,2e-04,1e-04,1e-04,1e-04,0,0,0,0,1e-04,1e-04,0,1e-04,1e-04,1e-04,0
"TTL_C10T12",0.055,0.0158,0.0017,0.003,0.0026,1.1791,0.0245,0.0243,0.0189,0.0099,0.0444,0.039,0.0282,0.0113,0.008,0.0082,0.0113,0.0115,0.009,0.0088,0.0073,0.0137,0.0065,0.0028,0.0107,0.0069,0.005,0.0069,0.0097,0.0055,0.0058,0.2176,0.0131,0.0054,0.0048,0.0021,0.0016,0.0056,0.006,0.0091,0.0114,0.0212,0.0151,0.0181,0
"TTL_C13T15",0.0019,0.0018,0.0014,0.002,0.002,0.0046,1.3288,0.0053,0.0102,0.0053,0.0106,0.0078,0.017,0.0084,0.0061,0.0077,0.01,0.0102,0.0092,0.0133,0.0087,0.0244,0.0046,0.0018,0.0094,0.0024,0.0032,0.0023,0.0042,0.0023,0.0048,0.0039,0.0065,0.003,0.002,8e-04,8e-04,0.0022,0.0024,0.0032,0.0017,0.0042,0.004,0.0105,0
"TTL_C16",9e-04,7e-04,7e-04,0.0016,0.0013,0.002,0.0035,1.1046,0.0138,0.0019,0.0037,0.0027,0.0052,0.0086,0.0035,0.0054,0.005,0.0061,0.0052,0.007,0.0091,0.0735,0.0042,9e-04,0.0403,0.0011,0.0015,0.001,0.0019,0.0019,0.0018,0.0014,0.0041,0.0016,0.001,4e-04,0.0021,0.0014,0.0012,0.0013,0.0011,0.0013,0.0017,0.0052,0
"TTL_C17_18",0.0038,0.0017,0.0019,0.0044,0.003,0.0224,0.0322,0.0175,1.3724,0.0083,0.0308,0.0393,0.0371,0.0383,0.0118,0.0154,0.0288,0.0296,0.0196,0.0172,0.0129,0.0325,0.0086,0.004,0.0176,0.0091,0.006,0.0038,0.0065,0.0076,0.0259,0.0108,0.2,0.0157,0.0164,0.0082,0.003,0.02,0.0117,0.0099,0.0121,0.0096,0.0137,0.0229,0
"TTL_C19",0.0228,0.0194,0.0169,0.0398,0.0265,0.028,0.043,0.0332,0.05,1.3424,0.1525,0.0508,0.101,0.1086,0.0801,0.0538,0.0486,0.0656,0.0497,0.0488,0.0417,0.0545,0.1207,0.019,0.0829,0.0175,0.1567,0.1026,0.2086,0.0434,0.068,0.0182,0.0284,0.0179,0.0116,0.0057,0.0063,0.0139,0.0182,0.0187,0.0113,0.0166,0.014,0.039,0
