"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.5165,0.0749,0.0476,0.0728,0.1073,0.5598,0.1038,0.5903,0.2263,0.0522,0.0849,0.0843,0.0748,0.0828,0.0825,0.0743,0.0798,0.0996,0.0859,0.0762,0.0753,0.1934,0.0564,0.0663,0.0936,0.1748,0.0699,0.059,0.0881,0.0879,0.0544,0.1168,0.1068,0.0531,0.0893,0.0528,0.0233,0.0816,0.1224,0.0348,0.0368,0.0768,0.0987,0.0725,0
"TTL_A03",1e-04,1.0361,1e-04,1e-04,1e-04,0.0018,1e-04,3e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,2e-04,1e-04,1e-04,2e-04,2e-04,1e-04,1e-04,1e-04,1e-04,2e-04,2e-04,2e-04,3e-04,0.0014,1e-04,9e-04,1e-04,1e-04,1e-04,0,0,0,1e-04,1e-04,0,2e-04,1e-04,1e-04,0
"TTL_B05_06",0.0162,0.0496,1.0725,0.0449,0.0313,0.0289,0.0414,0.0354,0.0559,0.3253,0.1093,0.1186,0.0666,0.0877,0.1475,0.0503,0.0436,0.0462,0.048,0.0383,0.0646,0.0447,0.1904,0.0333,0.0342,0.0186,0.0733,0.0692,0.0511,0.0369,0.0173,0.0202,0.0301,0.0168,0.0266,0.0192,0.006,0.0179,0.0168,0.0118,0.0097,0.025,0.0228,0.0179,0
"TTL_B07_08",0.0058,0.0975,0.0072,1.0994,0.0202,0.0179,0.0109,0.0102,0.0152,0.0063,0.0799,0.0541,0.0252,0.1198,0.1182,0.2043,0.0238,0.0254,0.0313,0.0341,0.0503,0.0308,0.0092,0.0137,0.0422,0.0072,0.0063,0.0073,0.0129,0.0207,0.0065,0.0152,0.0105,0.0043,0.0062,0.0038,0.0038,0.006,0.0072,0.0045,0.0022,0.0104,0.0084,0.006,0
"TTL_B09",1e-04,8e-04,0.0013,0.0012,1.0014,2e-04,2e-04,2e-04,3e-04,0.0021,5e-04,5e-04,3e-04,7e-04,6e-04,4e-04,2e-04,2e-04,2e-04,2e-04,3e-04,2e-04,5e-04,2e-04,3e-04,1e-04,4e-04,4e-04,3e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0,1e-04,1e-04,1e-04,0
"TTL_C10T12",0.023,0.0074,0.0022,0.0036,0.005,1.2365,0.0113,0.0119,0.0079,0.0031,0.0244,0.0243,0.0109,0.0044,0.0043,0.0043,0.0058,0.0045,0.0043,0.0049,0.0044,0.006,0.0028,0.0028,0.0038,0.0139,0.0036,0.0056,0.0075,0.004,0.0025,0.0505,0.0052,0.0022,0.0038,0.0019,8e-04,0.0044,0.005,0.0114,0.0136,0.0324,0.0046,0.0033,0
"TTL_C13T15",0.0017,0.003,0.0022,0.0029,0.0036,0.0033,1.1101,0.0031,0.0054,0.0022,0.0045,0.0046,0.0114,0.0034,0.004,0.0033,0.006,0.0051,0.0035,0.0391,0.0035,0.0072,0.0021,0.0037,0.0027,0.0023,0.0026,0.0027,0.0033,0.0032,0.0016,0.0099,0.0042,0.0017,0.0024,0.0012,0.0038,0.0018,0.0043,0.0021,0.001,0.0038,0.0037,0.0018,0
"TTL_C16",0.0019,0.0037,0.0024,0.0026,0.0054,0.0044,0.0037,1.1027,0.0077,0.0019,0.003,0.003,0.0041,0.006,0.0052,0.0062,0.0049,0.0048,0.0039,0.0047,0.0083,0.1264,0.0022,0.0023,0.0133,0.0023,0.0023,0.0026,0.0036,0.004,0.0013,0.0032,0.0043,0.0012,0.0032,0.0015,0.0029,0.0019,0.0018,0.0013,0.0012,0.0021,0.0035,0.0024,0
"TTL_C17_18",0.0051,0.0267,0.005,0.0066,0.0113,0.0227,0.0239,0.0219,1.4569,0.0052,0.0282,0.0279,0.0223,0.0279,0.0087,0.0119,0.0243,0.0187,0.0099,0.0243,0.0091,0.019,0.0073,0.0067,0.0111,0.0124,0.0062,0.0074,0.0126,0.0137,0.0177,0.0179,0.2699,0.0177,0.056,0.0203,0.0016,0.0124,0.0083,0.0087,0.0142,0.0092,0.0199,0.0159,0
"TTL_C19",0.0355,0.1167,0.0566,0.1052,0.0445,0.0507,0.0619,0.0779,0.0675,1.0642,0.0855,0.1242,0.0918,0.0924,0.11,0.0891,0.0596,0.0585,0.0541,0.0513,0.0635,0.0543,0.0772,0.0571,0.0607,0.035,0.206,0.2004,0.1276,0.0748,0.0312,0.0285,0.0424,0.03,0.0407,0.0328,0.0098,0.026,0.0251,0.0194,0.013,0.0371,0.0288,0.029,0
