"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.2862,0.0562,0.0083,0.007,0.0082,0.486,0.052,0.1631,0.0276,0.0084,0.0452,0.0289,0.0302,0.0101,0.0097,0.0086,0.0107,0.0111,0.009,0.0083,0.0087,0.0195,0.0092,0.0111,0.011,0.0095,0.0061,0.0117,0.0119,0.0079,0.0068,0.1807,0.014,0.0069,0.0068,0.0042,0.0019,0.0069,0.0091,0.0116,0.0082,0.0158,0.0228,0.022,0
"TTL_A03",0.0011,1.0188,1e-04,1e-04,1e-04,0.0063,2e-04,3e-04,2e-04,2e-04,4e-04,3e-04,2e-04,1e-04,2e-04,1e-04,2e-04,2e-04,1e-04,1e-04,1e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,8e-04,2e-04,2e-04,1e-04,0.0041,2e-04,1e-04,1e-04,1e-04,0,1e-04,1e-04,2e-04,1e-04,2e-04,3e-04,3e-04,0
"TTL_B05_06",0.0446,0.0506,1.0876,0.0572,0.051,0.0402,0.0278,0.0526,0.0481,0.5111,0.1141,0.0372,0.0649,0.0804,0.1047,0.0519,0.0338,0.0515,0.0364,0.0284,0.0354,0.0363,0.2661,0.0524,0.0362,0.0166,0.0787,0.108,0.1393,0.0355,0.0356,0.0264,0.0237,0.0177,0.0119,0.0076,0.0052,0.0135,0.0154,0.0217,0.0115,0.0182,0.0302,0.0363,0
"TTL_B07_08",0.0022,0.001,0.0027,1.021,0.0065,0.0021,0.0014,0.0029,0.0028,0.0019,0.0091,0.0029,0.0051,0.0562,0.0226,0.0089,0.0035,0.0076,0.005,0.0035,0.0043,0.0039,0.0024,0.0035,0.0188,6e-04,9e-04,0.0011,0.001,0.0011,6e-04,0.0011,0.0011,8e-04,5e-04,3e-04,7e-04,7e-04,6e-04,0.0011,4e-04,8e-04,0.0011,0.0017,0
"TTL_B09",0.0031,0.0045,0.0528,0.0201,1.0421,0.0027,0.0019,0.0035,0.0035,0.0309,0.0081,0.0026,0.0046,0.0087,0.0092,0.0046,0.0028,0.0042,0.0031,0.0022,0.0028,0.0028,0.0147,0.0037,0.0044,0.0011,0.0051,0.0068,0.0088,0.0025,0.0022,0.0017,0.0017,0.0012,8e-04,5e-04,4e-04,0.0011,0.0011,0.0015,7e-04,0.0012,0.0019,0.0024,0
"TTL_C10T12",0.1359,0.0731,0.0051,0.0051,0.0052,1.2412,0.021,0.0261,0.0173,0.0076,0.0449,0.0321,0.0205,0.0084,0.0086,0.0076,0.0097,0.01,0.008,0.0065,0.0073,0.0108,0.0068,0.0097,0.0068,0.0082,0.0053,0.0134,0.0133,0.007,0.0057,0.2919,0.0131,0.0062,0.0067,0.0044,0.0014,0.0065,0.008,0.0133,0.0115,0.0201,0.0275,0.0247,0
"TTL_C13T15",0.0082,0.0145,0.007,0.0057,0.0078,0.01,1.4834,0.0161,0.0245,0.0063,0.0124,0.0159,0.0313,0.0123,0.0096,0.0105,0.0132,0.0125,0.0117,0.0208,0.0165,0.0624,0.0063,0.0143,0.011,0.0086,0.0057,0.0085,0.0104,0.007,0.0106,0.0114,0.0119,0.0055,0.0051,0.0026,0.0012,0.0078,0.0102,0.0146,0.0051,0.0176,0.0266,0.0433,0
"TTL_C16",0.0017,0.0011,9e-04,0.0011,0.001,0.0021,0.0019,1.1003,0.0083,9e-04,0.0023,0.0019,0.0034,0.0032,0.0023,0.0029,0.0022,0.0029,0.0024,0.0022,0.0031,0.0222,0.0016,0.0019,0.0097,0.001,9e-04,0.0012,0.0012,0.0013,0.001,0.0013,0.0025,9e-04,9e-04,4e-04,7e-04,0.001,9e-04,0.001,7e-04,0.0012,0.0019,0.003,0
"TTL_C17_18",0.0161,0.0117,0.0068,0.0083,0.0079,0.0476,0.0244,0.0436,1.4576,0.0083,0.0385,0.0521,0.0504,0.0348,0.0146,0.0174,0.0309,0.0305,0.0184,0.0153,0.0159,0.0372,0.0097,0.0168,0.0147,0.0177,0.0083,0.0106,0.0103,0.0153,0.0326,0.0221,0.2304,0.019,0.0298,0.0168,0.0032,0.0304,0.0224,0.0236,0.0202,0.017,0.0348,0.0359,0
"TTL_C19",0.0693,0.0984,0.0499,0.0704,0.0591,0.0526,0.0334,0.0658,0.0473,1.1525,0.129,0.045,0.0743,0.0871,0.0909,0.05,0.04,0.0573,0.0379,0.0328,0.0367,0.0455,0.0854,0.0621,0.0469,0.0245,0.1605,0.2302,0.3029,0.0579,0.0627,0.0303,0.0283,0.0186,0.0155,0.0102,0.0049,0.0182,0.0235,0.0279,0.0118,0.0207,0.0316,0.0473,0
"TTL_C20",0.072,0.017,0.0188,0.022,0.0195,0.0484,0.0566,0.0751,0.0791,0.0223,1.2626,0.1008,0.2811,0.0504,0.0335,0.0339,0.0417,0.0612,0.0306,0.0334,0.0347,0.052,0.0155,0.0333,0.0312,0.0096,0.0122,0.0136,0.0152,0.011,0.0096,0.022,0.0291,0.0087,0.0088,0.0037,0.0031,0.0103,0.0113,0.0094,0.0058,0.025,0.016,0.0335,0
"TTL_C21",0.0051,0.0015,0.0011,0.001,0.001,0.004,0.0022,0.0027,0.0024,0.0015,0.0072,1.1407,0.0058,0.0016,0.0019,0.0015,0.0022,0.0022,0.0019,0.0012,0.0015,0.0026,0.0011,0.0014,0.0013,8e-04,7e-04,0.0012,0.0012,7e-04,8e-04,0.0017,0.0015,8e-04,8e-04,4e-04,2e-04,0.0021,7e-04,0.0016,8e-04,0.0519,0.0021,0.0028,0
"TTL_C22",0.0148,0.0106,0.0096,0.0095,0.0087,0.0325,0.025,0.0291,0.0353,0.0085,0.034,0.0356,1.1756,0.0237,0.0141,0.023,0.0483,0.0552,0.0348,0.0508,0.0415,0.0495,0.008,0.02,0.0356,0.0104,0.0158,0.0081,0.0092,0.011,0.0096,0.0135,0.015,0.0074,0.0066,0.0027,0.0023,0.007,0.0071,0.0065,0.0034,0.0094,0.0095,0.0198,0
"TTL_C23",0.0079,0.0042,0.0062,0.0133,0.0113,0.0133,0.0061,0.0236,0.0073,0.005,0.0157,0.0147,0.0216,1.1919,0.025,0.0224,0.0195,0.0279,0.0157,0.0189,0.0168,0.0179,0.0077,0.0149,0.1413,0.0039,0.0041,0.0048,0.0043,0.0062,0.0033,0.0073,0.0047,0.0048,0.0029,0.0016,0.0061,0.0051,0.0035,0.0063,0.0028,0.0049,0.0066,0.0099,0
"TTL_C24",0.0132,0.0105,0.0352,0.0202,0.0305,0.0169,0.0134,0.0346,0.0217,0.0209,0.0302,0.0171,0.0493,0.0478,1.6052,0.4725,0.1254,0.3608,0.2432,0.1393,0.194,0.1287,0.0232,0.046,0.0954,0.0093,0.0125,0.0156,0.0152,0.0139,0.0079,0.0091,0.0123,0.0144,0.0092,0.0031,0.0039,0.0105,0.0082,0.0102,0.0043,0.0088,0.013,0.0292,0
"TTL_C25",0.01,0.0081,0.0201,0.0121,0.0181,0.0147,0.0097,0.0313,0.0121,0.0124,0.0182,0.0114,0.0272,0.0212,0.0448,1.1106,0.037,0.0599,0.0821,0.0501,0.0705,0.0478,0.0117,0.0161,0.0485,0.0052,0.0069,0.0091,0.0085,0.0092,0.0048,0.0071,0.0068,0.0069,0.0049,0.0017,0.0024,0.0061,0.0053,0.0075,0.0027,0.0048,0.0082,0.0185,0
"TTL_C26",0.0025,0.0026,0.0037,0.0028,0.0037,0.0033,0.0032,0.0045,0.0056,0.0033,0.0052,0.0055,0.0066,0.0042,0.0052,0.0078,1.2977,0.0484,0.0216,0.0139,0.0247,0.0165,0.0055,0.0067,0.0082,0.004,0.0029,0.0043,0.0052,0.0051,0.0062,0.0026,0.0129,0.041,0.0246,0.0028,8e-04,0.0085,0.005,0.0056,0.003,0.0109,0.008,0.0364,0
"TTL_C27",0.0041,0.0038,0.0055,0.0053,0.0062,0.0048,0.0044,0.0071,0.0067,0.0046,0.0071,0.0056,0.0106,0.0077,0.0123,0.0141,0.0929,1.1759,0.043,0.0304,0.0342,0.0257,0.017,0.0103,0.0284,0.0048,0.0048,0.0057,0.0049,0.0056,0.0039,0.0038,0.0076,0.017,0.0079,0.0017,0.0016,0.0057,0.0044,0.0048,0.0021,0.0043,0.008,0.0225,0
"TTL_C28",0.0137,0.0103,0.0257,0.0222,0.026,0.0123,0.0091,0.0189,0.0171,0.0157,0.0165,0.011,0.0199,0.021,0.0225,0.0286,0.0299,0.0443,1.1471,0.0393,0.0536,0.0389,0.0179,0.0179,0.0254,0.0056,0.0091,0.0125,0.0115,0.0098,0.006,0.0064,0.0088,0.0074,0.0057,0.0021,0.0016,0.0065,0.0068,0.006,0.0025,0.0052,0.0082,0.0158,0
"TTL_C29",0.0051,0.0043,0.006,0.0063,0.006,0.0063,0.0062,0.0081,0.0064,0.0066,0.0077,0.0065,0.0119,0.0088,0.0155,0.0148,0.014,0.0192,0.0254,1.3242,0.0269,0.0184,0.0054,0.0112,0.0082,0.0163,0.022,0.0062,0.0058,0.0106,0.0076,0.0036,0.005,0.0039,0.0031,0.0013,7e-04,0.0038,0.0057,0.004,0.0016,0.003,0.0049,0.0114,0
"TTL_C30",3e-04,0.0025,4e-04,3e-04,3e-04,4e-04,3e-04,5e-04,4e-04,4e-04,4e-04,4e-04,5e-04,4e-04,5e-04,7e-04,9e-04,8e-04,9e-04,0.0019,1.1352,0.0048,3e-04,4e-04,4e-04,4e-04,0.0024,0.0099,0.0135,0.0014,6e-04,2e-04,3e-04,2e-04,2e-04,1e-04,0,2e-04,5e-04,0.0023,1e-04,2e-04,4e-04,0.0012,0
"TTL_C31T33",0.0081,0.0099,0.0097,0.009,0.0093,0.0088,0.0121,0.0152,0.0117,0.0075,0.0112,0.0115,0.0123,0.011,0.0136,0.0126,0.0154,0.0145,0.0152,0.0095,0.0159,1.0534,0.0111,0.0136,0.0119,0.0041,0.008,0.0136,0.0178,0.0088,0.0068,0.0063,0.0094,0.0071,0.007,0.0037,0.0015,0.0065,0.0067,0.0076,0.0057,0.0192,0.0176,0.0159,0
"TTL_D",0.0584,0.0336,0.0556,0.0751,0.0426,0.0636,0.053,0.1001,0.1037,0.0457,0.1113,0.0543,0.1024,0.1114,0.1521,0.0848,0.057,0.0797,0.0632,0.0469,0.0591,0.0553,1.3102,0.111,0.0425,0.0241,0.035,0.0273,0.0267,0.0413,0.0307,0.0576,0.0476,0.0463,0.0222,0.0148,0.0138,0.0214,0.0213,0.0432,0.0275,0.0392,0.0782,0.0667,0
"TTL_E",0.0027,0.0018,0.0025,0.0024,0.0025,0.0035,0.0025,0.0041,0.0079,0.0021,0.0046,0.0031,0.0049,0.0047,0.0237,0.0101,0.0038,0.0074,0.0055,0.0035,0.0048,0.0039,0.0039,1.0452,0.0034,0.0015,0.0015,0.0019,0.0015,0.0023,0.0019,0.0039,0.0027,0.0015,0.0012,9e-04,0.001,0.0015,0.0016,0.0045,0.0024,0.0032,0.0045,0.0046,0
"TTL_F",0.0084,0.0057,0.0089,0.0098,0.0119,0.0078,0.0058,0.0115,0.0081,0.007,0.0092,0.0073,0.0096,0.0123,0.0105,0.0098,0.0081,0.0097,0.0085,0.0061,0.0082,0.0097,0.018,0.0331,1.0912,0.0058,0.0083,0.0083,0.0077,0.0186,0.0094,0.0081,0.0083,0.0111,0.0052,0.0047,0.02,0.0094,0.0057,0.028,0.0081,0.0079,0.0163,0.0137,0
