"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.0846,0.0205,0.0108,0.0112,0.0075,0.3417,0.0589,0.0935,0.0684,0.0192,0.0984,0.0152,0.0529,0.0182,0.0186,0.0146,0.0114,0.0167,0.0104,0.015,0.0088,0.016,0.0055,0.0077,0.0145,0.0133,0.008,0.0073,0.0118,0.0052,0.0043,0.0936,0.0366,0.0054,0.0033,0.0025,0.0011,0.0068,0.0058,0.0063,0.0059,0.0116,0.0084,0.0258,0
"TTL_A03",8e-04,1.0209,1e-04,1e-04,1e-04,0.0056,2e-04,6e-04,8e-04,2e-04,4e-04,2e-04,3e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,3e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,1e-04,1e-04,0.0042,5e-04,1e-04,1e-04,1e-04,0,1e-04,1e-04,3e-04,4e-04,5e-04,1e-04,6e-04,0
"TTL_B05_06",0.027,0.0072,1.0485,0.0376,0.0307,0.0269,0.0155,0.0224,0.031,0.3783,0.0459,0.012,0.0312,0.042,0.0917,0.0387,0.0161,0.033,0.0235,0.0289,0.0155,0.0179,0.0584,0.0264,0.0251,0.012,0.0713,0.0297,0.0888,0.0125,0.0127,0.0143,0.0091,0.0066,0.0044,0.0028,0.0014,0.0062,0.0075,0.0052,0.0038,0.0059,0.0068,0.0122,0
"TTL_B07_08",0.0115,0.0018,0.0261,1.049,0.0232,0.0113,0.0067,0.0119,0.0104,0.0159,0.0312,0.0057,0.0157,0.1215,0.231,0.0681,0.0082,0.0499,0.0409,0.0366,0.0184,0.0221,0.0063,0.0146,0.0473,0.0036,0.0059,0.0055,0.0065,0.004,0.0027,0.0054,0.0039,0.0034,0.0019,9e-04,0.0025,0.0022,0.0032,0.0024,0.0014,0.003,0.0032,0.004,0
"TTL_B09",0.002,7e-04,0.0262,0.0153,1.0378,0.0019,0.0011,0.0016,0.0022,0.0247,0.0039,9e-04,0.0024,0.0058,0.0084,0.0033,0.0012,0.0027,0.002,0.0023,0.0012,0.0015,0.0027,0.0015,0.0032,8e-04,0.0048,0.002,0.0059,0.001,9e-04,0.001,6e-04,5e-04,3e-04,2e-04,2e-04,5e-04,6e-04,4e-04,3e-04,4e-04,5e-04,8e-04,0
"TTL_C10T12",0.0671,0.024,0.0139,0.0136,0.0095,1.1954,0.0326,0.0248,0.0333,0.0248,0.0795,0.0194,0.0537,0.0204,0.0145,0.0163,0.0111,0.0195,0.0115,0.0151,0.0094,0.0142,0.0077,0.008,0.0126,0.0096,0.0091,0.0077,0.0162,0.0059,0.0049,0.2389,0.0384,0.0058,0.0039,0.0037,0.0012,0.0081,0.0068,0.0105,0.011,0.0214,0.0075,0.0312,0
"TTL_C13T15",0.004,7e-04,0.0039,0.0052,0.0032,0.0041,1.2967,0.0149,0.0059,0.0032,0.0039,0.004,0.0119,0.0038,0.004,0.0044,0.0042,0.0036,0.0038,0.0143,0.0057,0.0153,0.0026,0.003,0.004,0.002,0.0029,0.0041,0.0064,0.0028,0.0027,0.0052,0.0053,0.0025,0.0011,0.0017,4e-04,0.0021,0.0025,0.0017,0.0022,0.0022,0.0046,0.0145,0
"TTL_C16",0.0035,8e-04,0.0023,0.003,0.0025,0.0036,0.003,1.1308,0.0096,0.0021,0.0026,0.0027,0.0032,0.0038,0.0051,0.006,0.0066,0.0029,0.0058,0.0043,0.0045,0.0436,0.003,0.0023,0.0143,0.0031,0.0014,0.0046,0.0022,0.0031,0.0023,0.0018,0.004,0.0015,0.0012,5e-04,0.0012,0.0013,0.0017,9e-04,7e-04,0.0026,0.0019,0.0025,0
"TTL_C17_18",0.01,0.0023,0.0084,0.0097,0.0084,0.0288,0.0243,0.0565,1.2048,0.011,0.0197,0.0252,0.0404,0.0346,0.0102,0.0262,0.0322,0.0197,0.013,0.021,0.0103,0.0193,0.0062,0.0062,0.0114,0.017,0.0078,0.0113,0.012,0.01,0.0106,0.0169,0.0569,0.0134,0.0133,0.0089,0.0022,0.026,0.0187,0.0061,0.007,0.009,0.0151,0.0131,0
"TTL_C19",0.0975,0.0272,0.0813,0.128,0.0805,0.0924,0.0496,0.0675,0.0859,1.6291,0.1565,0.0403,0.1052,0.1298,0.125,0.0691,0.0536,0.0805,0.0557,0.0714,0.0413,0.0485,0.0378,0.0381,0.0638,0.0404,0.2954,0.1175,0.3695,0.0423,0.0463,0.0483,0.0274,0.0146,0.0127,0.0084,0.0034,0.019,0.019,0.0132,0.0108,0.0171,0.0172,0.0408,0
