"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.0425,0.0096,0.002,0.0024,0.0018,0.0522,0.0048,0.0048,0.0025,0.0028,0.0021,0.002,0.0048,0.0019,0.0019,0.0146,0.097,0.002,0.0449,0,0.0288,0.0472,0.0043,0.0063,0.0106,0.0046,0.0046,0.0018,0.0024,0.006,0.0026,0.0445,0.0036,0.0032,0.0054,0.0014,0.0011,0.0042,0.0068,0.0372,0.0237,0.0264,0.0027,0.0036,0
"TTL_A03",0.0018,1.0008,1e-04,2e-04,1e-04,0.0032,4e-04,3e-04,2e-04,2e-04,1e-04,2e-04,3e-04,1e-04,1e-04,0.001,4e-04,4e-04,0.003,0,0.002,0.0031,3e-04,4e-04,4e-04,3e-04,4e-04,1e-04,2e-04,4e-04,2e-04,0.0043,3e-04,2e-04,4e-04,1e-04,1e-04,3e-04,6e-04,0.004,0.0016,0.0018,2e-04,3e-04,0
"TTL_B05_06",0.0917,0.1596,1.1443,0.1271,0.075,0.1001,0.0953,0.1163,0.0967,0.4117,0.3201,0.1116,0.1103,0.0976,0.0986,0.0904,0.1999,0.0785,0.1431,0,0.157,0.1361,0.2424,0.0757,0.1404,0.0948,0.2081,0.1035,0.1672,0.17,0.096,0.0748,0.0681,0.0633,0.1022,0.0389,0.0249,0.087,0.1145,0.0921,0.0561,0.0821,0.0416,0.0474,0
"TTL_B07_08",0.0911,0.0611,0.0986,1.1572,0.08,0.1372,0.1276,0.4207,0.6949,0.0788,0.3445,0.4207,0.3139,0.8836,0.8963,0.5451,0.1446,0.6499,0.2116,0,0.1755,0.2139,0.1236,0.1211,0.5183,0.1633,0.192,0.693,0.1091,0.0917,0.1223,0.1861,0.1335,0.3756,0.1793,0.2352,0.1296,0.1664,0.1456,0.1827,0.147,0.129,0.0639,0.0802,0
"TTL_B09",0.002,0.0031,0.0038,0.0028,1.0022,0.0025,0.0023,0.0058,0.0026,0.0075,0.0059,0.0024,0.0025,0.0022,0.0022,0.0066,0.004,0.0018,0.0032,0,0.0033,0.0031,0.0046,0.0019,0.0037,0.0029,0.0052,0.0022,0.0036,0.0035,0.0021,0.0019,0.0017,0.0016,0.0026,0.0024,0.0016,0.0023,0.0027,0.0031,0.0021,0.0019,0.0016,0.0012,0
"TTL_C10T12",0.2426,0.2119,0.0084,0.0096,0.0071,1.3407,0.0261,0.021,0.0112,0.0124,0.0082,0.0088,0.0249,0.0075,0.0075,0.0206,0.0324,0.0137,0.0554,0,0.041,0.0421,0.0382,0.0215,0.03,0.0306,0.0146,0.0082,0.014,0.0819,0.0134,0.3122,0.0334,0.0131,0.0412,0.0087,0.01,0.0303,0.0273,0.0465,0.0494,0.0569,0.0257,0.025,0
"TTL_C13T15",0.0039,0.0029,0.0018,0.0022,0.0014,0.0111,1.0968,0.003,0.0021,0.0021,0.0019,0.0015,0.0044,0.0017,0.0017,0.0146,0.0034,0.0084,0.0372,0,0.0305,0.0395,0.0034,0.0041,0.0253,0.0064,0.0021,0.0021,0.0041,0.0032,0.1461,0.0051,0.0026,0.0035,0.0057,0.002,9e-04,0.0044,0.0043,0.0032,0.0085,0.0061,0.0016,0.0028,0
"TTL_C16",2e-04,2e-04,1e-04,2e-04,1e-04,4e-04,5e-04,1.0016,6e-04,1e-04,1e-04,1e-04,4e-04,2e-04,2e-04,2e-04,2e-04,2e-04,5e-04,0,4e-04,5e-04,3e-04,4e-04,6e-04,5e-04,2e-04,2e-04,2e-04,0.001,0.0086,3e-04,5e-04,2e-04,7e-04,3e-04,1e-04,7e-04,6e-04,3e-04,6e-04,3e-04,4e-04,5e-04,0
"TTL_C17_18",0.0014,0.0014,0.0014,0.0019,0.0011,0.0024,0.0028,0.025,1.011,0.0013,0.0011,0.001,0.0023,0.0015,0.0015,0.0019,0.0017,0.002,0.0028,0,0.0025,0.0027,0.0026,0.0022,0.0073,0.0027,0.0022,0.0013,0.0025,0.0014,0.002,0.0025,0.004,0.0083,0.0044,0.0048,0.0011,0.0036,0.0076,0.0015,0.0029,0.0042,0.0021,0.002,0
"TTL_C19",0.2586,0.3741,0.204,0.292,0.1337,0.2677,0.2364,0.2932,0.2256,1.2411,0.1995,0.1763,0.2586,0.2242,0.2266,0.2248,0.4838,0.1768,0.3167,0,0.3844,0.307,0.6396,0.1787,0.3472,0.2516,0.5989,0.2559,0.4831,0.4716,0.1371,0.1957,0.1761,0.153,0.2775,0.096,0.0569,0.2325,0.3182,0.2553,0.1507,0.1862,0.1067,0.1147,0
