"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.3053,0.082,0.0048,0.0061,0.0057,0.3447,0.0273,0.4188,0.0841,0.0063,0.0347,0.0217,0.0324,0.0116,0.0066,0.0088,0.0063,0.0094,0.0074,0.0074,0.0056,0.0342,0.004,0.0043,0.0331,0.0071,0.006,0.0066,0.0059,0.0054,0.0051,0.0888,0.0119,0.0058,0.0061,0.0048,0.0036,0.0054,0.0048,0.0109,0.0043,0.009,0.0083,0.0081,0
"TTL_A03",0.0076,1.0289,2e-04,2e-04,2e-04,0.0423,8e-04,0.0026,8e-04,2e-04,0.001,0.0037,0.001,3e-04,2e-04,3e-04,3e-04,3e-04,3e-04,3e-04,2e-04,5e-04,1e-04,2e-04,4e-04,3e-04,2e-04,3e-04,3e-04,2e-04,2e-04,0.0097,3e-04,2e-04,3e-04,2e-04,1e-04,3e-04,2e-04,4e-04,2e-04,7e-04,4e-04,3e-04,0
"TTL_B05_06",0.045,0.07,1.0631,0.0354,0.043,0.0361,0.0285,0.036,0.0605,0.81,0.1739,0.0301,0.0577,0.0706,0.0706,0.0426,0.0165,0.0367,0.0288,0.0257,0.0215,0.0311,0.0847,0.0325,0.0352,0.0258,0.0863,0.1474,0.1246,0.0269,0.0395,0.0208,0.0184,0.012,0.0097,0.0131,0.0122,0.0128,0.0175,0.0156,0.0176,0.0135,0.0151,0.023,0
"TTL_B07_08",0.0079,0.0129,0.0086,1.024,0.0211,0.0092,0.0053,0.0085,0.0115,0.0088,0.0107,0.0078,0.0109,0.0715,0.2681,0.085,0.0133,0.068,0.0446,0.032,0.0314,0.0773,0.0099,0.0047,0.0294,0.0042,0.0054,0.0093,0.0079,0.0071,0.0034,0.0044,0.0056,0.0047,0.0048,0.0038,0.0034,0.0051,0.006,0.0056,0.0028,0.0057,0.0067,0.0052,0
"TTL_B09",0.0026,0.0041,0.046,0.0183,1.0264,0.002,0.0015,0.002,0.0031,0.0352,0.0079,0.0017,0.0029,0.0045,0.0079,0.0035,0.0011,0.003,0.0023,0.0019,0.0017,0.0029,0.0044,0.0016,0.0239,0.0014,0.0046,0.0068,0.0057,0.0019,0.002,0.0013,0.0011,0.0011,8e-04,9e-04,0.002,9e-04,0.0011,0.0015,0.0011,9e-04,0.0012,0.0015,0
"TTL_C10T12",0.0789,0.031,0.0043,0.0058,0.0054,1.1783,0.0176,0.0293,0.0146,0.0054,0.0244,0.0454,0.0245,0.0079,0.0057,0.0075,0.007,0.0082,0.0069,0.0067,0.0059,0.0102,0.0029,0.0043,0.0083,0.0079,0.0038,0.0063,0.0071,0.0046,0.0036,0.2113,0.0071,0.0044,0.006,0.0056,0.0024,0.0061,0.0055,0.0082,0.0056,0.0188,0.0086,0.0064,0
"TTL_C13T15",0.0095,0.0818,0.0031,0.0072,0.004,0.0107,1.2915,0.0076,0.0135,0.0038,0.0092,0.0073,0.035,0.0085,0.0053,0.0056,0.0049,0.0078,0.0063,0.0121,0.0042,0.0391,0.0018,0.003,0.0145,0.0049,0.004,0.0145,0.0033,0.0043,0.0034,0.009,0.0045,0.0027,0.0033,0.0025,0.0017,0.0037,0.003,0.0061,0.003,0.0124,0.005,0.0078,0
"TTL_C16",0.0074,0.0265,0.0044,0.0042,0.0046,0.0093,0.008,1.1211,0.0912,0.0048,0.0068,0.0073,0.0092,0.0131,0.0061,0.0096,0.0051,0.0089,0.0075,0.0066,0.0052,0.0674,0.0032,0.0034,0.054,0.0045,0.0041,0.0046,0.0036,0.0046,0.0038,0.0044,0.0114,0.0055,0.0052,0.0036,0.0044,0.0037,0.0038,0.0044,0.0026,0.0035,0.007,0.0089,0
"TTL_C17_18",0.0134,0.0259,0.0081,0.0099,0.0098,0.0475,0.0241,0.0183,1.234,0.011,0.0236,0.0363,0.0277,0.0427,0.0108,0.0165,0.0161,0.027,0.0132,0.0123,0.0119,0.0338,0.005,0.0124,0.0168,0.0176,0.0074,0.0135,0.0104,0.0115,0.0127,0.0205,0.1093,0.0374,0.0317,0.0163,0.0049,0.0128,0.012,0.0093,0.0126,0.0113,0.0387,0.0176,0
"TTL_C19",0.0345,0.0661,0.0162,0.025,0.0348,0.0214,0.0158,0.0221,0.024,1.0474,0.111,0.018,0.0354,0.0223,0.023,0.0167,0.0092,0.0166,0.0132,0.0129,0.0097,0.0185,0.0118,0.0241,0.026,0.0148,0.0851,0.1309,0.1326,0.0182,0.0363,0.0113,0.0092,0.0076,0.0055,0.0064,0.0045,0.006,0.0124,0.0091,0.0083,0.0067,0.008,0.0118,0
"TTL_C20",0.0679,0.0538,0.0189,0.0296,0.0216,0.0459,0.0846,0.0502,0.084,0.0364,1.1984,0.0814,0.2714,0.0486,0.0255,0.0398,0.0246,0.0479,0.0274,0.033,0.0192,0.0526,0.0141,0.0158,0.0396,0.0131,0.0299,0.0434,0.0394,0.0149,0.018,0.0198,0.019,0.0117,0.0137,0.0107,0.0065,0.0101,0.0219,0.0127,0.01,0.015,0.0191,0.0304,0
