"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.1557,0.0165,0.0084,0.0018,0.0017,0.244,0.0147,0.0119,0.0151,0.0066,0.0075,0.0042,0.0049,0.0045,0.0054,0.0027,0.0023,0.0029,0.0025,0.0022,0.0028,0.0043,0.0036,0.0056,0.0036,0.0033,0.0028,0.0059,0.0045,0.0055,0.0014,0.0595,0.0029,0.0018,0.0017,9e-04,0.0021,0.0021,0.004,0.0054,0.0108,0.0074,0.0077,0.002,0
"TTL_A03",0,1.0413,0,0,0,1e-04,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTL_B05_06",0.0074,0.0031,1.0181,0.0036,0.0031,0.0058,0.0096,0.007,0.012,0.2559,0.0713,0.0103,0.033,0.0313,0.0135,0.0082,0.0067,0.0104,0.0069,0.0062,0.007,0.0048,0.0358,0.0063,0.0151,0.0049,0.0073,0.013,0.0076,0.0085,0.0045,0.0057,0.0058,0.0038,0.0023,0.0012,0.0015,0.0038,0.0048,0.0025,0.0077,0.0038,0.0062,0.0031,0
"TTL_B07_08",0.0024,0.0011,0.0039,1.0014,0.001,0.0019,0.0029,0.0023,0.0043,0.0306,0.0477,0.0039,0.0141,0.0126,0.0079,0.0033,0.0026,0.0042,0.0025,0.0023,0.0026,0.0017,0.0067,0.0021,0.0077,0.0014,0.0023,0.0045,0.0023,0.0024,0.0012,0.0016,0.0019,0.0012,7e-04,4e-04,6e-04,0.0012,0.0015,7e-04,0.0021,0.0011,0.0018,0.0011,0
"TTL_B09",1e-04,1e-04,4e-04,1e-04,1.0001,1e-04,1e-04,1e-04,2e-04,0.002,0.0021,2e-04,6e-04,3e-04,1e-04,1e-04,1e-04,2e-04,1e-04,1e-04,1e-04,1e-04,3e-04,1e-04,2e-04,1e-04,1e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0,0,1e-04,1e-04,0,1e-04,1e-04,1e-04,1e-04,0
"TTL_C10T12",0.0677,0.0512,0.0051,0.0013,0.0012,1.1569,0.0121,0.0037,0.0069,0.0145,0.0194,0.0124,0.0077,0.0039,0.0032,0.003,0.0034,0.0045,0.0038,0.0035,0.0036,0.0036,0.0034,0.0033,0.0033,0.0057,0.0055,0.0114,0.0102,0.0038,0.0023,0.1823,0.0042,0.0028,0.0039,0.0012,9e-04,0.0039,0.004,0.0061,0.0292,0.0241,0.0115,0.0052,0
"TTL_C13T15",0.005,0.003,0.0062,0.0014,0.0014,0.0051,1.1779,0.0036,0.0082,0.0242,0.0354,0.0071,0.0161,0.0044,0.004,0.0039,0.0057,0.007,0.0061,0.006,0.0101,0.0132,0.0034,0.0027,0.0078,0.0067,0.0036,0.007,0.0047,0.0055,0.006,0.0058,0.0055,0.003,0.0016,9e-04,9e-04,0.0031,0.0048,0.0016,0.0086,0.0034,0.0045,0.003,0
"TTL_C16",0.0115,0.0081,0.0195,0.0048,0.0042,0.0124,0.0075,1.4228,0.0514,0.0099,0.0077,0.0053,0.0064,0.0197,0.0083,0.0166,0.0131,0.0129,0.0111,0.0107,0.0532,0.1139,0.0144,0.0136,0.0885,0.0088,0.0108,0.016,0.0151,0.0106,0.0067,0.0081,0.0082,0.0084,0.004,0.0024,0.0073,0.0054,0.0068,0.0061,0.0134,0.0047,0.015,0.0034,0
"TTL_C17_18",0.0135,0.0078,0.028,0.0101,0.0068,0.0257,0.0239,0.0151,1.1411,0.0183,0.0193,0.0167,0.0164,0.024,0.0108,0.0139,0.0175,0.0205,0.0172,0.0154,0.0168,0.0173,0.0132,0.0131,0.0139,0.0352,0.0126,0.0241,0.0156,0.0271,0.0125,0.0153,0.0838,0.0178,0.0134,0.0078,0.0053,0.033,0.0349,0.0083,0.0144,0.0082,0.0156,0.017,0
"TTL_C19",0.0198,0.0063,0.0197,0.0062,0.0044,0.013,0.0243,0.0174,0.0252,1.142,0.0896,0.0266,0.0829,0.0264,0.0113,0.0147,0.0151,0.0243,0.016,0.0148,0.0148,0.0116,0.016,0.0082,0.021,0.0129,0.0174,0.0336,0.0205,0.0265,0.0134,0.0135,0.0152,0.0082,0.0057,0.0023,0.0025,0.0092,0.0131,0.0049,0.0167,0.0094,0.0122,0.007,0
