"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.1576,0.0511,0.0046,0.0031,0.0022,0.2057,0.0196,0.3078,0.0748,0.0056,0.008,0.011,0.0231,0.0064,0.0034,0.0034,0.004,0.0042,0.0061,0.0054,0.0054,0.0149,0.0122,0.0025,0.0103,0.0061,0.0046,0.014,0.0052,0.0042,0.0032,0.0748,0.012,0.0034,0.0024,0.0029,0.0026,0.0027,0.0108,0.0052,0.0031,0.005,0.004,0.0111,0
"TTL_A03",0.01,1.1556,0.0013,6e-04,5e-04,0.1364,0.0027,0.0036,0.0018,0.0015,0.0028,0.0021,0.0024,0.0013,8e-04,7e-04,7e-04,8e-04,9e-04,0.0011,0.0011,0.0011,8e-04,4e-04,9e-04,0.0017,0.0011,0.0065,0.0014,5e-04,7e-04,0.0279,0.0011,7e-04,6e-04,4e-04,3e-04,4e-04,8e-04,0.001,7e-04,0.0014,0.0013,0.0023,0
"TTL_B05_06",0.0429,0.0698,1.0487,0.035,0.0432,0.0414,0.0317,0.0424,0.0443,0.7703,0.0747,0.0427,0.0534,0.0616,0.0917,0.0356,0.0261,0.0341,0.0347,0.0392,0.0314,0.0285,0.2068,0.0226,0.0356,0.0203,0.1272,0.1787,0.0994,0.0182,0.0253,0.0274,0.0186,0.012,0.0084,0.0073,0.0098,0.0089,0.0191,0.0165,0.0087,0.0177,0.0124,0.0183,0
"TTL_B07_08",0.0459,0.0339,0.094,1.3753,0.0647,0.0408,0.0504,0.0518,0.0501,0.0815,0.2149,0.0529,0.1426,0.3225,0.5488,0.4148,0.25,0.4496,0.2515,0.2579,0.1827,0.2008,0.0338,0.035,0.1561,0.0268,0.0347,0.0416,0.0379,0.0193,0.0171,0.0249,0.0336,0.0169,0.0244,0.0146,0.032,0.0188,0.0297,0.0291,0.0119,0.0209,0.027,0.0187,0
"TTL_B09",8e-04,4e-04,0.0027,3e-04,1.0027,4e-04,5e-04,5e-04,5e-04,0.0023,0.0048,5e-04,0.0015,0.0085,5e-04,4e-04,4e-04,5e-04,7e-04,4e-04,3e-04,4e-04,6e-04,2e-04,0.0014,2e-04,5e-04,6e-04,4e-04,1e-04,1e-04,2e-04,2e-04,1e-04,1e-04,1e-04,3e-04,1e-04,2e-04,2e-04,1e-04,2e-04,4e-04,2e-04,0
"TTL_C10T12",0.0855,0.2736,0.0109,0.0045,0.0039,1.1765,0.0228,0.0307,0.0152,0.0117,0.0222,0.0175,0.0197,0.0108,0.0062,0.0058,0.0059,0.0063,0.0075,0.0087,0.009,0.0081,0.0068,0.0029,0.0074,0.0142,0.0088,0.0234,0.0111,0.004,0.0055,0.2222,0.0087,0.0062,0.0045,0.0034,0.0025,0.0033,0.0067,0.0084,0.0061,0.0115,0.0077,0.0172,0
"TTL_C13T15",0.0026,0.007,0.0012,0.0017,0.0012,0.0038,1.1969,0.003,0.0061,0.0016,0.0038,0.005,0.0119,0.0034,0.002,0.0033,0.0028,0.0027,0.004,0.0042,0.0042,0.0195,0.0014,0.0018,0.0136,0.003,0.0019,0.0021,0.0018,0.0018,0.0012,0.0042,0.0047,0.0024,0.0011,0.0023,0.0027,0.001,0.0021,0.0033,0.0014,0.002,0.0023,0.0033,0
"TTL_C16",0.0033,0.0024,0.0018,0.0014,0.001,0.0038,0.0036,1.0764,0.0199,0.0021,0.0024,0.0024,0.003,0.0046,0.0017,0.0021,0.0033,0.0037,0.0025,0.0028,0.003,0.0208,0.0041,0.0018,0.0212,0.0022,0.0015,0.0026,0.0016,0.0017,0.0012,0.0022,0.0042,0.0018,9e-04,0.0011,0.0039,9e-04,0.0018,0.0018,0.001,0.0012,0.0014,0.0028,0
"TTL_C17_18",0.0147,0.0168,0.0079,0.0094,0.007,0.0385,0.0272,0.0717,1.1265,0.0123,0.0272,0.0508,0.0322,0.0231,0.0102,0.0108,0.0132,0.0135,0.0173,0.0144,0.0136,0.0259,0.033,0.0085,0.0244,0.0268,0.0116,0.0114,0.0087,0.0081,0.009,0.0194,0.1287,0.0139,0.0075,0.0146,0.0089,0.0178,0.015,0.0101,0.0112,0.0126,0.0136,0.0202,0
"TTL_C19",0.0495,0.0862,0.0294,0.0285,0.0315,0.0435,0.029,0.0395,0.0369,1.0599,0.0622,0.0208,0.0469,0.0594,0.0438,0.0259,0.0227,0.0288,0.0279,0.0314,0.0278,0.0261,0.0594,0.0181,0.0356,0.0206,0.1614,0.2327,0.1282,0.0174,0.0292,0.026,0.016,0.0105,0.0073,0.0062,0.0085,0.0077,0.0199,0.0156,0.0073,0.0157,0.0111,0.0188,0
