"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.3782,0.233,0.0376,0.0433,0.0452,0.6195,0.2448,0.4499,0.1994,0.0316,0.0827,0.3219,0.1019,0.0379,0.0379,0.0429,0.0415,0.0455,0.0411,0.0393,0.0459,0.1702,0.0305,0.0597,0.0573,0.0279,0.0266,0.0193,0.0837,0.0382,0.0562,0.2935,0.07,0.0221,0.0332,0.0138,0.0057,0.0845,0.0198,0.0405,0.0345,0.112,0.0283,0.0224,0
"TTL_A03",0.0103,1.1162,0.0032,0.0045,0.004,0.0627,0.0054,0.0086,0.0061,0.0028,0.0068,0.0076,0.0048,0.0035,0.0041,0.0042,0.0042,0.0043,0.0042,0.0036,0.0043,0.0053,0.003,0.0061,0.004,0.003,0.0037,0.002,0.0087,0.0045,0.0049,0.0889,0.0072,0.0023,0.0033,0.0023,7e-04,0.0105,0.0027,0.0055,0.0044,0.004,0.0027,0.0021,0
"TTL_B05_06",0.0522,0.0445,1.2319,0.1743,0.1411,0.0453,0.055,0.0733,0.0907,0.7722,0.242,0.0541,0.1349,0.1772,0.1863,0.1184,0.0615,0.1016,0.0869,0.0737,0.0863,0.0814,0.3599,0.0786,0.1022,0.0283,0.0956,0.2008,0.1575,0.1658,0.0669,0.0366,0.0355,0.0197,0.0306,0.0075,0.0041,0.0666,0.0133,0.0216,0.0203,0.0269,0.0074,0.0148,0
"TTL_B07_08",0.0085,0.0074,0.0256,1.1251,0.0509,0.0079,0.0088,0.0132,0.0244,0.0188,0.0414,0.011,0.0275,0.1304,0.2376,0.1032,0.0337,0.0844,0.0659,0.049,0.0585,0.0327,0.0169,0.0152,0.0758,0.0072,0.0105,0.0113,0.013,0.0141,0.0113,0.0057,0.0073,0.0053,0.0074,0.0016,0.001,0.0171,0.0022,0.0039,0.0036,0.0054,0.0013,0.003,0
"TTL_B09",0.0022,0.0019,0.0516,0.0098,1.0092,0.0021,0.0023,0.0031,0.0039,0.0325,0.0103,0.0023,0.0057,0.0077,0.0084,0.0052,0.0027,0.0045,0.0038,0.0032,0.0038,0.0035,0.0152,0.0034,0.0048,0.0012,0.004,0.0085,0.0067,0.007,0.0028,0.0016,0.0015,8e-04,0.0013,3e-04,2e-04,0.0029,6e-04,9e-04,9e-04,0.0012,3e-04,6e-04,0
"TTL_C10T12",0.184,0.2248,0.0312,0.0495,0.0395,1.3161,0.0759,0.0882,0.0585,0.0304,0.0806,0.101,0.0546,0.0347,0.0499,0.0474,0.0502,0.0502,0.0483,0.0378,0.0506,0.0589,0.0366,0.0614,0.0388,0.0338,0.0295,0.0201,0.1113,0.0475,0.0523,0.3834,0.0605,0.0241,0.0315,0.0142,0.0065,0.0746,0.0165,0.0395,0.0465,0.054,0.0425,0.0218,0
"TTL_C13T15",0.0173,0.0158,0.0479,0.0433,0.0926,0.0279,1.8754,0.0416,0.1044,0.0372,0.0441,0.0817,0.0664,0.0474,0.0334,0.044,0.0389,0.0464,0.0421,0.0598,0.0648,0.2406,0.0299,0.0893,0.0351,0.0303,0.0323,0.0247,0.0518,0.0422,0.0892,0.0448,0.1154,0.019,0.0215,0.0138,0.0053,0.0686,0.0185,0.0922,0.0204,0.0744,0.0295,0.0185,0
"TTL_C16",0.0032,0.0032,0.0259,0.0116,0.0091,0.0042,0.0051,1.3994,0.0268,0.0171,0.0102,0.005,0.0098,0.0124,0.0079,0.0191,0.0073,0.0091,0.0093,0.0097,0.0096,0.1987,0.0106,0.0086,0.0376,0.0034,0.0048,0.006,0.0082,0.0067,0.0074,0.0031,0.0061,0.0025,0.0047,0.0018,8e-04,0.0101,0.0014,0.0044,0.0035,0.0027,0.0029,0.0021,0
"TTL_C17_18",0.0133,0.0138,0.016,0.0219,0.0212,0.0333,0.0215,0.032,1.429,0.0135,0.0257,0.0484,0.0289,0.0398,0.0158,0.0223,0.0313,0.0347,0.0254,0.0235,0.0237,0.0736,0.0136,0.0181,0.0266,0.0292,0.0127,0.0114,0.0209,0.0181,0.1119,0.022,0.1736,0.0185,0.0904,0.0174,0.0062,0.1283,0.0149,0.0338,0.0315,0.0188,0.0072,0.0065,0
"TTL_C19",0.0381,0.0428,0.0494,0.141,0.1224,0.0326,0.037,0.0508,0.0496,1.0856,0.1492,0.0372,0.086,0.0901,0.1337,0.0788,0.0438,0.0711,0.0608,0.053,0.0606,0.0575,0.0514,0.0473,0.0726,0.0241,0.1054,0.2718,0.2038,0.2116,0.0683,0.0267,0.0252,0.0126,0.0181,0.0061,0.0031,0.0592,0.0137,0.0176,0.0159,0.0188,0.0057,0.0101,0
"TTL_C20",0.1904,0.0632,0.1329,0.1823,0.2117,0.1151,0.1805,0.2339,0.2357,0.1124,1.5403,0.1568,0.6031,0.1505,0.1056,0.1107,0.1069,0.1635,0.0974,0.109,0.1225,0.2171,0.0634,0.1592,0.1299,0.0457,0.0451,0.0459,0.0645,0.0589,0.071,0.0718,0.0823,0.0231,0.0424,0.0106,0.0052,0.1244,0.0135,0.0323,0.0391,0.0609,0.0128,0.0393,0
"TTL_C21",0.0137,0.0145,0.0025,0.0026,0.0024,0.0086,0.0037,0.0058,0.0077,0.0022,0.0055,1.2929,0.0042,0.0034,0.0022,0.0028,0.0032,0.0027,0.0028,0.0021,0.0025,0.0042,0.0017,0.0041,0.0038,0.0013,0.0012,0.0016,0.0026,0.0021,0.0033,0.0048,0.0025,0.0018,0.002,6e-04,3e-04,0.009,5e-04,0.0021,0.0029,0.359,6e-04,0.0011,0
"TTL_C22",0.032,0.0186,0.0255,0.038,0.0922,0.0366,0.0403,0.0377,0.0565,0.0217,0.0575,0.0297,1.2731,0.0366,0.0233,0.0386,0.0661,0.0894,0.0628,0.0905,0.0842,0.0879,0.0195,0.0517,0.0417,0.021,0.0327,0.0159,0.0213,0.0362,0.0491,0.0219,0.0187,0.0117,0.017,0.0033,0.0017,0.033,0.0051,0.0094,0.007,0.0152,0.0043,0.0089,0
"TTL_C23",0.0066,0.0088,0.0161,0.0324,0.0617,0.0117,0.0067,0.0136,0.0112,0.0173,0.0184,0.0197,0.0183,1.2614,0.0377,0.0388,0.0497,0.0631,0.0318,0.0415,0.0302,0.024,0.0164,0.0148,0.2473,0.0063,0.0092,0.0085,0.0117,0.0111,0.0087,0.0074,0.0059,0.006,0.0074,0.0014,0.0016,0.0154,0.0017,0.0045,0.0061,0.0088,0.0015,0.0023,0
"TTL_C24",0.025,0.0307,0.123,0.1036,0.2191,0.0262,0.0277,0.0437,0.0943,0.0841,0.0714,0.0307,0.0711,0.1184,1.4772,0.5452,0.1606,0.4344,0.3461,0.2535,0.319,0.1563,0.0781,0.0556,0.2492,0.032,0.0498,0.0551,0.0615,0.0653,0.0511,0.0207,0.0281,0.0247,0.033,0.006,0.0041,0.0726,0.0091,0.016,0.013,0.0184,0.0053,0.0108,0
"TTL_C25",0.0117,0.0133,0.0521,0.0661,0.0723,0.0147,0.0149,0.0312,0.021,0.0359,0.0269,0.0181,0.0362,0.0545,0.0337,1.2004,0.0531,0.0803,0.1172,0.0725,0.1152,0.058,0.029,0.0317,0.0804,0.0169,0.0179,0.0244,0.0235,0.0376,0.0207,0.0108,0.01,0.0094,0.0125,0.003,0.0022,0.0557,0.0065,0.0074,0.0068,0.0092,0.0028,0.0062,0
"TTL_C26",0.0192,0.0215,0.0536,0.0476,0.0823,0.023,0.0245,0.0263,0.0305,0.0415,0.0364,0.0301,0.038,0.0368,0.038,0.058,1.8338,0.1791,0.152,0.0932,0.1689,0.0583,0.0848,0.0523,0.0479,0.0603,0.0341,0.0403,0.0642,0.0664,0.0422,0.0231,0.045,0.0933,0.1571,0.009,0.0041,0.162,0.0097,0.024,0.0257,0.056,0.0093,0.0206,0
"TTL_C27",0.0107,0.0126,0.0287,0.0413,0.0376,0.0121,0.0135,0.0159,0.0166,0.0221,0.0219,0.0143,0.0224,0.025,0.0267,0.0395,0.115,1.2129,0.0993,0.062,0.1727,0.0364,0.0952,0.0238,0.0597,0.03,0.0215,0.0218,0.0439,0.0318,0.0269,0.0117,0.0165,0.0343,0.0306,0.0032,0.0017,0.0511,0.0047,0.0098,0.0058,0.0113,0.0029,0.0068,0
"TTL_C28",0.0279,0.0511,0.1079,0.1213,0.1756,0.023,0.0217,0.0358,0.0348,0.0752,0.049,0.0221,0.0403,0.0686,0.0728,0.1031,0.0793,0.0941,1.28,0.0903,0.129,0.0485,0.0448,0.0306,0.0547,0.0136,0.0268,0.0623,0.0585,0.0831,0.0302,0.0175,0.0131,0.0114,0.0147,0.0037,0.0016,0.0292,0.0045,0.008,0.0074,0.0118,0.003,0.0053,0
"TTL_C29",0.0149,0.0184,0.0181,0.0347,0.0342,0.017,0.0172,0.0189,0.0181,0.0177,0.0195,0.0175,0.0196,0.0253,0.022,0.0268,0.0206,0.0254,0.0507,1.4691,0.0317,0.0209,0.0141,0.0262,0.0215,0.0318,0.1541,0.016,0.0175,0.0602,0.0623,0.0154,0.0114,0.0065,0.0097,0.003,0.0014,0.0463,0.0116,0.0103,0.0054,0.0107,0.0029,0.0086,0
