"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.0485,0.0027,6e-04,9e-04,0.0013,0.176,0.0037,0.0204,0.0082,7e-04,0.0236,0.0215,0.0345,0.0011,0.002,0.0023,6e-04,0.0027,0.0013,0.0016,0.0012,0.0034,9e-04,0.0019,0.0017,0.0016,0.0017,0.0015,0.0023,0.0019,0.0017,0.1269,0.0019,0.0012,0.0014,0.0024,2e-04,0.0017,6e-04,0.0029,9e-04,0.0027,0.0014,0.01,0
"TTL_A03",1e-04,1.0229,0,1e-04,1e-04,0.0049,1e-04,1e-04,1e-04,0,5e-04,5e-04,1e-04,1e-04,1e-04,1e-04,0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,1e-04,1e-04,0.0128,2e-04,1e-04,1e-04,2e-04,0,2e-04,0,2e-04,1e-04,1e-04,1e-04,9e-04,0
"TTL_B05_06",0.0085,0.0254,1.0085,0.0134,0.0133,0.0193,0.0069,0.0255,0.0121,0.4487,0.0221,0.0117,0.014,0.0296,0.0393,0.0275,0.0056,0.0358,0.0047,0.0216,0.0154,0.0163,0.0047,0.0147,0.0162,0.0141,0.0636,0.1037,0.1186,0.029,0.0372,0.0191,0.0043,0.0044,0.003,0.0057,0.0015,0.0024,0.0036,0.0073,0.0016,0.0082,0.003,0.0073,0
"TTL_B07_08",0.0123,0.0086,0.0206,1.0564,0.0537,0.0302,0.0159,0.0621,0.0339,0.0137,0.037,0.0215,0.0199,0.1247,0.5576,0.2972,0.0107,0.3446,0.0074,0.038,0.0237,0.1175,0.0102,0.0182,0.0693,0.0119,0.0085,0.0117,0.0107,0.0125,0.0075,0.0171,0.0108,0.011,0.008,0.0086,0.0054,0.0076,0.0077,0.0067,0.0033,0.0168,0.005,0.0113,0
"TTL_B09",0.0015,0.0027,0.0094,0.0092,1.0188,0.0039,0.0015,0.006,0.003,0.0415,0.0042,0.0021,0.0023,0.0062,0.0296,0.0224,8e-04,0.0154,7e-04,0.0042,0.0028,0.0024,7e-04,0.0021,0.0044,0.0019,0.0062,0.0099,0.0112,0.0033,0.0037,0.0028,8e-04,9e-04,6e-04,8e-04,4e-04,6e-04,7e-04,9e-04,3e-04,0.0036,5e-04,0.0012,0
"TTL_C10T12",0.0073,0.0109,0.0012,0.0016,0.0024,1.1021,0.0038,0.0035,0.0133,0.001,0.0655,0.0479,0.0116,0.0018,0.0019,0.002,9e-04,0.0048,0.0027,0.0025,0.002,0.002,0.0017,0.0043,0.0032,0.0028,0.0021,0.0021,0.0041,0.0025,0.0022,0.33,0.0041,0.0024,0.0029,0.0052,4e-04,0.0039,0.0014,0.0112,0.003,0.0032,0.003,0.0247,0
"TTL_C13T15",0.0013,0.0035,7e-04,0.0011,0.0017,0.0013,1.0969,0.0017,0.0116,5e-04,0.0022,0.0018,0.0022,0.0304,0.0013,0.0014,0.0012,0.0014,0.001,0.0013,0.001,0.0186,0.0013,0.0023,0.0072,8e-04,6e-04,7e-04,8e-04,8e-04,6e-04,0.0011,0.0013,0.0013,0.001,0.003,4e-04,6e-04,6e-04,0.0014,3e-04,7e-04,5e-04,0.0564,0
"TTL_C16",4e-04,2e-04,4e-04,5e-04,0.0015,0.0042,0.001,1.0827,0.0012,3e-04,0.0016,0.001,0.001,3e-04,8e-04,9e-04,0.0022,7e-04,6e-04,7e-04,5e-04,0.0389,0.0021,5e-04,5e-04,4e-04,3e-04,4e-04,4e-04,5e-04,3e-04,0.0016,6e-04,5e-04,4e-04,0.0017,1e-04,2e-04,1e-04,8e-04,2e-04,3e-04,3e-04,0.0014,0
"TTL_C17_18",0.0023,0.0015,0.0013,0.0019,0.0018,0.0082,0.0042,0.0038,1.1195,0.0023,0.0159,0.0163,0.0059,0.0042,0.0023,0.0023,0.0025,0.0038,0.0036,0.0401,0.0263,0.0021,0.0015,0.0024,0.0034,0.0125,0.0037,0.0032,0.0038,0.0033,0.0041,0.0176,0.0038,0.0022,0.0017,0.007,4e-04,0.0018,0.001,0.0065,0.0067,0.0113,0.0024,0.0038,0
"TTL_C19",0.0173,0.0557,0.008,0.0128,0.0123,0.0334,0.0128,0.0476,0.0215,1.0372,0.0394,0.0219,0.0275,0.0129,0.0214,0.0182,0.0106,0.0199,0.0087,0.0428,0.0306,0.0139,0.0052,0.0283,0.0181,0.0292,0.1439,0.2346,0.2696,0.0636,0.0835,0.0388,0.007,0.0073,0.0047,0.011,0.0022,0.0037,0.0065,0.0149,0.0029,0.0056,0.0057,0.0141,0
