"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.0266,0.0079,0.0058,0.0064,0.0094,0.1912,0.0858,0.1937,0.0069,0.0058,0.0402,0.0372,0.0112,0.0038,0.0091,0.0069,0.0109,0.0091,0.0082,0.0716,0.0621,0.0732,0.0044,0.0058,0.0613,0.0231,0.005,0.0078,0.0122,0.0056,0.0039,0.1093,0.0296,0.0198,0.0196,0.0053,0.0191,0.0049,0.014,0.015,0.0102,0.0519,0.023,0.0252,0
"TTL_A03",0.0014,1.0269,0.001,0.0015,0.0013,0.0048,0.0016,0.002,0.0019,0.0016,0.0033,0.0043,0.0026,0.0012,0.0026,0.0022,0.0037,0.0025,0.0024,0.0044,0.0038,0.0023,9e-04,9e-04,0.002,0.0161,0.0012,0.0013,0.002,8e-04,7e-04,0.0085,0.0023,0.0017,0.0016,7e-04,2e-04,8e-04,9e-04,0.0016,0.001,0.0015,0.0015,0.0012,0
"TTL_B05_06",0.0346,0.0499,1.1451,0.0459,0.0516,0.032,0.0287,0.0165,0.0669,0.7385,0.0472,0.0188,0.0308,0.1439,0.1671,0.0698,0.0558,0.0649,0.059,0.0191,0.0155,0.0313,0.3664,0.0536,0.043,0.0311,0.0568,0.0913,0.1281,0.0275,0.0336,0.0154,0.0311,0.0339,0.024,0.022,0.0106,0.0588,0.0164,0.0296,0.0361,0.0216,0.0124,0.0167,0
"TTL_B07_08",9e-04,0.0013,0.008,1.0246,0.0141,0.0108,9e-04,6e-04,0.0016,0.0055,0.0023,0.0019,0.0015,0.0094,0.0089,0.0043,0.0585,0.0031,0.0028,0.001,8e-04,0.0015,0.0034,0.0013,0.032,0.002,9e-04,0.0013,0.002,8e-04,8e-04,0.0066,0.0025,0.0026,0.0022,0.001,4e-04,0.0044,8e-04,0.0014,0.0031,0.0024,0.0024,0.0011,0
"TTL_B09",0.0015,0.0018,0.0279,0.0023,1.0358,0.0027,0.0016,0.002,0.0039,0.0219,0.0031,0.0028,0.0028,0.0061,0.006,0.0033,0.0071,0.0034,0.0033,0.0032,0.0027,0.0023,0.0254,0.0023,0.0039,0.0098,0.0055,0.006,0.0061,0.0041,0.0113,0.0017,0.0021,0.0022,0.0018,0.0015,7e-04,0.0029,0.0011,0.0019,0.0016,0.0014,0.0012,0.0012,0
"TTL_C10T12",0.0221,0.0089,0.0036,0.0094,0.0054,1.1399,0.0127,0.0096,0.0137,0.005,0.1271,0.1154,0.0236,0.0038,0.0075,0.0061,0.0141,0.0123,0.0095,0.0115,0.0095,0.026,0.0049,0.0077,0.0138,0.0294,0.0067,0.0095,0.02,0.0081,0.0058,0.2277,0.0596,0.0371,0.0345,0.0091,0.0017,0.0056,0.0046,0.033,0.0149,0.0269,0.0185,0.0115,0
"TTL_C13T15",0.001,0.0075,0.0097,0.0027,0.0132,0.0074,1.0852,0.0024,0.0025,0.0068,0.007,0.0074,0.0132,0.0024,0.0027,0.0017,0.0151,0.0028,0.0026,0.0034,0.0026,0.0473,0.0039,0.0016,0.0093,0.0053,0.002,0.0029,0.0046,0.0019,0.0018,0.0302,0.0062,0.0046,0.0046,0.0017,4e-04,0.0028,0.0017,0.0087,0.003,0.0677,0.0765,0.0485,0
"TTL_C16",0.0043,8e-04,0.0019,0.0036,0.003,0.0084,0.0111,1.111,0.005,0.002,0.0368,0.0182,0.0072,0.0035,0.0022,0.0018,0.0026,0.0093,0.0085,0.3608,0.314,0.1209,0.0014,0.0026,0.0661,0.0024,0.0041,0.0054,0.0062,0.0044,0.0023,0.0068,0.0068,0.0042,0.0039,0.0018,0.0037,0.0086,0.0629,0.0129,0.0049,0.0272,0.0397,0.0065,0
"TTL_C17_18",6e-04,3e-04,9e-04,0.0124,0.0015,0.0016,0.0026,0.0026,1.0557,0.0013,0.0011,0.0011,0.0025,0.0165,9e-04,7e-04,0.0017,0.0062,0.0043,0.0015,0.0013,0.0038,7e-04,7e-04,0.005,0.0014,0.0013,0.0018,0.0023,0.0026,0.003,7e-04,0.0052,0.002,0.0019,0.0026,5e-04,0.0064,0.0027,0.0171,0.0178,0.0018,0.001,0.0085,0
"TTL_C19",0.022,0.066,0.0134,0.0129,0.0192,0.0208,0.0102,0.0126,0.0528,1.0112,0.0157,0.011,0.0212,0.0146,0.0614,0.0371,0.0203,0.0342,0.032,0.0116,0.0096,0.0283,0.008,0.0521,0.0295,0.013,0.0656,0.1068,0.16,0.0257,0.0287,0.0102,0.02,0.0183,0.0154,0.015,0.0058,0.0667,0.0163,0.0296,0.0427,0.0212,0.0078,0.0115,0
"TTL_C20",0.0133,0.002,0.0043,0.0051,0.0071,0.0105,0.0188,0.0119,0.0688,0.0045,1.2154,0.0962,0.1243,0.0046,0.0075,0.0056,0.0072,0.0525,0.0288,0.0127,0.009,0.0282,0.0027,0.0195,0.0126,0.0079,0.0147,0.0261,0.0236,0.0253,0.0122,0.0052,0.0121,0.0044,0.0046,0.003,0.0011,0.0061,0.0044,0.0188,0.0058,0.0106,0.005,0.0268,0
"TTL_C21",0.0017,3e-04,5e-04,7e-04,8e-04,0.0017,0.0018,0.0014,0.0065,6e-04,0.0301,1.2587,0.0099,7e-04,0.001,7e-04,0.001,0.0048,0.0038,0.0013,0.001,0.003,4e-04,0.0021,0.0014,0.0011,0.0021,0.0065,0.0045,0.0041,0.0038,8e-04,0.0015,9e-04,9e-04,6e-04,2e-04,0.0013,8e-04,0.0073,0.0013,0.0092,7e-04,0.004,0
"TTL_C22",0.0019,0.0042,0.0076,0.0025,0.015,0.0088,0.0123,0.0018,0.0112,0.0058,0.0128,0.0125,1.1769,0.0027,0.0034,0.0026,0.0039,0.0082,0.007,0.0514,0.028,0.0064,0.0033,0.0049,0.0086,0.0079,0.0144,0.0098,0.0101,0.0106,0.0091,0.0041,0.0027,0.002,0.0017,0.0022,7e-04,0.0022,0.0024,0.0036,0.0014,0.0093,0.0019,0.0055,0
