"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.099,0.2277,0.0103,0.0091,0.0073,0.3545,0.0388,0.1968,0.022,0.011,0.0284,0.0192,0.0288,0.0084,0.013,0.0101,0.0117,0.0104,0.0103,0.0044,0.0028,0.0143,0.0169,0.0095,0.0168,0.009,0.0047,0.0066,0.0073,0.0067,0.0069,0.1543,0.0129,0.0054,0.0047,0.0038,0.0011,0.0059,0.005,0.0121,0.0081,0.0136,0.0065,0.0082,0
"TTL_A03",6e-04,1.0096,6e-04,4e-04,4e-04,0.0017,0.0059,6e-04,7e-04,7e-04,0.0036,0.0053,0.0013,3e-04,5e-04,4e-04,5e-04,5e-04,5e-04,2e-04,1e-04,4e-04,5e-04,4e-04,3e-04,2e-04,2e-04,3e-04,3e-04,2e-04,3e-04,0.0014,2e-04,2e-04,2e-04,1e-04,0,1e-04,2e-04,0.0021,3e-04,8e-04,8e-04,0.0012,0
"TTL_B05_06",0.0259,0.029,1.0998,0.0524,0.0282,0.0293,0.0251,0.0295,0.0417,0.6049,0.0532,0.0214,0.0441,0.0949,0.0484,0.0328,0.0421,0.041,0.032,0.021,0.0122,0.0402,0.0842,0.0269,0.0382,0.0292,0.1383,0.185,0.1334,0.0416,0.0504,0.0216,0.0209,0.0236,0.0172,0.0109,0.0029,0.0317,0.0199,0.0321,0.0102,0.0164,0.0118,0.017,0
"TTL_B07_08",0.0025,0.0045,0.0078,1.007,0.0025,0.0039,0.0018,0.0055,0.0031,0.0068,0.0081,0.0028,0.0054,0.0259,0.3045,0.1313,0.0276,0.0422,0.0431,0.0054,0.0015,0.015,0.0047,0.005,0.0428,0.0013,0.0023,0.0033,0.0029,0.0027,0.0022,0.0028,0.0023,0.0021,0.0016,0.0013,0.0014,0.0013,9e-04,0.0038,0.0021,0.003,0.0022,0.0031,0
"TTL_B09",0.0013,0.0024,0.0039,0.0021,1.0009,0.0011,6e-04,9e-04,0.0013,0.0024,0.001,4e-04,0.0016,0.0012,0.002,0.0014,9e-04,9e-04,0.0011,3e-04,2e-04,5e-04,0.0024,0.0019,7e-04,6e-04,7e-04,0.0011,7e-04,4e-04,8e-04,5e-04,4e-04,3e-04,3e-04,4e-04,1e-04,3e-04,3e-04,6e-04,3e-04,4e-04,4e-04,4e-04,0
"TTL_C10T12",0.0941,0.0812,0.0033,0.0074,0.0099,1.1495,0.0255,0.0327,0.0262,0.0109,0.0586,0.0387,0.0276,0.0124,0.0199,0.0143,0.0161,0.0142,0.0142,0.0051,0.0031,0.0087,0.0301,0.0075,0.0093,0.0092,0.005,0.0068,0.0094,0.0109,0.0088,0.2356,0.0092,0.0087,0.0064,0.0056,9e-04,0.009,0.0071,0.0168,0.0109,0.0174,0.0083,0.0108,0
"TTL_C13T15",0.0123,0.0064,0.0021,0.0039,0.0075,0.0072,1.2028,0.0544,0.0254,0.0035,0.0059,0.004,0.0207,0.0034,0.0065,0.0067,0.0106,0.0085,0.0062,0.0061,0.0023,0.0352,0.0051,0.0038,0.0059,0.005,0.0038,0.0036,0.0035,0.0051,0.0091,0.0074,0.009,0.0069,0.0051,0.0019,5e-04,0.0026,0.0035,0.009,0.0074,0.0041,0.0082,0.014,0
"TTL_C16",0.0029,0.0019,0.0011,0.0063,0.0014,0.0022,0.0018,1.0634,0.0017,0.0014,0.0017,0.001,0.0027,0.002,0.0041,0.0036,0.0053,0.0052,0.0041,0.0017,0.001,0.0257,0.0038,0.0023,0.0169,0.003,0.001,0.0021,0.0014,0.0019,0.0016,0.0014,0.0015,0.0015,8e-04,7e-04,6e-04,0.0017,5e-04,0.0018,0.0014,0.0017,0.0019,0.0029,0
"TTL_C17_18",0.0084,0.0097,0.0028,0.0074,0.0077,0.0249,0.0182,0.0176,1.1548,0.0079,0.0284,0.0245,0.0292,0.0159,0.0118,0.013,0.0388,0.0294,0.0201,0.0099,0.006,0.0133,0.0144,0.0083,0.0096,0.0203,0.0062,0.0084,0.008,0.0103,0.0548,0.0104,0.0495,0.0272,0.0187,0.0155,0.0019,0.012,0.0192,0.011,0.0107,0.0128,0.015,0.0162,0
"TTL_C19",0.0482,0.0485,0.0456,0.0833,0.0422,0.0513,0.0438,0.0504,0.0629,1.3588,0.1017,0.0409,0.0784,0.1658,0.0705,0.051,0.0801,0.0774,0.0545,0.0423,0.0247,0.0826,0.0327,0.0451,0.0712,0.0576,0.3029,0.4076,0.2932,0.0801,0.1019,0.0311,0.0404,0.0423,0.0351,0.0183,0.0053,0.0667,0.0414,0.0618,0.0186,0.0285,0.0209,0.0315,0
"TTL_C20",0.0776,0.0387,0.0092,0.0229,0.0318,0.0514,0.0525,0.0492,0.077,0.0977,1.2438,0.0784,0.3254,0.0401,0.0238,0.0223,0.0835,0.0814,0.0679,0.018,0.0067,0.0352,0.0161,0.0174,0.0375,0.0134,0.029,0.0362,0.0292,0.0121,0.0175,0.0216,0.0277,0.011,0.0127,0.0078,0.0021,0.0149,0.0192,0.0154,0.0087,0.0416,0.0145,0.0316,0
"TTL_C21",0.0038,0.0029,4e-04,0.0011,0.0013,0.0032,0.0021,0.0023,0.0029,0.0047,0.0133,1.1122,0.0098,0.0017,0.0011,0.001,0.0044,0.003,0.0035,8e-04,5e-04,0.0018,8e-04,9e-04,0.0015,6e-04,0.0013,0.0018,0.0015,6e-04,9e-04,0.0013,0.0013,6e-04,6e-04,5e-04,1e-04,6e-04,0.0014,0.0015,6e-04,0.0278,0.0012,0.0015,0
"TTL_C22",0.0114,0.0271,0.0067,0.0096,0.0065,0.0284,0.0226,0.0222,0.0345,0.0105,0.0344,0.0229,1.0463,0.0106,0.012,0.0167,0.0759,0.0728,0.0299,0.0173,0.0066,0.0178,0.0093,0.0085,0.0335,0.0144,0.0192,0.0127,0.0163,0.0057,0.0091,0.0102,0.0395,0.0067,0.0169,0.0038,0.0015,0.004,0.0108,0.0068,0.0052,0.0086,0.0095,0.0196,0
"TTL_C23",0.0056,0.0107,0.0035,0.0059,0.0062,0.0101,0.0051,0.0053,0.0087,0.0048,0.0125,0.0084,0.0103,1.0996,0.0112,0.0088,0.0227,0.0209,0.015,0.0101,0.0025,0.0062,0.0252,0.0188,0.1685,0.0043,0.0034,0.0041,0.0039,0.0092,0.006,0.0072,0.0043,0.0064,0.0025,0.0039,0.0053,0.0046,0.002,0.0132,0.0065,0.0077,0.0065,0.0075,0
"TTL_C24",0.0047,0.008,0.0248,0.0108,0.0058,0.0101,0.0041,0.0155,0.0063,0.016,0.0145,0.0054,0.0127,0.0094,1.1866,0.1894,0.0913,0.1468,0.1512,0.0131,0.0034,0.0401,0.0092,0.0089,0.0693,0.0031,0.0056,0.0084,0.0073,0.006,0.0052,0.0065,0.0065,0.0049,0.0046,0.0029,0.0023,0.0029,0.002,0.0074,0.0044,0.0072,0.0048,0.0078,0
"TTL_C25",0.0043,0.0157,0.0075,0.0123,0.0021,0.0048,0.0018,0.0116,0.0029,0.0055,0.0043,0.0022,0.0036,0.0033,0.0363,1.0976,0.0325,0.0369,0.0272,0.0058,0.0018,0.0109,0.0036,0.0038,0.0307,0.0011,0.0019,0.0028,0.0024,0.0022,0.0019,0.0026,0.0024,0.0018,0.0015,0.0011,0.001,0.0018,7e-04,0.0035,0.0017,0.0026,0.0018,0.0027,0
"TTL_C26",0.0012,0.0017,0.0031,0.0021,0.0018,0.0021,0.0019,0.002,0.0043,0.003,0.0039,0.0027,0.004,0.0029,0.0024,0.0029,1.1261,0.0208,0.025,0.0056,0.0021,0.0069,0.0018,0.0026,0.0046,0.0036,0.0029,0.0028,0.0027,0.0022,0.0036,0.0037,0.013,0.0081,0.0122,0.004,5e-04,0.0022,9e-04,0.0032,0.0071,0.019,0.0088,0.0087,0
"TTL_C27",0.0017,0.0022,0.0042,0.0025,0.0027,0.0026,0.0023,0.0025,0.0035,0.0037,0.0041,0.0025,0.0041,0.0027,0.0038,0.0036,0.0285,1.0417,0.0291,0.0053,0.002,0.0088,0.0114,0.0059,0.0239,0.0035,0.0029,0.0033,0.0029,0.0034,0.004,0.0049,0.0151,0.0073,0.014,0.0038,0.0012,0.0038,0.0027,0.0038,0.0019,0.0154,0.0053,0.0109,0
