"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.0765,0.0613,0.0276,0.0164,0.0109,0.3448,0.0283,0.185,0.0072,0.0138,0.0218,0.0207,0.0368,0.0052,0.0091,0.006,0.004,0.0059,0.0073,0.0042,0.0069,0.0126,0.0024,0.0109,0.0077,0.0038,0.0027,0.0045,0.0077,0.005,0.0031,0.1364,0.0074,0.0034,0.0016,0.0021,0.0039,0.007,0.0061,0.0079,0.0137,0.0113,0.0136,0.0164,0
"TTL_A03",5e-04,1.0363,1e-04,1e-04,1e-04,0.0142,2e-04,3e-04,2e-04,5e-04,8e-04,8e-04,5e-04,2e-04,3e-04,2e-04,2e-04,2e-04,2e-04,1e-04,2e-04,3e-04,1e-04,2e-04,2e-04,2e-04,1e-04,2e-04,4e-04,3e-04,3e-04,0.009,3e-04,2e-04,1e-04,1e-04,1e-04,3e-04,3e-04,2e-04,3e-04,3e-04,4e-04,5e-04,0
"TTL_B05_06",0.001,0.0022,1.0128,0.0056,0.0047,0.0011,9e-04,0.0016,0.001,0.0044,0.0014,9e-04,0.0016,0.003,0.0017,0.0013,7e-04,9e-04,0.0011,7e-04,0.001,0.0014,0.0015,9e-04,0.0021,9e-04,0.0025,0.0044,0.0063,0.0015,0.0022,0.001,8e-04,5e-04,2e-04,3e-04,4e-04,9e-04,0.0012,4e-04,3e-04,4e-04,6e-04,0.001,0
"TTL_B07_08",0.0034,0.003,0.0459,1.0501,0.0476,0.0041,0.0027,0.0054,0.0034,0.0211,0.0129,0.0062,0.0081,0.0817,0.0171,0.0085,0.0046,0.0141,0.0175,0.0056,0.0075,0.0065,0.0023,0.0035,0.0644,0.0032,0.0025,0.0042,0.0057,0.0025,0.0024,0.0032,0.0027,0.0032,7e-04,0.0011,0.0098,0.0028,0.0022,0.0016,0.0015,0.0019,0.0014,0.0068,0
"TTL_B09",1e-04,6e-04,0.0023,0.0014,1.0021,1e-04,1e-04,1e-04,2e-04,0.0017,3e-04,1e-04,2e-04,4e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,1e-04,4e-04,1e-04,2e-04,3e-04,4e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0,0,1e-04,1e-04,1e-04,0,0,0,0,1e-04,0
"TTL_C10T12",0.0364,0.1566,0.0061,0.0059,0.0051,1.1253,0.0082,0.0171,0.0116,0.0307,0.0539,0.0491,0.032,0.0067,0.0127,0.0096,0.0062,0.0094,0.0117,0.0058,0.0089,0.0127,0.0039,0.01,0.0095,0.0065,0.0048,0.0082,0.0142,0.0087,0.0055,0.2415,0.0113,0.0056,0.0027,0.0037,0.0049,0.0105,0.0108,0.0079,0.0112,0.0134,0.025,0.0278,0
"TTL_C13T15",0.0046,0.0033,0.0036,0.0031,0.0032,0.007,1.2737,0.0232,0.0354,0.0104,0.0102,0.009,0.0131,0.0048,0.007,0.0063,0.0075,0.005,0.0063,0.0052,0.0092,0.0198,0.0031,0.008,0.0058,0.0057,0.0026,0.0046,0.0066,0.0052,0.004,0.0084,0.0094,0.0037,9e-04,0.0033,0.003,0.0066,0.0059,0.005,0.0036,0.0105,0.0115,0.0113,0
"TTL_C16",0.0027,0.0013,9e-04,8e-04,8e-04,0.0032,0.0066,1.2071,0.002,0.0016,0.0015,0.0014,0.0027,0.0034,0.0034,0.0022,0.0016,0.0039,0.0049,0.006,0.0121,0.0137,9e-04,0.0011,0.0113,0.001,5e-04,8e-04,0.001,0.0011,6e-04,0.0017,0.0015,0.001,3e-04,6e-04,0.0086,0.0019,8e-04,8e-04,5e-04,0.0012,7e-04,0.0026,0
"TTL_C17_18",0.0328,0.0114,0.0083,0.0087,0.0079,0.0357,0.0414,0.017,1.3594,0.031,0.0294,0.0449,0.0372,0.0257,0.018,0.0179,0.0175,0.0174,0.0216,0.0118,0.017,0.0542,0.0068,0.0128,0.0226,0.0222,0.0073,0.0126,0.0168,0.0168,0.0142,0.0336,0.1905,0.0119,0.0063,0.0129,0.0124,0.049,0.0207,0.012,0.0168,0.0304,0.0125,0.0301,0
"TTL_C19",0.0301,0.0644,0.0442,0.0603,0.0315,0.0318,0.0244,0.0461,0.0283,1.0371,0.0337,0.0257,0.0474,0.0587,0.0436,0.0327,0.0162,0.0229,0.0285,0.0178,0.0259,0.0374,0.0391,0.0263,0.0373,0.0239,0.0782,0.1357,0.1945,0.0432,0.0644,0.0295,0.0218,0.014,0.0052,0.0075,0.0091,0.0256,0.0364,0.0115,0.0081,0.0121,0.017,0.0273,0
"TTL_C20",0.1401,0.0759,0.0574,0.0699,0.0449,0.1083,0.1017,0.0862,0.176,0.7073,1.6064,0.314,0.6847,0.0855,0.093,0.1167,0.0597,0.1367,0.1702,0.067,0.0965,0.1621,0.036,0.0453,0.0903,0.0447,0.0624,0.1073,0.1519,0.0449,0.0549,0.0742,0.0808,0.0231,0.0087,0.0143,0.0387,0.0484,0.0429,0.0217,0.0184,0.0621,0.0405,0.1277,0
