"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.162,0.0016,0.0018,0.0022,0.0031,0.3528,0.0021,0.0025,0.0027,0.0028,0.0111,0.0048,0.0035,0.002,0.002,0.002,0.0015,0.0027,0.0022,0.0019,0.0026,0.0028,0.0014,0.0016,0.0028,0.002,0.0017,0.0014,0.0017,0.0029,0.0019,0.0467,0.0025,0.0013,0.0018,0.0014,7e-04,0.0018,0.0025,0.0052,0.002,0.0123,0.0081,0.0039,0
"TTL_A03",0.0013,1.0158,1e-04,2e-04,2e-04,0.0093,1e-04,1e-04,2e-04,2e-04,3e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,2e-04,1e-04,1e-04,2e-04,1e-04,1e-04,1e-04,2e-04,1e-04,2e-04,1e-04,2e-04,2e-04,0.007,2e-04,1e-04,2e-04,1e-04,0,2e-04,2e-04,6e-04,1e-04,0.0021,5e-04,3e-04,0
"TTL_B05_06",0.0052,0.0032,1.0112,0.0154,0.0128,0.0064,0.0037,0.0045,0.0058,0.2313,0.0111,0.0056,0.0158,0.0208,0.013,0.0078,0.0057,0.0056,0.0049,0.0051,0.0045,0.0039,0.0934,0.0098,0.0064,0.0041,0.0087,0.0015,0.0071,0.0048,0.0063,0.0044,0.0025,0.0029,0.0022,0.0024,0.001,0.0017,0.0026,0.0027,0.0011,0.0026,0.0026,0.0035,0
"TTL_B07_08",0.0036,0.004,0.0092,1.0179,0.0138,0.0044,0.0028,0.0043,0.0043,0.2008,0.0175,0.0072,0.0111,0.0495,0.0354,0.0135,0.011,0.0074,0.0066,0.0067,0.0062,0.0056,0.0359,0.0057,0.0226,0.0028,0.0055,0.0012,0.0053,0.0049,0.004,0.003,0.002,0.0019,0.0025,0.0021,0.0019,0.0014,0.002,0.0024,0.0011,0.0024,0.002,0.0026,0
"TTL_B09",6e-04,0.0012,0.0282,0.0149,1.0341,7e-04,4e-04,6e-04,8e-04,0.0287,0.0018,8e-04,0.0017,0.004,0.003,0.0015,0.001,8e-04,8e-04,8e-04,7e-04,6e-04,0.0074,0.0011,0.0018,5e-04,0.0011,4e-04,9e-04,0.0019,8e-04,5e-04,3e-04,3e-04,4e-04,4e-04,2e-04,3e-04,4e-04,3e-04,2e-04,3e-04,3e-04,4e-04,0
"TTL_C10T12",0.1619,0.0035,0.0042,0.005,0.0075,1.2493,0.0049,0.0038,0.0072,0.0068,0.0318,0.0127,0.0089,0.0049,0.0048,0.0048,0.0036,0.0072,0.0056,0.0045,0.0063,0.0077,0.0031,0.003,0.0034,0.0056,0.005,0.0037,0.0043,0.0053,0.0046,0.1486,0.007,0.0034,0.0042,0.0034,0.0018,0.0041,0.0046,0.0076,0.0056,0.0309,0.0259,0.0105,0
"TTL_C13T15",0.0014,7e-04,0.001,0.0013,0.0016,0.0021,1.1715,0.0051,0.0058,0.0027,0.0021,0.0024,0.0029,0.0017,0.0018,0.0026,0.0014,0.0034,0.0018,0.0086,0.0019,0.0055,0.001,0.0012,0.0017,9e-04,9e-04,4e-04,0.001,0.0014,8e-04,0.0055,0.001,5e-04,9e-04,7e-04,4e-04,6e-04,9e-04,0.0012,4e-04,0.0037,0.0015,0.0018,0
"TTL_C16",0.0044,0.004,0.0044,0.0058,0.0069,0.0125,0.0078,1.3133,0.0045,0.0069,0.0109,0.004,0.0053,0.006,0.0046,0.0058,0.0037,0.0054,0.0051,0.0198,0.0413,0.024,0.0053,0.0035,0.0275,0.0088,0.0026,0.003,0.0106,0.0091,0.003,0.0158,0.0048,0.0026,0.0025,0.0037,0.0027,0.0027,0.0025,0.0023,0.0015,0.0053,0.0071,0.0022,0
"TTL_C17_18",0.0034,0.0223,0.0055,0.0072,0.0088,0.0072,0.0101,0.0055,1.2333,0.0111,0.0098,0.0124,0.0297,0.0071,0.0081,0.0078,0.006,0.0204,0.0097,0.0202,0.0075,0.0064,0.0051,0.007,0.005,0.0078,0.0061,0.0057,0.0056,0.0099,0.0369,0.0043,0.0114,0.0081,0.0083,0.0106,0.0024,0.0146,0.0153,0.0026,0.0044,0.005,0.0121,0.0096,0
"TTL_C19",0.013,0.0074,0.023,0.039,0.0283,0.0158,0.0096,0.0109,0.0147,1.1195,0.0278,0.0155,0.0441,0.0345,0.0204,0.0147,0.0118,0.0136,0.011,0.0116,0.0108,0.0087,0.1926,0.0223,0.0107,0.0101,0.027,0.0036,0.0214,0.0108,0.018,0.0101,0.0058,0.0063,0.0051,0.0057,0.002,0.0039,0.007,0.0063,0.0025,0.0066,0.0061,0.0085,0
"TTL_C20",0.0343,0.0119,0.0128,0.018,0.0193,0.0212,0.0224,0.0314,0.0665,0.0226,1.0918,0.1526,0.1382,0.0468,0.0435,0.0374,0.0355,0.0528,0.0347,0.0324,0.0718,0.0242,0.0089,0.0086,0.0148,0.0071,0.0117,0.0045,0.0182,0.0097,0.0086,0.0088,0.0061,0.0046,0.0068,0.0084,0.0025,0.0058,0.014,0.0033,0.0036,0.0181,0.0061,0.0168,0
"TTL_C21",0.003,0.0012,0.0056,0.0086,0.0027,0.0023,0.0037,0.003,0.0053,0.0047,0.0508,1.0359,0.0102,0.0043,0.0185,0.0072,0.0048,0.0059,0.0044,0.0043,0.0083,0.0033,0.0019,0.0013,0.0022,0.001,0.0043,9e-04,0.0026,0.002,0.0018,0.0013,0.0017,0.0012,0.0023,0.0014,4e-04,0.0017,0.0017,6e-04,0.0014,0.0538,0.0011,0.0027,0
"TTL_C22",0.0119,0.0132,0.0149,0.0255,0.0308,0.0367,0.0215,0.0271,0.0316,0.0215,0.0385,0.0273,1.0691,0.0467,0.0169,0.0539,0.0163,0.0792,0.069,0.0661,0.0173,0.033,0.0099,0.0065,0.0194,0.0168,0.0559,0.0029,0.0111,0.0092,0.0092,0.0116,0.0063,0.0037,0.0056,0.0047,0.0028,0.0034,0.0057,0.003,0.0028,0.0078,0.007,0.0045,0
"TTL_C23",0.0079,0.0184,0.0129,0.017,0.0209,0.0175,0.0076,0.0222,0.0088,0.0222,0.012,0.0216,0.024,1.3534,0.0181,0.0625,0.1469,0.0241,0.0282,0.0254,0.0268,0.0382,0.0146,0.0143,0.1445,0.0087,0.0059,0.0049,0.0109,0.0226,0.0067,0.0126,0.014,0.007,0.0318,0.0094,0.0086,0.0073,0.0064,0.008,0.0066,0.0117,0.0085,0.0099,0
"TTL_C24",0.0095,0.0175,0.0149,0.0185,0.023,0.0109,0.0143,0.0344,0.0184,0.0235,0.0139,0.0153,0.0212,0.0311,1.4221,0.3793,0.1678,0.1539,0.1368,0.1485,0.103,0.1059,0.0163,0.0129,0.0622,0.0087,0.0079,0.0055,0.0274,0.0194,0.0069,0.0074,0.0081,0.0081,0.0106,0.0091,0.0074,0.0047,0.0066,0.0051,0.0037,0.0079,0.0085,0.0057,0
"TTL_C25",0.019,0.0348,0.0143,0.0188,0.0237,0.0166,0.0205,0.0575,0.0138,0.0334,0.0179,0.0106,0.0167,0.0337,0.0945,1.0845,0.0942,0.1039,0.0629,0.0742,0.0561,0.0598,0.016,0.0136,0.0893,0.0097,0.0093,0.0051,0.019,0.0182,0.0073,0.0101,0.0077,0.0075,0.0088,0.0087,0.0108,0.0052,0.009,0.0059,0.0054,0.0099,0.0127,0.0079,0
"TTL_C26",0.0019,0.0017,0.0055,0.0067,0.0091,0.0031,0.0042,0.0032,0.0056,0.0072,0.0056,0.0202,0.0054,0.0041,0.0049,0.0059,1.1096,0.0642,0.0095,0.0098,0.0056,0.0135,0.006,0.0029,0.0043,0.0041,0.0038,0.0042,0.0047,0.0153,0.0044,0.0023,0.0205,0.0119,0.0367,0.0059,0.0018,0.0077,0.0056,0.0017,0.0022,0.0066,0.0068,0.0055,0
"TTL_C27",0.0028,0.0071,0.0045,0.006,0.0068,0.004,0.0164,0.0074,0.0104,0.0093,0.0268,0.0103,0.0238,0.0104,0.0108,0.0145,0.0068,1.1238,0.0214,0.0252,0.0246,0.0131,0.0048,0.0031,0.0112,0.0047,0.0082,0.0022,0.0073,0.0053,0.0029,0.0046,0.0056,0.0028,0.0071,0.0031,0.0093,0.0026,0.0035,0.002,0.0013,0.0038,0.0042,0.0033,0
"TTL_C28",0.0031,0.0052,0.0114,0.0137,0.0156,0.005,0.0057,0.0057,0.0076,0.0139,0.0067,0.004,0.0075,0.0076,0.0086,0.0076,0.0052,0.0086,1.0473,0.0062,0.0662,0.0237,0.005,0.0055,0.0061,0.004,0.0107,0.0032,0.0215,0.0092,0.0046,0.0029,0.0035,0.0033,0.004,0.0048,0.0012,0.0024,0.0062,0.0015,0.002,0.0026,0.0043,0.002,0
"TTL_C29",0.0019,0.0012,0.0029,0.004,0.0046,0.0032,0.0042,0.0024,0.0029,0.0036,0.0029,0.0025,0.0035,0.0031,0.003,0.0032,0.0034,0.0063,0.0034,1.0227,0.0039,0.0028,0.0023,0.0025,0.002,0.0095,0.0023,0.001,0.0178,0.0026,0.0025,0.0016,0.0021,9e-04,0.0022,0.0021,6e-04,0.001,0.0014,5e-04,4e-04,0.0015,0.0013,0.001,0
"TTL_C30",0.0025,0.002,0.0045,0.0061,0.0072,0.0038,0.0032,0.0035,0.0052,0.0083,0.0052,0.0041,0.0053,0.0042,0.0052,0.0049,0.0024,0.0035,0.0048,0.0037,1.058,0.0093,0.0054,0.0068,0.003,0.0042,0.0063,0.022,0.1965,0.0129,0.0041,0.0027,0.004,0.0039,0.0044,0.0382,0.0016,0.0033,0.0033,0.0024,0.0011,0.0026,0.0036,0.0026,0
"TTL_C31T33",0.0078,0.0046,0.0441,0.0509,0.061,0.0118,0.0109,0.0263,0.0225,0.0494,0.0175,0.0122,0.0243,0.0216,0.0213,0.0142,0.009,0.0168,0.0127,0.014,0.014,1.0236,0.0198,0.0217,0.0104,0.0082,0.0067,0.0033,0.0125,0.0123,0.0153,0.0092,0.0076,0.0203,0.0078,0.0053,0.0028,0.0044,0.0069,0.0038,0.0043,0.0163,0.0114,0.0049,0
"TTL_D",0.0375,0.0203,0.0387,0.0638,0.0401,0.0449,0.0225,0.0279,0.0418,0.081,0.0424,0.0272,0.0801,0.0976,0.072,0.0397,0.0267,0.0299,0.0281,0.0292,0.0238,0.0213,1.1074,0.0952,0.0231,0.0309,0.0138,0.0076,0.014,0.0299,0.0241,0.0387,0.019,0.0273,0.0135,0.0153,0.0057,0.0122,0.0133,0.0203,0.0072,0.0172,0.0198,0.0286,0
"TTL_E",0.0152,0.0025,0.007,0.0079,0.0095,0.0127,0.0088,0.0081,0.0089,0.0078,0.0085,0.0053,0.0102,0.0084,0.015,0.0117,0.0056,0.0074,0.0082,0.0094,0.0057,0.0069,0.0076,1.2451,0.0083,0.012,0.0042,0.0032,0.0052,0.0204,0.0089,0.0186,0.0063,0.0067,0.0071,0.0052,0.0116,0.0048,0.0062,0.0256,0.0039,0.0109,0.0061,0.0119,0
"TTL_F",0.0232,0.1612,0.0819,0.1101,0.1382,0.0308,0.0289,0.0544,0.027,0.1221,0.0286,0.0283,0.0453,0.0322,0.0371,0.0285,0.0174,0.0242,0.0378,0.024,0.0362,0.021,0.0737,0.0876,1.4888,0.0419,0.0192,0.0192,0.0302,0.1316,0.0328,0.0454,0.0227,0.0274,0.0181,0.043,0.0426,0.0208,0.0262,0.0381,0.0329,0.0402,0.0362,0.0391,0
