"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.1626,0.0313,0.0105,0.0231,0.0353,0.3022,0.0594,0.2715,0.0504,0.0129,0.026,0.0178,0.0183,0.0137,0.0208,0.0126,0.0134,0.0125,0.013,0.0178,0.0137,0.0268,0.009,0.0132,0.015,0.0178,0.0112,0.0133,0.0125,0.0081,0.0046,0.1112,0.015,0.0036,0.0059,0.0052,0.0126,0.0123,0.0235,0.0068,0.0064,0.0134,0.0239,0.0157,0
"TTL_A03",4e-04,1.005,0,0,0,0.0018,1e-04,1e-04,1e-04,0,1e-04,1e-04,1e-04,0,0,0,1e-04,1e-04,0,1e-04,0,0,0,0,0,1e-04,0,0,1e-04,0,0,3e-04,0,0,0,0,0,0,1e-04,0,0,1e-04,1e-04,3e-04,0
"TTL_B05_06",0.0419,0.0424,1.0337,0.033,0.0871,0.0303,0.0346,0.0505,0.0444,0.5004,0.1392,0.0277,0.0602,0.0514,0.0841,0.0392,0.0324,0.0382,0.0417,0.0382,0.0325,0.0322,0.2106,0.0319,0.0284,0.0302,0.0534,0.0493,0.0827,0.0314,0.0164,0.0197,0.0169,0.0121,0.0094,0.0114,0.0206,0.018,0.0224,0.0183,0.0128,0.0182,0.0222,0.0228,0
"TTL_B07_08",0.005,0.023,0.0053,1.0913,0.009,0.004,0.0038,0.0055,0.0039,0.0047,0.0123,0.0034,0.0067,0.046,0.1025,0.0203,0.0061,0.0234,0.0205,0.0118,0.0138,0.0099,0.0055,0.0156,0.0219,0.0033,0.0036,0.0055,0.0035,0.0037,0.0013,0.0026,0.0018,0.001,0.0013,0.0013,0.0042,0.0039,0.0033,0.0024,0.0012,0.0022,0.0029,0.0024,0
"TTL_B09",0.0045,0.0057,0.0066,0.001,1.1198,0.0017,0.001,0.0021,0.0012,0.0101,0.0034,8e-04,0.0016,0.0014,0.0036,0.0013,9e-04,0.0013,0.0013,0.0011,0.001,9e-04,0.0046,9e-04,8e-04,8e-04,0.0016,0.0012,0.0018,9e-04,4e-04,8e-04,5e-04,3e-04,3e-04,3e-04,5e-04,5e-04,0.001,5e-04,3e-04,5e-04,6e-04,6e-04,0
"TTL_C10T12",0.2314,0.0477,0.0086,0.013,0.0121,1.3078,0.0241,0.0631,0.0211,0.0111,0.0333,0.0165,0.0233,0.013,0.0142,0.0128,0.0154,0.0121,0.0124,0.0159,0.0124,0.0146,0.0078,0.0115,0.012,0.0196,0.0134,0.0178,0.0171,0.0081,0.0051,0.2017,0.0115,0.0039,0.0073,0.0054,0.0101,0.0129,0.0328,0.011,0.0133,0.0251,0.0214,0.0179,0
"TTL_C13T15",0.0095,0.0119,0.01,0.006,0.0045,0.0075,1.2103,0.0073,0.0104,0.0076,0.0096,0.0462,0.0232,0.0066,0.0064,0.0081,0.0092,0.0112,0.0098,0.0359,0.013,0.0235,0.0045,0.0074,0.0062,0.0092,0.0084,0.0067,0.0056,0.0039,0.0052,0.0069,0.0094,0.0019,0.0029,0.0023,0.0055,0.0055,0.0136,0.0049,0.0025,0.0166,0.0154,0.0121,0
"TTL_C16",0.0179,0.0167,0.0126,0.0141,0.0084,0.012,0.0092,1.272,0.0625,0.0105,0.0146,0.0106,0.0168,0.0232,0.0435,0.0191,0.0134,0.0184,0.0197,0.0293,0.0179,0.0741,0.0067,0.0168,0.0288,0.012,0.0093,0.0103,0.0101,0.0092,0.0049,0.0114,0.0172,0.0033,0.0056,0.005,0.0297,0.0139,0.0132,0.0055,0.0051,0.0075,0.0131,0.0147,0
"TTL_C17_18",0.0179,0.0142,0.0092,0.0135,0.0079,0.0343,0.0196,0.0437,1.4093,0.0095,0.0292,0.0302,0.0267,0.0257,0.0165,0.0157,0.0236,0.0193,0.0181,0.0214,0.0154,0.0241,0.0077,0.0136,0.0198,0.02,0.0139,0.0209,0.0146,0.0168,0.0124,0.0215,0.2236,0.0071,0.0151,0.0235,0.0149,0.0551,0.0462,0.0118,0.0195,0.0147,0.0315,0.0343,0
"TTL_C19",0.0578,0.0368,0.0207,0.0287,0.0185,0.0318,0.0276,0.0605,0.0378,1.0613,0.1464,0.0257,0.0707,0.0437,0.0325,0.0307,0.0306,0.0285,0.0301,0.0389,0.0269,0.0289,0.0319,0.0345,0.034,0.0433,0.0849,0.078,0.152,0.027,0.0199,0.0168,0.0161,0.0131,0.0103,0.0102,0.0191,0.0204,0.0287,0.0172,0.0069,0.015,0.0218,0.0209,0
"TTL_C20",0.0761,0.0495,0.0304,0.0639,0.0257,0.0425,0.0655,0.0838,0.0708,0.0339,1.2976,0.0686,0.3147,0.0661,0.0396,0.0466,0.0537,0.0631,0.0439,0.0872,0.0627,0.0529,0.017,0.0249,0.029,0.0191,0.0213,0.0206,0.0232,0.0133,0.0073,0.0184,0.02,0.0066,0.0073,0.007,0.021,0.0185,0.0199,0.0094,0.007,0.0201,0.016,0.0243,0
"TTL_C21",0.0048,0.0033,0.0017,0.0026,0.0013,0.0036,0.0038,0.0038,0.0038,0.0018,0.0097,1.0772,0.01,0.0029,0.0023,0.0025,0.0038,0.0031,0.0026,0.0055,0.0036,0.0028,0.0011,0.0025,0.0025,0.0025,0.0016,0.0018,0.0017,0.0011,7e-04,0.0019,0.0017,7e-04,0.001,9e-04,0.0016,0.0044,0.0019,0.0011,6e-04,0.0717,0.0026,0.0044,0
"TTL_C22",0.0224,0.0214,0.0344,0.0437,0.0147,0.0291,0.0251,0.027,0.0274,0.0249,0.0323,0.0273,1.2026,0.0336,0.0286,0.0723,0.1176,0.0687,0.0488,0.1956,0.147,0.0449,0.0141,0.0204,0.0354,0.0233,0.0281,0.018,0.0194,0.0135,0.0081,0.014,0.0122,0.0096,0.0078,0.0069,0.0246,0.0188,0.0169,0.0072,0.0052,0.0105,0.0139,0.0126,0
"TTL_C23",0.0116,0.0149,0.0117,0.0228,0.018,0.0154,0.0213,0.0249,0.0101,0.0099,0.019,0.0128,0.015,1.2858,0.0214,0.0173,0.0208,0.0167,0.0164,0.0152,0.0154,0.0205,0.007,0.0163,0.0916,0.0087,0.0089,0.0119,0.0086,0.0111,0.0039,0.0098,0.0058,0.0036,0.0052,0.0046,0.0314,0.0141,0.0092,0.0079,0.0038,0.0069,0.0111,0.0075,0
"TTL_C24",0.0203,0.2412,0.0351,0.0207,0.0248,0.0185,0.0182,0.0293,0.0202,0.026,0.03,0.0154,0.0365,0.0374,1.4138,0.2432,0.0509,0.2763,0.2484,0.1296,0.1436,0.0954,0.0221,0.0939,0.0546,0.0223,0.0199,0.038,0.0218,0.0137,0.0064,0.0121,0.0095,0.0061,0.0068,0.006,0.0155,0.0174,0.0148,0.0091,0.0051,0.0111,0.014,0.0129,0
"TTL_C25",0.0241,0.0545,0.0578,0.0393,0.0319,0.0255,0.0279,0.0615,0.0338,0.0401,0.0469,0.0255,0.048,0.0497,0.1127,1.3428,0.0641,0.0954,0.2091,0.0829,0.0679,0.0901,0.0257,0.027,0.0524,0.0244,0.0231,0.0236,0.0249,0.0168,0.0079,0.0151,0.0136,0.0076,0.0087,0.0077,0.0242,0.024,0.0182,0.0102,0.0065,0.0137,0.0178,0.0171,0
"TTL_C26",0.0151,0.0202,0.0151,0.0137,0.0115,0.0139,0.0138,0.0154,0.0175,0.0149,0.0175,0.0146,0.0193,0.0137,0.013,0.0165,1.936,0.1266,0.0568,0.0447,0.2169,0.0364,0.015,0.0134,0.0291,0.017,0.0211,0.0183,0.0231,0.0151,0.0223,0.0168,0.0331,0.1049,0.0302,0.0233,0.0114,0.0335,0.0152,0.012,0.0141,0.0166,0.0222,0.0251,0
"TTL_C27",0.0099,0.0143,0.0154,0.0091,0.0096,0.009,0.0094,0.0104,0.0097,0.013,0.0121,0.0094,0.0179,0.0115,0.0117,0.0169,0.033,1.1062,0.0323,0.0771,0.0386,0.0337,0.0188,0.0092,0.0289,0.013,0.0114,0.011,0.0122,0.0079,0.0039,0.0085,0.0055,0.0045,0.0052,0.0038,0.0107,0.01,0.0078,0.0057,0.0034,0.0067,0.0091,0.0073,0
"TTL_C28",0.0186,0.0933,0.0503,0.0166,0.0242,0.0139,0.0135,0.02,0.0156,0.0319,0.0265,0.0115,0.0202,0.0347,0.0193,0.0313,0.027,0.0268,1.0496,0.0315,0.043,0.0375,0.0232,0.0144,0.0238,0.0127,0.0124,0.0148,0.0187,0.0091,0.0049,0.0088,0.0073,0.0042,0.0049,0.0046,0.0096,0.0118,0.0116,0.0058,0.0036,0.0082,0.0094,0.0152,0
"TTL_C29",0.0277,0.028,0.0199,0.0232,0.0138,0.0254,0.0252,0.0268,0.0209,0.0233,0.0268,0.0206,0.0398,0.0338,0.0418,0.034,0.0434,0.1438,0.0447,1.4245,0.0504,0.031,0.0167,0.0298,0.0309,0.0627,0.0684,0.0276,0.0211,0.0204,0.0118,0.0154,0.013,0.0079,0.0099,0.0089,0.0127,0.0191,0.0234,0.0083,0.0053,0.0131,0.0172,0.0151,0
"TTL_C30",0.001,0.0037,0.0025,0.0013,0.0015,0.001,8e-04,0.0014,0.0014,0.002,0.0014,9e-04,0.001,0.0014,0.0012,0.0014,0.0018,0.0014,0.0117,0.0014,1.1245,0.0142,0.0011,8e-04,0.0011,8e-04,0.004,0.0125,0.0358,0.0021,0.0012,6e-04,6e-04,3e-04,4e-04,6e-04,5e-04,0.001,0.0015,0.0011,3e-04,0.0012,9e-04,8e-04,0
