"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.0755,0.0076,0.0087,0.0115,0.0039,0.2247,0.0105,0.1607,0.0088,0.0065,0.008,0.0061,0.0092,0.0047,0.0048,0.0037,0.0028,0.0029,0.0033,0.0034,0.005,0.0085,0.0058,0.0031,0.0063,0.0038,0.0033,0.0105,0.006,0.0035,0.0025,0.0423,0.0029,0.0026,0.0011,0.0018,0.0035,0.0019,0.0088,0.0076,0.0022,0.009,0.0029,0.0048,0
"TTL_A03",2e-04,1.1149,0,0,0,0.0025,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,3e-04,1e-04,0,0,0.0019,0,0,0,0,0,0,1e-04,1e-04,0,2e-04,1e-04,0,0
"TTL_B05_06",0.023,0.0271,1.1621,0.0652,0.0451,0.0234,0.025,0.0226,0.0362,0.4787,0.0495,0.0169,0.0257,0.0537,0.1237,0.0299,0.0145,0.0203,0.0216,0.0176,0.0161,0.0182,0.115,0.014,0.0188,0.013,0.0214,0.0411,0.0855,0.0216,0.0165,0.0132,0.0087,0.0085,0.0038,0.0045,0.0034,0.0065,0.0086,0.0083,0.0036,0.0075,0.0063,0.0076,0
"TTL_B07_08",0.0033,0.0069,0.0024,1.0936,0.0341,0.0029,0.0024,0.0051,0.0045,0.0037,0.0054,0.0028,0.0032,0.0691,0.0202,0.005,0.0029,0.0041,0.0042,0.0031,0.0026,0.0042,0.0032,0.0024,0.0185,0.0013,0.0012,0.0016,0.0016,0.0016,0.0013,0.0019,0.0012,0.0015,5e-04,7e-04,0.0017,9e-04,0.0011,0.002,5e-04,0.0012,9e-04,9e-04,0
"TTL_B09",2e-04,4e-04,0.0042,0.0029,1.0094,2e-04,2e-04,2e-04,3e-04,0.0044,5e-04,2e-04,3e-04,0.001,0.0014,4e-04,2e-04,2e-04,2e-04,2e-04,2e-04,2e-04,9e-04,2e-04,5e-04,1e-04,3e-04,4e-04,8e-04,3e-04,2e-04,1e-04,1e-04,1e-04,0,1e-04,1e-04,1e-04,1e-04,1e-04,0,1e-04,1e-04,1e-04,0
"TTL_C10T12",0.0812,0.0043,0.0055,0.0074,0.0052,1.2026,0.0093,0.0168,0.0064,0.0065,0.024,0.0192,0.0091,0.0051,0.0053,0.0038,0.0035,0.0035,0.0038,0.0034,0.0035,0.0045,0.0043,0.0027,0.0047,0.0031,0.0042,0.0328,0.016,0.0047,0.0027,0.1821,0.0048,0.0026,0.0016,0.0024,0.0012,0.0023,0.0118,0.0199,0.0063,0.0348,0.0061,0.0067,0
"TTL_C13T15",0.0024,0.0843,0.0015,0.0018,0.0025,0.0021,1.1268,0.002,0.0024,0.0016,0.002,0.0026,0.0132,0.0014,0.0016,0.0023,0.0023,0.0023,0.0028,0.0058,0.0036,0.01,0.001,9e-04,0.0026,0.001,9e-04,0.0015,0.0016,9e-04,0.0018,0.0032,0.0011,8e-04,8e-04,5e-04,4e-04,6e-04,0.0015,9e-04,4e-04,0.0019,0.0018,0.0015,0
"TTL_C16",0.0038,0.0055,0.0095,0.011,0.0042,0.0045,0.0052,1.2481,0.0114,0.0058,0.0058,0.0037,0.0045,0.0067,0.0061,0.0064,0.0045,0.0041,0.0051,0.0044,0.0211,0.0329,0.0051,0.0041,0.0238,0.0022,0.0023,0.0032,0.0045,0.003,0.0023,0.0033,0.0023,0.0032,0.001,0.0013,0.0026,0.002,0.0033,0.0026,0.0017,0.0025,0.0024,0.012,0
"TTL_C17_18",0.01,0.0237,0.0094,0.029,0.0093,0.0356,0.0357,0.0182,1.2985,0.0116,0.0276,0.0377,0.0208,0.0186,0.0112,0.0123,0.0181,0.0173,0.0118,0.0108,0.0101,0.0187,0.0076,0.0082,0.0101,0.0181,0.0069,0.0079,0.0089,0.007,0.0142,0.0118,0.0808,0.0159,0.0061,0.0092,0.0027,0.0159,0.0138,0.008,0.0045,0.0082,0.0085,0.008,0
"TTL_C19",0.034,0.0391,0.0185,0.0422,0.0456,0.0184,0.0188,0.022,0.0163,1.1077,0.0495,0.017,0.0239,0.0318,0.0331,0.0129,0.0113,0.0125,0.0115,0.012,0.0104,0.0121,0.0216,0.0139,0.019,0.0147,0.0344,0.0684,0.1828,0.0381,0.0266,0.0101,0.0079,0.0077,0.0039,0.0036,0.0029,0.0066,0.0106,0.0071,0.0029,0.0052,0.0059,0.0079,0
