"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.1464,0.0307,6e-04,0.0025,0.0041,0.2173,0.0113,0.0641,0.006,0.0022,0.0145,0.0106,0.0069,0.0043,0.0044,0.0054,0.0059,0.0048,0.0136,0.0062,0.0061,0.0127,0.0113,0.0083,0.0097,0.0059,0.0057,0.0067,0.0061,0.0084,0.0053,0.0645,0.0066,0.0056,0.0059,0.0027,0.0024,0.0091,0.0128,0.0064,0.0043,0.007,0.0083,0.0071,0
"TTL_A03",0.0053,1.0072,1e-04,4e-04,6e-04,0.0334,0.0011,7e-04,6e-04,2e-04,0.0028,0.001,7e-04,5e-04,4e-04,4e-04,8e-04,5e-04,7e-04,6e-04,5e-04,0.001,4e-04,9e-04,8e-04,7e-04,8e-04,0.001,9e-04,0.0014,5e-04,0.0108,6e-04,4e-04,7e-04,3e-04,2e-04,7e-04,9e-04,5e-04,3e-04,6e-04,8e-04,8e-04,0
"TTL_B05_06",0.0407,0.0811,1.0575,0.2889,0.0452,0.05,0.0214,0.0233,0.0324,0.7991,0.0424,0.0121,0.0304,0.0993,0.0768,0.0294,0.0134,0.0172,0.0207,0.0277,0.0197,0.0167,0.1948,0.0207,0.0439,0.0136,0.0605,0.059,0.0852,0.0181,0.0197,0.0233,0.0112,0.0102,0.0072,0.0047,0.0076,0.009,0.0269,0.0116,0.0078,0.011,0.0173,0.0094,0
"TTL_B07_08",0.002,0.0013,0.0028,1.0444,0.0053,0.0025,0.0018,0.0026,0.0032,0.0028,0.0016,7e-04,0.0029,0.0506,0.0036,0.0023,0.001,0.0015,0.0016,0.002,0.002,0.001,0.0066,9e-04,0.0065,5e-04,9e-04,7e-04,8e-04,6e-04,6e-04,0.0011,5e-04,7e-04,4e-04,3e-04,9e-04,5e-04,9e-04,6e-04,4e-04,5e-04,7e-04,5e-04,0
"TTL_B09",0.0059,0.021,0.0509,0.0849,1.2703,0.0057,0.0034,0.0045,0.0063,0.064,0.0127,0.0027,0.0054,0.0295,0.0251,0.0087,0.0027,0.0035,0.0045,0.0055,0.0042,0.0031,0.0148,0.0039,0.015,0.002,0.0086,0.0074,0.0096,0.0046,0.0025,0.0028,0.0016,0.0019,0.0012,9e-04,0.0027,0.0023,0.0033,0.0019,0.001,0.0014,0.0021,0.0016,0
"TTL_C10T12",0.1681,0.1631,7e-04,0.0034,0.0038,1.268,0.0256,0.0159,0.0106,0.0031,0.0621,0.0249,0.0147,0.0065,0.0066,0.0065,0.0077,0.0069,0.0122,0.0093,0.0077,0.0141,0.009,0.0097,0.0064,0.0087,0.008,0.0074,0.0079,0.0095,0.0067,0.2013,0.0079,0.0055,0.0082,0.0034,0.0023,0.0101,0.0111,0.0075,0.0048,0.0117,0.0122,0.0146,0
"TTL_C13T15",0.0012,0.0023,1e-04,7e-04,0.0011,0.002,1.21,0.0033,0.0195,5e-04,0.002,0.0014,0.0059,0.0052,0.0031,0.0039,0.0027,0.0023,0.0033,0.008,0.0128,0.0088,8e-04,0.0037,0.0026,0.0014,0.0014,0.0013,0.0011,0.0016,0.0064,0.0017,0.0022,0.0013,0.001,5e-04,7e-04,0.001,0.0024,0.0016,8e-04,0.0025,0.0037,0.0039,0
"TTL_C16",0.0039,0.0041,5e-04,0.003,0.0018,0.0038,0.0034,1.1303,0.0069,0.0014,0.0037,0.0021,0.0075,0.0054,0.0072,0.0066,0.0062,0.0039,0.0056,0.0111,0.0109,0.033,0.0088,0.0054,0.0379,0.0021,0.003,0.0024,0.0022,0.0025,0.0023,0.0025,0.0018,0.0032,0.0015,0.0014,0.0049,0.0022,0.0027,0.0022,0.001,0.0019,0.0041,0.0025,0
"TTL_C17_18",0.0056,0.0047,4e-04,0.0021,0.0023,0.0186,0.0089,0.0102,1.2265,0.0014,0.0124,0.0063,0.0157,0.0069,0.0098,0.007,0.007,0.0069,0.0065,0.0073,0.0055,0.0086,0.0016,0.0062,0.0041,0.0087,0.0033,0.0027,0.0025,0.0029,0.009,0.0059,0.0217,0.0057,0.0048,0.0023,0.0018,0.0047,0.0045,0.0045,0.0033,0.0034,0.0055,0.0046,0
"TTL_C19",0.0292,0.0832,0.0022,0.0105,0.018,0.0192,0.0108,0.0134,0.0099,1.0119,0.0113,0.0051,0.0111,0.0315,0.011,0.0113,0.007,0.0081,0.0103,0.0118,0.0093,0.0096,0.0069,0.0131,0.0162,0.0101,0.0643,0.0632,0.0945,0.0141,0.0161,0.0086,0.0046,0.0059,0.0038,0.0023,0.0034,0.0047,0.0123,0.0081,0.0034,0.004,0.0058,0.0057,0
