"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.1209,0.0043,0.0024,0.0081,0.0098,0.3501,0.015,0.0035,0.0111,0.0016,0.0053,0.0071,0.004,0.0014,0.0021,0.0015,0.002,0.0022,0.0018,0.0017,0.0012,0.0026,0.0016,5e-04,0.0013,3e-04,0.0011,0.001,0.0026,0.0012,0.0011,0.0393,0.0016,4e-04,2e-04,6e-04,3e-04,8e-04,8e-04,0.0017,0.0013,0.0071,0.001,6e-04,0
"TTL_A03",1e-04,1.0036,0,0,0,0.0013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108,0,0,0,0,0,0,0,0,0,1e-04,0,0,0
"TTL_B05_06",0.0222,0.0638,1.121,0.0126,0.0163,0.1025,0.0718,0.1344,0.0632,0.6878,0.0539,0.0353,0.082,0.1609,0.1633,0.0748,0.0612,0.0694,0.0688,0.0852,0.0523,0.0625,0.5561,0.0873,0.0395,0.0176,0.1682,0.1553,0.2529,0.0486,0.0236,0.1305,0.0394,0.025,0.0092,0.0092,0.0049,0.0159,0.0212,0.0107,0.012,0.0271,0.0371,0.0447,0
"TTL_B07_08",0.0035,0.0012,5e-04,1.015,0.0106,0.0038,0.0177,0.0168,0.0201,9e-04,0.1295,0.0511,0.0469,0.0552,0.1494,0.0493,0.0496,0.0539,0.0479,0.0496,0.0237,0.0159,0.0012,0.0026,0.0376,6e-04,0.0016,8e-04,0.0019,0.0017,0.0022,0.0056,0.0059,0.0031,0.0017,6e-04,0.0027,0.0025,0.0012,0.001,0.0013,0.0076,0.0015,0.0015,0
"TTL_B09",0.0219,0.0049,9e-04,0.0238,1.018,0.0071,9e-04,6e-04,8e-04,6e-04,0.0032,0.0015,0.0013,0.0015,0.0039,0.0014,0.0015,0.0016,0.0017,0.0016,8e-04,6e-04,5e-04,2e-04,0.0013,1e-04,2e-04,2e-04,3e-04,6e-04,0.0062,0.0011,3e-04,2e-04,1e-04,0.0047,1e-04,1e-04,1e-04,2e-04,1e-04,4e-04,1e-04,1e-04,0
"TTL_C10T12",0.0394,0.012,6e-04,0.0012,0.0014,1.0765,0.009,0.0016,0.0021,5e-04,0.0021,0.0029,0.0036,0.0012,0.001,0.0014,0.0018,0.0019,0.0022,0.0016,0.0011,0.0017,9e-04,6e-04,0.001,3e-04,0.0015,6e-04,0.0044,0.0023,6e-04,0.0297,6e-04,7e-04,2e-04,6e-04,2e-04,0.0012,0.001,0.0025,0.003,0.0151,0.0023,0.001,0
"TTL_C13T15",3e-04,4e-04,1e-04,1e-04,6e-04,6e-04,1.2826,0.003,0.0074,1e-04,0.0023,0.0039,0.0047,4e-04,0.001,0.0013,0.0032,0.0016,0.0011,0.0042,0.0038,0.0117,2e-04,3e-04,0.0011,1e-04,3e-04,1e-04,0.0018,4e-04,5e-04,0.0029,0.0012,4e-04,2e-04,2e-04,1e-04,0.0013,6e-04,3e-04,5e-04,0.0023,4e-04,6e-04,0
"TTL_C16",0.0016,0.0045,8e-04,6e-04,0.0016,0.0028,0.002,1.0882,0.004,6e-04,0.0011,0.0016,0.0021,0.0017,0.0043,0.0044,0.0035,0.0051,0.0041,0.0037,0.0077,0.1848,0.0013,9e-04,0.0088,5e-04,0.0023,5e-04,0.0065,0.0036,9e-04,0.0019,0.001,0.001,3e-04,9e-04,8e-04,0.0016,0.0011,0.0013,0.0017,0.0037,0.0025,0.002,0
"TTL_C17_18",3e-04,3e-04,2e-04,2e-04,8e-04,0.0023,0.0023,9e-04,1.0919,2e-04,0.0011,0.003,0.0016,8e-04,0.0015,0.0017,0.0024,0.0023,0.0026,0.0081,0.0023,0.0013,4e-04,8e-04,0.0019,5e-04,0.001,0.0011,0.0011,0.0047,0.046,0.0058,0.1123,0.0017,0.0013,0.0064,0.0012,0.0068,0.0033,7e-04,0.0101,0.0088,0.0049,0.0022,0
"TTL_C19",0.0257,0.0478,0.005,0.0143,0.009,0.0711,0.0432,0.0178,0.0436,1.006,0.0461,0.0304,0.0938,0.1157,0.1318,0.0612,0.0493,0.0572,0.0558,0.0491,0.0501,0.0209,0.1797,0.0499,0.031,0.0137,0.081,0.1423,0.0958,0.0385,0.0233,0.0682,0.0281,0.0085,0.0037,0.0041,0.0039,0.0119,0.0168,0.0064,0.009,0.0178,0.0134,0.0211,0
