"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.0777,0.0169,0.0096,0.0075,0.0074,0.2458,0.0356,0.121,0.044,0.0093,0.013,0.0137,0.0249,0.0086,0.0089,0.0082,0.0104,0.0101,0.0082,0.0102,0.0101,0.0184,0.0075,0.0093,0.0088,0.0186,0.0058,0.0141,0.0075,0.0074,0.0071,0.0577,0.0138,0.0057,0.004,0.0035,0.0022,0.0094,0.0089,0.0061,0.0042,0.008,0.0261,0.0071,0
"TTL_A03",4e-04,1.0002,1e-04,1e-04,2e-04,0.0026,2e-04,2e-04,2e-04,1e-04,2e-04,4e-04,2e-04,1e-04,2e-04,1e-04,3e-04,2e-04,2e-04,2e-04,3e-04,2e-04,1e-04,2e-04,3e-04,1e-04,1e-04,2e-04,2e-04,2e-04,2e-04,0.004,3e-04,2e-04,3e-04,1e-04,1e-04,4e-04,4e-04,2e-04,2e-04,4e-04,3e-04,3e-04,0
"TTL_B05_06",0.0228,0.0322,1.0444,0.0647,0.0652,0.0268,0.0237,0.0356,0.0333,0.6608,0.0828,0.026,0.0423,0.0464,0.0639,0.0372,0.0263,0.0363,0.0298,0.0305,0.0281,0.0238,0.2341,0.0291,0.0182,0.0223,0.0834,0.0879,0.1094,0.0375,0.0272,0.0168,0.0231,0.0171,0.0071,0.0076,0.0045,0.0143,0.0151,0.014,0.01,0.0146,0.0096,0.015,0
"TTL_B07_08",0.004,0.0086,0.0088,1.0214,0.0184,0.0065,0.0046,0.0059,0.0085,0.0067,0.0254,0.0078,0.0096,0.0899,0.1021,0.0374,0.0146,0.0289,0.022,0.0204,0.018,0.0127,0.0049,0.0127,0.023,0.0035,0.0033,0.0049,0.0042,0.0055,0.0031,0.0036,0.0062,0.0057,0.0024,0.0015,0.0025,0.0036,0.003,0.0022,0.0013,0.0029,0.003,0.003,0
"TTL_B09",2e-04,3e-04,0.0021,0.0022,1.0061,2e-04,2e-04,2e-04,3e-04,0.0024,6e-04,2e-04,3e-04,8e-04,6e-04,3e-04,2e-04,3e-04,2e-04,2e-04,2e-04,2e-04,0.0013,3e-04,6e-04,1e-04,4e-04,4e-04,5e-04,3e-04,2e-04,1e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0
"TTL_C10T12",0.1447,0.0439,0.0074,0.009,0.0107,1.2592,0.0326,0.0245,0.0163,0.0099,0.0185,0.0161,0.017,0.0099,0.0107,0.0094,0.0108,0.0107,0.0095,0.011,0.0102,0.0104,0.011,0.0093,0.0073,0.0129,0.0075,0.0337,0.0118,0.0093,0.0103,0.2173,0.0106,0.0078,0.0068,0.0059,0.0026,0.0097,0.0185,0.0099,0.0092,0.019,0.0229,0.0126,0
"TTL_C13T15",0.0035,0.024,0.0064,0.0043,0.0061,0.0072,1.3017,0.0084,0.0124,0.0054,0.0098,0.0091,0.0247,0.0064,0.008,0.006,0.0094,0.0088,0.0078,0.022,0.0109,0.0243,0.0035,0.0093,0.0057,0.0062,0.0038,0.0083,0.0125,0.0051,0.0504,0.0139,0.0116,0.0049,0.0027,0.0018,0.0012,0.008,0.007,0.0046,0.002,0.0088,0.0122,0.0129,0
"TTL_C16",0.0079,0.0153,0.0595,0.0158,0.0131,0.0167,0.0102,1.4016,0.0335,0.0393,0.0126,0.0072,0.0127,0.0178,0.0153,0.017,0.0139,0.0181,0.0129,0.011,0.0171,0.1219,0.0167,0.0125,0.0281,0.0069,0.0102,0.0136,0.0139,0.0207,0.0072,0.0115,0.0178,0.0066,0.0036,0.0031,0.0034,0.0093,0.0077,0.0041,0.0029,0.004,0.0087,0.0142,0
"TTL_C17_18",0.012,0.0128,0.0119,0.0165,0.0206,0.0401,0.0241,0.0347,1.2442,0.0126,0.0324,0.0316,0.031,0.0245,0.0268,0.0205,0.0302,0.0267,0.0203,0.0209,0.0216,0.0267,0.0133,0.0684,0.0139,0.0178,0.0123,0.0178,0.0182,0.0192,0.0329,0.017,0.1634,0.0203,0.0245,0.0205,0.0091,0.102,0.0434,0.0188,0.01,0.0136,0.047,0.0244,0
"TTL_C19",0.0322,0.0488,0.0506,0.0875,0.0656,0.0331,0.0291,0.0467,0.0354,1.2368,0.1301,0.0326,0.0542,0.0554,0.0538,0.0364,0.0291,0.0373,0.0315,0.032,0.031,0.0273,0.0928,0.0356,0.0216,0.0248,0.1458,0.1483,0.1943,0.0565,0.0296,0.0225,0.0271,0.0162,0.0077,0.0085,0.0047,0.0153,0.0189,0.0145,0.0121,0.0199,0.0114,0.0179,0
"TTL_C20",0.0575,0.0354,0.0586,0.0799,0.0428,0.0491,0.0844,0.0722,0.09,0.0445,1.2898,0.1722,0.2174,0.0702,0.0947,0.0684,0.0568,0.0875,0.0529,0.0626,0.068,0.0569,0.0246,0.0638,0.0343,0.0184,0.02,0.0291,0.024,0.0343,0.0211,0.0296,0.0431,0.0171,0.0162,0.0073,0.0065,0.0259,0.0232,0.014,0.0061,0.052,0.0213,0.0257,0
"TTL_C21",0.0064,0.0032,0.0054,0.0073,0.0033,0.0051,0.0045,0.0051,0.0059,0.0042,0.0118,1.0467,0.0082,0.0043,0.0087,0.005,0.0045,0.0055,0.0041,0.0042,0.0057,0.0042,0.0024,0.0046,0.0026,0.0017,0.0017,0.0025,0.0024,0.0023,0.0017,0.0042,0.0041,0.0021,0.0015,8e-04,6e-04,0.003,0.0022,0.0014,8e-04,0.0286,0.0023,0.0027,0
"TTL_C22",0.0169,0.04,0.0162,0.0234,0.0222,0.0399,0.0405,0.0254,0.0307,0.0136,0.044,0.03,1.2335,0.023,0.0226,0.0261,0.0564,0.0832,0.041,0.0957,0.0921,0.0527,0.0094,0.0212,0.0225,0.0126,0.0203,0.0198,0.0148,0.0294,0.0151,0.0139,0.0175,0.0119,0.0056,0.0036,0.0043,0.0116,0.011,0.0064,0.0034,0.0094,0.0143,0.0148,0
"TTL_C23",0.0094,0.009,0.0137,0.0185,0.0237,0.0273,0.0098,0.013,0.0096,0.0114,0.0186,0.0134,0.014,1.1328,0.0201,0.0192,0.0292,0.0204,0.0192,0.022,0.0175,0.0126,0.0124,0.0164,0.1237,0.0103,0.0078,0.0107,0.0104,0.0172,0.0144,0.0149,0.011,0.0292,0.0072,0.0058,0.0123,0.0099,0.0082,0.0058,0.0049,0.0093,0.0094,0.0101,0
"TTL_C24",0.021,0.054,0.0413,0.0443,0.0657,0.0279,0.0203,0.0333,0.0547,0.0321,0.0265,0.0189,0.0493,0.0584,1.2014,0.3951,0.1249,0.2876,0.2199,0.2039,0.1775,0.1123,0.0276,0.089,0.06,0.0177,0.0199,0.0318,0.0249,0.0266,0.0134,0.0154,0.0447,0.0247,0.0101,0.007,0.0077,0.0189,0.017,0.0126,0.0063,0.0112,0.0156,0.0166,0
"TTL_C25",0.0434,0.0526,0.0499,0.074,0.0569,0.0493,0.0279,0.0539,0.0352,0.0395,0.031,0.0216,0.0466,0.0636,0.1462,1.1466,0.0806,0.1284,0.1933,0.0988,0.1318,0.0991,0.0417,0.1706,0.0867,0.0194,0.0217,0.0331,0.0284,0.0376,0.0147,0.0213,0.0267,0.0216,0.0114,0.0079,0.0109,0.019,0.0225,0.0141,0.0079,0.0122,0.0193,0.0239,0
"TTL_C26",0.0027,0.0109,0.0042,0.0058,0.0091,0.0054,0.0052,0.0055,0.0062,0.0043,0.0078,0.0064,0.0061,0.0069,0.0069,0.0092,1.2279,0.016,0.0116,0.0099,0.0299,0.0174,0.0048,0.0077,0.0096,0.0049,0.0051,0.0093,0.01,0.0097,0.0056,0.0044,0.0172,0.0455,0.0168,0.0049,0.0024,0.0153,0.0084,0.0061,0.0054,0.0336,0.0074,0.0141,0
"TTL_C27",0.0051,0.0165,0.0096,0.0143,0.0164,0.009,0.0083,0.0112,0.0092,0.0094,0.012,0.0093,0.013,0.0163,0.0164,0.0158,0.1436,1.1963,0.0805,0.0471,0.0486,0.0329,0.0201,0.0193,0.041,0.0078,0.0082,0.013,0.0125,0.0143,0.011,0.0099,0.0142,0.0378,0.008,0.0046,0.005,0.0098,0.0077,0.0069,0.0046,0.0089,0.0095,0.0088,0
"TTL_C28",0.0181,0.0212,0.0339,0.0498,0.0406,0.022,0.0225,0.0353,0.024,0.0288,0.033,0.0279,0.0324,0.0589,0.0547,0.0509,0.0302,0.0484,1.1001,0.0366,0.0581,0.0352,0.022,0.0486,0.0289,0.011,0.014,0.0185,0.0184,0.0186,0.0136,0.0137,0.0224,0.0235,0.0053,0.0041,0.0039,0.0106,0.0115,0.0165,0.0044,0.0075,0.012,0.0158,0
"TTL_C29",0.0085,0.0182,0.0089,0.0123,0.0144,0.0155,0.0153,0.0155,0.0118,0.0112,0.0153,0.0118,0.0154,0.0148,0.0157,0.0138,0.0189,0.0171,0.0156,1.4926,0.049,0.0184,0.0081,0.018,0.0102,0.0496,0.0344,0.0139,0.0122,0.0177,0.0077,0.0092,0.0102,0.0075,0.0044,0.0028,0.002,0.0069,0.017,0.007,0.0025,0.0061,0.0066,0.0063,0
"TTL_C30",0.0014,0.2681,0.0064,0.0048,0.0035,0.0035,0.0024,0.0034,0.0027,0.0054,0.0035,0.0024,0.0034,0.0036,0.004,0.0036,0.0032,0.0033,0.0033,0.0035,1.1375,0.0239,0.0027,0.0031,0.0019,0.0025,0.02,0.1007,0.0365,0.0117,0.0023,0.0025,0.0026,0.0022,0.0015,0.0011,4e-04,0.0019,0.0041,0.0139,0.001,0.0013,0.0018,0.0016,0
"TTL_C31T33",0.0054,0.0171,0.0118,0.017,0.0213,0.0117,0.0105,0.0191,0.0134,0.0113,0.014,0.0104,0.0134,0.0163,0.0186,0.0194,0.0276,0.0232,0.027,0.0168,0.0298,1.0555,0.0117,0.0162,0.0175,0.0084,0.0127,0.0209,0.0292,0.0253,0.0113,0.0127,0.0306,0.0181,0.0059,0.0059,0.0033,0.0209,0.0207,0.01,0.0077,0.0077,0.0272,0.0178,0
"TTL_D",0.0372,0.0369,0.1124,0.1015,0.062,0.0603,0.0541,0.0708,0.0946,0.0861,0.0825,0.0568,0.0872,0.1081,0.1056,0.078,0.0607,0.0805,0.0647,0.0697,0.0599,0.0512,1.2994,0.0604,0.0383,0.0613,0.0408,0.0617,0.0423,0.0481,0.0789,0.0317,0.0546,0.0562,0.0192,0.0203,0.0126,0.0405,0.0308,0.0406,0.024,0.0265,0.0217,0.036,0
"TTL_E",0.0164,0.0159,0.0124,0.0188,0.0207,0.0179,0.0136,0.0159,0.0257,0.0126,0.0171,0.0122,0.0197,0.0195,0.2059,0.0729,0.0296,0.0553,0.0432,0.0424,0.0368,0.0256,0.0119,1.1299,0.0161,0.0123,0.0161,0.0164,0.0095,0.0114,0.0075,0.0105,0.0174,0.0105,0.0052,0.0036,0.0045,0.0105,0.0086,0.0061,0.0049,0.0098,0.0068,0.0155,0
"TTL_F",0.0339,0.0313,0.0354,0.0694,0.0774,0.061,0.0442,0.0554,0.0537,0.0387,0.054,0.041,0.0459,0.0738,0.0715,0.0551,0.0511,0.0493,0.0503,0.0477,0.0437,0.0437,0.0558,0.1127,1.6274,0.0683,0.0487,0.063,0.0615,0.1381,0.0509,0.0547,0.0629,0.0757,0.0565,0.0543,0.1508,0.062,0.0439,0.04,0.0426,0.0353,0.0661,0.0352,0
"TTL_G",0.1339,0.1347,0.1123,0.1432,0.1207,0.2409,0.2564,0.2434,0.1656,0.1634,0.2199,0.1692,0.212,0.1745,0.1914,0.1698,0.2657,0.2189,0.1837,0.2544,0.1927,0.1846,0.1101,0.1659,0.1356,1.0837,0.1368,0.1263,0.1259,0.1072,0.0946,0.148,0.136,0.0922,0.0456,0.0367,0.0244,0.093,0.0824,0.051,0.0308,0.092,0.0826,0.0817,0
