"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.2307,0.0143,0.0116,0.0148,0.0168,0.3341,0.0307,0.3578,0.1225,0.01,0.0266,0.0186,0.0212,0.0204,0.01,0.0122,0.0148,0.0133,0.0123,0.0156,0.0177,0.0681,0.0214,0.0199,0.0299,0.0154,0.0122,0.0192,0.0232,0.0145,0.0137,0.0916,0.0283,0.0082,0.0092,0.0071,0.0103,0.0177,0.016,0.0107,0.0162,0.0148,0.0201,0.02,0
"TTL_A03",0.0017,1.0039,3e-04,3e-04,4e-04,0.0272,6e-04,8e-04,5e-04,3e-04,0.0013,7e-04,6e-04,4e-04,2e-04,3e-04,4e-04,4e-04,3e-04,4e-04,5e-04,7e-04,3e-04,3e-04,4e-04,6e-04,4e-04,7e-04,0.0012,4e-04,3e-04,0.0176,5e-04,2e-04,3e-04,2e-04,2e-04,5e-04,8e-04,5e-04,0.0012,8e-04,9e-04,5e-04,0
"TTL_B05_06",0.0258,0.0239,1.0276,0.0317,0.0324,0.0218,0.0166,0.0221,0.0326,0.1702,0.0323,0.0506,0.0219,0.0291,0.0154,0.0152,0.0121,0.013,0.0139,0.0132,0.0149,0.0172,0.1891,0.0215,0.017,0.0126,0.0383,0.0412,0.0478,0.0204,0.0142,0.016,0.0107,0.0069,0.0061,0.0042,0.0087,0.0083,0.01,0.0095,0.0132,0.0135,0.0174,0.0173,0
"TTL_B07_08",0.0054,0.0035,0.0156,1.0385,0.027,0.0049,0.0049,0.0053,0.0071,0.0058,0.0238,0.0154,0.0099,0.0615,0.0048,0.0052,0.0034,0.0043,0.0045,0.004,0.0048,0.0045,0.0204,0.0069,0.0365,0.0031,0.004,0.0083,0.0046,0.0042,0.0027,0.0037,0.0025,0.0019,0.0016,0.0011,0.0057,0.0026,0.0032,0.0043,0.0025,0.0034,0.004,0.0051,0
"TTL_B09",6e-04,7e-04,0.0063,0.0041,1.0086,5e-04,4e-04,6e-04,7e-04,0.0043,0.001,7e-04,6e-04,0.0014,9e-04,7e-04,4e-04,5e-04,5e-04,4e-04,4e-04,5e-04,0.0024,6e-04,0.001,3e-04,9e-04,9e-04,0.0012,5e-04,3e-04,3e-04,2e-04,2e-04,1e-04,1e-04,2e-04,2e-04,3e-04,3e-04,2e-04,3e-04,3e-04,4e-04,0
"TTL_C10T12",0.0611,0.0157,0.0046,0.0049,0.0064,1.1744,0.015,0.0213,0.012,0.0043,0.0436,0.0171,0.0129,0.0058,0.0031,0.0044,0.0066,0.005,0.0048,0.0055,0.0053,0.0145,0.004,0.0047,0.0058,0.0054,0.0044,0.0059,0.0117,0.0039,0.0033,0.1912,0.0078,0.0026,0.0036,0.0025,0.0027,0.0079,0.0098,0.0071,0.0248,0.0167,0.0139,0.009,0
"TTL_C13T15",0.006,0.028,0.0068,0.0082,0.0096,0.0084,1.2816,0.0069,0.0109,0.0063,0.0073,0.0077,0.0226,0.0099,0.0038,0.0065,0.0097,0.0144,0.008,0.0449,0.0132,0.0495,0.0049,0.0055,0.0081,0.0067,0.0068,0.0081,0.0101,0.006,0.006,0.0112,0.0086,0.0031,0.0031,0.0026,0.0033,0.0098,0.018,0.0052,0.0038,0.011,0.0168,0.0166,0
"TTL_C16",0.0188,0.0122,0.0142,0.0178,0.0206,0.0164,0.0169,1.2628,0.0256,0.0125,0.0164,0.0123,0.0278,0.0373,0.0097,0.013,0.0144,0.0154,0.0135,0.0207,0.026,0.1195,0.0502,0.0134,0.0713,0.0126,0.0129,0.0118,0.0183,0.0177,0.0093,0.0119,0.0095,0.0065,0.0054,0.0047,0.0159,0.0105,0.0095,0.0096,0.0072,0.0118,0.012,0.0135,0
"TTL_C17_18",0.0157,0.012,0.0121,0.013,0.0132,0.0437,0.0352,0.0267,1.258,0.011,0.026,0.0449,0.0299,0.0214,0.0114,0.0134,0.0231,0.0192,0.0176,0.0178,0.016,0.0247,0.0114,0.0181,0.0155,0.0256,0.0123,0.0162,0.0191,0.0119,0.0409,0.0238,0.222,0.031,0.0358,0.0193,0.0074,0.0474,0.0273,0.0118,0.0182,0.0161,0.0239,0.0682,0
"TTL_C19",0.0745,0.1,0.0653,0.0768,0.0869,0.0513,0.0337,0.0528,0.0406,1.045,0.0703,0.0338,0.048,0.0522,0.0264,0.031,0.0289,0.0264,0.0281,0.0287,0.0325,0.0413,0.0511,0.0401,0.0532,0.0282,0.1797,0.1469,0.2155,0.0546,0.0346,0.0255,0.0176,0.0102,0.011,0.0078,0.0125,0.018,0.0261,0.0204,0.017,0.0186,0.0259,0.03,0
