"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.1628,0.0099,0.0143,0.0097,0.0125,0.2445,0.012,0.4313,0.1729,0.0141,0.0277,0.0072,0.0289,0.0116,0.0101,0.0083,0.0101,0.0086,0.0085,0.0092,0.0105,0.0167,0.029,0.0097,0.0403,0.0107,0.0091,0.0136,0.0164,0.0149,0.0083,0.06,0.022,0.0096,0.0106,0.0089,0.0078,0.0117,0.0134,0.0118,0.0087,0.01,0.0159,0.0151,0
"TTL_A03",7e-04,1.2432,5e-04,4e-04,3e-04,0.0062,4e-04,6e-04,6e-04,5e-04,9e-04,3e-04,5e-04,5e-04,4e-04,4e-04,7e-04,5e-04,5e-04,5e-04,4e-04,4e-04,4e-04,3e-04,4e-04,4e-04,4e-04,8e-04,0.001,0.0013,3e-04,0.0127,5e-04,7e-04,7e-04,7e-04,3e-04,7e-04,9e-04,7e-04,7e-04,9e-04,9e-04,9e-04,0
"TTL_B05_06",0.0134,0.0194,1.0148,0.0156,0.0112,0.0097,0.0075,0.0151,0.0162,0.3089,0.0167,0.0032,0.0126,0.013,0.0153,0.008,0.005,0.0064,0.0068,0.0084,0.0088,0.0064,0.0879,0.0111,0.0092,0.0072,0.0378,0.0377,0.0602,0.0174,0.0101,0.0071,0.0055,0.0045,0.0034,0.0058,0.0067,0.0045,0.0066,0.0082,0.0045,0.0049,0.0112,0.0111,0
"TTL_B07_08",0.016,0.0111,0.3065,1.3259,0.3049,0.0154,0.0172,0.0189,0.0482,0.1091,0.1421,0.0072,0.0452,0.1228,0.2496,0.0723,0.0095,0.0371,0.03,0.0324,0.0511,0.0201,0.0758,0.0165,0.0371,0.0081,0.0182,0.0192,0.0284,0.0145,0.0075,0.0082,0.0091,0.0062,0.0051,0.0056,0.0067,0.006,0.0083,0.0095,0.0045,0.0055,0.0111,0.0121,0
"TTL_B09",4e-04,6e-04,0.0041,0.004,1.0079,3e-04,3e-04,4e-04,7e-04,0.0081,0.001,1e-04,6e-04,0.0014,0.002,7e-04,2e-04,4e-04,4e-04,4e-04,6e-04,3e-04,0.0014,4e-04,9e-04,2e-04,0.001,0.001,0.0016,6e-04,3e-04,2e-04,2e-04,1e-04,1e-04,2e-04,2e-04,2e-04,2e-04,3e-04,1e-04,1e-04,3e-04,3e-04,0
"TTL_C10T12",0.0888,0.0076,0.0115,0.0111,0.0096,1.2266,0.0134,0.0412,0.0372,0.015,0.0908,0.0081,0.0281,0.012,0.0101,0.0084,0.0104,0.0088,0.009,0.0099,0.0104,0.0094,0.0127,0.011,0.0136,0.0102,0.0092,0.0216,0.0219,0.034,0.0092,0.1869,0.0148,0.0194,0.0202,0.0182,0.0102,0.0214,0.0247,0.0163,0.0143,0.0175,0.022,0.0313,0
"TTL_C13T15",0.0022,0.0025,0.0037,0.0035,0.003,0.0033,1.1677,0.0032,0.0044,0.0036,0.0035,0.0074,0.0114,0.0124,0.0051,0.0035,0.0031,0.0035,0.0035,0.0043,0.0072,0.0131,0.0035,0.0191,0.0058,0.0039,0.0026,0.0087,0.0047,0.0051,0.0021,0.0035,0.0044,0.0029,0.0043,0.0045,0.0019,0.0075,0.0092,0.0035,0.0019,0.0046,0.0034,0.0073,0
"TTL_C16",0.0085,0.0052,0.0212,0.0089,0.0195,0.009,0.0072,1.1552,0.049,0.0168,0.0095,0.0035,0.0086,0.0109,0.0109,0.0086,0.0052,0.0059,0.0064,0.0072,0.0088,0.0269,0.0416,0.0093,0.0883,0.0072,0.0087,0.0097,0.0148,0.0085,0.0062,0.0064,0.0081,0.0055,0.0043,0.0046,0.0091,0.0066,0.0062,0.0083,0.0038,0.0038,0.0086,0.0101,0
"TTL_C17_18",0.0167,0.0112,0.0178,0.0179,0.014,0.044,0.0259,0.0285,1.2335,0.0225,0.0274,0.0158,0.0348,0.0238,0.0179,0.0154,0.0198,0.0162,0.0174,0.0188,0.0189,0.0189,0.0169,0.0198,0.0198,0.0272,0.0147,0.0203,0.0222,0.0237,0.016,0.0206,0.1131,0.019,0.0227,0.0177,0.0083,0.0211,0.0268,0.0171,0.0123,0.0146,0.0413,0.022,0
"TTL_C19",0.0433,0.0663,0.0379,0.0413,0.0291,0.0262,0.019,0.0345,0.0357,1.3201,0.0439,0.0082,0.0341,0.0338,0.0374,0.0194,0.0136,0.0167,0.0172,0.0225,0.0239,0.0169,0.0348,0.032,0.0265,0.0169,0.1485,0.1474,0.2381,0.06,0.0352,0.0159,0.0145,0.0096,0.0089,0.0165,0.0166,0.0124,0.0196,0.0218,0.0111,0.0129,0.0259,0.0247,0
