"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.22,0.0045,0.0047,0.0118,0.0026,0.2638,0.0262,0.5156,0.0573,0.0059,0.0152,0.0075,0.0138,0.013,0.0084,0.0063,0.0063,0.006,0.0068,0.0084,0.0086,0.0254,0.0066,0.0068,0.0306,0.0046,0.0033,0.0088,0.0099,0.0044,0.0014,0.0579,0.0121,0.0042,0.0028,0.0034,0.002,0.0053,0.0038,0.0077,0.008,0.0058,0.0097,0.0072,0
"TTL_A03",6e-04,1.0026,1e-04,1e-04,0,0.0054,5e-04,3e-04,1e-04,1e-04,6e-04,4e-04,3e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,1e-04,3e-04,1e-04,1e-04,0.0019,2e-04,1e-04,0,0.0043,3e-04,1e-04,1e-04,1e-04,0,1e-04,1e-04,1e-04,2e-04,4e-04,5e-04,3e-04,0
"TTL_B05_06",0.0172,0.0541,1.0295,0.0223,0.0186,0.0123,0.011,0.0111,0.0122,0.5555,0.0306,0.0066,0.0123,0.0167,0.033,0.0111,0.0072,0.0092,0.0096,0.0108,0.0078,0.0083,0.1148,0.0111,0.0101,0.0097,0.0332,0.0529,0.0338,0.0113,0.0026,0.0088,0.0086,0.0062,0.0042,0.0042,0.002,0.0058,0.0042,0.0049,0.0042,0.0036,0.0076,0.0057,0
"TTL_B07_08",0.0038,0.0045,0.001,1.0399,0.004,0.0035,0.003,0.0024,0.0064,0.0032,0.0128,0.0021,0.0047,0.0606,0.0454,0.0099,0.0038,0.0061,0.0057,0.0061,0.0034,0.0049,0.0013,0.0062,0.0151,9e-04,9e-04,0.0019,0.0019,0.0011,5e-04,0.002,0.0016,0.0012,6e-04,8e-04,6e-04,0.0012,9e-04,9e-04,6e-04,9e-04,0.0013,0.0013,0
"TTL_B09",3e-04,0.0021,0.0074,0.0031,1.0029,2e-04,2e-04,2e-04,3e-04,0.0065,6e-04,1e-04,2e-04,8e-04,6e-04,2e-04,1e-04,2e-04,2e-04,2e-04,1e-04,1e-04,0.0013,2e-04,6e-04,1e-04,5e-04,7e-04,4e-04,2e-04,0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0
"TTL_C10T12",0.102,0.0047,0.0099,0.0114,0.0027,1.199,0.0277,0.0456,0.0164,0.011,0.0392,0.0166,0.0134,0.0075,0.0103,0.008,0.0079,0.0078,0.0081,0.0084,0.0076,0.0101,0.0043,0.0081,0.0076,0.0094,0.0063,0.0181,0.0208,0.0059,0.0027,0.1835,0.0104,0.0053,0.0056,0.0049,0.0026,0.0101,0.0067,0.0046,0.027,0.0199,0.017,0.0078,0
"TTL_C13T15",0.0049,0.0143,0.0028,0.0048,0.0015,0.0036,1.2737,0.0031,0.0094,0.0035,0.0113,0.0065,0.0103,0.0053,0.0066,0.004,0.0086,0.0063,0.0059,0.0201,0.0115,0.0194,0.0013,0.0039,0.0059,0.0033,0.0016,0.0054,0.0054,0.0019,0.003,0.004,0.0052,0.0046,0.001,0.0016,0.001,0.0017,0.0012,0.0023,0.0018,0.003,0.0045,0.0045,0
"TTL_C16",0.0123,0.0041,0.0018,0.0151,0.0024,0.0076,0.0037,1.1232,0.0156,0.0029,0.0046,0.004,0.005,0.0202,0.0092,0.0068,0.006,0.0054,0.007,0.0096,0.0117,0.0471,0.0022,0.0054,0.0286,0.0024,0.0017,0.0053,0.0082,0.0037,7e-04,0.0029,0.0074,0.0034,0.0013,0.0017,0.0014,0.0023,0.0015,0.0021,0.0014,0.0012,0.0048,0.0047,0
"TTL_C17_18",0.0146,0.0116,0.0085,0.0226,0.0058,0.0338,0.0275,0.0158,1.2921,0.0143,0.0382,0.037,0.0296,0.0315,0.018,0.0152,0.0229,0.0204,0.0197,0.0181,0.0168,0.017,0.0072,0.0238,0.0152,0.0213,0.0099,0.023,0.0153,0.019,0.0049,0.0149,0.1471,0.018,0.0145,0.0231,0.0071,0.0372,0.026,0.0127,0.0135,0.0083,0.0212,0.0243,0
"TTL_C19",0.0301,0.0898,0.0226,0.0339,0.0124,0.0179,0.0168,0.0185,0.0154,1.1327,0.0496,0.0102,0.0182,0.022,0.0226,0.0126,0.0102,0.0115,0.0127,0.0144,0.0106,0.0113,0.0316,0.0143,0.0163,0.0166,0.0632,0.1029,0.0653,0.02,0.004,0.0126,0.0125,0.0091,0.0073,0.0064,0.0027,0.0094,0.007,0.0066,0.0049,0.0049,0.0107,0.0079,0
