"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.1845,0.0099,0.0011,0.0035,0.0026,0.1477,0.0052,0.0398,0.0057,0.0015,0.0056,0.0119,0.0059,0.0024,0.0029,0.0021,0.0046,0.0044,0.0036,0.0035,0.0017,0.0041,0.0059,0.0016,0.003,0.0025,0.0041,0.0023,0.0028,0.0047,0.0017,0.0261,0.0031,0.0013,0.0016,0.002,8e-04,0.0014,0.0026,0.0019,0.0028,0.0026,0.0065,0.0028,0
"TTL_A03",8e-04,1.1664,1e-04,1e-04,1e-04,0.0091,2e-04,2e-04,2e-04,1e-04,3e-04,1e-04,2e-04,1e-04,2e-04,1e-04,3e-04,3e-04,2e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,2e-04,2e-04,3e-04,1e-04,0.0036,2e-04,1e-04,1e-04,1e-04,0,1e-04,1e-04,1e-04,2e-04,1e-04,3e-04,1e-04,0
"TTL_B05_06",0.0424,0.0381,1.0365,0.0557,0.0217,0.0227,0.0184,0.0267,0.0247,0.8223,0.0543,0.0098,0.029,0.041,0.102,0.0291,0.016,0.0244,0.0223,0.0298,0.0172,0.0253,0.2925,0.0187,0.0179,0.0211,0.0572,0.0384,0.1544,0.031,0.0232,0.0126,0.0109,0.0097,0.0082,0.0113,0.0065,0.0102,0.018,0.014,0.0081,0.0087,0.0185,0.0145,0
"TTL_B07_08",0.0034,0.0025,0.0046,1.1577,0.0053,0.0026,0.0023,0.0036,0.0029,0.0314,0.0115,0.0014,0.0054,0.0634,0.0365,0.008,0.0028,0.0057,0.005,0.0076,0.004,0.0065,0.0082,0.0028,0.0257,0.0021,0.0039,0.0024,0.0073,0.0028,0.0016,0.0013,0.0014,0.001,9e-04,0.0016,0.0021,0.0014,0.003,0.0023,0.0011,0.001,0.002,0.002,0
"TTL_B09",0.0038,0.0033,0.0822,0.0369,1.0988,0.0023,0.0019,0.0027,0.0025,0.0661,0.0051,0.001,0.0029,0.0055,0.0095,0.0029,0.0017,0.0025,0.0022,0.003,0.0018,0.0025,0.0236,0.0019,0.0039,0.0021,0.0054,0.0033,0.0127,0.003,0.0022,0.0012,0.0012,0.001,9e-04,0.0013,8e-04,0.0013,0.0018,0.0015,8e-04,9e-04,0.0018,0.0014,0
"TTL_C10T12",0.106,0.0557,0.0047,0.0142,0.012,1.2212,0.0263,0.0165,0.0187,0.0069,0.0267,0.0097,0.0182,0.011,0.0154,0.0091,0.0309,0.0284,0.0232,0.0176,0.0079,0.0106,0.008,0.0064,0.0066,0.0117,0.027,0.0142,0.0136,0.032,0.0101,0.2031,0.0187,0.0069,0.0083,0.0098,0.0026,0.0059,0.0126,0.0089,0.0188,0.0143,0.0376,0.0155,0
"TTL_C13T15",0.0019,0.0073,0.001,0.0027,0.0035,0.0025,1.1651,0.0034,0.0066,0.0013,0.0036,0.0014,0.0075,0.0034,0.0022,0.0023,0.0027,0.0027,0.0025,0.0106,0.003,0.0139,0.0019,0.0012,0.0032,0.0033,0.0016,0.001,0.0024,0.0013,9e-04,0.0015,0.0021,8e-04,8e-04,0.0012,6e-04,0.0016,0.0011,0.0026,0.0019,0.0018,0.0027,0.0057,0
"TTL_C16",0.0021,0.0038,0.0028,0.005,0.005,0.0027,0.0029,1.3221,0.0218,0.003,0.0037,0.0017,0.0038,0.0063,0.0031,0.0073,0.0029,0.0052,0.0036,0.0078,0.0059,0.0574,0.0048,0.0029,0.0322,0.0022,0.0023,0.0019,0.0053,0.0023,0.0012,0.0014,0.0031,0.0014,0.0011,0.0028,0.0027,0.0015,0.0037,0.003,0.0022,0.0019,0.0036,0.0084,0
"TTL_C17_18",0.0175,0.0088,0.0035,0.0115,0.0088,0.0321,0.0247,0.0241,1.1961,0.0048,0.0249,0.0197,0.0243,0.0213,0.0099,0.0108,0.0134,0.0187,0.0117,0.0149,0.0084,0.0198,0.0062,0.0088,0.0099,0.0159,0.0093,0.0067,0.0079,0.013,0.0085,0.0105,0.088,0.0097,0.0096,0.0216,0.0043,0.0157,0.0146,0.0186,0.0192,0.012,0.028,0.0164,0
"TTL_C19",0.037,0.0321,0.0075,0.0379,0.0141,0.0159,0.0122,0.019,0.0133,1.0226,0.0306,0.0056,0.0164,0.0211,0.0141,0.0107,0.0092,0.012,0.0099,0.0139,0.0075,0.0154,0.0084,0.0099,0.0131,0.018,0.0611,0.0428,0.1836,0.0306,0.0209,0.009,0.0075,0.0068,0.0053,0.0088,0.0026,0.0064,0.0147,0.0106,0.0058,0.0058,0.0078,0.0073,0
"TTL_C20",0.0694,0.0143,0.0056,0.0331,0.0195,0.0291,0.0633,0.0493,0.0724,0.012,1.3595,0.0273,0.2211,0.0517,0.0219,0.0328,0.0362,0.0379,0.0227,0.0751,0.0202,0.0326,0.0152,0.0146,0.0238,0.0104,0.0113,0.0055,0.0118,0.0096,0.0044,0.0095,0.0208,0.0053,0.0056,0.0069,0.0035,0.0114,0.0097,0.0103,0.0075,0.0092,0.0129,0.0192,0
"TTL_C21",0.0056,0.0017,8e-04,0.0025,0.0023,0.0042,0.0035,0.0028,0.0035,0.0012,0.0121,1.0645,0.0074,0.0026,0.0022,0.0021,0.0028,0.0026,0.0023,0.0037,0.0017,0.0028,0.0021,0.0016,0.0018,0.0016,0.0018,0.0011,0.0017,0.0018,9e-04,0.0017,0.0025,0.0015,0.0021,0.0021,6e-04,0.0058,0.0028,0.0026,0.0019,0.0206,0.0023,0.0044,0
"TTL_C22",0.0163,0.0272,0.0046,0.0179,0.011,0.036,0.0223,0.029,0.0276,0.0062,0.0366,0.0179,1.1375,0.0143,0.0107,0.0209,0.0294,0.0303,0.0327,0.0834,0.0172,0.0372,0.0079,0.0119,0.0326,0.0138,0.0194,0.0058,0.0088,0.0171,0.004,0.0095,0.008,0.0043,0.0062,0.0058,0.0032,0.0044,0.0089,0.0076,0.0048,0.0057,0.0148,0.0081,0
"TTL_C23",0.0032,0.0029,0.0021,0.0786,0.0051,0.0083,0.0034,0.013,0.0035,0.0042,0.0071,0.0033,0.0129,1.0755,0.0129,0.0075,0.0044,0.0139,0.005,0.0167,0.0047,0.0053,0.0042,0.007,0.0524,0.004,0.0042,0.0014,0.0029,0.0029,0.0012,0.0033,0.0019,0.0012,0.0011,0.0022,0.0046,0.0016,0.0021,0.0048,0.0031,0.0015,0.006,0.0064,0
"TTL_C24",0.0071,0.0134,0.0151,0.0182,0.0327,0.011,0.0092,0.0171,0.0138,0.0166,0.0165,0.0071,0.0252,0.0287,1.2951,0.1871,0.0394,0.1079,0.1211,0.1501,0.0852,0.0858,0.0206,0.017,0.0215,0.0091,0.009,0.0056,0.0205,0.0063,0.0041,0.0046,0.0058,0.005,0.0035,0.0041,0.0027,0.0045,0.0069,0.0083,0.0032,0.0045,0.0075,0.0053,0
"TTL_C25",0.0115,0.0211,0.0255,0.0262,0.0465,0.0227,0.0158,0.0401,0.0198,0.0251,0.0212,0.0092,0.0357,0.0289,0.0512,1.1302,0.0379,0.0849,0.1183,0.1114,0.0945,0.057,0.0249,0.029,0.0394,0.01,0.0112,0.0073,0.0268,0.0079,0.0047,0.0072,0.0069,0.0059,0.0041,0.0052,0.0044,0.0054,0.0104,0.0148,0.0043,0.0054,0.0082,0.0072,0
"TTL_C26",0.0074,0.0216,0.0096,0.0188,0.0256,0.0091,0.0086,0.0102,0.0124,0.0105,0.0143,0.0068,0.0139,0.0118,0.0169,0.0137,1.2024,0.0677,0.0265,0.0332,0.0169,0.021,0.0204,0.0115,0.0123,0.0078,0.0114,0.0071,0.0257,0.0087,0.007,0.0053,0.0382,0.035,0.023,0.0074,0.0031,0.011,0.0099,0.0449,0.0129,0.0227,0.0103,0.0171,0
"TTL_C27",0.003,0.0075,0.0046,0.0079,0.01,0.0039,0.0039,0.0047,0.0052,0.005,0.0051,0.0024,0.0059,0.0054,0.0061,0.0078,0.0407,1.0869,0.0223,0.0205,0.0129,0.0248,0.0111,0.0064,0.0176,0.0039,0.0056,0.0029,0.0113,0.0032,0.002,0.0022,0.0047,0.0046,0.0035,0.0027,0.0018,0.0038,0.0044,0.0062,0.0022,0.0029,0.0043,0.0031,0
"TTL_C28",0.0107,0.0269,0.0263,0.0386,0.0746,0.0172,0.0171,0.0204,0.0411,0.0272,0.018,0.013,0.0234,0.0249,0.0369,0.0288,0.023,0.0566,1.0773,0.0662,0.0372,0.0349,0.0383,0.014,0.0192,0.0116,0.0135,0.0102,0.0435,0.0101,0.0058,0.0074,0.009,0.0091,0.005,0.0059,0.0028,0.0067,0.0136,0.0081,0.004,0.0058,0.0111,0.0078,0
"TTL_C29",0.0089,0.0083,0.0049,0.0166,0.0168,0.0114,0.0111,0.0104,0.0115,0.0063,0.0118,0.0053,0.0115,0.0103,0.0133,0.0118,0.0112,0.0157,0.0392,1.2311,0.0124,0.0147,0.0075,0.0071,0.0075,0.035,0.0202,0.0061,0.009,0.0129,0.012,0.0069,0.0066,0.0046,0.0045,0.0052,0.0017,0.0051,0.0123,0.0078,0.0051,0.0049,0.0082,0.0056,0
"TTL_C30",0.0028,0.011,0.0088,0.0091,0.0183,0.0035,0.0037,0.0044,0.0044,0.0086,0.005,0.0021,0.005,0.006,0.0062,0.0062,0.0097,0.0064,0.0059,0.0072,1.1701,0.0289,0.0125,0.0028,0.0028,0.0023,0.0061,0.008,0.0399,0.0036,0.0023,0.002,0.0022,0.0028,0.0014,0.002,0.001,0.0027,0.0034,0.0128,0.0011,0.0028,0.0038,0.0029,0
