"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.1851,0.0059,0.007,0.0022,0.0024,0.2632,0.0298,0.1813,0.0071,0.0052,0.0115,0.0067,0.0193,0.0027,0.0029,0.005,0.0059,0.0051,0.0053,0.0027,0.0021,0.0425,0.0011,0.0043,0.0032,0.0014,0.0015,0.0057,0.0076,0.002,0.0023,0.0644,0.0033,0.0011,0.0012,7e-04,5e-04,0.0022,0.0023,0.0024,0.0202,0.0039,0.0012,0.0067,0
"TTL_A03",0,1.0338,0,0,0,0.001,3e-04,1e-04,0,0,0,0,4e-04,3e-04,0,2e-04,0,0,0,0,0,4e-04,0,0,1e-04,0,0,2e-04,3e-04,0,0,0.0035,1e-04,0,0,0,0,1e-04,1e-04,0,0,0,0,2e-04,0
"TTL_B05_06",0.0227,0.0281,1.0415,0.0221,0.0271,0.0213,0.0146,0.0172,0.0115,0.6334,0.0372,0.0102,0.0189,0.022,0.0159,0.0172,0.0119,0.0131,0.0224,0.0096,0.0334,0.0146,0.0706,0.0121,0.0248,0.0097,0.0317,0.0133,0.0741,0.019,0.0035,0.0217,0.0068,0.0157,0.0041,0.0037,0.0035,0.0085,0.0083,0.0079,0.0019,0.0094,0.0063,0.0102,0
"TTL_B07_08",0.0026,0.0027,0.0087,1.0163,0.0116,0.004,0.0025,0.0141,0.0024,0.0526,0.0125,0.0038,0.0057,0.0533,0.0394,0.0117,0.0049,0.0154,0.0073,0.006,0.0034,0.006,0.0038,0.0026,0.0226,0.0018,0.0033,0.0022,0.0084,0.0024,9e-04,0.0035,0.0017,0.0022,9e-04,9e-04,0.0031,0.0019,0.0016,0.0018,6e-04,0.002,0.0022,0.0027,0
"TTL_B09",2e-04,7e-04,0.0035,0.0018,1.0033,2e-04,1e-04,2e-04,1e-04,0.0047,5e-04,1e-04,2e-04,5e-04,3e-04,2e-04,1e-04,2e-04,2e-04,1e-04,2e-04,1e-04,9e-04,1e-04,6e-04,1e-04,3e-04,1e-04,6e-04,3e-04,0,2e-04,1e-04,1e-04,0,0,1e-04,1e-04,1e-04,1e-04,0,1e-04,1e-04,1e-04,0
"TTL_C10T12",0.028,0.0059,0.002,0.0011,0.0024,1.0812,0.0059,0.0253,0.0022,0.002,0.0058,0.0041,0.0051,0.0014,0.0042,0.0079,0.0094,0.0124,0.0114,0.0023,0.0024,0.0065,8e-04,7e-04,0.0022,0.0011,0.0016,0.0112,0.0145,9e-04,0.0011,0.1507,0.0069,0.001,0.0013,9e-04,3e-04,0.0032,0.004,0.0043,0.0011,0.0102,0.0011,0.0083,0
"TTL_C13T15",0.0024,0.0193,0.0021,0.0011,0.0021,0.0166,1.1596,0.0036,0.0026,0.0025,0.0051,0.0049,0.0075,0.0024,0.0018,0.0083,0.0024,0.0022,0.0021,0.0018,0.0014,0.0301,9e-04,0.005,0.0025,0.0046,0.0011,0.002,0.0033,0.0013,0.0017,0.0093,0.0015,0.0038,8e-04,6e-04,4e-04,0.0016,0.0014,0.0022,6e-04,0.0023,0.0019,0.0034,0
"TTL_C16",0.0053,0.0092,0.008,0.0045,0.0071,0.0275,0.0091,1.3774,0.0286,0.0072,0.0475,0.0326,0.1039,0.0073,0.0037,0.0077,0.0213,0.0077,0.0094,0.0052,0.003,0.264,0.0027,0.0025,0.0149,0.0041,0.0032,0.0042,0.0072,0.0082,0.0117,0.0192,0.007,0.003,0.0035,0.0019,0.002,0.0055,0.0043,0.0041,0.0011,0.0055,0.0039,0.0146,0
"TTL_C17_18",0.0053,0.006,0.0257,0.0095,0.0128,0.0268,0.0162,0.0136,1.2,0.0212,0.0284,0.0333,0.0207,0.0173,0.0079,0.0105,0.0118,0.0097,0.0089,0.0102,0.008,0.0114,0.0067,0.0027,0.0214,0.0192,0.0097,0.0087,0.0212,0.0048,0.0168,0.0207,0.0597,0.0115,0.0326,0.0197,0.0032,0.0535,0.0223,0.0208,0.0046,0.0084,0.0404,0.059,0
"TTL_C19",0.038,0.0477,0.0557,0.0344,0.0303,0.0346,0.0223,0.0242,0.0127,1.1114,0.0533,0.0144,0.0274,0.0341,0.0225,0.0246,0.0145,0.0193,0.0183,0.0127,0.01,0.0192,0.0594,0.0187,0.0412,0.0156,0.0534,0.0197,0.1252,0.03,0.0053,0.0343,0.0099,0.0245,0.006,0.0057,0.0057,0.0133,0.0131,0.0112,0.003,0.0148,0.0095,0.0162,0
