"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.0023,0.0012,0,0,0.0012,0.0035,0.0016,0.001,0.0012,0.0013,0.0016,0.0016,0,0.0013,0.0013,0.0013,0.0014,0.0014,0.0013,0.0013,0.0013,6e-04,0.002,0.0014,6e-04,0.0013,0.0018,0.0056,0.0072,0.0011,0.0032,0.0104,9e-04,0.0018,2e-04,5e-04,3e-04,4e-04,0.0012,4e-04,6e-04,7e-04,0.0019,0.0016,0
"TTL_A03",1e-04,1.0007,0,0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0,1e-04,1e-04,0,1e-04,1e-04,4e-04,5e-04,1e-04,2e-04,6e-04,1e-04,1e-04,0,0,0,0,1e-04,0,0,0,1e-04,1e-04,0
"TTL_B05_06",0.0082,0.0138,1,0,0.0493,0.0029,0.0074,0.0021,0.0028,0.0024,0.0022,0.0014,0,0.0082,0.0031,0.0024,0.0021,0.0026,0.0095,0.0021,0.0023,0.0083,0.0014,0.0015,5e-04,0.0011,0.0029,0.0017,0.0017,0.0123,0.0022,7e-04,8e-04,0.0014,4e-04,7e-04,3e-04,0.0011,0.0028,4e-04,0.0011,6e-04,0.0011,0.0011,0
"TTL_B07_08",0.0036,0.0064,0,1,0.0409,6e-04,0.0018,6e-04,7e-04,6e-04,7e-04,5e-04,0,0.0056,0.0016,0.0014,8e-04,0.0013,0.0032,7e-04,7e-04,0.0022,2e-04,4e-04,2e-04,3e-04,7e-04,5e-04,5e-04,0.0035,5e-04,2e-04,2e-04,4e-04,1e-04,2e-04,1e-04,3e-04,7e-04,1e-04,2e-04,1e-04,3e-04,3e-04,0
"TTL_B09",0.0011,0.0031,0,0,1.0313,2e-04,2e-04,2e-04,1e-04,1e-04,1e-04,1e-04,0,2e-04,2e-04,1e-04,1e-04,1e-04,6e-04,1e-04,1e-04,1e-04,0,0,0,1e-04,2e-04,1e-04,1e-04,4e-04,2e-04,0,0,1e-04,0,1e-04,0,1e-04,1e-04,0,1e-04,0,1e-04,1e-04,0
"TTL_C10T12",0.0296,0.0293,0,0,0.0138,1.0454,0.0358,0.0329,0.0335,0.0266,0.0432,0.0426,0,0.0229,0.0208,0.02,0.0228,0.0235,0.0231,0.0199,0.0197,0.0095,0.0139,0.0143,0.0185,0.0192,0.0171,0.0423,0.0345,0.0148,0.0378,0.036,0.0153,0.0235,0.0029,0.0084,0.0047,0.0076,0.0192,0.0054,0.0071,0.0136,0.0213,0.024,0
"TTL_C13T15",0.0039,0.0046,0,0,0.0039,0.0051,1.0819,0.0042,0.0051,0.0054,0.0065,0.0061,0,0.006,0.0057,0.0057,0.0062,0.0065,0.0063,0.0066,0.0062,0.0031,0.0019,0.0034,0.0021,0.0056,0.0048,0.0071,0.0057,0.0037,0.0103,0.0024,0.0039,0.0059,8e-04,0.0025,0.0013,0.002,0.0061,0.0016,0.0017,0.0021,0.0048,0.007,0
"TTL_C16",0.0061,0.005,0,0,0.001,0.0036,0.0013,1.0008,0.0011,0.0013,0.0014,0.0014,0,0.0015,0.0016,0.0017,0.0015,0.0016,0.0016,0.0015,0.0014,0.001,5e-04,0.001,0.0059,0.0012,0.002,0.0058,0.0021,0.002,0.003,7e-04,9e-04,0.0018,1e-04,6e-04,3e-04,4e-04,9e-04,5e-04,7e-04,0.0027,0.0014,0.0014,0
"TTL_C17_18",0.0053,0.0068,0,0,0.002,0.0154,0.0104,0.0026,1.0133,0.003,0.0043,0.0045,0,0.0054,0.0029,0.0029,0.0044,0.0046,0.004,0.0032,0.0031,0.0027,0.0011,0.0017,0.0024,0.0029,0.0021,0.0035,0.0027,0.0018,0.0039,0.0015,0.0029,0.0029,4e-04,0.0014,6e-04,0.001,0.0021,7e-04,0.0011,0.0029,0.0025,0.0025,0
"TTL_C19",0.0281,0.0267,0,0,0.0359,0.0337,0.0406,0.0241,0.0334,1.266,0.1902,0.091,0,0.1032,0.1579,0.1172,0.0596,0.0736,0.0678,0.0566,0.053,0.0271,0.0134,0.0212,0.0133,0.0479,0.021,0.0411,0.0364,0.0218,0.0296,0.0151,0.0184,0.0219,0.0031,0.0102,0.0051,0.0075,0.0215,0.0121,0.0112,0.0113,0.0215,0.022,0
