"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.1792,0.0552,0.0062,0.0093,0.005,0.2398,0.0301,0.2752,0.0823,0.0114,0.0485,0.021,0.0278,0.0214,0.0195,0.0171,0.0164,0.0202,0.0173,0.0189,0.0234,0.0205,0.0143,0.0114,0.0132,0.0361,0.0184,0.0126,0.0183,0.0196,0.0067,0.0449,0.0173,0.0074,0.0093,0.008,0.0051,0.0138,0.0226,0.0124,0.0088,0.0132,0.0209,0.02,0
"TTL_A03",0.0045,1.0708,4e-04,7e-04,3e-04,0.0124,0.0018,0.0019,0.0016,7e-04,0.0022,0.0013,0.003,0.0023,0.0015,0.0012,0.0013,0.0018,0.0013,0.0019,0.002,0.0013,0.0011,8e-04,0.0011,0.0016,0.0011,0.001,0.0011,9e-04,5e-04,0.003,9e-04,5e-04,4e-04,5e-04,2e-04,7e-04,0.001,8e-04,5e-04,8e-04,7e-04,8e-04,0
"TTL_B05_06",0.0325,0.0416,1.3153,0.1334,0.3396,0.0646,0.0313,0.0334,0.035,0.5031,0.0656,0.0247,0.0407,0.0451,0.1102,0.0387,0.0225,0.0421,0.0295,0.0292,0.0349,0.0355,0.2358,0.0346,0.0318,0.0381,0.0553,0.1013,0.0785,0.066,0.0243,0.0266,0.0241,0.0225,0.0147,0.0128,0.0115,0.0382,0.0334,0.0348,0.0136,0.0186,0.0219,0.0222,0
"TTL_B07_08",0.0011,0.0018,0.0093,1.0547,0.004,0.0019,7e-04,0.0011,0.0021,0.0039,0.0015,8e-04,0.0013,0.015,0.0027,0.0012,7e-04,0.0015,9e-04,9e-04,0.0012,0.0011,0.0019,0.0017,0.0058,6e-04,8e-04,0.0011,9e-04,0.0016,3e-04,6e-04,6e-04,4e-04,3e-04,3e-04,3e-04,0.0011,5e-04,6e-04,2e-04,4e-04,5e-04,0.001,0
"TTL_B09",0.0018,0.0023,0.0152,0.0026,1.0264,0.0036,0.0017,0.0018,0.0018,0.0277,0.0036,0.0013,0.0022,0.0023,0.0061,0.0021,0.0012,0.0023,0.0016,0.0016,0.0019,0.0019,0.0111,0.0018,0.0029,0.0021,0.0031,0.0055,0.0043,0.0037,0.0013,0.0014,0.0013,0.0012,8e-04,7e-04,6e-04,0.0022,0.0017,0.0018,7e-04,0.001,0.0011,0.0012,0
"TTL_C10T12",0.0959,0.0197,0.0037,0.0052,0.0031,1.0907,0.0505,0.0293,0.0201,0.0086,0.0715,0.0303,0.0172,0.0121,0.0113,0.0086,0.0094,0.0113,0.0094,0.0099,0.0115,0.009,0.0071,0.0061,0.0079,0.0224,0.0074,0.0134,0.0081,0.0139,0.0036,0.1571,0.0077,0.004,0.0042,0.0044,0.0024,0.012,0.0263,0.0092,0.0168,0.0189,0.0244,0.0137,0
"TTL_C13T15",0.0036,0.0036,0.0011,0.0024,9e-04,0.0041,1.1562,0.0039,0.0055,0.002,0.0044,0.003,0.0101,0.0168,0.0064,0.0042,0.0043,0.007,0.0052,0.0079,0.008,0.0126,0.0021,0.0127,0.0083,0.0045,0.0054,0.004,0.0083,0.0106,0.009,0.0038,0.0036,0.0094,0.0025,0.0052,0.0023,0.0071,0.0095,0.0428,0.0044,0.0079,0.0088,0.0087,0
"TTL_C16",0.0045,0.0057,0.0017,0.0026,0.0011,0.0074,0.0067,1.2414,0.0102,0.0026,0.008,0.0047,0.0161,0.0148,0.0105,0.0149,0.0068,0.0147,0.0113,0.0104,0.0159,0.0276,0.0047,0.0036,0.0077,0.0041,0.0055,0.0037,0.0055,0.0116,0.0018,0.003,0.0036,0.0026,0.0018,0.0026,0.0062,0.0031,0.0029,0.0033,0.0017,0.0058,0.0058,0.0063,0
"TTL_C17_18",0.0166,0.0126,0.003,0.0061,0.0022,0.0384,0.0255,0.0371,1.2458,0.0081,0.073,0.0337,0.0313,0.0276,0.014,0.0158,0.016,0.0226,0.0166,0.0132,0.0263,0.0153,0.0076,0.0077,0.0102,0.0124,0.0105,0.0082,0.0099,0.0123,0.0124,0.0231,0.0806,0.01,0.0085,0.0102,0.0026,0.0149,0.0119,0.0124,0.0079,0.0108,0.0195,0.0368,0
"TTL_C19",0.0487,0.0516,0.0576,0.0371,0.0394,0.0466,0.0445,0.0488,0.0485,1.0883,0.0771,0.0332,0.0512,0.0649,0.1014,0.048,0.0311,0.0544,0.0382,0.0397,0.0462,0.045,0.2949,0.045,0.0424,0.0582,0.0944,0.1919,0.1465,0.0658,0.0442,0.0302,0.0319,0.0335,0.0211,0.0181,0.0135,0.0401,0.0475,0.052,0.0175,0.026,0.0303,0.0317,0
"TTL_C20",0.0949,0.023,0.0083,0.0115,0.0055,0.0547,0.1202,0.0699,0.0767,0.0604,1.3299,0.0924,0.1547,0.0744,0.0529,0.0376,0.0549,0.058,0.0267,0.0305,0.0359,0.0313,0.0229,0.0265,0.0221,0.0165,0.0175,0.0259,0.0173,0.018,0.0096,0.0194,0.017,0.0088,0.007,0.0086,0.0131,0.0156,0.0175,0.0152,0.0082,0.0187,0.0136,0.0249,0
"TTL_C21",0.0067,0.0071,0.0019,0.005,0.0016,0.0071,0.011,0.0059,0.0066,0.0049,0.0196,1.0993,0.0106,0.0066,0.0073,0.0048,0.0068,0.011,0.0047,0.006,0.0192,0.005,0.0034,0.0028,0.0032,0.009,0.0053,0.0036,0.0049,0.0031,0.0015,0.0029,0.0041,0.002,0.0049,0.0018,0.0012,0.0042,0.0032,0.0035,0.002,0.0721,0.0037,0.0079,0
"TTL_C22",0.0205,0.0571,0.0044,0.0165,0.003,0.0524,0.0365,0.0298,0.0716,0.0094,0.0401,0.0346,1.2139,0.1459,0.0219,0.029,0.0268,0.0655,0.0429,0.0573,0.0836,0.0349,0.008,0.0176,0.0311,0.0121,0.0175,0.0121,0.0102,0.0139,0.0104,0.0151,0.0197,0.0071,0.0055,0.0223,0.0045,0.0102,0.0096,0.0116,0.0035,0.0111,0.0095,0.021,0
"TTL_C23",0.0086,0.0516,0.0116,0.0703,0.0058,0.0172,0.0116,0.0228,0.0105,0.0089,0.0157,0.0193,0.0215,1.0733,0.0187,0.0213,0.0165,0.0344,0.0154,0.018,0.0271,0.019,0.0072,0.0163,0.0893,0.0079,0.008,0.0069,0.009,0.0155,0.0033,0.0083,0.0071,0.0067,0.0037,0.0045,0.0033,0.0129,0.0054,0.009,0.0037,0.0062,0.0063,0.0302,0
"TTL_C24",0.0145,0.0213,0.0055,0.011,0.0037,0.0241,0.0193,0.0277,0.0335,0.0104,0.03,0.0197,0.1957,0.0535,1.5549,0.2676,0.0456,0.1977,0.1173,0.0908,0.1351,0.1946,0.0124,0.1324,0.0668,0.017,0.0265,0.0237,0.0203,0.0232,0.0077,0.0127,0.0216,0.0143,0.0093,0.0123,0.0447,0.0186,0.0117,0.0125,0.0047,0.0158,0.0109,0.0158,0
"TTL_C25",0.0202,0.0192,0.0058,0.0084,0.004,0.0342,0.0228,0.0285,0.0399,0.0126,0.0305,0.0204,0.0337,0.0323,0.0679,1.1679,0.0339,0.0996,0.1097,0.0837,0.1563,0.0632,0.0154,0.0195,0.0312,0.0216,0.0228,0.0253,0.0265,0.021,0.0082,0.016,0.0353,0.0216,0.0202,0.0221,0.0056,0.0179,0.0178,0.0171,0.0059,0.0124,0.0151,0.0204,0
"TTL_C26",0.006,0.0062,0.0018,0.0024,0.0013,0.0056,0.0049,0.0056,0.007,0.0042,0.0067,0.0045,0.0063,0.0082,0.0073,0.0077,1.1572,0.0369,0.0202,0.0122,0.0228,0.0318,0.0054,0.006,0.0048,0.0056,0.0093,0.0109,0.0146,0.0068,0.0027,0.0039,0.0058,0.0114,0.0135,0.0033,0.0015,0.0059,0.0048,0.0061,0.0024,0.0057,0.003,0.0147,0
"TTL_C27",0.004,0.0052,0.0016,0.0024,0.0013,0.0047,0.0044,0.0048,0.0051,0.0032,0.0055,0.0037,0.0072,0.0067,0.0073,0.0089,0.0393,1.0895,0.0223,0.0175,0.0341,0.0312,0.0058,0.0042,0.0085,0.0062,0.0059,0.0566,0.0074,0.0075,0.0024,0.003,0.0041,0.0051,0.003,0.0023,0.0015,0.0032,0.0043,0.0031,0.0011,0.0036,0.0023,0.0042,0
