"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.297,0.1846,0.0084,0.0103,0.0074,0.4187,0.0265,0.1626,0.0265,0.0145,0.0492,0.0192,0.059,0.0205,0.0167,0.0151,0.0197,0.0202,0.0153,0.019,0.0131,0.0255,0.0208,0.0156,0.018,0.0282,0.0134,0.0264,0.02,0.0116,0.0061,0.1331,0.0139,0.0072,0.0051,0.0051,0.0064,0.0091,0.0164,0.0061,0.0044,0.0183,0.013,0.0144,0
"TTL_A03",2e-04,1.1209,0,0,0,3e-04,0,1e-04,0,1e-04,1e-04,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,2e-04,1e-04,0,0,0.002,0,0,0,0,0,0,1e-04,0,0,0,1e-04,1e-04,0
"TTL_B05_06",0.0301,0.0317,1.0214,0.0293,0.0166,0.03,0.0212,0.0306,0.0302,0.2492,0.0953,0.0247,0.0398,0.0437,0.0833,0.0318,0.0229,0.037,0.025,0.0264,0.0265,0.0209,0.1182,0.0278,0.0242,0.0216,0.0564,0.088,0.0948,0.0234,0.0118,0.0245,0.0103,0.0096,0.0062,0.0064,0.0079,0.0114,0.0133,0.0122,0.0119,0.0188,0.022,0.0127,0
"TTL_B07_08",0.0067,0.0054,0.0393,1.0371,0.0253,0.0162,0.0049,0.0081,0.0077,0.0119,0.0145,0.0046,0.0082,0.0367,0.0422,0.0167,0.0062,0.0138,0.009,0.0087,0.0104,0.006,0.0074,0.0074,0.0142,0.0044,0.005,0.0073,0.0062,0.0036,0.0014,0.0059,0.0023,0.0017,0.0014,0.0011,0.0032,0.0038,0.0031,0.0018,0.002,0.004,0.0048,0.0037,0
"TTL_B09",0.002,0.0021,0.0312,0.002,1.0068,0.0019,0.0014,0.0021,0.0019,0.0181,0.0061,0.0016,0.0027,0.0027,0.0054,0.0021,0.0015,0.0024,0.0017,0.0018,0.0017,0.0016,0.0058,0.0018,0.0021,0.0014,0.0038,0.0062,0.0067,0.0015,7e-04,0.0014,7e-04,6e-04,4e-04,4e-04,5e-04,8e-04,9e-04,7e-04,6e-04,0.0011,0.0013,8e-04,0
"TTL_C10T12",0.1144,0.0931,0.008,0.0069,0.0056,1.1715,0.0139,0.0238,0.0182,0.0107,0.0341,0.0165,0.0205,0.0122,0.0112,0.0093,0.012,0.0123,0.0092,0.011,0.0085,0.0103,0.0098,0.0098,0.0089,0.0153,0.0076,0.0276,0.0134,0.005,0.0045,0.285,0.01,0.0044,0.0041,0.004,0.0042,0.0074,0.0195,0.0054,0.0033,0.0247,0.0121,0.0128,0
"TTL_C13T15",0.0028,0.0044,0.0028,0.0028,0.0018,0.0045,1.2115,0.0053,0.0123,0.0027,0.0049,0.0035,0.0182,0.0064,0.0046,0.0042,0.0071,0.0079,0.007,0.012,0.0044,0.0272,0.0028,0.0047,0.0053,0.004,0.0034,0.0046,0.0039,0.0029,0.0029,0.0041,0.0025,0.0019,0.0016,0.0013,0.0014,0.002,0.0028,0.002,0.0011,0.0048,0.0076,0.0155,0
"TTL_C16",0.0063,0.005,0.0022,0.0038,0.0023,0.0073,0.0068,1.2119,0.0078,0.0035,0.0106,0.0038,0.0093,0.0167,0.0071,0.0114,0.0069,0.0111,0.0083,0.0091,0.0061,0.0522,0.0086,0.0048,0.0266,0.006,0.0049,0.0079,0.0055,0.0039,0.0018,0.0045,0.0026,0.0027,0.0014,0.0015,0.0042,0.0036,0.0036,0.0018,0.0014,0.004,0.0036,0.0043,0
"TTL_C17_18",0.018,0.0172,0.0062,0.01,0.007,0.0517,0.0235,0.0516,1.3994,0.0114,0.0406,0.027,0.0356,0.0261,0.0158,0.017,0.0275,0.0345,0.0178,0.0203,0.0147,0.0299,0.0098,0.0113,0.0143,0.0318,0.0124,0.0186,0.0133,0.0083,0.0173,0.0234,0.115,0.0111,0.0108,0.0186,0.0111,0.0149,0.0217,0.0127,0.0092,0.0108,0.0194,0.0148,0
"TTL_C19",0.0987,0.106,0.0503,0.0797,0.0515,0.0837,0.0612,0.082,0.0729,1.1946,0.3121,0.0656,0.1209,0.1118,0.149,0.0691,0.0623,0.0897,0.0604,0.0666,0.0558,0.0562,0.0816,0.0682,0.068,0.0608,0.2156,0.3785,0.4197,0.0705,0.0324,0.0502,0.0255,0.0207,0.0156,0.0164,0.0181,0.0277,0.0372,0.0218,0.0171,0.04,0.0381,0.0328,0
"TTL_C20",0.1202,0.0442,0.0203,0.0395,0.0349,0.0969,0.1037,0.1084,0.1093,0.0801,1.3182,0.1431,0.2974,0.1374,0.0691,0.0529,0.066,0.1208,0.0574,0.0669,0.0435,0.0708,0.0358,0.0435,0.0551,0.0355,0.0382,0.0627,0.0529,0.0203,0.0144,0.0452,0.0226,0.013,0.0103,0.0107,0.0149,0.022,0.0267,0.011,0.0111,0.0573,0.0316,0.0276,0
"TTL_C21",0.0087,0.0057,0.0017,0.0027,0.0025,0.0086,0.0058,0.006,0.0058,0.0041,0.0146,1.0868,0.0134,0.0069,0.006,0.0038,0.0053,0.007,0.0043,0.0053,0.0033,0.0045,0.0025,0.0029,0.0036,0.003,0.0027,0.0063,0.0032,0.0016,0.0014,0.0042,0.0034,0.0017,0.0019,0.0013,0.0011,0.0032,0.0025,0.0012,0.001,0.0521,0.0035,0.003,0
"TTL_C22",0.0204,0.0211,0.0089,0.0133,0.011,0.0432,0.0737,0.0581,0.0701,0.014,0.0435,0.0279,1.1559,0.0375,0.0206,0.0303,0.0825,0.0873,0.0409,0.0679,0.0309,0.0685,0.0137,0.029,0.0473,0.0211,0.0244,0.0204,0.0164,0.0128,0.0081,0.0195,0.0125,0.0091,0.0065,0.0076,0.0097,0.0159,0.0119,0.007,0.0043,0.0169,0.0111,0.0102,0
"TTL_C23",0.007,0.009,0.0043,0.0297,0.0128,0.0123,0.011,0.0232,0.0077,0.0053,0.0111,0.0093,0.0122,1.1286,0.0239,0.0123,0.0139,0.0201,0.0174,0.0215,0.0116,0.0124,0.0069,0.0104,0.0872,0.0079,0.0056,0.0145,0.0066,0.0085,0.0023,0.0075,0.0035,0.0042,0.0022,0.0023,0.0093,0.0055,0.0044,0.003,0.0023,0.005,0.0048,0.004,0
"TTL_C24",0.0246,0.0261,0.0291,0.0341,0.058,0.0366,0.0327,0.1028,0.0498,0.033,0.0504,0.0295,0.0709,0.0846,1.579,0.3748,0.0972,0.3563,0.1999,0.1672,0.2219,0.1009,0.0308,0.0458,0.1174,0.0362,0.0303,0.0423,0.0319,0.0243,0.0101,0.0213,0.0156,0.0174,0.0114,0.0091,0.0186,0.0315,0.025,0.0092,0.0076,0.0167,0.0174,0.0158,0
"TTL_C25",0.0134,0.0142,0.0089,0.0154,0.0131,0.0287,0.0262,0.0465,0.0243,0.0134,0.024,0.0148,0.0456,0.0287,0.0352,1.1701,0.042,0.066,0.0887,0.1093,0.066,0.0607,0.0191,0.0212,0.0756,0.0165,0.016,0.0213,0.0197,0.0171,0.0063,0.0143,0.0087,0.0115,0.0069,0.0054,0.0114,0.0091,0.0105,0.006,0.0062,0.0112,0.0125,0.0088,0
"TTL_C26",0.0165,0.0233,0.0212,0.0209,0.0314,0.0241,0.024,0.025,0.0305,0.0214,0.028,0.0233,0.041,0.0271,0.0273,0.0405,1.9495,0.0886,0.0724,0.1362,0.0281,0.133,0.0259,0.0283,0.0359,0.0379,0.0256,0.0372,0.0335,0.0224,0.0286,0.0193,0.0234,0.0522,0.0511,0.0247,0.013,0.0234,0.0229,0.0134,0.0161,0.0314,0.0246,0.0338,0
"TTL_C27",0.0105,0.012,0.0081,0.013,0.0113,0.0143,0.0158,0.0171,0.0185,0.0115,0.0175,0.0108,0.023,0.019,0.0188,0.0523,0.1358,1.1451,0.0844,0.1036,0.0263,0.0415,0.0171,0.0168,0.0508,0.0174,0.0138,0.0233,0.0154,0.0113,0.0067,0.0104,0.008,0.0195,0.009,0.0053,0.0093,0.0096,0.0094,0.006,0.0041,0.0085,0.009,0.0096,0
"TTL_C28",0.0316,0.0321,0.0252,0.0497,0.0283,0.0398,0.0372,0.0392,0.0528,0.0306,0.0412,0.0258,0.0435,0.0498,0.0476,0.0589,0.0696,0.082,1.1794,0.281,0.0569,0.0647,0.0286,0.0355,0.0495,0.0292,0.031,0.0403,0.0372,0.0242,0.0094,0.0232,0.0154,0.0143,0.0119,0.0093,0.0115,0.016,0.0167,0.0078,0.0064,0.0147,0.0151,0.0147,0
"TTL_C29",0.0124,0.0158,0.0098,0.0173,0.0113,0.0162,0.0398,0.0174,0.0176,0.0114,0.016,0.0108,0.023,0.0276,0.0202,0.0316,0.0477,0.0335,0.0428,1.2691,0.0223,0.0247,0.0116,0.0193,0.0277,0.027,0.0287,0.0355,0.015,0.0127,0.007,0.0106,0.0076,0.0085,0.0066,0.0048,0.0055,0.0083,0.0121,0.0046,0.0033,0.0075,0.0079,0.009,0
"TTL_C30",9e-04,0.0018,9e-04,0.0012,7e-04,0.0013,0.0014,0.0013,0.0013,0.001,0.0013,8e-04,0.0016,0.0013,0.0013,0.002,0.0023,0.0022,0.0054,0.0031,1.3226,0.0128,0.0011,0.0011,0.0018,0.0018,0.0033,0.0031,0.0045,0.0051,8e-04,9e-04,7e-04,6e-04,6e-04,5e-04,4e-04,6e-04,0.0037,6e-04,4e-04,0.001,0.0011,8e-04,0
"TTL_C31T33",0.0072,0.0128,0.0063,0.0143,0.0095,0.0108,0.0207,0.0174,0.0137,0.0138,0.0168,0.011,0.0138,0.0149,0.0147,0.0133,0.021,0.0155,0.0205,0.0226,0.0125,1.0416,0.0215,0.0108,0.0134,0.0085,0.0222,0.0314,0.045,0.0199,0.0052,0.0074,0.006,0.0077,0.0046,0.0051,0.0048,0.0052,0.0061,0.0052,0.0056,0.034,0.0096,0.0065,0
"TTL_D",0.0544,0.0678,0.0234,0.0563,0.0259,0.0658,0.0478,0.0834,0.0954,0.0566,0.1317,0.0563,0.0837,0.1173,0.1261,0.0648,0.0526,0.0709,0.0563,0.0596,0.0571,0.0485,1.0861,0.0844,0.0462,0.0518,0.0511,0.0515,0.0396,0.0293,0.0238,0.0724,0.0311,0.0337,0.0183,0.0172,0.0283,0.0272,0.0265,0.0369,0.035,0.0414,0.0721,0.035,0
