"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.054,0.0161,0.0031,0.0073,0.0066,0.3401,0.0749,0.2517,0.0828,0.0046,0.077,0.0382,0.2198,0.0177,0.0061,0.0278,0.0238,0.016,0.0558,0.0071,0.0442,0.0765,0.0053,0.0344,0.0354,0.0168,0.013,0.029,0.021,0.0164,0.0165,0.1889,0.0157,0.0021,0.0084,0.0086,0.0139,0.0035,0.0271,0.0249,0.0146,0.0537,0.0371,0.023,0
"TTL_A03",0.0012,1.0383,4e-04,7e-04,8e-04,0.0253,0.0021,0.0016,0.002,5e-04,0.0102,0.0016,0.0032,0.0015,6e-04,0.0016,0.0025,0.0018,0.0033,5e-04,0.0024,0.0175,6e-04,0.008,0.0011,0.0016,0.0014,0.0072,0.0026,0.0017,0.0015,0.0626,0.0025,3e-04,0.0026,0.001,0.0013,0.0017,0.0035,0.0036,0.0034,0.0136,0.0164,0.002,0
"TTL_B05_06",0.0102,0.0091,1.0357,0.0184,0.0204,0.0149,0.0417,0.0302,0.0641,0.3407,0.2309,0.0169,0.0747,0.2112,0.0487,0.0886,0.0649,0.0478,0.0674,0.0121,0.0646,0.0611,0.3852,0.0981,0.045,0.0375,0.0616,0.0716,0.0714,0.0441,0.0656,0.0144,0.0425,0.0108,0.082,0.0126,0.0272,0.0076,0.0481,0.0242,0.0174,0.0305,0.0182,0.0353,0
"TTL_B07_08",0.002,0.0013,0.0026,1.0118,0.0235,0.0028,0.006,0.0061,0.0078,0.0235,0.0327,0.0047,0.0119,0.113,0.3361,0.2425,0.0308,0.026,0.049,0.0092,0.0595,0.0741,0.004,0.0438,0.0732,0.0068,0.0077,0.0106,0.0094,0.008,0.0067,0.0024,0.005,0.001,0.0044,0.0031,0.015,0.002,0.012,0.0064,0.0061,0.0056,0.003,0.0121,0
"TTL_B09",3e-04,3e-04,0.0251,0.0246,1.0046,5e-04,0.0013,0.001,0.002,0.009,0.0075,6e-04,0.0026,0.01,0.011,0.009,0.003,0.0026,0.0033,6e-04,0.0036,0.0046,0.01,0.004,0.004,0.0013,0.0018,0.0022,0.0022,0.0015,0.002,5e-04,0.0015,4e-04,0.0025,6e-04,0.0015,0.0119,0.0019,9e-04,7e-04,0.0011,6e-04,0.0014,0
"TTL_C10T12",0.0395,0.0476,0.0042,0.0101,0.0079,1.1355,0.0441,0.0245,0.0252,0.0053,0.1222,0.0117,0.0409,0.018,0.0075,0.0214,0.0238,0.0193,0.0698,0.0047,0.025,0.0316,0.0066,0.0497,0.0114,0.0141,0.0164,0.0435,0.0233,0.0227,0.0209,0.28,0.0209,0.0029,0.0119,0.0106,0.0126,0.0046,0.0364,0.0248,0.02,0.0886,0.0393,0.0115,0
"TTL_C13T15",0.0022,0.0036,0.0014,0.0028,0.0025,0.0037,1.4138,0.0166,0.0097,0.0021,0.0065,0.0054,0.0084,0.0066,0.0042,0.0121,0.0084,0.0088,0.0148,0.0039,0.0169,0.0582,0.003,0.0127,0.0069,0.0144,0.009,0.011,0.0109,0.0101,0.0324,0.0049,0.0122,0.0014,0.0049,0.0035,0.0061,0.0013,0.0231,0.0096,0.013,0.014,0.0084,0.0216,0
"TTL_C16",6e-04,7e-04,6e-04,0.002,0.0023,0.0011,0.0018,1.0686,0.0052,0.0013,0.0018,7e-04,0.0017,0.0018,0.0012,0.0073,0.0024,0.0016,0.0024,9e-04,0.0122,0.0786,9e-04,0.0048,0.0301,0.0045,0.0017,0.0029,0.0025,0.0035,0.0017,0.0012,0.0015,3e-04,0.0015,0.001,0.0058,4e-04,0.0038,0.0046,0.0015,0.0025,0.0018,0.0021,0
"TTL_C17_18",0.0024,0.0022,0.0026,0.0042,0.005,0.0103,0.0136,0.0084,1.2724,0.0043,0.0128,0.0074,0.0112,0.0146,0.0058,0.0131,0.027,0.0105,0.0188,0.0056,0.0184,0.0208,0.0066,0.0273,0.0094,0.0306,0.0153,0.0207,0.0152,0.0263,0.0234,0.0084,0.0372,0.003,0.0104,0.0205,0.016,0.0094,0.0434,0.0199,0.0336,0.0123,0.0054,0.0112,0
"TTL_C19",0.0077,0.0178,0.0135,0.0228,0.0239,0.0165,0.0324,0.0277,0.0296,1.0396,0.0429,0.0125,0.0323,0.0601,0.0276,0.0648,0.0382,0.0258,0.0483,0.0133,0.0601,0.0441,0.0584,0.0861,0.0559,0.0641,0.1427,0.1647,0.1651,0.0317,0.0795,0.0194,0.0285,0.0067,0.0333,0.0104,0.0286,0.0059,0.0572,0.0311,0.015,0.0262,0.0133,0.0282,0
"TTL_C20",0.0381,0.0059,0.0097,0.0303,0.0268,0.0338,0.0936,0.0762,0.1459,0.0207,1.2181,0.0413,0.2946,0.0712,0.0273,0.0702,0.1363,0.1418,0.1606,0.0192,0.1127,0.1364,0.0144,0.195,0.0347,0.0326,0.025,0.0313,0.0287,0.0308,0.024,0.0198,0.0384,0.0044,0.0197,0.0133,0.0201,0.0064,0.0556,0.0192,0.0235,0.0476,0.0161,0.0442,0
"TTL_C21",8e-04,5e-04,2e-04,7e-04,4e-04,6e-04,7e-04,8e-04,0.0026,3e-04,0.0018,1.0079,0.0015,8e-04,5e-04,0.0018,0.003,0.001,0.0011,3e-04,0.0011,0.0015,4e-04,0.0039,6e-04,7e-04,0.0023,0.0031,0.0013,0.0056,8e-04,5e-04,7e-04,2e-04,9e-04,6e-04,5e-04,2e-04,0.0019,0.001,0.0012,0.0543,4e-04,9e-04,0
"TTL_C22",0.0026,0.0024,0.003,0.0066,0.0052,0.0071,0.0237,0.0136,0.0171,0.0035,0.0126,0.0084,1.0682,0.019,0.0067,0.0347,0.0367,0.0173,0.0437,0.0195,0.0962,0.0659,0.0055,0.0247,0.0193,0.0265,0.0189,0.0173,0.0158,0.0171,0.0237,0.0076,0.0103,0.0021,0.0066,0.0094,0.0112,0.0024,0.0248,0.007,0.007,0.0096,0.0057,0.0134,0
"TTL_C23",8e-04,6e-04,0.0017,0.0024,0.0029,0.0013,0.0028,0.0032,0.0044,0.0044,0.0033,0.002,0.0033,1.0618,0.0025,0.0163,0.1106,0.0193,0.0195,0.0046,0.0408,0.015,0.0028,0.0116,0.0728,0.0044,0.0061,0.0073,0.0057,0.0073,0.0035,0.0015,0.0046,9e-04,0.0037,0.002,0.0178,0.0036,0.0115,0.0051,0.0049,0.0044,0.0017,0.0237,0
