"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.3285,0.1131,0.0653,0.0509,0.0188,0.8655,0.5023,0.5741,0.2113,0.0715,0.1841,0.2097,0.3097,0.0625,0.0613,0.0559,0.077,0.065,0.0616,0.0656,0.0497,0.3304,0.0663,0.0631,0.1334,0.0478,0.0728,0.0441,0.0835,0.0684,0.0105,0.5901,0.0636,0.054,0.0249,0.0473,0.0279,0.0392,0.0381,0.2137,0.0272,0.075,0.071,0.0695,0
"TTL_A03",0.0024,1.0637,0.001,8e-04,3e-04,0.0374,0.0015,0.0012,0.0012,0.0011,0.0033,0.0067,0.0016,8e-04,8e-04,8e-04,8e-04,8e-04,8e-04,9e-04,7e-04,0.0012,9e-04,8e-04,0.001,8e-04,7e-04,6e-04,0.0011,7e-04,1e-04,0.0142,5e-04,8e-04,4e-04,9e-04,3e-04,6e-04,6e-04,0.0054,4e-04,0.0021,8e-04,8e-04,0
"TTL_B05_06",0.0289,0.0294,1.0715,0.1087,0.0346,0.0374,0.0524,0.0347,0.1253,0.6609,0.1601,0.0825,0.081,0.1842,0.1848,0.1262,0.0994,0.1147,0.1395,0.2252,0.1636,0.0783,0.2099,0.1572,0.0902,0.0676,0.1485,0.1077,0.1759,0.1035,0.0386,0.0417,0.0563,0.1317,0.0353,0.0611,0.0408,0.0744,0.0901,0.0326,0.0418,0.0348,0.1251,0.1208,0
"TTL_B07_08",0.0017,0.0028,0.0114,1.0158,0.0053,0.0022,0.0028,0.0043,0.0085,0.0099,0.0067,0.0039,0.0055,0.077,0.1125,0.1106,0.0285,0.0401,0.0364,0.0302,0.0186,0.0386,0.0182,0.0062,0.0281,0.004,0.0051,0.0086,0.0112,0.0061,0.0014,0.0026,0.0041,0.0088,0.0028,0.0035,0.005,0.0041,0.004,0.0032,0.0027,0.002,0.0098,0.008,0
"TTL_B09",0.0033,0.0056,0.0487,0.0502,1.0321,0.0041,0.0052,0.0038,0.0129,0.0555,0.017,0.0083,0.0081,0.0273,0.0207,0.0166,0.0111,0.013,0.0131,0.021,0.0151,0.0092,0.0261,0.0149,0.0147,0.0066,0.0139,0.0104,0.0174,0.0107,0.0035,0.0045,0.0057,0.0131,0.0037,0.0061,0.0052,0.0072,0.0084,0.0037,0.0042,0.0036,0.013,0.012,0
"TTL_C10T12",0.0681,0.0441,0.0234,0.0188,0.0061,1.0776,0.0395,0.0331,0.0316,0.0267,0.0859,0.0839,0.0414,0.0184,0.02,0.0189,0.0188,0.0205,0.0191,0.0219,0.0164,0.0302,0.0185,0.0169,0.0244,0.0148,0.0147,0.0129,0.0227,0.0151,0.0032,0.2334,0.0127,0.0162,0.0074,0.0158,0.0063,0.0117,0.0115,0.1525,0.0071,0.0348,0.0166,0.0168,0
"TTL_C13T15",0.0069,0.0866,0.04,0.0209,0.0072,0.0111,1.288,0.0131,0.0313,0.0362,0.0678,0.0393,0.0548,0.023,0.0212,0.0181,0.0251,0.0251,0.0228,0.0313,0.0233,0.0309,0.018,0.0172,0.0183,0.016,0.0142,0.0165,0.0329,0.0694,0.0034,0.0093,0.0154,0.0139,0.0053,0.0121,0.0056,0.0101,0.0112,0.0081,0.0069,0.0267,0.0323,0.0395,0
"TTL_C16",0.003,0.0058,0.0156,0.0055,0.0025,0.0034,0.0038,1.0851,0.0372,0.012,0.0083,0.0041,0.0048,0.0077,0.0069,0.0111,0.0067,0.0069,0.0093,0.01,0.009,0.1007,0.0071,0.0051,0.0066,0.0067,0.0049,0.0059,0.0094,0.005,0.0013,0.0029,0.0083,0.0055,0.002,0.0026,0.002,0.0064,0.0072,0.0022,0.0033,0.0021,0.0063,0.0056,0
"TTL_C17_18",0.006,0.0034,0.009,0.0208,0.0068,0.0074,0.0079,0.0075,1.2048,0.0115,0.0113,0.0135,0.0112,0.0149,0.0161,0.0145,0.0191,0.0165,0.0164,0.0141,0.0111,0.0137,0.0467,0.0221,0.0115,0.0116,0.033,0.0438,0.1029,0.0456,0.0089,0.0084,0.1915,0.0366,0.0139,0.0201,0.0078,0.0354,0.0287,0.0101,0.0484,0.0084,0.0418,0.0365,0
"TTL_C19",0.055,0.0564,0.1306,0.1952,0.0595,0.0693,0.0971,0.0632,0.2269,1.3399,0.3082,0.1593,0.1454,0.2842,0.2224,0.1939,0.153,0.1714,0.1636,0.4078,0.2982,0.1281,0.3302,0.2725,0.1491,0.1292,0.2902,0.1988,0.3266,0.1944,0.0755,0.0763,0.1029,0.2446,0.0651,0.1129,0.0756,0.1427,0.1758,0.0585,0.078,0.0659,0.2326,0.2281,0
