"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.0854,0.0867,0.0026,0.0017,0.0012,0.1412,0.0039,0.176,0.0025,8e-04,0.0019,0.0035,0.0031,0.0019,0.003,0.0017,0.0014,0.0014,0.0016,0.002,0.0015,0.0026,0.0026,0.002,0.0065,0.0034,0.0025,0.0045,0.0024,0.004,0.0016,0.0105,0.0017,0.001,0.0038,9e-04,5e-04,0.001,9e-04,0.0017,3e-04,0.002,0.0023,0.0025,0
"TTL_A03",2e-04,1.2089,1e-04,0,0,9e-04,1e-04,1e-04,0,0,0,1e-04,0,0,1e-04,0,0,0,0,0,0,3e-04,0,1e-04,0,0,1e-04,7e-04,1e-04,2e-04,0,1e-04,0,0,2e-04,0,0,0,0,0,0,0,0,0,0
"TTL_B05_06",0.0072,0.0099,1.0575,0.0101,0.0095,0.0078,0.0042,0.0059,0.0036,0.1776,0.002,0.0052,0.0057,0.0166,0.0384,0.0133,0.014,0.0175,0.0275,0.0106,0.0117,0.0106,0.0168,0.0038,0.0084,0.0039,0.0092,0.0064,0.0178,0.0046,0.0041,0.0023,0.0016,0.0044,0.0031,0.0014,7e-04,0.0021,0.0026,0.0063,8e-04,0.0079,0.0022,0.0052,0
"TTL_B07_08",0.0404,0.0048,0.0034,1.0726,0.0145,0.0092,0.001,0.0074,8e-04,0.0014,8e-04,9e-04,0.0015,0.0153,0.0489,0.0032,0.0011,0.0024,0.0033,0.0032,0.0042,0.0049,7e-04,0.0012,0.0277,0.001,9e-04,0.0012,0.0013,0.0012,6e-04,0.0013,4e-04,7e-04,8e-04,4e-04,3e-04,5e-04,4e-04,9e-04,3e-04,6e-04,8e-04,0.0022,0
"TTL_B09",0.001,0.0017,0.0149,0.0054,1.0131,6e-04,4e-04,6e-04,4e-04,0.02,3e-04,6e-04,6e-04,0.0016,0.0027,0.0014,0.0015,0.0019,0.003,0.0011,0.0013,0.0012,8e-04,4e-04,0.0017,4e-04,9e-04,7e-04,0.0021,6e-04,4e-04,2e-04,2e-04,5e-04,4e-04,2e-04,1e-04,2e-04,3e-04,4e-04,1e-04,7e-04,2e-04,4e-04,0
"TTL_C10T12",0.1286,0.0378,0.0084,0.008,0.0045,1.1634,0.0198,0.0341,0.0125,0.0025,0.0065,0.015,0.0145,0.0083,0.0157,0.0076,0.0055,0.0053,0.0056,0.0091,0.0061,0.0075,0.0111,0.0069,0.0071,0.0141,0.0139,0.0177,0.0095,0.0155,0.0089,0.0792,0.0092,0.0038,0.01,0.0032,0.0018,0.0042,0.0041,0.0065,0.0013,0.0056,0.0124,0.0142,0
"TTL_C13T15",0.0021,0.0024,0.0021,0.0017,0.0016,0.0023,1.0579,0.0022,0.0025,7e-04,0.0017,0.002,0.0021,0.0016,0.0022,0.0017,0.0018,0.0017,0.0016,0.002,0.0019,0.0047,0.0014,0.0016,0.0035,0.0098,0.0016,0.0022,0.0027,0.002,0.0019,0.0024,0.0016,0.0014,0.0026,0.0011,5e-04,0.003,0.0018,0.0021,2e-04,0.0015,0.0012,0.0026,0
"TTL_C16",8e-04,9e-04,0.0011,4e-04,7e-04,9e-04,6e-04,1.0199,6e-04,4e-04,2e-04,4e-04,0.0031,6e-04,7e-04,6e-04,5e-04,6e-04,0.0012,7e-04,4e-04,0.0042,0.0012,0.0018,0.0156,4e-04,5e-04,6e-04,7e-04,5e-04,4e-04,2e-04,3e-04,6e-04,6e-04,3e-04,4e-04,3e-04,5e-04,0.001,2e-04,4e-04,2e-04,0.0012,0
"TTL_C17_18",0.0037,0.0031,0.0061,0.004,0.0026,0.0066,0.0075,0.0046,1.0194,0.0015,0.0043,0.0034,0.0048,0.0048,0.0055,0.007,0.0023,0.0047,0.003,0.0046,0.0034,0.0066,0.0054,0.0042,0.0045,0.0059,0.0035,0.0054,0.0048,0.0055,0.0053,0.0033,0.0215,0.0038,0.0054,0.0049,0.0012,0.0054,0.0025,0.0033,0.0037,0.0057,0.0046,0.0102,0
"TTL_C19",0.0306,0.0483,0.0226,0.0159,0.0229,0.0149,0.0117,0.02,0.0122,1.0577,0.0075,0.0259,0.0226,0.029,0.0251,0.0588,0.0732,0.0901,0.1479,0.0483,0.0595,0.0497,0.0094,0.0122,0.0274,0.0139,0.0374,0.0272,0.0978,0.0187,0.0189,0.006,0.0067,0.0203,0.0132,0.0058,0.0022,0.009,0.0128,0.0128,0.0029,0.0324,0.0076,0.0133,0
"TTL_C20",0.1639,0.0361,0.0696,0.1077,0.0397,0.0793,0.2052,0.2736,0.1965,0.0178,1.0341,0.0962,0.2495,0.1055,0.2556,0.0714,0.0454,0.0408,0.0377,0.1046,0.0401,0.0554,0.1627,0.0573,0.0461,0.0575,0.0206,0.0247,0.0332,0.0244,0.0145,0.0189,0.0615,0.0174,0.0219,0.0101,0.0078,0.023,0.0113,0.0152,0.0049,0.0195,0.0156,0.0451,0
"TTL_C21",0.112,0.0271,0.0567,0.0895,0.0284,0.0564,0.138,0.1738,0.1264,0.0267,0.0547,1.0952,0.1605,0.0686,0.1714,0.0517,0.0596,0.0343,0.0757,0.0715,0.0342,0.0734,0.103,0.0622,0.0329,0.0382,0.0155,0.0188,0.0264,0.0187,0.0115,0.0162,0.0421,0.0139,0.0175,0.0077,0.0057,0.0176,0.0087,0.0149,0.0035,0.0593,0.0112,0.0315,0
"TTL_C22",0.005,0.0061,0.0049,0.0033,0.006,0.0083,0.0052,0.0052,0.0053,0.0018,0.0036,0.0074,1.0348,0.0044,0.005,0.0061,0.0066,0.0202,0.0078,0.0169,0.0068,0.0135,0.0029,0.0034,0.0189,0.0152,0.008,0.0075,0.0052,0.0101,0.0035,0.002,0.0031,0.0023,0.0048,0.0015,8e-04,0.0017,0.0029,0.0051,5e-04,0.0066,0.0014,0.0041,0
"TTL_C23",0.035,0.0061,0.0058,0.0071,0.0126,0.0076,0.0023,0.0076,0.002,0.0021,0.0014,0.002,0.0055,1.0372,0.0084,0.0053,0.0026,0.0064,0.0062,0.0032,0.0038,0.031,0.0014,0.0028,0.0554,0.0041,0.0019,0.0022,0.0043,0.0019,0.0013,0.0015,0.0011,0.0021,0.002,8e-04,7e-04,0.001,9e-04,0.0016,6e-04,0.0015,0.0013,0.0044,0
"TTL_C24",0.002,0.0024,0.0228,0.0015,0.0062,0.0021,0.0018,0.0042,0.0016,0.0044,0.0014,0.0022,0.011,0.0097,1.025,0.0482,0.0064,0.0302,0.0274,0.0428,0.0098,0.0282,0.0012,0.002,0.0093,0.0022,0.0026,0.0022,0.0033,0.0014,0.0011,5e-04,7e-04,0.0018,0.0014,6e-04,4e-04,8e-04,9e-04,0.0018,3e-04,0.0012,6e-04,0.001,0
"TTL_C25",0.0031,0.0048,0.0261,0.0027,0.009,0.0036,0.0036,0.0056,0.0029,0.0065,0.0026,0.004,0.013,0.0058,0.0075,1.0211,0.0083,0.035,0.023,0.0261,0.0325,0.013,0.0022,0.002,0.0243,0.0034,0.0027,0.0048,0.0059,0.0031,0.0015,0.001,0.0013,0.0021,0.0033,0.0011,6e-04,0.0014,0.0025,0.0027,0.0014,0.0017,9e-04,0.0018,0
"TTL_C26",0.0119,0.0311,0.0187,0.0161,0.0121,0.0117,0.0087,0.0092,0.007,0.0062,0.01,0.0107,0.0082,0.0082,0.017,0.0139,1.1958,0.1879,0.0351,0.052,0.0221,0.1028,0.0061,0.0075,0.0329,0.0095,0.0099,0.0143,0.0177,0.0155,0.0106,0.0068,0.0064,0.0676,0.0265,0.01,0.0029,0.0114,0.013,0.0106,0.0043,0.0261,0.0087,0.0114,0
"TTL_C27",0.0038,0.003,0.011,0.0027,0.0034,0.0037,0.0038,0.0047,0.0038,0.0024,0.0115,0.004,0.0043,0.0031,0.005,0.0045,0.0145,1.0161,0.0178,0.0163,0.0044,0.0177,0.0029,0.0023,0.0169,0.0039,0.0022,0.0035,0.0046,0.0037,0.0014,0.0011,0.0018,0.0027,0.0046,0.0013,6e-04,0.0024,0.0031,0.002,4e-04,0.0027,0.0012,0.002,0
"TTL_C28",0.0046,0.0071,0.0281,0.0087,0.0229,0.0044,0.0044,0.0062,0.0035,0.0064,0.003,0.0062,0.0061,0.0084,0.0062,0.068,0.0357,0.0193,1.0704,0.031,0.0473,0.0169,0.0025,0.0026,0.0165,0.0034,0.0037,0.0067,0.0094,0.0058,0.0027,0.0017,0.0023,0.0043,0.0069,0.002,7e-04,0.0024,0.0042,0.003,6e-04,0.0041,0.0015,0.0027,0
"TTL_C29",0.0021,0.0022,0.0029,0.0025,0.0022,0.0023,0.0019,0.0019,0.0018,9e-04,0.0016,0.002,0.0018,0.0017,0.002,0.003,0.0043,0.0218,0.004,1.0077,0.0029,0.0122,0.0013,0.0014,0.0031,0.0075,0.0081,0.0094,0.0038,0.0042,0.0054,9e-04,0.0014,0.0018,0.0036,0.0013,4e-04,0.0011,0.0013,0.0015,2e-04,0.0011,0.0011,0.0015,0
"TTL_C30",0.0135,0.1255,0.0679,0.0123,0.01,0.0105,0.0074,0.0097,0.0074,0.0134,0.0051,0.0101,0.0089,0.0167,0.021,0.0113,0.0118,0.0218,0.0191,0.3046,1.8581,0.1756,0.0051,0.0107,0.0144,0.01,0.0208,0.0959,0.169,0.0267,0.016,0.0051,0.0035,0.0098,0.0168,0.0067,0.004,0.0131,0.0265,0.013,0.0012,0.0077,0.0051,0.0084,0
"TTL_C31T33",0.0169,0.0258,0.0136,0.0057,0.0279,0.0084,0.0056,0.0094,0.0054,0.0052,0.0039,0.0068,0.0112,0.0142,0.0118,0.0279,0.0191,0.0426,0.0279,0.0228,0.0204,1.1527,0.0039,0.006,0.0228,0.0086,0.0216,0.0178,0.0535,0.0114,0.0105,0.0035,0.0036,0.0102,0.0078,0.0036,0.0014,0.0051,0.0069,0.0135,0.0016,0.0189,0.0051,0.0086,0
"TTL_D",0.0357,0.0496,0.0302,0.0593,0.0216,0.0394,0.0349,0.0564,0.0247,0.0095,0.0142,0.0181,0.0369,0.0753,0.0277,0.0252,0.0148,0.0201,0.0234,0.031,0.0406,0.0235,1.0549,0.0726,0.0218,0.0465,0.0429,0.0364,0.0228,0.0413,0.0267,0.0374,0.0111,0.0343,0.016,0.0106,0.0064,0.0183,0.0108,0.0129,0.0081,0.011,0.028,0.0262,0
"TTL_E",0.0034,0.0122,0.0078,0.0036,0.0052,0.005,0.005,0.0042,0.0034,0.0021,0.0028,0.0039,0.0086,0.0039,0.0481,0.0063,0.0033,0.0043,0.0056,0.0081,0.0036,0.0065,0.0021,1.0564,0.0081,0.01,0.0076,0.01,0.0041,0.0073,0.0079,0.0048,0.0023,0.002,0.0044,0.0024,0.0021,0.0042,0.0027,0.0269,5e-04,0.0061,0.0082,0.0062,0
"TTL_F",0.0357,0.0438,0.0568,0.0166,0.0176,0.0279,0.0117,0.0195,0.0076,0.0224,0.0047,0.01,0.008,0.0148,0.0205,0.017,0.0196,0.0127,0.0774,0.012,0.0088,0.0243,0.0067,0.0151,1.4272,0.0036,0.0047,0.0075,0.0099,0.0073,0.0032,0.0035,0.0024,0.0037,0.0082,0.0046,0.01,0.0026,0.0046,0.0135,0.0103,0.0088,0.0027,0.0167,0
"TTL_G",0.1333,0.1352,0.1041,0.0749,0.0576,0.1714,0.1483,0.1093,0.1422,0.0402,0.0887,0.0822,0.0971,0.0866,0.1121,0.118,0.1165,0.102,0.1053,0.1234,0.1526,0.1944,0.0815,0.0622,0.1143,1.0758,0.0775,0.1204,0.1178,0.0815,0.0583,0.0566,0.1309,0.0512,0.1219,0.0383,0.0128,0.0378,0.0346,0.0574,0.012,0.0449,0.0338,0.0795,0
