"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.1268,0.0044,0.0025,0.0014,0.0026,0.1073,0.0506,0.0535,0.0018,7e-04,0.0016,0.0017,0.0126,0.0019,0.0016,0.0017,0.0019,0.0019,0.0017,0.0024,0.0023,0.0037,0.0011,0.0013,0.0035,0.0015,0.0013,0.0018,0.002,0.0018,9e-04,0.0391,0.0015,0.0011,0.0013,6e-04,0.001,0.0019,0.0017,0.0027,0.0026,0.0018,0.0024,0.0017,0
"TTL_A03",0.0557,1.0533,0.0038,0.0034,0.0038,0.4087,0.0084,0.0069,0.0048,0.0012,0.0044,0.0046,0.006,0.0049,0.0035,0.0037,0.0031,0.0045,0.0039,0.0038,0.0039,0.0029,0.0024,0.0027,0.0047,0.0036,0.0028,0.0041,0.0046,0.0047,0.0026,0.0694,0.0041,0.0028,0.0033,0.0017,0.0027,0.0054,0.0043,0.0044,0.0036,0.0055,0.0041,0.0048,0
"TTL_B05_06",0.006,0.0109,1.0257,0.019,0.0216,0.0065,0.0044,0.0039,0.0037,0.0444,0.0041,0.0031,0.0045,0.0146,0.019,0.0068,0.0038,0.005,0.0069,0.0065,0.0052,0.0054,0.0061,0.0139,0.0057,0.0067,0.0172,0.0303,0.0257,0.0147,0.0053,0.0044,0.0031,0.0035,0.0019,9e-04,0.0014,0.0026,0.0092,0.0025,0.0016,0.0017,0.0024,0.0031,0
"TTL_B07_08",6e-04,5e-04,0.0092,1.1244,0.0381,0.0011,5e-04,6e-04,6e-04,0.0052,0.0019,0.0019,0.001,0.0258,0.0199,0.005,0.0023,0.0013,0.0028,0.0032,0.0019,0.0024,7e-04,0.007,0.0118,4e-04,8e-04,0.0012,0.0012,7e-04,3e-04,6e-04,4e-04,3e-04,3e-04,1e-04,0.001,4e-04,7e-04,2e-04,2e-04,3e-04,4e-04,4e-04,0
"TTL_B09",2e-04,3e-04,0.0149,0.0019,1.0083,2e-04,1e-04,2e-04,2e-04,0.0015,3e-04,2e-04,2e-04,8e-04,6e-04,3e-04,1e-04,2e-04,2e-04,2e-04,2e-04,2e-04,9e-04,3e-04,6e-04,2e-04,4e-04,6e-04,5e-04,4e-04,1e-04,2e-04,1e-04,1e-04,1e-04,0,1e-04,1e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0
"TTL_C10T12",0.1508,0.0145,0.0099,0.0089,0.01,1.108,0.0225,0.0187,0.0128,0.0031,0.0117,0.0122,0.0161,0.0133,0.0094,0.0099,0.0083,0.0121,0.0103,0.0103,0.0103,0.0078,0.0065,0.0073,0.0127,0.0094,0.0074,0.0109,0.0123,0.0126,0.0069,0.1858,0.011,0.0076,0.0089,0.0045,0.0073,0.0147,0.0114,0.0118,0.0096,0.0148,0.011,0.0128,0
"TTL_C13T15",0.0091,0.0604,0.0058,0.0026,0.0048,0.0259,1.3908,0.0027,0.0026,0.001,0.0026,0.0026,0.0056,0.0042,0.0039,0.0031,0.0019,0.0025,0.0025,0.0114,0.011,0.0198,0.0014,0.0027,0.0036,0.0019,0.002,0.0033,0.0037,0.0024,0.0013,0.0216,0.0021,0.0014,0.0011,0.0019,9e-04,0.0017,0.0042,0.0035,0.0011,0.0053,0.022,0.0026,0
"TTL_C16",7e-04,8e-04,0.0029,0.0014,0.0031,9e-04,0.0011,1.1693,0.0013,6e-04,7e-04,7e-04,0.0012,0.0012,0.001,9e-04,0.0064,0.0012,0.001,0.0076,0.0037,0.0315,8e-04,0.0017,0.0247,9e-04,0.0011,0.0016,0.0019,0.0011,5e-04,0.0013,8e-04,8e-04,7e-04,2e-04,0.002,8e-04,0.0011,6e-04,9e-04,6e-04,0.0027,0.0012,0
"TTL_C17_18",0.0045,0.0025,0.0073,0.0032,0.0074,0.007,0.0071,0.0058,1.2517,0.0024,0.0082,0.0093,0.0071,0.0046,0.0041,0.0045,0.005,0.0054,0.0043,0.0049,0.0042,0.0053,0.0034,0.0055,0.0049,0.0089,0.0044,0.0053,0.0065,0.0069,0.0231,0.0083,0.1335,0.0059,0.0111,0.0059,0.0086,0.0122,0.0092,0.0187,0.0768,0.0032,0.0274,0.0096,0
"TTL_C19",0.0214,0.04,0.0604,0.0692,0.0631,0.0234,0.0162,0.0128,0.0139,1.0797,0.0185,0.0143,0.0194,0.0227,0.0256,0.0158,0.0107,0.0156,0.0176,0.0186,0.0156,0.0163,0.0113,0.0504,0.0152,0.0246,0.0638,0.1123,0.0952,0.054,0.019,0.0153,0.0112,0.0123,0.0068,0.0032,0.0043,0.0094,0.0335,0.0089,0.0056,0.0062,0.0084,0.0113,0
"TTL_C20",0.0351,0.0098,0.0322,0.0112,0.0352,0.0143,0.0417,0.0269,0.0749,0.0177,1.2384,0.2187,0.2292,0.0214,0.0142,0.0165,0.0157,0.0151,0.0171,0.0223,0.0256,0.0228,0.0081,0.0383,0.0371,0.0116,0.0105,0.0133,0.0133,0.0111,0.0064,0.0134,0.0391,0.0057,0.0236,0.0035,0.007,0.0232,0.0381,0.008,0.0108,0.0222,0.0121,0.0356,0
"TTL_C21",0.002,7e-04,0.0023,9e-04,0.0023,0.0012,0.0025,0.0018,0.0037,9e-04,0.0097,1.0397,0.0095,0.0015,0.0013,0.0012,0.0012,0.0015,0.0013,0.0015,0.0017,0.0015,8e-04,0.002,0.0021,0.001,8e-04,0.0011,0.0012,0.001,6e-04,0.0011,0.0022,6e-04,0.0015,4e-04,7e-04,0.0032,0.002,0.0028,0.0017,0.0648,0.0022,0.0021,0
"TTL_C22",0.0153,0.01,0.0156,0.009,0.0155,0.0159,0.0165,0.0109,0.0105,0.0047,0.011,0.0105,1.1183,0.0131,0.0084,0.0089,0.0412,0.0184,0.0098,0.0191,0.0191,0.0169,0.0082,0.0139,0.0303,0.0198,0.0196,0.0104,0.0092,0.0102,0.0045,0.0114,0.0088,0.006,0.006,0.0019,0.0044,0.0071,0.0078,0.004,0.0046,0.0048,0.0096,0.0066,0
"TTL_C23",0.0013,9e-04,0.0071,0.0026,0.0138,0.0034,0.0016,0.0013,0.0013,0.0012,0.0014,0.0013,0.0019,1.2069,0.0074,0.0023,0.0028,0.0069,0.0019,0.006,0.0049,0.0062,0.0015,0.0022,0.0856,9e-04,0.0011,0.0017,0.002,0.0012,6e-04,0.0014,9e-04,7e-04,8e-04,3e-04,0.0064,0.0024,0.0012,6e-04,5e-04,0.0011,0.0013,0.0011,0
"TTL_C24",0.0103,0.0087,0.0565,0.0177,0.0614,0.0094,0.0086,0.0121,0.0095,0.0069,0.0082,0.0069,0.0108,0.0172,1.5135,0.2977,0.1142,0.0522,0.1415,0.162,0.0898,0.1044,0.0298,0.0468,0.0819,0.0084,0.0143,0.0197,0.0204,0.0119,0.0063,0.01,0.0067,0.0092,0.0064,0.0023,0.0086,0.007,0.0132,0.0052,0.0049,0.0043,0.0116,0.0069,0
"TTL_C25",0.0095,0.0073,0.027,0.007,0.0227,0.0077,0.0059,0.0078,0.0054,0.0041,0.0073,0.0044,0.0073,0.0175,0.0122,1.0906,0.02,0.0243,0.0486,0.0356,0.0771,0.017,0.0257,0.0134,0.0648,0.0045,0.005,0.0135,0.014,0.0058,0.0029,0.0054,0.0037,0.0036,0.0029,0.0012,0.006,0.0035,0.0062,0.0027,0.0028,0.002,0.0042,0.0035,0
"TTL_C26",0.0035,0.0052,0.0069,0.0036,0.007,0.0044,0.005,0.0046,0.0055,0.0019,0.0041,0.0043,0.0053,0.0047,0.0089,0.0051,1.0559,0.0129,0.0055,0.0073,0.0128,0.0073,0.0057,0.0042,0.0049,0.0053,0.0048,0.0104,0.0083,0.0061,0.0045,0.0056,0.0064,0.0387,0.0182,0.0028,0.0046,0.0115,0.0073,0.005,0.0075,0.0089,0.0056,0.007,0
"TTL_C27",0.005,0.0031,0.0157,0.0059,0.0143,0.0045,0.0054,0.0058,0.0061,0.003,0.0047,0.0048,0.0082,0.0105,0.129,0.0322,0.0189,1.2248,0.0242,0.0312,0.0204,0.0193,0.0559,0.0092,0.0185,0.0047,0.0045,0.0066,0.007,0.0061,0.0043,0.0061,0.005,0.009,0.0049,0.0017,0.004,0.0051,0.0092,0.004,0.0035,0.0023,0.0047,0.0048,0
"TTL_C28",0.0247,0.0147,0.0461,0.0236,0.0366,0.0176,0.01,0.0333,0.0137,0.0055,0.0115,0.0089,0.0184,0.0453,0.0239,0.024,0.0107,0.0444,1.1363,0.0267,0.0445,0.0255,0.0211,0.0166,0.0581,0.0058,0.0062,0.0132,0.0126,0.0129,0.0032,0.0101,0.0083,0.0038,0.0034,0.0014,0.0058,0.0044,0.018,0.0033,0.0034,0.0031,0.0056,0.006,0
"TTL_C29",0.0118,0.0057,0.0183,0.0635,0.0202,0.01,0.0139,0.0124,0.0126,0.0049,0.0098,0.01,0.0133,0.014,0.0137,0.0111,0.009,0.0158,0.0121,1.1189,0.0118,0.017,0.0067,0.046,0.0126,0.0152,0.0684,0.0129,0.0106,0.0283,0.0199,0.0139,0.0095,0.0101,0.0081,0.0042,0.0062,0.0101,0.0342,0.008,0.0051,0.0045,0.0094,0.0095,0
