"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.0618,0.0822,2e-04,6e-04,3e-04,0.2715,0.0026,0.0016,9e-04,5e-04,0.0046,0.0012,8e-04,6e-04,9e-04,0.001,5e-04,8e-04,0.001,9e-04,4e-04,8e-04,5e-04,8e-04,8e-04,9e-04,5e-04,0.001,8e-04,4e-04,3e-04,0.0523,0.0035,6e-04,5e-04,0.0017,2e-04,0.001,8e-04,0.001,6e-04,6e-04,0.0058,7e-04,0
"TTL_A03",1e-04,1.0001,0,0,0,0.0017,1e-04,0,1e-04,0,1e-04,0,0.0014,1e-04,1e-04,0,0,1e-04,1e-04,1e-04,0,0,3e-04,0.001,0,0,0,1e-04,0,0,0,3e-04,0.0011,1e-04,0,0,1e-04,1e-04,0,7e-04,2e-04,3e-04,0.0024,5e-04,0
"TTL_B05_06",0.0554,0.084,1.017,0.0496,0.0524,0.0393,0.105,0.0329,0.0509,0.6134,0.0781,0.0185,0.1782,0.1143,0.0428,0.0275,0.0159,0.05,0.024,0.028,0.0091,0.0403,0.2116,0.0989,0.0308,0.014,0.1099,0.0673,0.0754,0.0151,0.006,0.0205,0.0202,0.0125,0.0112,0.0059,0.0027,0.0096,0.0193,0.0293,0.0114,0.0084,0.0235,0.0134,0
"TTL_B07_08",0.0058,0.1064,0.0011,1.0547,0.0017,0.0103,0.0133,0.0214,0.0083,0.0053,0.0751,0.012,0.0075,0.1866,0.0189,0.0113,0.0088,0.0364,0.0087,0.0513,0.0099,0.4515,0.0037,0.0072,0.0621,0.0029,0.0032,0.0043,0.0036,0.0034,0.0019,0.0044,0.0077,0.003,0.0028,0.002,0.002,0.003,0.0034,0.0078,0.004,0.0124,0.0114,0.011,0
"TTL_B09",0.0038,0.0059,0.0695,0.0043,1.1309,0.0028,0.0073,0.0023,0.0037,0.042,0.0056,0.0013,0.0123,0.0081,0.003,0.002,0.0012,0.0036,0.0017,0.002,7e-04,0.0032,0.0146,0.007,0.0094,0.001,0.0076,0.0048,0.0053,0.0012,5e-04,0.0016,0.0016,9e-04,8e-04,5e-04,4e-04,7e-04,0.0014,0.0023,9e-04,7e-04,0.002,0.0015,0
"TTL_C10T12",0.0379,0.0189,3e-04,0.0015,8e-04,1.1666,0.0043,0.0013,0.0016,8e-04,0.0061,0.0025,0.0011,0.0012,0.0016,0.0025,0.001,0.0014,0.0019,0.0017,7e-04,0.0015,9e-04,0.0013,0.0011,0.0017,9e-04,0.0022,0.0017,8e-04,5e-04,0.1125,0.0061,0.0012,0.0011,0.0036,5e-04,0.0018,0.0012,0.0017,7e-04,0.0016,0.009,0.0015,0
"TTL_C13T15",0.002,0.0031,2e-04,0.0019,5e-04,0.0028,1.2506,0.0029,0.0229,6e-04,0.0046,0.0012,0.0099,0.0018,0.004,0.0041,0.0013,0.0038,0.0065,0.0146,0.0011,0.0035,9e-04,0.0013,0.0014,0.0014,0.0012,9e-04,7e-04,7e-04,0.0014,0.0079,0.0223,0.0011,7e-04,7e-04,3e-04,0.0017,0.0014,0.0061,8e-04,0.0028,0.0347,9e-04,0
"TTL_C16",0.0049,0.0028,2e-04,0.003,4e-04,0.0042,0.0044,1.456,0.0069,6e-04,0.0044,0.0015,0.004,0.0084,0.0099,0.0063,0.0017,0.0059,0.0049,0.0153,0.0013,0.023,9e-04,0.0012,0.0211,9e-04,5e-04,0.0014,0.001,8e-04,0.0017,0.0013,0.0019,5e-04,5e-04,5e-04,6e-04,6e-04,6e-04,0.002,6e-04,0.0011,0.0024,0.0023,0
"TTL_C17_18",0.0256,0.006,4e-04,0.0042,0.0012,0.0294,0.0158,0.044,1.3293,0.0024,0.0163,0.0096,0.0167,0.0097,0.0081,0.0066,0.0061,0.0057,0.0086,0.0083,0.0031,0.0057,0.0028,0.0046,0.0059,0.0073,0.003,0.0051,0.0043,0.0056,0.0057,0.0104,0.1233,0.0061,0.0046,0.004,0.0014,0.0133,0.0085,0.0051,0.0048,0.0036,0.0816,0.0052,0
"TTL_C19",0.0918,0.1548,0.0064,0.0914,0.0135,0.068,0.2064,0.0616,0.0961,1.2373,0.1468,0.0338,0.3518,0.1701,0.0724,0.0493,0.0288,0.0962,0.0433,0.0509,0.0158,0.075,0.1593,0.1078,0.054,0.0258,0.2203,0.1319,0.1491,0.025,0.0113,0.0311,0.0376,0.022,0.0207,0.0107,0.0044,0.0172,0.0372,0.0539,0.0205,0.0145,0.0435,0.0227,0
"TTL_C20",0.0511,0.0745,0.0028,0.0208,0.0054,0.0386,0.0307,0.0252,0.067,0.0346,1.2171,0.1142,0.0527,0.0286,0.0485,0.031,0.0163,0.0206,0.0304,0.0264,0.0105,0.0189,0.0125,0.043,0.0246,0.0071,0.0083,0.0078,0.0075,0.0045,0.0034,0.0104,0.0223,0.0041,0.0072,0.003,0.0015,0.0088,0.0126,0.0124,0.0039,0.0166,0.0289,0.005,0
"TTL_C21",0.0132,0.0061,2e-04,0.0015,4e-04,0.0162,0.0027,0.0026,0.0043,0.0026,0.0663,1.2169,0.0037,0.002,0.0032,0.0021,0.002,0.0018,0.0025,0.002,0.001,0.0023,0.0012,0.0081,0.0018,8e-04,8e-04,0.001,9e-04,7e-04,0.002,0.0032,0.0021,8e-04,0.0039,0.0024,3e-04,0.0013,0.0011,0.0044,6e-04,0.1305,0.003,9e-04,0
"TTL_C22",0.0164,0.0258,0.001,0.0079,0.0025,0.0375,0.0325,0.0186,0.0296,0.004,0.0207,0.0131,1.0454,0.0149,0.0109,0.0156,0.0081,0.0325,0.0205,0.0288,0.0059,0.0133,0.0045,0.0084,0.0144,0.0158,0.0099,0.0037,0.0031,0.0019,0.0038,0.009,0.007,0.0023,0.003,0.0015,7e-04,0.0026,0.003,0.0069,0.0015,0.0039,0.0077,0.0029,0
"TTL_C23",0.0026,0.0054,8e-04,0.0212,0.004,0.0086,0.0073,0.0065,0.0039,0.0019,0.0118,0.0035,0.0037,1.1297,0.023,0.0174,0.0039,0.0091,0.0074,0.0143,0.0076,0.0179,0.0034,0.0042,0.0852,0.0017,0.0014,0.0025,0.0019,0.0026,7e-04,0.0055,0.0036,0.0019,0.0019,0.0015,0.0025,0.0015,0.0014,0.006,0.0021,0.0021,0.0056,0.0078,0
"TTL_C24",0.0073,0.0098,0.0038,0.014,0.0051,0.0176,0.0085,0.0258,0.0116,0.0056,0.0177,0.0087,0.0262,0.0228,1.8528,0.3258,0.0277,0.1128,0.1551,0.1874,0.0268,0.0668,0.0189,0.0113,0.0752,0.0054,0.0054,0.0062,0.0047,0.0056,0.0032,0.0057,0.0064,0.0067,0.0058,0.0022,0.0023,0.0043,0.0033,0.0205,0.0028,0.0044,0.0089,0.0112,0
