"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.0962,0.0214,0.0064,0.0084,0.0095,0.1983,0.0276,0.0658,0.0166,0.0092,0.0143,0.0177,0.0203,0.0115,0.0147,0.0081,0.0111,0.0085,0.008,0.0093,0.0072,0.0132,0.0323,0.0092,0.007,0.0113,0.0073,0.0134,0.0099,0.0067,0.0102,0.0509,0.0081,0.0046,0.0036,0.0024,0.0013,0.0059,0.0138,0.0046,0.003,0.0058,0.0112,0.009,0
"TTL_A03",2e-04,1.0072,1e-04,1e-04,1e-04,0.0018,1e-04,1e-04,1e-04,2e-04,2e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0.0036,1e-04,1e-04,1e-04,0.0018,2e-04,1e-04,0,0,0,1e-04,1e-04,0,0,1e-04,1e-04,1e-04,0
"TTL_B05_06",0.0271,0.0365,1.0527,0.0992,0.0686,0.0264,0.0146,0.0227,0.0247,0.554,0.1093,0.0297,0.0358,0.0351,0.0906,0.0269,0.0205,0.026,0.0225,0.0227,0.0167,0.0205,0.1239,0.0236,0.0197,0.0134,0.0369,0.111,0.1106,0.0314,0.027,0.0181,0.0108,0.0074,0.0063,0.0051,0.0029,0.0093,0.013,0.0114,0.0081,0.0194,0.0155,0.0157,0
"TTL_B07_08",9e-04,7e-04,8e-04,1.001,0.0061,0.0015,9e-04,0.0017,0.004,0.0011,0.0018,0.0012,0.0015,0.0195,0.0034,0.0026,0.0018,0.0024,0.0018,0.0022,0.0017,0.0014,9e-04,0.0018,0.0035,0.0017,0.0026,0.001,9e-04,8e-04,7e-04,7e-04,7e-04,5e-04,6e-04,3e-04,3e-04,6e-04,8e-04,3e-04,2e-04,5e-04,7e-04,8e-04,0
"TTL_B09",9e-04,0.0014,0.0167,0.0081,1.0394,9e-04,5e-04,8e-04,0.001,0.0158,0.0034,9e-04,0.0012,0.0031,0.0044,0.0013,8e-04,0.0011,0.001,9e-04,7e-04,8e-04,0.0038,9e-04,0.0018,5e-04,0.0012,0.0032,0.0032,9e-04,8e-04,5e-04,4e-04,3e-04,2e-04,2e-04,2e-04,4e-04,5e-04,3e-04,2e-04,5e-04,5e-04,5e-04,0
"TTL_C10T12",0.0819,0.0871,0.008,0.0203,0.0096,1.3015,0.0306,0.0156,0.0128,0.0153,0.0333,0.0471,0.015,0.0093,0.0173,0.0085,0.0087,0.0098,0.0084,0.0094,0.008,0.0099,0.0131,0.0077,0.0072,0.0131,0.0142,0.0488,0.0127,0.0106,0.0069,0.1567,0.0071,0.0041,0.0037,0.0021,0.0019,0.006,0.0115,0.0035,0.0039,0.0101,0.0099,0.0094,0
"TTL_C13T15",0.0059,0.038,0.0024,0.0023,0.0065,0.0051,1.3488,0.0213,0.0319,0.0041,0.0122,0.0107,0.0219,0.0056,0.0061,0.0076,0.0062,0.0064,0.0067,0.0188,0.0101,0.0239,0.003,0.0049,0.0047,0.0041,0.0032,0.0039,0.0044,0.0032,0.003,0.0027,0.0047,0.0027,0.0023,0.0013,0.0013,0.0036,0.0067,0.002,0.0014,0.0035,0.0086,0.0081,0
"TTL_C16",0.0042,0.006,0.0033,0.0038,0.0065,0.008,0.0049,1.2259,0.0466,0.0042,0.005,0.0081,0.0062,0.0065,0.0067,0.0079,0.006,0.0068,0.0067,0.0085,0.008,0.0743,0.0046,0.0045,0.0179,0.0033,0.0034,0.0047,0.005,0.0036,0.0032,0.0033,0.0054,0.0031,0.0027,0.0016,0.0014,0.004,0.0064,0.003,0.0011,0.0048,0.005,0.0058,0
"TTL_C17_18",0.009,0.0124,0.0129,0.0115,0.0172,0.0259,0.0151,0.0289,1.2553,0.0154,0.0214,0.0231,0.0296,0.0191,0.0264,0.0196,0.0151,0.0249,0.0194,0.0232,0.0165,0.0214,0.0151,0.0209,0.0166,0.0132,0.0166,0.0181,0.0253,0.0224,0.0156,0.0147,0.0528,0.0315,0.0176,0.017,0.005,0.0299,0.0657,0.0124,0.0076,0.011,0.0462,0.018,0
"TTL_C19",0.0417,0.056,0.0205,0.0808,0.0751,0.0247,0.0162,0.0257,0.0245,1.1252,0.1432,0.0294,0.0421,0.0316,0.0319,0.0194,0.0192,0.0203,0.0203,0.0202,0.0155,0.0196,0.0293,0.02,0.0251,0.0156,0.0598,0.2116,0.2071,0.0214,0.0187,0.0108,0.0096,0.0065,0.0065,0.0042,0.0023,0.0076,0.012,0.0057,0.0041,0.009,0.0102,0.0111,0
"TTL_C20",0.0503,0.0252,0.0362,0.0326,0.0544,0.0447,0.0483,0.0655,0.0866,0.0739,1.2938,0.1339,0.2538,0.0587,0.0515,0.0447,0.0696,0.0611,0.0382,0.0532,0.0454,0.0526,0.0206,0.0257,0.0287,0.0134,0.0175,0.0268,0.0283,0.014,0.0129,0.0138,0.018,0.0119,0.0133,0.0058,0.0049,0.0165,0.0207,0.0063,0.0043,0.0283,0.0182,0.0329,0
