"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.2304,0.1548,5e-04,9e-04,4e-04,0.2461,0.0043,0.0507,0.0043,0.001,0.0094,0.0039,0.0074,0.0011,0.0016,0.0022,0.0019,0.0017,0.0017,0.0014,0.0014,0.0138,9e-04,0.002,0.0036,0.0034,5e-04,8e-04,0.0012,0.0011,0.0019,0.0676,0.0021,5e-04,0.0018,5e-04,6e-04,7e-04,0.002,0.004,8e-04,0.0016,0.0116,0.0053,0
"TTL_A03",0,1.0028,0,0,0,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-04,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTL_B05_06",0.0865,0.1472,1.1013,0.1804,0.0481,0.084,0.0342,0.0612,0.0856,0.9204,0.1064,0.064,0.1048,0.2176,0.1437,0.101,0.0654,0.0891,0.0624,0.199,0.1543,0.1066,0.3226,0.1441,0.1151,0.042,0.3141,0.3267,0.4004,0.0916,0.1116,0.0769,0.1366,0.0528,0.0489,0.0343,0.0141,0.0208,0.1117,0.0627,0.028,0.0462,0.0958,0.0644,0
"TTL_B07_08",0.0147,0.0053,0.0034,1.008,0.0026,0.0166,0.0037,0.0123,0.0154,0.0036,0.174,0.0383,0.0433,0.0586,0.0729,0.0307,0.0165,0.0315,0.0163,0.0116,0.0075,0.0198,0.0043,0.0044,0.0291,0.0037,0.0017,0.002,0.0037,0.0078,0.0085,0.0055,0.0053,0.0012,0.0047,0.001,0.0028,0.002,0.0056,0.0044,0.0014,0.008,0.0075,0.0117,0
"TTL_B09",0.0172,0.0281,0.209,0.0369,1.318,0.0162,0.0066,0.0118,0.0165,0.1751,0.0208,0.0124,0.0202,0.0416,0.0276,0.0194,0.0126,0.0171,0.012,0.0379,0.0294,0.0204,0.0615,0.0276,0.0436,0.0082,0.0598,0.0622,0.0762,0.0175,0.0214,0.015,0.0261,0.0102,0.0094,0.0066,0.0046,0.0041,0.0217,0.0125,0.0054,0.0089,0.0188,0.0126,0
"TTL_C10T12",0.0421,0.0413,7e-04,0.0011,5e-04,1.1395,0.0019,0.0038,0.006,0.001,0.0181,0.0081,0.0077,0.0012,0.0024,0.0059,0.0024,0.0023,0.0024,0.0019,0.0024,0.0088,0.001,0.004,0.0028,0.0021,6e-04,8e-04,0.0012,0.0022,0.0024,0.1514,0.0029,7e-04,0.0051,8e-04,9e-04,0.0011,0.0028,0.0106,0.0022,0.0031,0.0268,0.0061,0
"TTL_C13T15",0.0018,0.0036,0.0058,0.0072,0.0025,0.0026,1.485,0.0083,0.0085,0.0053,0.0034,0.0027,0.0035,0.0026,0.0034,0.0023,0.0025,0.0025,0.0033,0.0037,0.0024,0.0203,0.0024,0.0036,0.0034,0.0022,0.0022,0.0024,0.0073,0.0088,0.0041,0.0117,0.004,0.0011,0.0022,0.0013,6e-04,0.0033,0.0186,0.0017,0.0019,0.0017,0.0583,0.0174,0
"TTL_C16",0.0046,0.001,5e-04,8e-04,3e-04,0.0023,0.0031,1.3101,0.036,6e-04,0.0022,0.0024,0.0033,0.0015,9e-04,0.0019,0.0027,0.0026,0.0019,0.0022,0.0055,0.1521,0.0011,0.0016,0.0431,0.001,3e-04,6e-04,8e-04,9e-04,0.0034,0.0019,0.0049,0.001,0.001,8e-04,0.0039,0.0023,0.0067,0.0031,0.002,0.0013,0.0038,0.0017,0
"TTL_C17_18",0.0056,0.0035,0.0035,0.0065,0.002,0.0183,0.0054,0.0062,1.3471,0.0041,0.0168,0.0292,0.0206,0.017,0.007,0.0163,0.0113,0.0114,0.0081,0.0089,0.0066,0.0178,0.0049,0.0054,0.0136,0.0085,0.0027,0.0043,0.0102,0.014,0.0935,0.0113,0.104,0.0091,0.0114,0.0155,0.0024,0.0217,0.0628,0.0074,0.0448,0.009,0.0247,0.0119,0
"TTL_C19",0.0928,0.164,0.0953,0.1986,0.0511,0.0808,0.0306,0.0569,0.0831,1.1364,0.1101,0.0607,0.1074,0.1618,0.1519,0.0964,0.0625,0.089,0.061,0.0732,0.107,0.0693,0.3134,0.1565,0.1023,0.0394,0.2322,0.3507,0.4457,0.0866,0.1094,0.079,0.0766,0.0236,0.0315,0.0169,0.0126,0.02,0.1096,0.064,0.0291,0.0365,0.0915,0.0619,0
