"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.7472,0.1097,0.0412,0.0491,0.091,0.7995,0.7567,0.5954,0.0895,0.0405,0.0856,0.2054,0.0615,0.0648,0.0455,0.0415,0.0612,0.0418,0.0438,0.0482,0.0499,0.0536,0.0403,0.0508,0.0477,0.0778,0.0447,0.0694,0.1325,0.2524,0.0797,0.5162,0.0873,0.0461,0.0695,0.0712,0.0736,0.0856,0.106,0.1106,0.1213,0.1478,0.2275,0.0862,0
"TTL_A03",0.0013,1.0003,2e-04,2e-04,3e-04,0.0011,7e-04,6e-04,4e-04,2e-04,2e-04,4e-04,2e-04,2e-04,2e-04,2e-04,3e-04,2e-04,2e-04,2e-04,2e-04,2e-04,2e-04,7e-04,2e-04,3e-04,2e-04,3e-04,3e-04,4e-04,2e-04,0.0017,3e-04,2e-04,3e-04,2e-04,2e-04,5e-04,0.001,0.0053,0.0013,0.0016,0.0013,3e-04,0
"TTL_B05_06",0.0924,0.2843,1.4055,0.1473,0.128,0.0895,0.0863,0.1598,0.1763,0.9657,0.3534,0.1488,0.2827,0.2047,0.153,0.1191,0.1037,0.1312,0.1217,0.1075,0.1174,0.1517,0.4701,0.1301,0.1246,0.1161,0.3337,0.1147,0.1725,0.1106,0.149,0.0763,0.1202,0.0936,0.1137,0.095,0.1081,0.0965,0.0991,0.1455,0.115,0.131,0.1268,0.1086,0
"TTL_B07_08",0.05,0.0416,0.0691,1.1728,0.0925,0.0478,0.046,0.0602,0.1171,0.0593,0.3524,0.1096,0.1577,0.1821,0.4196,0.2395,0.1125,0.2501,0.2441,0.1562,0.2029,0.1904,0.0977,0.1773,0.1815,0.056,0.0752,0.1243,0.0637,0.0765,0.0563,0.0431,0.0627,0.1023,0.0599,0.0732,0.0712,0.091,0.0638,0.0675,0.0787,0.0849,0.0623,0.0518,0
"TTL_B09",0.007,0.0134,0.0556,0.0641,1.0399,0.0067,0.0065,0.01,0.0135,0.0391,0.0315,0.0119,0.0193,0.0199,0.0272,0.0171,0.0119,0.0181,0.0188,0.0127,0.0154,0.016,0.0231,0.0151,0.0156,0.009,0.0171,0.013,0.0106,0.0092,0.0093,0.0059,0.0088,0.0096,0.0083,0.0081,0.0086,0.0171,0.0083,0.011,0.0094,0.0103,0.0091,0.0077,0
"TTL_C10T12",0.191,0.0916,0.0253,0.0304,0.0655,1.2134,0.1005,0.0872,0.0567,0.0258,0.0341,0.0726,0.0319,0.0308,0.0295,0.0277,0.0352,0.0277,0.0285,0.0325,0.0297,0.0301,0.0251,0.0274,0.0293,0.0572,0.0266,0.0336,0.0583,0.053,0.0486,0.3134,0.0723,0.0284,0.0501,0.0248,0.0268,0.0485,0.0591,0.0668,0.0818,0.0965,0.1108,0.0596,0
"TTL_C13T15",0.0031,0.0452,0.0034,0.0033,0.0041,0.0034,1.1564,0.0032,0.0065,0.003,0.0049,0.0051,0.0111,0.0036,0.003,0.0027,0.0041,0.0028,0.0041,0.0029,0.0033,0.0068,0.0029,0.004,0.0037,0.0045,0.0038,0.0075,0.0073,0.0061,0.0309,0.005,0.0058,0.0034,0.0046,0.0033,0.0028,0.0086,0.0103,0.0114,0.0139,0.0199,0.0433,0.0073,0
"TTL_C16",0.0016,0.002,0.0019,0.0021,0.0147,0.0016,0.0017,1.0091,0.002,0.0017,0.0017,0.0015,0.0022,0.0019,0.0016,0.0016,0.0028,0.0015,0.0015,0.0019,0.0094,0.0138,0.0016,0.003,0.0022,0.0027,0.0018,0.0027,0.0051,0.0023,0.0041,0.0021,0.0021,0.0018,0.0021,0.0019,0.0049,0.0033,0.0021,0.0023,0.0021,0.0019,0.0035,0.0029,0
"TTL_C17_18",0.0054,0.0071,0.0041,0.0047,0.0053,0.0073,0.0055,0.0218,1.0458,0.0043,0.0052,0.0086,0.0055,0.0052,0.0049,0.0048,0.0069,0.0048,0.0049,0.0061,0.0054,0.0051,0.0047,0.0044,0.0074,0.0106,0.0049,0.0063,0.0064,0.0082,0.105,0.013,0.0503,0.0089,0.0297,0.006,0.0058,0.011,0.0091,0.0115,0.0089,0.0093,0.0126,0.0056,0
"TTL_C19",0.0449,0.264,0.048,0.0748,0.0436,0.0379,0.04,0.1145,0.0439,1.0432,0.0545,0.0433,0.0527,0.0749,0.0917,0.0656,0.0489,0.0665,0.0668,0.055,0.0619,0.0697,0.0591,0.0557,0.059,0.0527,0.1449,0.0639,0.1374,0.056,0.0458,0.0338,0.0467,0.0422,0.0454,0.0474,0.0569,0.043,0.0426,0.0757,0.0448,0.0557,0.0518,0.044,0
