"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.0629,4e-04,0,0.0106,0.0112,0.2463,0.0089,0.1965,0.0257,0.0155,0.0849,0.0405,0.0398,0.0187,0.014,0.0164,0.0065,0.0095,0.0126,0.0129,0.0158,0.0188,0.0599,0.0595,0.0214,0.0427,0.0235,0.035,0.0523,0.0158,0.0132,0.1655,0.0219,0.0135,0.0196,0.0081,0.017,0.0191,0.024,0.0335,0.0145,0.0353,0.0265,0.0246,0
"TTL_A03",0.0343,1.0937,0,0.004,0.004,0.1014,0.0035,0.0786,0.0092,0.0057,0.0306,0.0213,0.0154,0.0072,0.0055,0.0064,0.0025,0.0036,0.0049,0.005,0.0064,0.0063,0.0225,0.0205,0.0049,0.0171,0.0087,0.0149,0.0219,0.0057,0.0052,0.0664,0.0128,0.0052,0.0078,0.0032,0.0056,0.0074,0.0098,0.0078,0.0067,0.0154,0.0111,0.0098,0
"TTL_B05_06",4e-04,0,1,7e-04,6e-04,0.0014,2e-04,6e-04,7e-04,0.0203,0.0015,5e-04,8e-04,0.022,0.0126,0.0069,4e-04,7e-04,6e-04,0.0013,0.0015,0.001,0.021,0.0076,0.0019,5e-04,0.0011,0.0013,0.0013,6e-04,9e-04,8e-04,0.0016,0.001,0.0012,4e-04,0.0028,0.0013,8e-04,0.0021,6e-04,4e-04,0.0019,0.0018,0
"TTL_B07_08",0.0013,1e-04,0,1.0028,0.002,0.0048,6e-04,0.0013,0.0021,0.0072,0.0056,0.0022,0.0031,0.1145,0.0927,0.0365,0.0011,0.0023,0.0021,0.0064,0.007,0.0043,0.0389,0.0272,0.012,0.0016,0.0032,0.0037,0.004,0.0027,0.0037,0.0028,0.0061,0.0036,0.0026,0.0012,0.0106,0.0046,0.0037,0.006,0.0017,0.0011,0.0042,0.0057,0
"TTL_B09",7e-04,0,0,0.0013,1.0029,0.0015,2e-04,7e-04,9e-04,0.0023,0.0012,4e-04,8e-04,0.0134,0.0249,0.0145,3e-04,6e-04,8e-04,0.0018,0.0021,0.0016,0.0273,0.0082,0.0033,5e-04,0.0011,0.0012,0.0012,9e-04,0.0032,9e-04,0.005,9e-04,0.001,7e-04,0.008,0.0025,0.0011,0.0043,0.001,6e-04,0.0019,0.0024,0
"TTL_C10T12",0.0069,4e-04,0,0.0035,0.0031,1.209,0.0052,0.0078,0.0219,0.0097,0.0088,0.0048,0.009,0.0066,0.0228,0.0241,0.0044,0.0063,0.0094,0.0111,0.0163,0.0155,0.0191,0.0193,0.016,0.0239,0.0152,0.0281,0.0361,0.0103,0.0115,0.0814,0.0148,0.0103,0.0107,0.0044,0.0113,0.0101,0.0129,0.0161,0.007,0.0058,0.0093,0.0084,0
"TTL_C13T15",0.0277,0.0027,0,0.0207,0.018,0.1693,1.9647,0.0408,0.8451,0.1035,0.0553,0.0268,0.7637,0.0514,0.1429,0.1984,0.0348,0.0526,0.0639,0.1019,0.1191,0.2437,0.1023,0.122,0.1256,0.1007,0.1026,0.1309,0.1546,0.0743,0.0801,0.1615,0.1837,0.0768,0.2979,0.0221,0.0452,0.29,0.2563,0.2159,0.0907,0.0198,0.0532,0.0592,0
"TTL_C16",0.0029,1e-04,0,5e-04,4e-04,0.0017,6e-04,1.1179,7e-04,0.0022,7e-04,4e-04,8e-04,5e-04,6e-04,8e-04,6e-04,9e-04,8e-04,0.0032,0.0037,0.004,0.0031,0.0025,0.0014,0.0021,0.001,0.0011,0.0016,8e-04,0.0013,0.0022,0.0012,0.0016,0.0103,5e-04,0.0013,0.0127,0.0069,0.0015,8e-04,4e-04,0.0011,9e-04,0
"TTL_C17_18",0.0011,2e-04,0,0.0018,0.0014,0.0043,0.0026,0.0036,1.1408,0.0113,0.0079,0.004,0.0042,0.0038,0.0189,0.0287,0.0048,0.0081,0.0106,0.0078,0.0098,0.0283,0.0099,0.0112,0.0096,0.0051,0.0067,0.0071,0.0098,0.0065,0.008,0.0111,0.0431,0.0069,0.0032,0.0014,0.0023,0.0032,0.0048,0.0205,0.0097,0.0017,0.0045,0.0033,0
"TTL_C19",0.0053,2e-04,0,0.0106,0.0052,0.0077,0.0015,0.0106,0.0022,1.0122,0.0041,0.0015,0.004,0.0091,0.0061,0.0051,0.0038,0.0095,0.0045,0.0058,0.0078,0.0055,0.0299,0.0132,0.0028,0.0055,0.0195,0.0235,0.0281,0.0044,0.003,0.0037,0.0038,0.0028,0.0032,0.0013,0.0034,0.0032,0.0037,0.0075,0.002,0.0015,0.0033,0.0031,0
"TTL_C20",0.0806,6e-04,0,0.0362,0.0261,0.0352,0.0071,0.0431,0.0147,0.0364,1.3033,0.0584,0.214,0.0862,0.0243,0.0286,0.0065,0.0121,0.0154,0.0255,0.0269,0.0247,0.0195,0.0302,0.0115,0.0181,0.0111,0.0111,0.0132,0.0068,0.0086,0.0182,0.0107,0.0078,0.0072,0.0059,0.0197,0.011,0.0087,0.0105,0.0072,0.0636,0.0084,0.0104,0
"TTL_C21",0.0107,1e-04,0,0.0023,0.0013,0.0038,5e-04,0.004,0.001,0.0036,0.0218,1.1171,0.0094,0.0046,0.0016,0.0017,6e-04,8e-04,0.0013,0.0014,0.0017,0.0017,0.0016,0.0025,9e-04,0.0017,9e-04,0.001,0.0013,6e-04,9e-04,0.0021,0.001,9e-04,9e-04,8e-04,0.0016,0.0049,8e-04,0.0014,0.0014,0.0829,0.0012,0.0013,0
"TTL_C22",0.0036,4e-04,0,0.004,0.003,0.0417,0.0063,0.013,0.0256,0.0144,0.0166,0.0074,1.0398,0.0286,0.0356,0.0613,0.0078,0.0144,0.022,0.065,0.0665,0.0261,0.0194,0.022,0.0202,0.0236,0.025,0.017,0.0172,0.0125,0.0079,0.0116,0.0118,0.007,0.0065,0.0017,0.0041,0.0066,0.0085,0.0137,0.0039,0.0037,0.0065,0.0056,0
"TTL_C23",0.0027,1e-04,0,0.006,0.005,0.0208,0.0018,0.0025,0.0025,0.0048,0.0337,0.0156,0.0165,1.0397,0.0047,0.005,0.0018,0.0032,0.003,0.021,0.0199,0.0085,0.0139,0.0118,0.0125,0.0043,0.0041,0.005,0.0052,0.0032,0.0025,0.0032,0.0026,0.0022,0.0023,6e-04,0.0026,0.0027,0.0028,0.0027,0.0014,0.0032,0.0025,0.0026,0
"TTL_C24",6e-04,1e-04,0,0.0043,0.0036,0.0029,9e-04,0.0018,0.0024,0.0081,0.0018,7e-04,0.002,0.0032,1.1085,0.1037,0.0018,0.0031,0.0047,0.019,0.0202,0.0125,0.0246,0.0172,0.0668,0.0027,0.0098,0.0132,0.0095,0.0089,0.0032,0.0023,0.0038,0.0029,0.002,7e-04,0.0023,0.002,0.003,0.0031,0.0015,0.001,0.0039,0.0032,0
"TTL_C25",0.0019,6e-04,0,0.0081,0.0064,0.0094,0.003,0.0059,0.0076,0.0297,0.0052,0.0022,0.0061,0.0097,0.0695,1.192,0.0078,0.012,0.0164,0.0911,0.1137,0.069,0.0485,0.0419,0.0927,0.0094,0.028,0.0355,0.0271,0.027,0.0141,0.0076,0.0111,0.0121,0.0066,0.0022,0.006,0.0063,0.0122,0.0124,0.006,0.0031,0.0125,0.0087,0
"TTL_C26",0.0034,7e-04,0,0.007,0.0067,0.0097,0.0065,0.0148,0.0096,0.0721,0.0128,0.006,0.0103,0.0075,0.0119,0.0207,1.2336,0.1238,0.2365,0.0468,0.0726,0.0761,0.0522,0.055,0.0161,0.0195,0.0213,0.0295,0.0319,0.0185,0.0236,0.0151,0.0377,0.0622,0.0141,0.0099,0.0091,0.0102,0.0122,0.033,0.0192,0.0109,0.0231,0.0322,0
"TTL_C27",0.0026,6e-04,0,0.0066,0.0051,0.0076,0.0039,0.0131,0.0058,0.0704,0.0082,0.0036,0.0067,0.0063,0.0125,0.0173,0.0696,1.2499,0.276,0.0509,0.062,0.0724,0.0543,0.0492,0.0206,0.0168,0.0203,0.0275,0.026,0.0163,0.0173,0.012,0.0224,0.0295,0.008,0.0048,0.0071,0.0074,0.0096,0.0179,0.0105,0.0051,0.0174,0.0199,0
"TTL_C28",0.0025,4e-04,0,0.0026,0.0021,0.0088,0.0065,0.0078,0.0082,0.0154,0.0064,0.0034,0.0089,0.0056,0.0088,0.0123,0.0056,0.008,1.1492,0.0085,0.0103,0.0115,0.0889,0.0837,0.0121,0.0314,0.0313,0.0558,0.0415,0.0289,0.007,0.007,0.0199,0.0074,0.0078,0.0022,0.0083,0.0076,0.0121,0.0099,0.0042,0.0032,0.0172,0.0136,0
"TTL_C29",0.0012,3e-04,0,0.0105,0.0054,0.0027,0.001,0.0019,0.0017,0.0061,0.0017,8e-04,0.0018,0.0028,0.0026,0.0023,0.0018,0.0036,0.0071,1.0883,0.0224,0.0028,0.0341,0.0314,0.0036,0.0023,0.0227,0.0067,0.0097,0.0068,0.0147,0.0027,0.0065,0.0082,0.015,0.0013,0.0064,0.0142,0.0192,0.0042,0.0017,8e-04,0.0061,0.0062,0
"TTL_C30",8e-04,4e-04,0,0.0073,0.0038,0.002,7e-04,0.0014,0.0011,0.0042,0.0013,6e-04,0.0013,0.002,0.0019,0.0017,9e-04,0.0013,0.0025,0.0524,1.1475,0.0025,0.0161,0.0098,0.0021,0.0018,0.0091,0.0334,0.0345,0.0047,0.006,0.0019,0.004,0.0035,0.0102,9e-04,0.0035,0.01,0.0091,0.0029,0.0011,6e-04,0.0035,0.0026,0
"TTL_C31T33",0.0116,0.007,0,0.0225,0.0178,0.0287,0.0118,0.0263,0.0183,0.3966,0.0196,0.0102,0.0203,0.029,0.0386,0.0525,0.0917,0.1278,0.0622,0.0358,0.0496,1.1893,0.1051,0.1367,0.08,0.0523,0.0723,0.0815,0.1094,0.0624,0.1744,0.05,0.0619,0.1489,0.0208,0.0169,0.0218,0.0198,0.036,0.0709,0.0704,0.0116,0.1171,0.0584,0
"TTL_D",0.0025,2e-04,0,0.0019,0.0013,0.0125,0.0013,0.0043,0.0095,0.0048,0.0109,0.0027,0.0063,0.0068,0.004,0.0034,0.0031,0.0064,0.0053,0.0024,0.003,0.0041,1.0618,0.0228,0.0033,0.0033,0.0052,0.0038,0.0053,0.0043,0.0071,0.0056,0.011,0.0168,0.0221,0.0058,0.0497,0.0209,0.01,0.0338,0.0091,0.0043,0.0086,0.0061,0
"TTL_E",0.0015,2e-04,0,0.0016,0.0015,0.0054,0.001,0.0021,0.0024,0.003,0.0028,0.0011,0.0024,0.0074,0.0045,0.0031,0.0028,0.0061,0.0064,0.0032,0.0051,0.0048,0.0117,1.0383,0.0043,0.0038,0.0067,0.0079,0.009,0.0064,0.0107,0.0073,0.0039,0.0112,0.0042,0.002,0.0132,0.0043,0.0047,0.0106,0.0044,0.0015,0.0032,0.0057,0
"TTL_F",0.0027,3e-04,0,0.0586,0.0519,0.0099,0.0028,0.0057,0.0062,0.0071,0.0068,0.0025,0.006,0.0133,0.0113,0.0078,0.0032,0.0055,0.0065,0.0042,0.0053,0.0053,0.3146,0.1583,1.0944,0.0067,0.0537,0.0432,0.0437,0.0576,0.0078,0.0099,0.0275,0.0099,0.0117,0.0037,0.0209,0.0113,0.0162,0.0172,0.0056,0.0039,0.0287,0.0245,0
"TTL_G",0.0503,0.0063,0,0.0376,0.0301,0.1533,0.1858,0.1769,0.1978,0.198,0.1243,0.0784,0.2185,0.0759,0.1044,0.1356,0.11,0.1502,0.2027,0.1408,0.1561,0.171,0.1611,0.1677,0.0998,1.079,0.1066,0.1059,0.1214,0.0656,0.0946,0.1077,0.0981,0.0931,0.0922,0.0196,0.0421,0.0927,0.0923,0.0995,0.0547,0.0646,0.0709,0.0584,0
"TTL_H49",0.0106,0.0014,0,0.0082,0.0062,0.0435,0.0234,0.0426,0.0293,0.0334,0.0267,0.0126,0.0354,0.0277,0.0279,0.0326,0.0181,0.0251,0.0357,0.0239,0.0276,0.0291,0.0422,0.0415,0.0302,0.0383,1.0332,0.0285,0.0337,0.0204,0.0285,0.0419,0.0221,0.0218,0.0375,0.0122,0.0274,0.0362,0.0288,0.0455,0.0201,0.0116,0.0158,0.0142,0
"TTL_H50",0.0052,4e-04,0,0.0035,0.0027,0.0152,0.0067,0.0134,0.0094,0.0142,0.0112,0.0049,0.0126,0.0114,0.0124,0.0136,0.0063,0.0091,0.0136,0.0091,0.0112,0.0102,0.0148,0.016,0.0095,0.0165,0.0142,1.0736,0.0163,0.0159,0.0118,0.0121,0.008,0.0091,0.011,0.0038,0.0103,0.0111,0.014,0.0137,0.0054,0.0039,0.0069,0.0055,0
