"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.121,0.0484,0.0126,0.0073,0.0033,0.4182,0.0234,0.2623,0.0086,0.0098,0.0101,0.0258,0.0214,0.0066,0.0059,0.0064,0.0058,0.0069,0.0067,0.0078,0.0077,0.0195,0.009,0.0047,0.0106,0.0035,0.0056,0.0039,0.0058,0.0059,0.004,0.1708,0.004,0.0026,0.0036,0.0023,0.0012,0.0049,0.003,0.0047,0.0077,0.0169,0.0065,0.0077,0
"TTL_A03",0.0048,1.0444,2e-04,3e-04,2e-04,0.0311,9e-04,0.0014,3e-04,2e-04,5e-04,7e-04,4e-04,3e-04,3e-04,3e-04,3e-04,3e-04,3e-04,3e-04,4e-04,6e-04,2e-04,2e-04,3e-04,2e-04,2e-04,3e-04,3e-04,3e-04,2e-04,0.031,2e-04,2e-04,2e-04,1e-04,1e-04,3e-04,2e-04,6e-04,0.0016,0.001,6e-04,5e-04,0
"TTL_B05_06",0.0852,0.106,1.0405,0.1216,0.0636,0.0786,0.1323,0.107,0.1191,0.719,0.3359,0.0935,0.1926,0.1563,0.1346,0.1055,0.0888,0.0975,0.0842,0.0917,0.0944,0.0995,0.6243,0.12,0.0778,0.0378,0.1635,0.1312,0.1657,0.0578,0.0574,0.0693,0.043,0.0264,0.025,0.0157,0.022,0.0376,0.0279,0.0298,0.0403,0.048,0.0554,0.0603,0
"TTL_B07_08",0.0049,0.0061,0.007,1.0383,0.0145,0.0068,0.008,0.007,0.0089,0.0068,0.0198,0.0092,0.0113,0.0875,0.1808,0.059,0.0178,0.0422,0.0409,0.0274,0.0468,0.0188,0.0089,0.0066,0.0361,0.0024,0.0067,0.0045,0.0091,0.0036,0.0044,0.0048,0.003,0.0027,0.0031,0.0011,0.0019,0.0029,0.0021,0.0046,0.0022,0.0037,0.0032,0.0068,0
"TTL_B09",2e-04,2e-04,8e-04,9e-04,1.001,2e-04,2e-04,2e-04,2e-04,0.0012,6e-04,2e-04,4e-04,4e-04,5e-04,3e-04,2e-04,2e-04,2e-04,2e-04,2e-04,2e-04,9e-04,2e-04,3e-04,1e-04,3e-04,2e-04,3e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0,0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0
"TTL_C10T12",0.189,0.0459,0.0049,0.0071,0.0037,1.2383,0.0309,0.0497,0.0097,0.0055,0.0142,0.0212,0.0113,0.006,0.0067,0.0071,0.0067,0.0071,0.0071,0.0072,0.0079,0.0097,0.0053,0.005,0.0066,0.0051,0.0054,0.0044,0.0064,0.0076,0.0051,0.3502,0.0064,0.0042,0.0058,0.0038,0.0013,0.0086,0.0052,0.0036,0.0191,0.0127,0.011,0.0126,0
"TTL_C13T15",0.0143,0.096,0.0073,0.0119,0.0073,0.0187,1.4702,0.0147,0.0296,0.0074,0.0125,0.0133,0.0354,0.0164,0.0099,0.0137,0.0152,0.0152,0.015,0.0232,0.0219,0.0928,0.0086,0.0155,0.014,0.0135,0.0151,0.0075,0.0127,0.0211,0.0303,0.0168,0.0106,0.0046,0.0057,0.0049,0.0027,0.0087,0.0084,0.0105,0.0055,0.0134,0.0149,0.0294,0
"TTL_C16",0.0044,0.0467,0.0095,0.0083,0.0037,0.0062,0.0043,1.3062,0.0137,0.0071,0.0053,0.0036,0.0043,0.0093,0.0056,0.008,0.0043,0.0084,0.0082,0.0074,0.0113,0.0675,0.0067,0.0031,0.0199,0.0022,0.0047,0.0028,0.0048,0.0083,0.0032,0.0059,0.0031,0.0013,0.0017,0.001,0.0012,0.0028,0.0015,0.0022,0.0026,0.0037,0.0043,0.0035,0
"TTL_C17_18",0.0221,0.0188,0.0069,0.0111,0.0105,0.0516,0.0396,0.0324,1.5109,0.0087,0.0206,0.0627,0.0234,0.0332,0.0129,0.0189,0.0263,0.0352,0.021,0.0208,0.0185,0.0934,0.0095,0.0135,0.0202,0.0256,0.0141,0.0088,0.016,0.0202,0.0815,0.0285,0.1501,0.0148,0.0226,0.0166,0.0049,0.0483,0.0139,0.015,0.0285,0.0206,0.0249,0.0293,0
"TTL_C19",0.1161,0.1519,0.035,0.1511,0.0683,0.1002,0.1675,0.1311,0.1354,1.2399,0.4512,0.1269,0.2704,0.1629,0.1265,0.1189,0.1074,0.1148,0.0954,0.1101,0.1084,0.1255,0.0951,0.0915,0.0912,0.047,0.2345,0.2076,0.2568,0.0636,0.0769,0.0749,0.0469,0.0213,0.0282,0.0148,0.0107,0.0432,0.0335,0.0309,0.0301,0.0459,0.0433,0.0615,0
