"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.0175,0.0014,7e-04,0.0011,8e-04,0.2979,0.005,0.1054,0.1099,0.0066,0.0065,0.007,0.0116,8e-04,0.002,0.0014,0.0032,0.0031,0.0013,0.002,0.002,0.0273,6e-04,0.003,0.0018,0.0012,0.0019,0.0044,0.0018,0.0039,0.0013,0.064,0.0138,0.0016,0.0013,6e-04,3e-04,0.0013,0.0015,0.0012,0.0038,0.0014,0.0012,0.0012,0
"TTL_A03",0.0117,1.0337,3e-04,4e-04,3e-04,0.0299,7e-04,0.0188,0.0686,0.003,0.0018,0.0025,0.0025,3e-04,7e-04,5e-04,9e-04,9e-04,4e-04,7e-04,8e-04,0.0149,3e-04,0.0019,7e-04,4e-04,6e-04,0.0019,8e-04,0.0017,3e-04,0.0219,0.0155,4e-04,4e-04,2e-04,1e-04,4e-04,6e-04,4e-04,0.0015,5e-04,5e-04,5e-04,0
"TTL_B05_06",0.0042,0.0032,1.0185,0.0168,0.0144,0.009,0.0044,0.0166,0.0106,0.0281,0.0201,0.0058,0.031,0.0444,0.0154,0.0102,0.0141,0.0164,0.0106,0.0252,0.0299,0.1529,0.0258,0.0069,0.0208,0.0074,0.0124,0.0358,0.0155,0.0337,0.0068,0.0092,0.0084,0.0076,0.0037,0.0035,0.0035,0.0051,0.0096,0.0055,0.0042,0.0107,0.0064,0.0059,0
"TTL_B07_08",0.005,0.0019,0.0525,1.1332,0.0883,0.019,0.0064,0.0248,0.0158,0.0631,0.0688,0.0336,0.1016,0.3086,0.0652,0.0381,0.0432,0.0513,0.0461,0.1096,0.1279,0.0239,0.081,0.0306,0.1513,0.0081,0.0189,0.0402,0.016,0.0359,0.009,0.0121,0.0334,0.0127,0.0082,0.0037,0.0126,0.0099,0.0128,0.0084,0.004,0.0114,0.0218,0.0165,0
"TTL_B09",0.0026,0.001,0.0847,0.0386,1.1289,0.0076,0.0026,0.0145,0.0074,0.0344,0.0249,0.0064,0.0459,0.0437,0.018,0.0112,0.0125,0.0148,0.0161,0.0291,0.0298,0.0164,0.0324,0.0143,0.0289,0.0035,0.0083,0.022,0.0088,0.0198,0.0025,0.0055,0.0172,0.0031,0.0026,0.0018,0.0022,0.0039,0.0058,0.0034,0.0018,0.0059,0.0181,0.005,0
"TTL_C10T12",0.0089,0.0018,5e-04,8e-04,6e-04,1.0759,8e-04,0.0034,0.0024,0.0032,0.0026,0.0023,0.0046,6e-04,0.0015,0.0011,0.0048,0.0038,9e-04,0.0014,0.0013,0.0015,3e-04,4e-04,9e-04,6e-04,0.0011,0.0025,0.001,0.0022,2e-04,0.1259,9e-04,3e-04,0.0012,3e-04,2e-04,0.001,9e-04,5e-04,0.0013,0.0011,4e-04,7e-04,0
"TTL_C13T15",0.0117,0.0075,0.0013,0.002,0.0015,0.007,1.6143,0.0965,0.0627,0.0047,0.0043,0.0035,0.0078,0.0019,0.0036,0.0029,0.0185,0.0132,0.0029,0.0044,0.0044,0.0592,0.0023,0.0093,0.0048,0.0048,0.0034,0.0048,0.002,0.0042,0.0021,0.0471,0.0404,0.0023,0.024,7e-04,6e-04,0.0189,0.0182,0.0077,0.0041,0.0047,0.0192,0.0119,0
"TTL_C16",9e-04,5e-04,5e-04,9e-04,7e-04,0.0038,0.0023,1.1208,0.072,0.0061,0.006,0.0031,0.0099,0.0012,0.0021,0.0016,0.0038,0.0041,0.0014,0.0024,0.0024,0.0211,7e-04,0.0024,0.0031,0.0023,0.0021,0.0043,0.0017,0.0038,0.0103,0.0042,0.008,0.0123,0.0032,0.0022,3e-04,0.0034,0.0027,0.0051,0.0028,0.0019,0.0031,0.0029,0
"TTL_C17_18",1e-04,1e-04,1e-04,1e-04,1e-04,3e-04,0.0012,0.0043,1.0041,4e-04,4e-04,3e-04,6e-04,1e-04,4e-04,3e-04,5e-04,5e-04,2e-04,4e-04,4e-04,9e-04,1e-04,2e-04,3e-04,2e-04,4e-04,4e-04,2e-04,4e-04,4e-04,4e-04,8e-04,5e-04,2e-04,1e-04,0,3e-04,2e-04,3e-04,1e-04,2e-04,2e-04,2e-04,0
"TTL_C19",0.0686,0.0233,0.0593,0.1076,0.0667,0.1047,0.0509,0.247,0.1564,1.2569,0.2306,0.0735,0.3553,0.0653,0.1988,0.1259,0.1701,0.2068,0.1104,0.1908,0.1849,0.0761,0.0513,0.0363,0.1175,0.0736,0.1754,0.7029,0.2773,0.6294,0.0315,0.1125,0.0794,0.0303,0.0477,0.0418,0.0105,0.0782,0.1562,0.072,0.0381,0.1582,0.0422,0.0679,0
