"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01_02",1.1192,0.0296,0.0159,0.0129,0.0044,0.1855,0.0659,0.1319,0.0373,0.0185,0.0825,0.0125,0.0286,0.0144,0.0114,0.0114,0.0088,0.0122,0.0115,0.0097,0.0113,0.0304,0.0193,0.008,0.0083,0.0118,0.0104,0.0095,0.0169,0.006,0.0051,0.0323,0.01,0.0045,0.0054,0.0036,0.0056,0.006,0.0069,0.0045,0.0031,0.0088,0.0079,0.0089,0
"TTL_A03",0.0023,1.039,3e-04,3e-04,1e-04,0.0241,5e-04,6e-04,4e-04,5e-04,0.0015,5e-04,7e-04,3e-04,5e-04,3e-04,3e-04,4e-04,4e-04,4e-04,3e-04,4e-04,3e-04,3e-04,2e-04,0.001,3e-04,4e-04,0.001,2e-04,1e-04,0.0057,3e-04,1e-04,2e-04,1e-04,1e-04,2e-04,3e-04,2e-04,1e-04,0.002,6e-04,2e-04,0
"TTL_B05_06",0.0275,0.0494,1.0443,0.0694,0.0143,0.0172,0.0157,0.0175,0.0252,0.36,0.0507,0.0073,0.0259,0.0609,0.0257,0.0148,0.0089,0.0179,0.0156,0.0102,0.0122,0.0138,0.0541,0.0222,0.0148,0.0103,0.0417,0.0428,0.0524,0.0149,0.013,0.0096,0.0144,0.0079,0.0068,0.0072,0.0091,0.0083,0.0184,0.0099,0.0033,0.007,0.0119,0.0109,0
"TTL_B07_08",0.0037,0.0042,0.0021,1.0035,0.0164,0.0019,0.0017,0.0017,0.0019,0.0249,0.0022,7e-04,0.0019,0.0024,0.0023,0.0023,0.001,0.0019,0.0023,0.0019,0.0011,0.0014,0.0045,0.0023,0.0247,0.0011,0.0042,0.0033,0.0104,0.0019,0.0012,0.0011,0.0013,0.0015,8e-04,8e-04,0.0014,0.001,0.0015,0.0013,5e-04,8e-04,0.0014,0.003,0
"TTL_B09",9e-04,0.0017,0.0107,0.0054,1.006,5e-04,5e-04,6e-04,7e-04,0.0114,0.0012,2e-04,8e-04,0.0016,0.0012,6e-04,3e-04,7e-04,6e-04,4e-04,4e-04,4e-04,0.0014,7e-04,0.001,3e-04,0.0014,0.0015,0.0018,6e-04,4e-04,3e-04,5e-04,3e-04,2e-04,2e-04,3e-04,3e-04,6e-04,3e-04,1e-04,2e-04,4e-04,4e-04,0
"TTL_C10T12",0.1003,0.042,0.0059,0.0065,0.003,1.1885,0.0127,0.0174,0.0118,0.0088,0.0599,0.0188,0.0207,0.0074,0.016,0.0076,0.0047,0.0088,0.009,0.0074,0.0067,0.0084,0.0071,0.0061,0.0048,0.0073,0.0064,0.0112,0.0198,0.0029,0.0026,0.172,0.0064,0.0023,0.0031,0.0034,0.0025,0.0038,0.0058,0.0027,0.003,0.0179,0.0141,0.0044,0
"TTL_C13T15",0.0084,0.0069,0.0065,0.0049,0.0034,0.0064,1.1231,0.006,0.0066,0.0078,0.0058,0.0024,0.0055,0.0056,0.005,0.007,0.0045,0.0072,0.0093,0.0082,0.0273,0.0116,0.0116,0.0045,0.0043,0.0057,0.005,0.0065,0.0341,0.0072,0.0033,0.0036,0.0037,0.003,0.0025,0.0021,0.0024,0.0052,0.0075,0.0048,0.0014,0.004,0.0044,0.0049,0
"TTL_C16",0.0192,0.0129,0.0668,0.0246,0.005,0.011,0.0091,1.1871,0.03,0.0462,0.0118,0.0039,0.0107,0.0216,0.0078,0.0097,0.0058,0.0105,0.0081,0.0085,0.0081,0.166,0.0219,0.0102,0.0115,0.0051,0.011,0.011,0.02,0.0063,0.0072,0.0056,0.0203,0.0059,0.0052,0.0046,0.0048,0.0119,0.008,0.0051,0.003,0.0127,0.0068,0.0101,0
"TTL_C17_18",0.0102,0.0151,0.0077,0.0082,0.0045,0.0196,0.0237,0.0219,1.1937,0.0363,0.0106,0.0131,0.0104,0.0115,0.0122,0.0113,0.0074,0.0145,0.0234,0.0074,0.0071,0.0181,0.0108,0.0151,0.0061,0.0084,0.0083,0.0098,0.0269,0.0048,0.0408,0.0067,0.0818,0.0083,0.0462,0.0157,0.0059,0.017,0.0097,0.0276,0.019,0.0064,0.018,0.0071,0
"TTL_C19",0.0725,0.1471,0.0585,0.0947,0.0359,0.0383,0.0325,0.0367,0.0466,1.1327,0.0435,0.0129,0.0422,0.0516,0.0673,0.0334,0.0188,0.0407,0.038,0.0225,0.0262,0.0279,0.0774,0.0588,0.0298,0.0263,0.1213,0.127,0.1519,0.041,0.0353,0.0209,0.0374,0.0178,0.0159,0.0189,0.017,0.0206,0.0459,0.026,0.0072,0.0167,0.0285,0.0269,0
